From TID,From JID,To TID,To JID
0,0,2,120
0,0,10,600
0,0,11,660
0,0,3,180
0,0,4,240
0,0,7,420
0,0,8,480
0,0,9,540
0,1,2,121
0,1,10,601
0,1,11,661
0,1,3,181
0,1,4,241
0,1,7,421
0,1,8,481
0,1,9,541
0,2,2,122
0,2,10,602
0,2,11,662
0,2,3,182
0,2,4,242
0,2,7,422
0,2,8,482
0,2,9,542
0,3,2,123
0,3,10,603
0,3,11,663
0,3,3,183
0,3,4,243
0,3,7,423
0,3,8,483
0,3,9,543
0,4,2,124
0,4,10,604
0,4,11,664
0,4,3,184
0,4,4,244
0,4,7,424
0,4,8,484
0,4,9,544
0,5,2,125
0,5,10,605
0,5,11,665
0,5,3,185
0,5,4,245
0,5,7,425
0,5,8,485
0,5,9,545
0,6,2,126
0,6,10,606
0,6,11,666
0,6,3,186
0,6,4,246
0,6,7,426
0,6,8,486
0,6,9,546
0,7,2,127
0,7,10,607
0,7,11,667
0,7,3,187
0,7,4,247
0,7,7,427
0,7,8,487
0,7,9,547
0,8,2,128
0,8,10,608
0,8,11,668
0,8,3,188
0,8,4,248
0,8,7,428
0,8,8,488
0,8,9,548
0,9,2,129
0,9,10,609
0,9,11,669
0,9,3,189
0,9,4,249
0,9,7,429
0,9,8,489
0,9,9,549
0,10,2,130
0,10,10,610
0,10,11,670
0,10,3,190
0,10,4,250
0,10,7,430
0,10,8,490
0,10,9,550
0,11,2,131
0,11,10,611
0,11,11,671
0,11,3,191
0,11,4,251
0,11,7,431
0,11,8,491
0,11,9,551
0,12,2,132
0,12,10,612
0,12,11,672
0,12,3,192
0,12,4,252
0,12,7,432
0,12,8,492
0,12,9,552
0,13,2,133
0,13,10,613
0,13,11,673
0,13,3,193
0,13,4,253
0,13,7,433
0,13,8,493
0,13,9,553
0,14,2,134
0,14,10,614
0,14,11,674
0,14,3,194
0,14,4,254
0,14,7,434
0,14,8,494
0,14,9,554
0,15,2,135
0,15,10,615
0,15,11,675
0,15,3,195
0,15,4,255
0,15,7,435
0,15,8,495
0,15,9,555
0,16,2,136
0,16,10,616
0,16,11,676
0,16,3,196
0,16,4,256
0,16,7,436
0,16,8,496
0,16,9,556
0,17,2,137
0,17,10,617
0,17,11,677
0,17,3,197
0,17,4,257
0,17,7,437
0,17,8,497
0,17,9,557
0,18,2,138
0,18,10,618
0,18,11,678
0,18,3,198
0,18,4,258
0,18,7,438
0,18,8,498
0,18,9,558
0,19,2,139
0,19,10,619
0,19,11,679
0,19,3,199
0,19,4,259
0,19,7,439
0,19,8,499
0,19,9,559
0,20,2,140
0,20,10,620
0,20,11,680
0,20,3,200
0,20,4,260
0,20,7,440
0,20,8,500
0,20,9,560
0,21,2,141
0,21,10,621
0,21,11,681
0,21,3,201
0,21,4,261
0,21,7,441
0,21,8,501
0,21,9,561
0,22,2,142
0,22,10,622
0,22,11,682
0,22,3,202
0,22,4,262
0,22,7,442
0,22,8,502
0,22,9,562
0,23,2,143
0,23,10,623
0,23,11,683
0,23,3,203
0,23,4,263
0,23,7,443
0,23,8,503
0,23,9,563
0,24,2,144
0,24,10,624
0,24,11,684
0,24,3,204
0,24,4,264
0,24,7,444
0,24,8,504
0,24,9,564
0,25,2,145
0,25,10,625
0,25,11,685
0,25,3,205
0,25,4,265
0,25,7,445
0,25,8,505
0,25,9,565
0,26,2,146
0,26,10,626
0,26,11,686
0,26,3,206
0,26,4,266
0,26,7,446
0,26,8,506
0,26,9,566
0,27,2,147
0,27,10,627
0,27,11,687
0,27,3,207
0,27,4,267
0,27,7,447
0,27,8,507
0,27,9,567
0,28,2,148
0,28,10,628
0,28,11,688
0,28,3,208
0,28,4,268
0,28,7,448
0,28,8,508
0,28,9,568
0,29,2,149
0,29,10,629
0,29,11,689
0,29,3,209
0,29,4,269
0,29,7,449
0,29,8,509
0,29,9,569
0,30,2,150
0,30,10,630
0,30,11,690
0,30,3,210
0,30,4,270
0,30,7,450
0,30,8,510
0,30,9,570
0,31,2,151
0,31,10,631
0,31,11,691
0,31,3,211
0,31,4,271
0,31,7,451
0,31,8,511
0,31,9,571
0,32,2,152
0,32,10,632
0,32,11,692
0,32,3,212
0,32,4,272
0,32,7,452
0,32,8,512
0,32,9,572
0,33,2,153
0,33,10,633
0,33,11,693
0,33,3,213
0,33,4,273
0,33,7,453
0,33,8,513
0,33,9,573
0,34,2,154
0,34,10,634
0,34,11,694
0,34,3,214
0,34,4,274
0,34,7,454
0,34,8,514
0,34,9,574
0,35,2,155
0,35,10,635
0,35,11,695
0,35,3,215
0,35,4,275
0,35,7,455
0,35,8,515
0,35,9,575
0,36,2,156
0,36,10,636
0,36,11,696
0,36,3,216
0,36,4,276
0,36,7,456
0,36,8,516
0,36,9,576
0,37,2,157
0,37,10,637
0,37,11,697
0,37,3,217
0,37,4,277
0,37,7,457
0,37,8,517
0,37,9,577
0,38,2,158
0,38,10,638
0,38,11,698
0,38,3,218
0,38,4,278
0,38,7,458
0,38,8,518
0,38,9,578
0,39,2,159
0,39,10,639
0,39,11,699
0,39,3,219
0,39,4,279
0,39,7,459
0,39,8,519
0,39,9,579
0,40,2,160
0,40,10,640
0,40,11,700
0,40,3,220
0,40,4,280
0,40,7,460
0,40,8,520
0,40,9,580
0,41,2,161
0,41,10,641
0,41,11,701
0,41,3,221
0,41,4,281
0,41,7,461
0,41,8,521
0,41,9,581
0,42,2,162
0,42,10,642
0,42,11,702
