Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,201,2010,10000,10000
0,1,10000,11000,201,2010,20000,10000
0,2,20000,21000,201,2010,30000,10000
0,3,30000,31000,201,2010,40000,10000
0,4,40000,41000,201,2010,50000,10000
0,5,50000,51000,201,2010,60000,10000
0,6,60000,61000,201,2010,70000,10000
0,7,70000,71000,201,2010,80000,10000
0,8,80000,81000,201,2010,90000,10000
0,9,90000,91000,201,2010,100000,10000
0,10,100000,101000,201,2010,110000,10000
0,11,110000,111000,201,2010,120000,10000
0,12,120000,121000,201,2010,130000,10000
0,13,130000,131000,201,2010,140000,10000
0,14,140000,141000,201,2010,150000,10000
0,15,150000,151000,201,2010,160000,10000
0,16,160000,161000,201,2010,170000,10000
0,17,170000,171000,201,2010,180000,10000
0,18,180000,181000,201,2010,190000,10000
0,19,190000,191000,201,2010,200000,10000
0,20,200000,201000,201,2010,210000,10000
0,21,210000,211000,201,2010,220000,10000
0,22,220000,221000,201,2010,230000,10000
0,23,230000,231000,201,2010,240000,10000
0,24,240000,241000,201,2010,250000,10000
0,25,250000,251000,201,2010,260000,10000
0,26,260000,261000,201,2010,270000,10000
0,27,270000,271000,201,2010,280000,10000
0,28,280000,281000,201,2010,290000,10000
0,29,290000,291000,201,2010,300000,10000
0,30,300000,301000,201,2010,310000,10000
0,31,310000,311000,201,2010,320000,10000
0,32,320000,321000,201,2010,330000,10000
0,33,330000,331000,201,2010,340000,10000
0,34,340000,341000,201,2010,350000,10000
0,35,350000,351000,201,2010,360000,10000
0,36,360000,361000,201,2010,370000,10000
0,37,370000,371000,201,2010,380000,10000
0,38,380000,381000,201,2010,390000,10000
0,39,390000,391000,201,2010,400000,10000
0,40,400000,401000,201,2010,410000,10000
0,41,410000,411000,201,2010,420000,10000
1,42,0,1000,83,834,10000,10000
1,43,10000,11000,83,834,20000,10000
1,44,20000,21000,83,834,30000,10000
1,45,30000,31000,83,834,40000,10000
1,46,40000,41000,83,834,50000,10000
1,47,50000,51000,83,834,60000,10000
1,48,60000,61000,83,834,70000,10000
1,49,70000,71000,83,834,80000,10000
1,50,80000,81000,83,834,90000,10000
1,51,90000,91000,83,834,100000,10000
1,52,100000,101000,83,834,110000,10000
1,53,110000,111000,83,834,120000,10000
1,54,120000,121000,83,834,130000,10000
1,55,130000,131000,83,834,140000,10000
1,56,140000,141000,83,834,150000,10000
1,57,150000,151000,83,834,160000,10000
1,58,160000,161000,83,834,170000,10000
1,59,170000,171000,83,834,180000,10000
1,60,180000,181000,83,834,190000,10000
1,61,190000,191000,83,834,200000,10000
1,62,200000,201000,83,834,210000,10000
1,63,210000,211000,83,834,220000,10000
1,64,220000,221000,83,834,230000,10000
1,65,230000,231000,83,834,240000,10000
1,66,240000,241000,83,834,250000,10000
1,67,250000,251000,83,834,260000,10000
1,68,260000,261000,83,834,270000,10000
1,69,270000,271000,83,834,280000,10000
1,70,280000,281000,83,834,290000,10000
1,71,290000,291000,83,834,300000,10000
1,72,300000,301000,83,834,310000,10000
1,73,310000,311000,83,834,320000,10000
1,74,320000,321000,83,834,330000,10000
1,75,330000,331000,83,834,340000,10000
1,76,340000,341000,83,834,350000,10000
1,77,350000,351000,83,834,360000,10000
1,78,360000,361000,83,834,370000,10000
1,79,370000,371000,83,834,380000,10000
1,80,380000,381000,83,834,390000,10000
1,81,390000,391000,83,834,400000,10000
1,82,400000,401000,83,834,410000,10000
1,83,410000,411000,83,834,420000,10000
2,84,0,1000,64,644,10000,10000
2,85,10000,11000,64,644,20000,10000
2,86,20000,21000,64,644,30000,10000
2,87,30000,31000,64,644,40000,10000
2,88,40000,41000,64,644,50000,10000
2,89,50000,51000,64,644,60000,10000
2,90,60000,61000,64,644,70000,10000
2,91,70000,71000,64,644,80000,10000
2,92,80000,81000,64,644,90000,10000
2,93,90000,91000,64,644,100000,10000
2,94,100000,101000,64,644,110000,10000
2,95,110000,111000,64,644,120000,10000
2,96,120000,121000,64,644,130000,10000
2,97,130000,131000,64,644,140000,10000
2,98,140000,141000,64,644,150000,10000
2,99,150000,151000,64,644,160000,10000
2,100,160000,161000,64,644,170000,10000
2,101,170000,171000,64,644,180000,10000
2,102,180000,181000,64,644,190000,10000
2,103,190000,191000,64,644,200000,10000
2,104,200000,201000,64,644,210000,10000
2,105,210000,211000,64,644,220000,10000
2,106,220000,221000,64,644,230000,10000
2,107,230000,231000,64,644,240000,10000
2,108,240000,241000,64,644,250000,10000
2,109,250000,251000,64,644,260000,10000
2,110,260000,261000,64,644,270000,10000
2,111,270000,271000,64,644,280000,10000
2,112,280000,281000,64,644,290000,10000
2,113,290000,291000,64,644,300000,10000
2,114,300000,301000,64,644,310000,10000
2,115,310000,311000,64,644,320000,10000
2,116,320000,321000,64,644,330000,10000
2,117,330000,331000,64,644,340000,10000
2,118,340000,341000,64,644,350000,10000
2,119,350000,351000,64,644,360000,10000
2,120,360000,361000,64,644,370000,10000
2,121,370000,371000,64,644,380000,10000
2,122,380000,381000,64,644,390000,10000
2,123,390000,391000,64,644,400000,10000
2,124,400000,401000,64,644,410000,10000
2,125,410000,411000,64,644,420000,10000
3,126,0,1000,48,481,10000,10000
3,127,10000,11000,48,481,20000,10000
3,128,20000,21000,48,481,30000,10000
3,129,30000,31000,48,481,40000,10000
3,130,40000,41000,48,481,50000,10000
3,131,50000,51000,48,481,60000,10000
3,132,60000,61000,48,481,70000,10000
3,133,70000,71000,48,481,80000,10000
3,134,80000,81000,48,481,90000,10000
3,135,90000,91000,48,481,100000,10000
3,136,100000,101000,48,481,110000,10000
3,137,110000,111000,48,481,120000,10000
3,138,120000,121000,48,481,130000,10000
3,139,130000,131000,48,481,140000,10000
3,140,140000,141000,48,481,150000,10000
3,141,150000,151000,48,481,160000,10000
3,142,160000,161000,48,481,170000,10000
3,143,170000,171000,48,481,180000,10000
3,144,180000,181000,48,481,190000,10000
3,145,190000,191000,48,481,200000,10000
3,146,200000,201000,48,481,210000,10000
3,147,210000,211000,48,481,220000,10000
3,148,220000,221000,48,481,230000,10000
3,149,230000,231000,48,481,240000,10000
3,150,240000,241000,48,481,250000,10000
3,151,250000,251000,48,481,260000,10000
3,152,260000,261000,48,481,270000,10000
3,153,270000,271000,48,481,280000,10000
3,154,280000,281000,48,481,290000,10000
3,155,290000,291000,48,481,300000,10000
3,156,300000,301000,48,481,310000,10000
3,157,310000,311000,48,481,320000,10000
3,158,320000,321000,48,481,330000,10000
3,159,330000,331000,48,481,340000,10000
3,160,340000,341000,48,481,350000,10000
3,161,350000,351000,48,481,360000,10000
3,162,360000,361000,48,481,370000,10000
3,163,370000,371000,48,481,380000,10000
3,164,380000,381000,48,481,390000,10000
3,165,390000,391000,48,481,400000,10000
3,166,400000,401000,48,481,410000,10000
3,167,410000,411000,48,481,420000,10000
4,168,0,1000,160,1598,10000,10000
4,169,10000,11000,160,1598,20000,10000
4,170,20000,21000,160,1598,30000,10000
4,171,30000,31000,160,1598,40000,10000
4,172,40000,41000,160,1598,50000,10000
4,173,50000,51000,160,1598,60000,10000
4,174,60000,61000,160,1598,70000,10000
4,175,70000,71000,160,1598,80000,10000
4,176,80000,81000,160,1598,90000,10000
4,177,90000,91000,160,1598,100000,10000
4,178,100000,101000,160,1598,110000,10000
4,179,110000,111000,160,1598,120000,10000
4,180,120000,121000,160,1598,130000,10000
4,181,130000,131000,160,1598,140000,10000
4,182,140000,141000,160,1598,150000,10000
4,183,150000,151000,160,1598,160000,10000
4,184,160000,161000,160,1598,170000,10000
4,185,170000,171000,160,1598,180000,10000
4,186,180000,181000,160,1598,190000,10000
4,187,190000,191000,160,1598,200000,10000
4,188,200000,201000,160,1598,210000,10000
4,189,210000,211000,160,1598,220000,10000
4,190,220000,221000,160,1598,230000,10000
4,191,230000,231000,160,1598,240000,10000
4,192,240000,241000,160,1598,250000,10000
4,193,250000,251000,160,1598,260000,10000
4,194,260000,261000,160,1598,270000,10000
4,195,270000,271000,160,1598,280000,10000
4,196,280000,281000,160,1598,290000,10000
4,197,290000,291000,160,1598,300000,10000
4,198,300000,301000,160,1598,310000,10000
4,199,310000,311000,160,1598,320000,10000
4,200,320000,321000,160,1598,330000,10000
4,201,330000,331000,160,1598,340000,10000
4,202,340000,341000,160,1598,350000,10000
4,203,350000,351000,160,1598,360000,10000
4,204,360000,361000,160,1598,370000,10000
4,205,370000,371000,160,1598,380000,10000
4,206,380000,381000,160,1598,390000,10000
4,207,390000,391000,160,1598,400000,10000
4,208,400000,401000,160,1598,410000,10000
4,209,410000,411000,160,1598,420000,10000
5,210,0,1000,169,1685,10000,10000
5,211,10000,11000,169,1685,20000,10000
5,212,20000,21000,169,1685,30000,10000
5,213,30000,31000,169,1685,40000,10000
5,214,40000,41000,169,1685,50000,10000
5,215,50000,51000,169,1685,60000,10000
5,216,60000,61000,169,1685,70000,10000
5,217,70000,71000,169,1685,80000,10000
5,218,80000,81000,169,1685,90000,10000
5,219,90000,91000,169,1685,100000,10000
5,220,100000,101000,169,1685,110000,10000
5,221,110000,111000,169,1685,120000,10000
5,222,120000,121000,169,1685,130000,10000
5,223,130000,131000,169,1685,140000,10000
5,224,140000,141000,169,1685,150000,10000
5,225,150000,151000,169,1685,160000,10000
5,226,160000,161000,169,1685,170000,10000
5,227,170000,171000,169,1685,180000,10000
5,228,180000,181000,169,1685,190000,10000
5,229,190000,191000,169,1685,200000,10000
5,230,200000,201000,169,1685,210000,10000
5,231,210000,211000,169,1685,220000,10000
5,232,220000,221000,169,1685,230000,10000
5,233,230000,231000,169,1685,240000,10000
5,234,240000,241000,169,1685,250000,10000
5,235,250000,251000,169,1685,260000,10000
5,236,260000,261000,169,1685,270000,10000
5,237,270000,271000,169,1685,280000,10000
5,238,280000,281000,169,1685,290000,10000
5,239,290000,291000,169,1685,300000,10000
5,240,300000,301000,169,1685,310000,10000
5,241,310000,311000,169,1685,320000,10000
5,242,320000,321000,169,1685,330000,10000
5,243,330000,331000,169,1685,340000,10000
5,244,340000,341000,169,1685,350000,10000
5,245,350000,351000,169,1685,360000,10000
5,246,360000,361000,169,1685,370000,10000
5,247,370000,371000,169,1685,380000,10000
5,248,380000,381000,169,1685,390000,10000
5,249,390000,391000,169,1685,400000,10000
5,250,400000,401000,169,1685,410000,10000
