From TID,From JID,To TID,To JID
0,0,2,84
0,0,7,294
0,0,4,168
0,0,5,210
0,1,2,85
0,1,7,295
0,1,4,169
0,1,5,211
0,2,2,86
0,2,7,296
0,2,4,170
0,2,5,212
0,3,2,87
0,3,7,297
0,3,4,171
0,3,5,213
0,4,2,88
0,4,7,298
0,4,4,172
0,4,5,214
0,5,2,89
0,5,7,299
0,5,4,173
0,5,5,215
0,6,2,90
0,6,7,300
0,6,4,174
0,6,5,216
0,7,2,91
0,7,7,301
0,7,4,175
0,7,5,217
0,8,2,92
0,8,7,302
0,8,4,176
0,8,5,218
0,9,2,93
0,9,7,303
0,9,4,177
0,9,5,219
0,10,2,94
0,10,7,304
0,10,4,178
0,10,5,220
0,11,2,95
0,11,7,305
0,11,4,179
0,11,5,221
0,12,2,96
0,12,7,306
0,12,4,180
0,12,5,222
0,13,2,97
0,13,7,307
0,13,4,181
0,13,5,223
0,14,2,98
0,14,7,308
0,14,4,182
0,14,5,224
0,15,2,99
0,15,7,309
0,15,4,183
0,15,5,225
0,16,2,100
0,16,7,310
0,16,4,184
0,16,5,226
0,17,2,101
0,17,7,311
0,17,4,185
0,17,5,227
0,18,2,102
0,18,7,312
0,18,4,186
0,18,5,228
0,19,2,103
0,19,7,313
0,19,4,187
0,19,5,229
0,20,2,104
0,20,7,314
0,20,4,188
0,20,5,230
0,21,2,105
0,21,7,315
0,21,4,189
0,21,5,231
0,22,2,106
0,22,7,316
0,22,4,190
0,22,5,232
0,23,2,107
0,23,7,317
0,23,4,191
0,23,5,233
0,24,2,108
0,24,7,318
0,24,4,192
0,24,5,234
0,25,2,109
0,25,7,319
0,25,4,193
0,25,5,235
0,26,2,110
0,26,7,320
0,26,4,194
0,26,5,236
0,27,2,111
0,27,7,321
0,27,4,195
0,27,5,237
0,28,2,112
0,28,7,322
0,28,4,196
0,28,5,238
0,29,2,113
0,29,7,323
0,29,4,197
0,29,5,239
0,30,2,114
0,30,7,324
0,30,4,198
0,30,5,240
0,31,2,115
0,31,7,325
0,31,4,199
0,31,5,241
0,32,2,116
0,32,7,326
0,32,4,200
0,32,5,242
0,33,2,117
0,33,7,327
0,33,4,201
0,33,5,243
0,34,2,118
0,34,7,328
0,34,4,202
0,34,5,244
0,35,2,119
0,35,7,329
0,35,4,203
0,35,5,245
0,36,2,120
0,36,7,330
0,36,4,204
0,36,5,246
0,37,2,121
0,37,7,331
0,37,4,205
0,37,5,247
0,38,2,122
0,38,7,332
0,38,4,206
0,38,5,248
0,39,2,123
0,39,7,333
0,39,4,207
0,39,5,249
0,40,2,124
0,40,7,334
0,40,4,208
0,40,5,250
0,41,2,125
0,41,7,335
0,41,4,209
0,41,5,251
2,84,4,168
2,84,5,210
2,84,6,252
2,85,4,169
2,85,5,211
2,85,6,253
2,86,4,170
2,86,5,212
2,86,6,254
2,87,4,171
2,87,5,213
2,87,6,255
2,88,4,172
2,88,5,214
2,88,6,256
2,89,4,173
2,89,5,215
2,89,6,257
2,90,4,174
2,90,5,216
2,90,6,258
2,91,4,175
2,91,5,217
2,91,6,259
2,92,4,176
2,92,5,218
2,92,6,260
2,93,4,177
2,93,5,219
2,93,6,261
2,94,4,178
2,94,5,220
2,94,6,262
2,95,4,179
2,95,5,221
2,95,6,263
2,96,4,180
2,96,5,222
2,96,6,264
2,97,4,181
2,97,5,223
2,97,6,265
2,98,4,182
2,98,5,224
2,98,6,266
2,99,4,183
2,99,5,225
2,99,6,267
2,100,4,184
2,100,5,226
2,100,6,268
2,101,4,185
2,101,5,227
2,101,6,269
2,102,4,186
2,102,5,228
2,102,6,270
2,103,4,187
2,103,5,229
2,103,6,271
2,104,4,188
2,104,5,230
2,104,6,272
2,105,4,189
2,105,5,231
2,105,6,273
2,106,4,190
2,106,5,232
2,106,6,274
2,107,4,191
2,107,5,233
2,107,6,275
2,108,4,192
2,108,5,234
2,108,6,276
2,109,4,193
2,109,5,235
2,109,6,277
2,110,4,194
2,110,5,236
2,110,6,278
2,111,4,195
2,111,5,237
2,111,6,279
2,112,4,196
2,112,5,238
2,112,6,280
2,113,4,197
2,113,5,239
2,113,6,281
2,114,4,198
2,114,5,240
2,114,6,282
2,115,4,199
2,115,5,241
2,115,6,283
2,116,4,200
2,116,5,242
2,116,6,284
2,117,4,201
2,117,5,243
2,117,6,285
2,118,4,202
2,118,5,244
2,118,6,286
2,119,4,203
2,119,5,245
2,119,6,287
2,120,4,204
2,120,5,246
2,120,6,288
2,121,4,205
2,121,5,247
2,121,6,289
2,122,4,206
2,122,5,248
2,122,6,290
2,123,4,207
2,123,5,249
2,123,6,291
2,124,4,208
2,124,5,250
2,124,6,292
2,125,4,209
2,125,5,251
2,125,6,293
3,126,1,42
3,127,1,43
3,128,1,44
3,129,1,45
3,130,1,46
3,131,1,47
3,132,1,48
3,133,1,49
3,134,1,50
3,135,1,51
3,136,1,52
3,137,1,53
3,138,1,54
3,139,1,55
3,140,1,56
3,141,1,57
3,142,1,58
3,143,1,59
3,144,1,60
3,145,1,61
3,146,1,62
3,147,1,63
3,148,1,64
3,149,1,65
3,150,1,66
3,151,1,67
3,152,1,68
3,153,1,69
3,154,1,70
3,155,1,71
3,156,1,72
3,157,1,73
3,158,1,74
3,159,1,75
3,160,1,76
3,161,1,77
3,162,1,78
3,163,1,79
3,164,1,80
3,165,1,81
3,166,1,82
3,167,1,83
4,168,3,126
4,168,1,42
4,169,3,127
4,169,1,43
4,170,3,128
4,170,1,44
4,171,3,129
4,171,1,45
4,172,3,130
4,172,1,46
4,173,3,131
4,173,1,47
4,174,3,132
4,174,1,48
4,175,3,133
4,175,1,49
4,176,3,134
4,176,1,50
4,177,3,135
4,177,1,51
4,178,3,136
4,178,1,52
4,179,3,137
4,179,1,53
4,180,3,138
4,180,1,54
4,181,3,139
4,181,1,55
4,182,3,140
4,182,1,56
4,183,3,141
4,183,1,57
4,184,3,142
4,184,1,58
4,185,3,143
4,185,1,59
4,186,3,144
4,186,1,60
4,187,3,145
4,187,1,61
4,188,3,146
4,188,1,62
4,189,3,147
4,189,1,63
4,190,3,148
4,190,1,64
4,191,3,149
4,191,1,65
4,192,3,150
4,192,1,66
4,193,3,151
4,193,1,67
4,194,3,152
4,194,1,68
4,195,3,153
4,195,1,69
4,196,3,154
4,196,1,70
4,197,3,155
4,197,1,71
4,198,3,156
4,198,1,72
4,199,3,157
4,199,1,73
4,200,3,158
4,200,1,74
4,201,3,159
