Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,6000,1068,10681,60000,60000
0,1,60000,66000,1068,10681,120000,60000
0,2,120000,126000,1068,10681,180000,60000
0,3,180000,186000,1068,10681,240000,60000
0,4,240000,246000,1068,10681,300000,60000
0,5,300000,306000,1068,10681,360000,60000
0,6,360000,366000,1068,10681,420000,60000
1,7,0,6000,385,3852,60000,60000
1,8,60000,66000,385,3852,120000,60000
1,9,120000,126000,385,3852,180000,60000
1,10,180000,186000,385,3852,240000,60000
1,11,240000,246000,385,3852,300000,60000
1,12,300000,306000,385,3852,360000,60000
1,13,360000,366000,385,3852,420000,60000
2,14,0,6000,2022,20228,60000,60000
2,15,60000,66000,2022,20228,120000,60000
2,16,120000,126000,2022,20228,180000,60000
2,17,180000,186000,2022,20228,240000,60000
2,18,240000,246000,2022,20228,300000,60000
2,19,300000,306000,2022,20228,360000,60000
2,20,360000,366000,2022,20228,420000,60000
3,21,0,6000,852,8516,60000,60000
3,22,60000,66000,852,8516,120000,60000
3,23,120000,126000,852,8516,180000,60000
3,24,180000,186000,852,8516,240000,60000
3,25,240000,246000,852,8516,300000,60000
3,26,300000,306000,852,8516,360000,60000
3,27,360000,366000,852,8516,420000,60000
4,28,0,6000,505,5049,60000,60000
4,29,60000,66000,505,5049,120000,60000
4,30,120000,126000,505,5049,180000,60000
4,31,180000,186000,505,5049,240000,60000
4,32,240000,246000,505,5049,300000,60000
4,33,300000,306000,505,5049,360000,60000
4,34,360000,366000,505,5049,420000,60000
5,35,0,6000,88,881,60000,60000
5,36,60000,66000,88,881,120000,60000
5,37,120000,126000,88,881,180000,60000
5,38,180000,186000,88,881,240000,60000
5,39,240000,246000,88,881,300000,60000
5,40,300000,306000,88,881,360000,60000
5,41,360000,366000,88,881,420000,60000
6,42,0,6000,640,6383,60000,60000
6,43,60000,66000,640,6383,120000,60000
6,44,120000,126000,640,6383,180000,60000
6,45,180000,186000,640,6383,240000,60000
6,46,240000,246000,640,6383,300000,60000
6,47,300000,306000,640,6383,360000,60000
6,48,360000,366000,640,6383,420000,60000
7,49,0,6000,319,3192,60000,60000
7,50,60000,66000,319,3192,120000,60000
7,51,120000,126000,319,3192,180000,60000
7,52,180000,186000,319,3192,240000,60000
7,53,240000,246000,319,3192,300000,60000
7,54,300000,306000,319,3192,360000,60000
7,55,360000,366000,319,3192,420000,60000
8,56,0,6000,494,4944,60000,60000
8,57,60000,66000,494,4944,120000,60000
8,58,120000,126000,494,4944,180000,60000
8,59,180000,186000,494,4944,240000,60000
8,60,240000,246000,494,4944,300000,60000
8,61,300000,306000,494,4944,360000,60000
8,62,360000,366000,494,4944,420000,60000
9,63,0,6000,97,971,60000,60000
9,64,60000,66000,97,971,120000,60000
9,65,120000,126000,97,971,180000,60000
9,66,180000,186000,97,971,240000,60000
9,67,240000,246000,97,971,300000,60000
9,68,300000,306000,97,971,360000,60000
9,69,360000,366000,97,971,420000,60000
10,70,0,6000,318,3180,60000,60000
10,71,60000,66000,318,3180,120000,60000
10,72,120000,126000,318,3180,180000,60000
10,73,180000,186000,318,3180,240000,60000
10,74,240000,246000,318,3180,300000,60000
10,75,300000,306000,318,3180,360000,60000
10,76,360000,366000,318,3180,420000,60000
11,77,0,6000,133,1334,60000,60000
11,78,60000,66000,133,1334,120000,60000
11,79,120000,126000,133,1334,180000,60000
11,80,180000,186000,133,1334,240000,60000
11,81,240000,246000,133,1334,300000,60000
11,82,300000,306000,133,1334,360000,60000
11,83,360000,366000,133,1334,420000,60000
12,84,0,6000,592,5922,60000,60000
12,85,60000,66000,592,5922,120000,60000
12,86,120000,126000,592,5922,180000,60000
12,87,180000,186000,592,5922,240000,60000
12,88,240000,246000,592,5922,300000,60000
