Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,18,180,10000,10000
0,1,10000,11000,18,180,20000,10000
0,2,20000,21000,18,180,30000,10000
0,3,30000,31000,18,180,40000,10000
0,4,40000,41000,18,180,50000,10000
0,5,50000,51000,18,180,60000,10000
0,6,60000,61000,18,180,70000,10000
0,7,70000,71000,18,180,80000,10000
0,8,80000,81000,18,180,90000,10000
0,9,90000,91000,18,180,100000,10000
0,10,100000,101000,18,180,110000,10000
0,11,110000,111000,18,180,120000,10000
1,12,0,1000,43,436,10000,10000
1,13,10000,11000,43,436,20000,10000
1,14,20000,21000,43,436,30000,10000
1,15,30000,31000,43,436,40000,10000
1,16,40000,41000,43,436,50000,10000
1,17,50000,51000,43,436,60000,10000
1,18,60000,61000,43,436,70000,10000
1,19,70000,71000,43,436,80000,10000
1,20,80000,81000,43,436,90000,10000
1,21,90000,91000,43,436,100000,10000
1,22,100000,101000,43,436,110000,10000
1,23,110000,111000,43,436,120000,10000
2,24,0,1000,24,240,10000,10000
2,25,10000,11000,24,240,20000,10000
2,26,20000,21000,24,240,30000,10000
2,27,30000,31000,24,240,40000,10000
2,28,40000,41000,24,240,50000,10000
2,29,50000,51000,24,240,60000,10000
2,30,60000,61000,24,240,70000,10000
2,31,70000,71000,24,240,80000,10000
2,32,80000,81000,24,240,90000,10000
2,33,90000,91000,24,240,100000,10000
2,34,100000,101000,24,240,110000,10000
2,35,110000,111000,24,240,120000,10000
3,36,0,1000,8,77,10000,10000
3,37,10000,11000,8,77,20000,10000
3,38,20000,21000,8,77,30000,10000
3,39,30000,31000,8,77,40000,10000
3,40,40000,41000,8,77,50000,10000
3,41,50000,51000,8,77,60000,10000
3,42,60000,61000,8,77,70000,10000
3,43,70000,71000,8,77,80000,10000
3,44,80000,81000,8,77,90000,10000
3,45,90000,91000,8,77,100000,10000
3,46,100000,101000,8,77,110000,10000
3,47,110000,111000,8,77,120000,10000
4,48,0,1000,21,213,10000,10000
4,49,10000,11000,21,213,20000,10000
4,50,20000,21000,21,213,30000,10000
4,51,30000,31000,21,213,40000,10000
4,52,40000,41000,21,213,50000,10000
4,53,50000,51000,21,213,60000,10000
4,54,60000,61000,21,213,70000,10000
4,55,70000,71000,21,213,80000,10000
4,56,80000,81000,21,213,90000,10000
4,57,90000,91000,21,213,100000,10000
4,58,100000,101000,21,213,110000,10000
4,59,110000,111000,21,213,120000,10000
5,60,0,1000,173,1727,10000,10000
5,61,10000,11000,173,1727,20000,10000
5,62,20000,21000,173,1727,30000,10000
5,63,30000,31000,173,1727,40000,10000
5,64,40000,41000,173,1727,50000,10000
5,65,50000,51000,173,1727,60000,10000
5,66,60000,61000,173,1727,70000,10000
5,67,70000,71000,173,1727,80000,10000
5,68,80000,81000,173,1727,90000,10000
5,69,90000,91000,173,1727,100000,10000
5,70,100000,101000,173,1727,110000,10000
5,71,110000,111000,173,1727,120000,10000
6,72,0,1000,147,1468,10000,10000
6,73,10000,11000,147,1468,20000,10000
6,74,20000,21000,147,1468,30000,10000
6,75,30000,31000,147,1468,40000,10000
6,76,40000,41000,147,1468,50000,10000
6,77,50000,51000,147,1468,60000,10000
6,78,60000,61000,147,1468,70000,10000
6,79,70000,71000,147,1468,80000,10000
6,80,80000,81000,147,1468,90000,10000
6,81,90000,91000,147,1468,100000,10000
6,82,100000,101000,147,1468,110000,10000
6,83,110000,111000,147,1468,120000,10000
7,84,0,1000,23,233,10000,10000
7,85,10000,11000,23,233,20000,10000
7,86,20000,21000,23,233,30000,10000
7,87,30000,31000,23,233,40000,10000
7,88,40000,41000,23,233,50000,10000
7,89,50000,51000,23,233,60000,10000
7,90,60000,61000,23,233,70000,10000
7,91,70000,71000,23,233,80000,10000
7,92,80000,81000,23,233,90000,10000
7,93,90000,91000,23,233,100000,10000
7,94,100000,101000,23,233,110000,10000
7,95,110000,111000,23,233,120000,10000
8,96,0,1000,45,455,10000,10000
8,97,10000,11000,45,455,20000,10000
8,98,20000,21000,45,455,30000,10000
8,99,30000,31000,45,455,40000,10000
8,100,40000,41000,45,455,50000,10000
8,101,50000,51000,45,455,60000,10000
8,102,60000,61000,45,455,70000,10000
8,103,70000,71000,45,455,80000,10000
8,104,80000,81000,45,455,90000,10000
8,105,90000,91000,45,455,100000,10000
8,106,100000,101000,45,455,110000,10000
8,107,110000,111000,45,455,120000,10000
9,108,0,1000,139,1387,10000,10000
9,109,10000,11000,139,1387,20000,10000
9,110,20000,21000,139,1387,30000,10000
9,111,30000,31000,139,1387,40000,10000
9,112,40000,41000,139,1387,50000,10000
9,113,50000,51000,139,1387,60000,10000
9,114,60000,61000,139,1387,70000,10000
9,115,70000,71000,139,1387,80000,10000
9,116,80000,81000,139,1387,90000,10000
9,117,90000,91000,139,1387,100000,10000
9,118,100000,101000,139,1387,110000,10000
9,119,110000,111000,139,1387,120000,10000
10,120,0,3000,68,674,30000,30000
10,121,30000,33000,68,674,60000,30000
10,122,60000,63000,68,674,90000,30000
10,123,90000,93000,68,674,120000,30000
11,124,0,3000,338,3377,30000,30000
11,125,30000,33000,338,3377,60000,30000
11,126,60000,63000,338,3377,90000,30000
11,127,90000,93000,338,3377,120000,30000
12,128,0,3000,419,4191,30000,30000
12,129,30000,33000,419,4191,60000,30000
12,130,60000,63000,419,4191,90000,30000
12,131,90000,93000,419,4191,120000,30000
13,132,0,3000,196,1962,30000,30000
13,133,30000,33000,196,1962,60000,30000
13,134,60000,63000,196,1962,90000,30000
13,135,90000,93000,196,1962,120000,30000
14,136,0,3000,47,467,30000,30000
14,137,30000,33000,47,467,60000,30000
14,138,60000,63000,47,467,90000,30000
14,139,90000,93000,47,467,120000,30000
15,140,0,3000,81,810,30000,30000
15,141,30000,33000,81,810,60000,30000
15,142,60000,63000,81,810,90000,30000
15,143,90000,93000,81,810,120000,30000
16,144,0,3000,250,2504,30000,30000
16,145,30000,33000,250,2504,60000,30000
16,146,60000,63000,250,2504,90000,30000
16,147,90000,93000,250,2504,120000,30000
17,148,0,3000,491,4909,30000,30000
17,149,30000,33000,491,4909,60000,30000
17,150,60000,63000,491,4909,90000,30000
17,151,90000,93000,491,4909,120000,30000
18,152,0,3000,331,3310,30000,30000
18,153,30000,33000,331,3310,60000,30000
18,154,60000,63000,331,3310,90000,30000
18,155,90000,93000,331,3310,120000,30000
19,156,0,3000,209,2095,30000,30000
19,157,30000,33000,209,2095,60000,30000
19,158,60000,63000,209,2095,90000,30000
19,159,90000,93000,209,2095,120000,30000
20,160,0,3000,221,2213,30000,30000
20,161,30000,33000,221,2213,60000,30000
20,162,60000,63000,221,2213,90000,30000
20,163,90000,93000,221,2213,120000,30000
21,164,0,12000,344,3439,120000,120000
22,165,0,12000,348,3480,120000,120000
23,166,0,12000,126,1260,120000,120000
24,167,0,12000,270,2702,120000,120000
25,168,0,12000,450,4499,120000,120000
26,169,0,12000,95,942,120000,120000
27,170,0,12000,94,943,120000,120000
28,171,0,12000,68,683,120000,120000
29,172,0,12000,328,3284,120000,120000
30,173,0,12000,443,4422,120000,120000
31,174,0,12000,416,4161,120000,120000
32,175,0,12000,309,3095,120000,120000
