From TID,From JID,To TID,To JID
0,0,2,24
0,0,3,36
0,0,4,48
0,0,1,12
0,1,2,25
0,1,3,37
0,1,4,49
0,1,1,13
0,2,2,26
0,2,3,38
0,2,4,50
0,2,1,14
0,3,2,27
0,3,3,39
0,3,4,51
0,3,1,15
0,4,2,28
0,4,3,40
0,4,4,52
0,4,1,16
0,5,2,29
0,5,3,41
0,5,4,53
0,5,1,17
0,6,2,30
0,6,3,42
0,6,4,54
0,6,1,18
0,7,2,31
0,7,3,43
0,7,4,55
0,7,1,19
0,8,2,32
0,8,3,44
0,8,4,56
0,8,1,20
0,9,2,33
0,9,3,45
0,9,4,57
0,9,1,21
0,10,2,34
0,10,3,46
0,10,4,58
0,10,1,22
0,11,2,35
0,11,3,47
0,11,4,59
0,11,1,23
2,24,1,12
2,25,1,13
2,26,1,14
2,27,1,15
2,28,1,16
2,29,1,17
2,30,1,18
2,31,1,19
2,32,1,20
2,33,1,21
2,34,1,22
2,35,1,23
3,36,1,12
3,37,1,13
3,38,1,14
3,39,1,15
3,40,1,16
3,41,1,17
3,42,1,18
3,43,1,19
3,44,1,20
3,45,1,21
3,46,1,22
3,47,1,23
4,48,1,12
4,49,1,13
4,50,1,14
4,51,1,15
4,52,1,16
4,53,1,17
4,54,1,18
4,55,1,19
4,56,1,20
4,57,1,21
4,58,1,22
4,59,1,23
5,60,7,84
5,60,8,96
5,60,9,108
5,60,6,72
5,61,7,85
5,61,8,97
5,61,9,109
5,61,6,73
5,62,7,86
5,62,8,98
5,62,9,110
5,62,6,74
5,63,7,87
5,63,8,99
5,63,9,111
5,63,6,75
5,64,7,88
5,64,8,100
5,64,9,112
5,64,6,76
5,65,7,89
5,65,8,101
5,65,9,113
5,65,6,77
5,66,7,90
5,66,8,102
5,66,9,114
5,66,6,78
5,67,7,91
5,67,8,103
5,67,9,115
5,67,6,79
5,68,7,92
5,68,8,104
5,68,9,116
5,68,6,80
5,69,7,93
5,69,8,105
5,69,9,117
5,69,6,81
5,70,7,94
5,70,8,106
5,70,9,118
5,70,6,82
5,71,7,95
5,71,8,107
5,71,9,119
5,71,6,83
7,84,6,72
7,85,6,73
7,86,6,74
7,87,6,75
7,88,6,76
7,89,6,77
7,90,6,78
7,91,6,79
7,92,6,80
7,93,6,81
7,94,6,82
7,95,6,83
8,96,6,72
8,97,6,73
8,98,6,74
8,99,6,75
8,100,6,76
8,101,6,77
8,102,6,78
8,103,6,79
8,104,6,80
8,105,6,81
8,106,6,82
8,107,6,83
9,108,6,72
9,109,6,73
9,110,6,74
9,111,6,75
9,112,6,76
9,113,6,77
9,114,6,78
9,115,6,79
9,116,6,80
9,117,6,81
9,118,6,82
9,119,6,83
10,120,12,128
10,120,13,132
10,120,11,124
10,120,16,144
10,120,18,152
10,120,19,156
10,121,12,129
10,121,13,133
10,121,11,125
10,121,16,145
10,121,18,153
10,121,19,157
10,122,12,130
10,122,13,134
10,122,11,126
10,122,16,146
10,122,18,154
10,122,19,158
10,123,12,131
10,123,13,135
10,123,11,127
10,123,16,147
10,123,18,155
10,123,19,159
12,128,11,124
12,128,14,136
12,128,15,140
12,128,18,152
12,128,19,156
12,128,20,160
12,129,11,125
12,129,14,137
12,129,15,141
12,129,18,153
12,129,19,157
12,129,20,161
12,130,11,126
12,130,14,138
12,130,15,142
12,130,18,154
12,130,19,158
12,130,20,162
12,131,11,127
12,131,14,139
12,131,15,143
12,131,18,155
12,131,19,159
12,131,20,163
13,132,15,140
13,132,20,160
13,132,11,124
13,132,14,136
13,132,16,144
13,132,17,148
13,132,19,156
13,133,15,141
13,133,20,161
13,133,11,125
13,133,14,137
13,133,16,145
13,133,17,149
13,133,19,157
13,134,15,142
13,134,20,162
13,134,11,126
13,134,14,138
13,134,16,146
13,134,17,150
13,134,19,158
13,135,15,143
13,135,20,163
13,135,11,127
13,135,14,139
13,135,16,147
13,135,17,151
13,135,19,159
14,136,11,124
14,137,11,125
14,138,11,126
14,139,11,127
15,140,17,148
15,140,18,152
15,140,19,156
15,141,17,149
15,141,18,153
15,141,19,157
15,142,17,150
15,142,18,154
15,142,19,158
15,143,17,151
15,143,18,155
15,143,19,159
16,144,14,136
16,144,11,124
16,145,14,137
16,145,11,125
16,146,14,138
16,146,11,126
16,147,14,139
16,147,11,127
17,148,16,144
17,148,11,124
17,149,16,145
17,149,11,125
17,150,16,146
17,150,11,126
17,151,16,147
17,151,11,127
18,152,16,144
18,152,11,124
18,153,16,145
18,153,11,125
18,154,16,146
18,154,11,126
18,155,16,147
18,155,11,127
19,156,16,144
19,156,11,124
19,157,16,145
19,157,11,125
19,158,16,146
19,158,11,126
19,159,16,147
19,159,11,127
20,160,14,136
20,160,11,124
20,160,18,152
20,160,19,156
20,161,14,137
20,161,11,125
20,161,18,153
20,161,19,157
20,162,14,138
20,162,11,126
20,162,18,154
20,162,19,158
20,163,14,139
20,163,11,127
20,163,18,155
20,163,19,159
21,164,23,166
21,164,31,174
21,164,32,175
21,164,27,170
21,164,28,171
23,166,25,168
23,166,29,172
23,166,30,173
23,166,24,167
23,166,26,169
23,166,27,170
23,166,28,171
24,167,22,165
25,168,27,170
25,168,28,171
25,168,22,165
25,168,24,167
25,168,26,169
26,169,24,167
26,169,22,165
27,170,26,169
28,171,26,169
29,172,24,167
29,172,22,165
29,172,27,170
29,172,28,171
30,173,24,167
30,173,22,165
30,173,27,170
31,174,22,165
31,174,24,167
31,174,28,171
32,175,22,165
32,175,24,167
32,175,25,168
32,175,27,170
32,175,30,173
