Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,262,2625,20000,20000
0,1,20000,22000,262,2625,40000,20000
0,2,40000,42000,262,2625,60000,20000
0,3,60000,62000,262,2625,80000,20000
0,4,80000,82000,262,2625,100000,20000
0,5,100000,102000,262,2625,120000,20000
0,6,120000,122000,262,2625,140000,20000
0,7,140000,142000,262,2625,160000,20000
0,8,160000,162000,262,2625,180000,20000
0,9,180000,182000,262,2625,200000,20000
0,10,200000,202000,262,2625,220000,20000
0,11,220000,222000,262,2625,240000,20000
0,12,240000,242000,262,2625,260000,20000
0,13,260000,262000,262,2625,280000,20000
0,14,280000,282000,262,2625,300000,20000
0,15,300000,302000,262,2625,320000,20000
0,16,320000,322000,262,2625,340000,20000
0,17,340000,342000,262,2625,360000,20000
0,18,360000,362000,262,2625,380000,20000
0,19,380000,382000,262,2625,400000,20000
0,20,400000,402000,262,2625,420000,20000
1,21,0,2000,83,826,20000,20000
1,22,20000,22000,83,826,40000,20000
1,23,40000,42000,83,826,60000,20000
1,24,60000,62000,83,826,80000,20000
1,25,80000,82000,83,826,100000,20000
1,26,100000,102000,83,826,120000,20000
1,27,120000,122000,83,826,140000,20000
1,28,140000,142000,83,826,160000,20000
1,29,160000,162000,83,826,180000,20000
1,30,180000,182000,83,826,200000,20000
1,31,200000,202000,83,826,220000,20000
1,32,220000,222000,83,826,240000,20000
1,33,240000,242000,83,826,260000,20000
1,34,260000,262000,83,826,280000,20000
1,35,280000,282000,83,826,300000,20000
1,36,300000,302000,83,826,320000,20000
1,37,320000,322000,83,826,340000,20000
1,38,340000,342000,83,826,360000,20000
1,39,360000,362000,83,826,380000,20000
1,40,380000,382000,83,826,400000,20000
1,41,400000,402000,83,826,420000,20000
2,42,0,2000,19,188,20000,20000
2,43,20000,22000,19,188,40000,20000
2,44,40000,42000,19,188,60000,20000
2,45,60000,62000,19,188,80000,20000
2,46,80000,82000,19,188,100000,20000
2,47,100000,102000,19,188,120000,20000
2,48,120000,122000,19,188,140000,20000
2,49,140000,142000,19,188,160000,20000
2,50,160000,162000,19,188,180000,20000
2,51,180000,182000,19,188,200000,20000
2,52,200000,202000,19,188,220000,20000
2,53,220000,222000,19,188,240000,20000
2,54,240000,242000,19,188,260000,20000
2,55,260000,262000,19,188,280000,20000
2,56,280000,282000,19,188,300000,20000
2,57,300000,302000,19,188,320000,20000
2,58,320000,322000,19,188,340000,20000
2,59,340000,342000,19,188,360000,20000
2,60,360000,362000,19,188,380000,20000
2,61,380000,382000,19,188,400000,20000
2,62,400000,402000,19,188,420000,20000
3,63,0,2000,169,1693,20000,20000
3,64,20000,22000,169,1693,40000,20000
3,65,40000,42000,169,1693,60000,20000
3,66,60000,62000,169,1693,80000,20000
3,67,80000,82000,169,1693,100000,20000
3,68,100000,102000,169,1693,120000,20000
3,69,120000,122000,169,1693,140000,20000
3,70,140000,142000,169,1693,160000,20000
3,71,160000,162000,169,1693,180000,20000
3,72,180000,182000,169,1693,200000,20000
3,73,200000,202000,169,1693,220000,20000
3,74,220000,222000,169,1693,240000,20000
3,75,240000,242000,169,1693,260000,20000
3,76,260000,262000,169,1693,280000,20000
3,77,280000,282000,169,1693,300000,20000
3,78,300000,302000,169,1693,320000,20000
3,79,320000,322000,169,1693,340000,20000
3,80,340000,342000,169,1693,360000,20000
3,81,360000,362000,169,1693,380000,20000
3,82,380000,382000,169,1693,400000,20000
3,83,400000,402000,169,1693,420000,20000
4,84,0,2000,85,853,20000,20000
4,85,20000,22000,85,853,40000,20000
4,86,40000,42000,85,853,60000,20000
4,87,60000,62000,85,853,80000,20000
4,88,80000,82000,85,853,100000,20000
4,89,100000,102000,85,853,120000,20000
4,90,120000,122000,85,853,140000,20000
4,91,140000,142000,85,853,160000,20000
4,92,160000,162000,85,853,180000,20000
4,93,180000,182000,85,853,200000,20000
4,94,200000,202000,85,853,220000,20000
4,95,220000,222000,85,853,240000,20000
4,96,240000,242000,85,853,260000,20000
4,97,260000,262000,85,853,280000,20000
4,98,280000,282000,85,853,300000,20000
4,99,300000,302000,85,853,320000,20000
4,100,320000,322000,85,853,340000,20000
4,101,340000,342000,85,853,360000,20000
4,102,360000,362000,85,853,380000,20000
4,103,380000,382000,85,853,400000,20000
4,104,400000,402000,85,853,420000,20000
5,105,0,2000,347,3474,20000,20000
5,106,20000,22000,347,3474,40000,20000
5,107,40000,42000,347,3474,60000,20000
5,108,60000,62000,347,3474,80000,20000
5,109,80000,82000,347,3474,100000,20000
5,110,100000,102000,347,3474,120000,20000
5,111,120000,122000,347,3474,140000,20000
5,112,140000,142000,347,3474,160000,20000
5,113,160000,162000,347,3474,180000,20000
5,114,180000,182000,347,3474,200000,20000
5,115,200000,202000,347,3474,220000,20000
5,116,220000,222000,347,3474,240000,20000
5,117,240000,242000,347,3474,260000,20000
5,118,260000,262000,347,3474,280000,20000
5,119,280000,282000,347,3474,300000,20000
5,120,300000,302000,347,3474,320000,20000
5,121,320000,322000,347,3474,340000,20000
5,122,340000,342000,347,3474,360000,20000
5,123,360000,362000,347,3474,380000,20000
5,124,380000,382000,347,3474,400000,20000
5,125,400000,402000,347,3474,420000,20000
6,126,0,2000,263,2635,20000,20000
6,127,20000,22000,263,2635,40000,20000
6,128,40000,42000,263,2635,60000,20000
6,129,60000,62000,263,2635,80000,20000
6,130,80000,82000,263,2635,100000,20000
6,131,100000,102000,263,2635,120000,20000
6,132,120000,122000,263,2635,140000,20000
6,133,140000,142000,263,2635,160000,20000
6,134,160000,162000,263,2635,180000,20000
6,135,180000,182000,263,2635,200000,20000
6,136,200000,202000,263,2635,220000,20000
6,137,220000,222000,263,2635,240000,20000
6,138,240000,242000,263,2635,260000,20000
6,139,260000,262000,263,2635,280000,20000
6,140,280000,282000,263,2635,300000,20000
6,141,300000,302000,263,2635,320000,20000
6,142,320000,322000,263,2635,340000,20000
6,143,340000,342000,263,2635,360000,20000
6,144,360000,362000,263,2635,380000,20000
6,145,380000,382000,263,2635,400000,20000
6,146,400000,402000,263,2635,420000,20000
7,147,0,2000,132,1316,20000,20000
7,148,20000,22000,132,1316,40000,20000
7,149,40000,42000,132,1316,60000,20000
7,150,60000,62000,132,1316,80000,20000
7,151,80000,82000,132,1316,100000,20000
7,152,100000,102000,132,1316,120000,20000
7,153,120000,122000,132,1316,140000,20000
7,154,140000,142000,132,1316,160000,20000
7,155,160000,162000,132,1316,180000,20000
7,156,180000,182000,132,1316,200000,20000
7,157,200000,202000,132,1316,220000,20000
7,158,220000,222000,132,1316,240000,20000
7,159,240000,242000,132,1316,260000,20000
7,160,260000,262000,132,1316,280000,20000
7,161,280000,282000,132,1316,300000,20000
7,162,300000,302000,132,1316,320000,20000
7,163,320000,322000,132,1316,340000,20000
7,164,340000,342000,132,1316,360000,20000
7,165,360000,362000,132,1316,380000,20000
7,166,380000,382000,132,1316,400000,20000
7,167,400000,402000,132,1316,420000,20000
8,168,0,2000,49,487,20000,20000
8,169,20000,22000,49,487,40000,20000
8,170,40000,42000,49,487,60000,20000
8,171,60000,62000,49,487,80000,20000
8,172,80000,82000,49,487,100000,20000
8,173,100000,102000,49,487,120000,20000
8,174,120000,122000,49,487,140000,20000
8,175,140000,142000,49,487,160000,20000
8,176,160000,162000,49,487,180000,20000
8,177,180000,182000,49,487,200000,20000
