From TID,From JID,To TID,To JID
0,0,2,90
0,0,3,135
0,0,10,450
0,0,1,45
0,0,4,180
0,1,2,91
0,1,3,136
0,1,10,451
0,1,1,46
0,1,4,181
0,2,2,92
0,2,3,137
0,2,10,452
0,2,1,47
0,2,4,182
0,3,2,93
0,3,3,138
0,3,10,453
0,3,1,48
0,3,4,183
0,4,2,94
0,4,3,139
0,4,10,454
0,4,1,49
0,4,4,184
0,5,2,95
0,5,3,140
0,5,10,455
0,5,1,50
0,5,4,185
0,6,2,96
0,6,3,141
0,6,10,456
0,6,1,51
0,6,4,186
0,7,2,97
0,7,3,142
0,7,10,457
0,7,1,52
0,7,4,187
0,8,2,98
0,8,3,143
0,8,10,458
0,8,1,53
0,8,4,188
0,9,2,99
0,9,3,144
0,9,10,459
0,9,1,54
0,9,4,189
0,10,2,100
0,10,3,145
0,10,10,460
0,10,1,55
0,10,4,190
0,11,2,101
0,11,3,146
0,11,10,461
0,11,1,56
0,11,4,191
0,12,2,102
0,12,3,147
0,12,10,462
0,12,1,57
0,12,4,192
0,13,2,103
0,13,3,148
0,13,10,463
0,13,1,58
0,13,4,193
0,14,2,104
0,14,3,149
0,14,10,464
0,14,1,59
0,14,4,194
0,15,2,105
0,15,3,150
0,15,10,465
0,15,1,60
0,15,4,195
0,16,2,106
0,16,3,151
0,16,10,466
0,16,1,61
0,16,4,196
0,17,2,107
0,17,3,152
0,17,10,467
0,17,1,62
0,17,4,197
0,18,2,108
0,18,3,153
0,18,10,468
0,18,1,63
0,18,4,198
0,19,2,109
0,19,3,154
0,19,10,469
0,19,1,64
0,19,4,199
0,20,2,110
0,20,3,155
0,20,10,470
0,20,1,65
0,20,4,200
0,21,2,111
0,21,3,156
0,21,10,471
0,21,1,66
0,21,4,201
0,22,2,112
0,22,3,157
0,22,10,472
0,22,1,67
0,22,4,202
0,23,2,113
0,23,3,158
0,23,10,473
0,23,1,68
0,23,4,203
0,24,2,114
0,24,3,159
0,24,10,474
0,24,1,69
0,24,4,204
0,25,2,115
0,25,3,160
0,25,10,475
0,25,1,70
0,25,4,205
0,26,2,116
0,26,3,161
0,26,10,476
0,26,1,71
0,26,4,206
0,27,2,117
0,27,3,162
0,27,10,477
0,27,1,72
0,27,4,207
0,28,2,118
0,28,3,163
0,28,10,478
0,28,1,73
0,28,4,208
0,29,2,119
0,29,3,164
0,29,10,479
0,29,1,74
0,29,4,209
0,30,2,120
0,30,3,165
