Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,59,593,10000,10000
0,1,10000,11000,59,593,20000,10000
0,2,20000,21000,59,593,30000,10000
0,3,30000,31000,59,593,40000,10000
0,4,40000,41000,59,593,50000,10000
0,5,50000,51000,59,593,60000,10000
0,6,60000,61000,59,593,70000,10000
0,7,70000,71000,59,593,80000,10000
0,8,80000,81000,59,593,90000,10000
0,9,90000,91000,59,593,100000,10000
0,10,100000,101000,59,593,110000,10000
0,11,110000,111000,59,593,120000,10000
0,12,120000,121000,59,593,130000,10000
0,13,130000,131000,59,593,140000,10000
0,14,140000,141000,59,593,150000,10000
0,15,150000,151000,59,593,160000,10000
0,16,160000,161000,59,593,170000,10000
0,17,170000,171000,59,593,180000,10000
0,18,180000,181000,59,593,190000,10000
0,19,190000,191000,59,593,200000,10000
0,20,200000,201000,59,593,210000,10000
0,21,210000,211000,59,593,220000,10000
0,22,220000,221000,59,593,230000,10000
0,23,230000,231000,59,593,240000,10000
0,24,240000,241000,59,593,250000,10000
0,25,250000,251000,59,593,260000,10000
0,26,260000,261000,59,593,270000,10000
0,27,270000,271000,59,593,280000,10000
0,28,280000,281000,59,593,290000,10000
0,29,290000,291000,59,593,300000,10000
1,30,0,1000,72,720,10000,10000
1,31,10000,11000,72,720,20000,10000
1,32,20000,21000,72,720,30000,10000
1,33,30000,31000,72,720,40000,10000
1,34,40000,41000,72,720,50000,10000
1,35,50000,51000,72,720,60000,10000
1,36,60000,61000,72,720,70000,10000
1,37,70000,71000,72,720,80000,10000
1,38,80000,81000,72,720,90000,10000
1,39,90000,91000,72,720,100000,10000
1,40,100000,101000,72,720,110000,10000
1,41,110000,111000,72,720,120000,10000
1,42,120000,121000,72,720,130000,10000
1,43,130000,131000,72,720,140000,10000
1,44,140000,141000,72,720,150000,10000
1,45,150000,151000,72,720,160000,10000
1,46,160000,161000,72,720,170000,10000
1,47,170000,171000,72,720,180000,10000
1,48,180000,181000,72,720,190000,10000
1,49,190000,191000,72,720,200000,10000
1,50,200000,201000,72,720,210000,10000
1,51,210000,211000,72,720,220000,10000
1,52,220000,221000,72,720,230000,10000
1,53,230000,231000,72,720,240000,10000
1,54,240000,241000,72,720,250000,10000
1,55,250000,251000,72,720,260000,10000
1,56,260000,261000,72,720,270000,10000
1,57,270000,271000,72,720,280000,10000
1,58,280000,281000,72,720,290000,10000
1,59,290000,291000,72,720,300000,10000
2,60,0,1000,11,111,10000,10000
2,61,10000,11000,11,111,20000,10000
2,62,20000,21000,11,111,30000,10000
2,63,30000,31000,11,111,40000,10000
2,64,40000,41000,11,111,50000,10000
2,65,50000,51000,11,111,60000,10000
2,66,60000,61000,11,111,70000,10000
2,67,70000,71000,11,111,80000,10000
2,68,80000,81000,11,111,90000,10000
2,69,90000,91000,11,111,100000,10000
2,70,100000,101000,11,111,110000,10000
2,71,110000,111000,11,111,120000,10000
2,72,120000,121000,11,111,130000,10000
2,73,130000,131000,11,111,140000,10000
2,74,140000,141000,11,111,150000,10000
2,75,150000,151000,11,111,160000,10000
2,76,160000,161000,11,111,170000,10000
2,77,170000,171000,11,111,180000,10000
2,78,180000,181000,11,111,190000,10000
2,79,190000,191000,11,111,200000,10000
