From TID,From JID,To TID,To JID
0,0,2,60
0,0,10,300
0,0,11,330
0,0,5,150
0,0,6,180
0,0,7,210
0,0,8,240
0,1,2,61
0,1,10,301
0,1,11,331
0,1,5,151
0,1,6,181
0,1,7,211
0,1,8,241
0,2,2,62
0,2,10,302
0,2,11,332
0,2,5,152
0,2,6,182
0,2,7,212
0,2,8,242
0,3,2,63
0,3,10,303
0,3,11,333
0,3,5,153
0,3,6,183
0,3,7,213
0,3,8,243
0,4,2,64
0,4,10,304
0,4,11,334
0,4,5,154
0,4,6,184
0,4,7,214
0,4,8,244
0,5,2,65
0,5,10,305
0,5,11,335
0,5,5,155
0,5,6,185
0,5,7,215
0,5,8,245
0,6,2,66
0,6,10,306
0,6,11,336
0,6,5,156
0,6,6,186
0,6,7,216
0,6,8,246
0,7,2,67
0,7,10,307
0,7,11,337
0,7,5,157
0,7,6,187
0,7,7,217
0,7,8,247
0,8,2,68
0,8,10,308
0,8,11,338
0,8,5,158
0,8,6,188
0,8,7,218
0,8,8,248
0,9,2,69
0,9,10,309
0,9,11,339
0,9,5,159
0,9,6,189
0,9,7,219
0,9,8,249
0,10,2,70
0,10,10,310
0,10,11,340
0,10,5,160
0,10,6,190
0,10,7,220
0,10,8,250
0,11,2,71
0,11,10,311
0,11,11,341
0,11,5,161
0,11,6,191
0,11,7,221
0,11,8,251
0,12,2,72
0,12,10,312
0,12,11,342
0,12,5,162
0,12,6,192
0,12,7,222
0,12,8,252
0,13,2,73
0,13,10,313
0,13,11,343
0,13,5,163
0,13,6,193
0,13,7,223
0,13,8,253
0,14,2,74
0,14,10,314
0,14,11,344
0,14,5,164
0,14,6,194
0,14,7,224
0,14,8,254
0,15,2,75
0,15,10,315
0,15,11,345
0,15,5,165
0,15,6,195
0,15,7,225
0,15,8,255
0,16,2,76
0,16,10,316
0,16,11,346
0,16,5,166
0,16,6,196
0,16,7,226
0,16,8,256
0,17,2,77
0,17,10,317
0,17,11,347
0,17,5,167
0,17,6,197
0,17,7,227
0,17,8,257
0,18,2,78
0,18,10,318
0,18,11,348
0,18,5,168
0,18,6,198
0,18,7,228
0,18,8,258
0,19,2,79
0,19,10,319
0,19,11,349
0,19,5,169
0,19,6,199
0,19,7,229
0,19,8,259
0,20,2,80
0,20,10,320
0,20,11,350
0,20,5,170
0,20,6,200
0,20,7,230
0,20,8,260
0,21,2,81
0,21,10,321
0,21,11,351
0,21,5,171
0,21,6,201
0,21,7,231
0,21,8,261
0,22,2,82
0,22,10,322
0,22,11,352
0,22,5,172
0,22,6,202
0,22,7,232
0,22,8,262
0,23,2,83
0,23,10,323
0,23,11,353
0,23,5,173
0,23,6,203
0,23,7,233
0,23,8,263
0,24,2,84
0,24,10,324
0,24,11,354
0,24,5,174
0,24,6,204
0,24,7,234
0,24,8,264
0,25,2,85
0,25,10,325
0,25,11,355
0,25,5,175
0,25,6,205
0,25,7,235
0,25,8,265
0,26,2,86
0,26,10,326
0,26,11,356
0,26,5,176
0,26,6,206
0,26,7,236
0,26,8,266
0,27,2,87
0,27,10,327
0,27,11,357
0,27,5,177
0,27,6,207
0,27,7,237
0,27,8,267
0,28,2,88
0,28,10,328
0,28,11,358
0,28,5,178
0,28,6,208
0,28,7,238
0,28,8,268
0,29,2,89
0,29,10,329
0,29,11,359
0,29,5,179
0,29,6,209
0,29,7,239
0,29,8,269
2,60,4,120
2,60,8,240
2,60,9,270
2,60,3,90
2,60,7,210
2,61,4,121
2,61,8,241
2,61,9,271
2,61,3,91
2,61,7,211
2,62,4,122
2,62,8,242
2,62,9,272
2,62,3,92
2,62,7,212
2,63,4,123
2,63,8,243
2,63,9,273
2,63,3,93
2,63,7,213
2,64,4,124
2,64,8,244
2,64,9,274
2,64,3,94
2,64,7,214
2,65,4,125
2,65,8,245
2,65,9,275
2,65,3,95
2,65,7,215
2,66,4,126
2,66,8,246
2,66,9,276
2,66,3,96
2,66,7,216
2,67,4,127
2,67,8,247
2,67,9,277
2,67,3,97
2,67,7,217
2,68,4,128
2,68,8,248
2,68,9,278
2,68,3,98
2,68,7,218
2,69,4,129
2,69,8,249
2,69,9,279
2,69,3,99
2,69,7,219
2,70,4,130
2,70,8,250
2,70,9,280
2,70,3,100
2,70,7,220
2,71,4,131
2,71,8,251
2,71,9,281
2,71,3,101
2,71,7,221
2,72,4,132
2,72,8,252
2,72,9,282
2,72,3,102
2,72,7,222
2,73,4,133
2,73,8,253
2,73,9,283
2,73,3,103
2,73,7,223
2,74,4,134
2,74,8,254
2,74,9,284
2,74,3,104
2,74,7,224
2,75,4,135
2,75,8,255
2,75,9,285
2,75,3,105
2,75,7,225
2,76,4,136
2,76,8,256
2,76,9,286
2,76,3,106
2,76,7,226
2,77,4,137
2,77,8,257
2,77,9,287
2,77,3,107
2,77,7,227
2,78,4,138
2,78,8,258
2,78,9,288
2,78,3,108
2,78,7,228
2,79,4,139
2,79,8,259
2,79,9,289
2,79,3,109
2,79,7,229
2,80,4,140
2,80,8,260
2,80,9,290
2,80,3,110
2,80,7,230
2,81,4,141
2,81,8,261
2,81,9,291
2,81,3,111
2,81,7,231
2,82,4,142
2,82,8,262
2,82,9,292
2,82,3,112
2,82,7,232
2,83,4,143
2,83,8,263
2,83,9,293
2,83,3,113
2,83,7,233
2,84,4,144
2,84,8,264
2,84,9,294
2,84,3,114
2,84,7,234
2,85,4,145
2,85,8,265
2,85,9,295
2,85,3,115
2,85,7,235
2,86,4,146
2,86,8,266
2,86,9,296
2,86,3,116
2,86,7,236
2,87,4,147
2,87,8,267
2,87,9,297
2,87,3,117
2,87,7,237
2,88,4,148
2,88,8,268
2,88,9,298
2,88,3,118
2,88,7,238
2,89,4,149
2,89,8,269
2,89,9,299
2,89,3,119
2,89,7,239
3,90,1,30
3,91,1,31
3,92,1,32
3,93,1,33
3,94,1,34
3,95,1,35
3,96,1,36
3,97,1,37
3,98,1,38
3,99,1,39
3,100,1,40
3,101,1,41
3,102,1,42
3,103,1,43
3,104,1,44
3,105,1,45
3,106,1,46
3,107,1,47
3,108,1,48
3,109,1,49
3,110,1,50
3,111,1,51
3,112,1,52
3,113,1,53
3,114,1,54
3,115,1,55
3,116,1,56
3,117,1,57
3,118,1,58
3,119,1,59
4,120,6,180
4,120,7,210
4,120,1,30
4,120,3,90
4,120,5,150
4,121,6,181
4,121,7,211
4,121,1,31
4,121,3,91
4,121,5,151
4,122,6,182
4,122,7,212
4,122,1,32
4,122,3,92
4,122,5,152
4,123,6,183
4,123,7,213
4,123,1,33
4,123,3,93
4,123,5,153
4,124,6,184
4,124,7,214
4,124,1,34
4,124,3,94
4,124,5,154
4,125,6,185
4,125,7,215
4,125,1,35
4,125,3,95
4,125,5,155
4,126,6,186
4,126,7,216
4,126,1,36
4,126,3,96
4,126,5,156
4,127,6,187
4,127,7,217
4,127,1,37
4,127,3,97
4,127,5,157
4,128,6,188
4,128,7,218
4,128,1,38
4,128,3,98
4,128,5,158
4,129,6,189
4,129,7,219
4,129,1,39
4,129,3,99
4,129,5,159
4,130,6,190
4,130,7,220
4,130,1,40
4,130,3,100
4,130,5,160
4,131,6,191
4,131,7,221
4,131,1,41
4,131,3,101
4,131,5,161
4,132,6,192
4,132,7,222
4,132,1,42
4,132,3,102
4,132,5,162
4,133,6,193
4,133,7,223
4,133,1,43
4,133,3,103
4,133,5,163
4,134,6,194
4,134,7,224
4,134,1,44
4,134,3,104
