From TID,From JID,To TID,To JID
0,0,2,126
0,0,3,189
0,0,4,252
0,0,1,63
0,1,2,127
0,1,3,190
0,1,4,253
0,1,1,64
0,2,2,128
0,2,3,191
0,2,4,254
0,2,1,65
0,3,2,129
0,3,3,192
0,3,4,255
0,3,1,66
0,4,2,130
0,4,3,193
0,4,4,256
0,4,1,67
0,5,2,131
0,5,3,194
0,5,4,257
0,5,1,68
0,6,2,132
0,6,3,195
0,6,4,258
0,6,1,69
0,7,2,133
0,7,3,196
0,7,4,259
0,7,1,70
0,8,2,134
0,8,3,197
0,8,4,260
0,8,1,71
0,9,2,135
0,9,3,198
0,9,4,261
0,9,1,72
0,10,2,136
0,10,3,199
0,10,4,262
0,10,1,73
0,11,2,137
0,11,3,200
0,11,4,263
0,11,1,74
0,12,2,138
0,12,3,201
0,12,4,264
0,12,1,75
0,13,2,139
0,13,3,202
0,13,4,265
0,13,1,76
0,14,2,140
0,14,3,203
0,14,4,266
0,14,1,77
0,15,2,141
0,15,3,204
0,15,4,267
0,15,1,78
0,16,2,142
0,16,3,205
0,16,4,268
0,16,1,79
0,17,2,143
0,17,3,206
0,17,4,269
0,17,1,80
0,18,2,144
0,18,3,207
0,18,4,270
0,18,1,81
0,19,2,145
0,19,3,208
0,19,4,271
0,19,1,82
0,20,2,146
0,20,3,209
0,20,4,272
0,20,1,83
0,21,2,147
0,21,3,210
0,21,4,273
0,21,1,84
0,22,2,148
0,22,3,211
0,22,4,274
0,22,1,85
0,23,2,149
0,23,3,212
0,23,4,275
0,23,1,86
0,24,2,150
0,24,3,213
0,24,4,276
0,24,1,87
0,25,2,151
0,25,3,214
0,25,4,277
0,25,1,88
0,26,2,152
0,26,3,215
0,26,4,278
0,26,1,89
0,27,2,153
0,27,3,216
0,27,4,279
0,27,1,90
0,28,2,154
0,28,3,217
0,28,4,280
0,28,1,91
0,29,2,155
0,29,3,218
0,29,4,281
0,29,1,92
0,30,2,156
0,30,3,219
0,30,4,282
0,30,1,93
0,31,2,157
0,31,3,220
0,31,4,283
0,31,1,94
0,32,2,158
0,32,3,221
0,32,4,284
0,32,1,95
0,33,2,159
0,33,3,222
0,33,4,285
0,33,1,96
0,34,2,160
0,34,3,223
0,34,4,286
0,34,1,97
0,35,2,161
0,35,3,224
0,35,4,287
0,35,1,98
0,36,2,162
0,36,3,225
0,36,4,288
0,36,1,99
0,37,2,163
0,37,3,226
0,37,4,289
0,37,1,100
0,38,2,164
0,38,3,227
0,38,4,290
0,38,1,101
0,39,2,165
0,39,3,228
0,39,4,291
0,39,1,102
0,40,2,166
0,40,3,229
0,40,4,292
0,40,1,103
0,41,2,167
0,41,3,230
0,41,4,293
0,41,1,104
0,42,2,168
0,42,3,231
0,42,4,294
0,42,1,105
0,43,2,169
0,43,3,232
0,43,4,295
0,43,1,106
0,44,2,170
0,44,3,233
0,44,4,296
0,44,1,107
0,45,2,171
0,45,3,234
0,45,4,297
0,45,1,108
0,46,2,172
0,46,3,235
0,46,4,298
0,46,1,109
0,47,2,173
0,47,3,236
0,47,4,299
0,47,1,110
0,48,2,174
0,48,3,237
0,48,4,300
0,48,1,111
0,49,2,175
0,49,3,238
0,49,4,301
0,49,1,112
0,50,2,176
0,50,3,239
0,50,4,302
0,50,1,113
0,51,2,177
0,51,3,240
0,51,4,303
0,51,1,114
0,52,2,178
0,52,3,241
0,52,4,304
0,52,1,115
0,53,2,179
0,53,3,242
0,53,4,305
0,53,1,116
0,54,2,180
0,54,3,243
0,54,4,306
0,54,1,117
0,55,2,181
0,55,3,244
0,55,4,307
0,55,1,118
0,56,2,182
0,56,3,245
0,56,4,308
0,56,1,119
0,57,2,183
0,57,3,246
0,57,4,309
0,57,1,120
0,58,2,184
0,58,3,247
0,58,4,310
0,58,1,121
0,59,2,185
0,59,3,248
0,59,4,311
0,59,1,122
0,60,2,186
0,60,3,249
0,60,4,312
0,60,1,123
0,61,2,187
0,61,3,250
0,61,4,313
0,61,1,124
0,62,2,188
0,62,3,251
0,62,4,314
0,62,1,125
2,126,1,63
2,127,1,64
2,128,1,65
2,129,1,66
2,130,1,67
2,131,1,68
2,132,1,69
2,133,1,70
2,134,1,71
2,135,1,72
2,136,1,73
2,137,1,74
2,138,1,75
2,139,1,76
2,140,1,77
2,141,1,78
2,142,1,79
2,143,1,80
2,144,1,81
2,145,1,82
2,146,1,83
2,147,1,84
2,148,1,85
2,149,1,86
2,150,1,87
2,151,1,88
2,152,1,89
2,153,1,90
2,154,1,91
2,155,1,92
2,156,1,93
2,157,1,94
2,158,1,95
2,159,1,96
2,160,1,97
2,161,1,98
2,162,1,99
2,163,1,100
2,164,1,101
2,165,1,102
2,166,1,103
2,167,1,104
2,168,1,105
2,169,1,106
2,170,1,107
2,171,1,108
2,172,1,109
2,173,1,110
2,174,1,111
2,175,1,112
2,176,1,113
2,177,1,114
2,178,1,115
2,179,1,116
2,180,1,117
2,181,1,118
2,182,1,119
2,183,1,120
2,184,1,121
2,185,1,122
2,186,1,123
2,187,1,124
2,188,1,125
3,189,1,63
3,190,1,64
3,191,1,65
3,192,1,66
3,193,1,67
3,194,1,68
3,195,1,69
3,196,1,70
3,197,1,71
3,198,1,72
3,199,1,73
3,200,1,74
3,201,1,75
3,202,1,76
3,203,1,77
3,204,1,78
3,205,1,79
3,206,1,80
3,207,1,81
3,208,1,82
3,209,1,83
3,210,1,84
3,211,1,85
3,212,1,86
3,213,1,87
3,214,1,88
3,215,1,89
3,216,1,90
3,217,1,91
3,218,1,92
3,219,1,93
3,220,1,94
3,221,1,95
3,222,1,96
3,223,1,97
3,224,1,98
3,225,1,99
3,226,1,100
3,227,1,101
3,228,1,102
3,229,1,103
3,230,1,104
3,231,1,105
3,232,1,106
3,233,1,107
3,234,1,108
3,235,1,109
3,236,1,110
3,237,1,111
3,238,1,112
3,239,1,113
3,240,1,114
3,241,1,115
3,242,1,116
3,243,1,117
3,244,1,118
3,245,1,119
3,246,1,120
3,247,1,121
3,248,1,122
3,249,1,123
3,250,1,124
3,251,1,125
4,252,1,63
4,253,1,64
4,254,1,65
4,255,1,66
4,256,1,67
4,257,1,68
4,258,1,69
4,259,1,70
4,260,1,71
4,261,1,72
4,262,1,73
4,263,1,74
4,264,1,75
4,265,1,76
4,266,1,77
4,267,1,78
4,268,1,79
4,269,1,80
4,270,1,81
4,271,1,82
4,272,1,83
4,273,1,84
4,274,1,85
4,275,1,86
4,276,1,87
4,277,1,88
4,278,1,89
4,279,1,90
4,280,1,91
4,281,1,92
4,282,1,93
4,283,1,94
4,284,1,95
4,285,1,96
4,286,1,97
4,287,1,98
4,288,1,99
4,289,1,100
4,290,1,101
4,291,1,102
4,292,1,103
4,293,1,104
4,294,1,105
4,295,1,106
4,296,1,107
4,297,1,108
4,298,1,109
4,299,1,110
4,300,1,111
4,301,1,112
4,302,1,113
4,303,1,114
4,304,1,115
4,305,1,116
4,306,1,117
4,307,1,118
4,308,1,119
4,309,1,120
4,310,1,121
4,311,1,122
4,312,1,123
4,313,1,124
4,314,1,125
5,315,7,399
5,315,15,735
5,315,6,357
5,315,12,609
5,315,13,651
5,315,14,693
5,316,7,400
5,316,15,736
5,316,6,358
5,316,12,610
5,316,13,652
5,316,14,694
5,317,7,401
5,317,15,737
5,317,6,359
5,317,12,611
5,317,13,653
5,317,14,695
5,318,7,402
5,318,15,738
5,318,6,360
5,318,12,612
5,318,13,654
5,318,14,696
5,319,7,403
5,319,15,739
5,319,6,361
5,319,12,613
5,319,13,655
5,319,14,697
5,320,7,404
5,320,15,740
5,320,6,362
5,320,12,614
5,320,13,656
5,320,14,698
5,321,7,405
5,321,15,741
5,321,6,363
5,321,12,615
5,321,13,657
5,321,14,699
5,322,7,406
5,322,15,742
5,322,6,364
5,322,12,616
5,322,13,658
5,322,14,700
5,323,7,407
5,323,15,743
5,323,6,365
5,323,12,617
5,323,13,659
5,323,14,701
5,324,7,408
5,324,15,744
5,324,6,366
5,324,12,618
5,324,13,660
5,324,14,702
5,325,7,409
5,325,15,745
5,325,6,367
5,325,12,619
5,325,13,661
5,325,14,703
5,326,7,410
5,326,15,746
5,326,6,368
5,326,12,620
5,326,13,662
5,326,14,704
5,327,7,411
5,327,15,747
5,327,6,369
5,327,12,621
5,327,13,663
5,327,14,705
5,328,7,412
5,328,15,748
5,328,6,370
5,328,12,622
5,328,13,664
5,328,14,706
5,329,7,413
5,329,15,749
5,329,6,371
5,329,12,623
5,329,13,665
5,329,14,707
