Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,4000,384,3838,40000,40000
0,1,40000,44000,384,3838,80000,40000
0,2,80000,84000,384,3838,120000,40000
0,3,120000,124000,384,3838,160000,40000
0,4,160000,164000,384,3838,200000,40000
0,5,200000,204000,384,3838,240000,40000
0,6,240000,244000,384,3838,280000,40000
0,7,280000,284000,384,3838,320000,40000
0,8,320000,324000,384,3838,360000,40000
0,9,360000,364000,384,3838,400000,40000
0,10,400000,404000,384,3838,440000,40000
0,11,440000,444000,384,3838,480000,40000
0,12,480000,484000,384,3838,520000,40000
0,13,520000,524000,384,3838,560000,40000
0,14,560000,564000,384,3838,600000,40000
0,15,600000,604000,384,3838,640000,40000
0,16,640000,644000,384,3838,680000,40000
0,17,680000,684000,384,3838,720000,40000
1,18,0,4000,71,709,40000,40000
1,19,40000,44000,71,709,80000,40000
1,20,80000,84000,71,709,120000,40000
1,21,120000,124000,71,709,160000,40000
1,22,160000,164000,71,709,200000,40000
1,23,200000,204000,71,709,240000,40000
1,24,240000,244000,71,709,280000,40000
1,25,280000,284000,71,709,320000,40000
1,26,320000,324000,71,709,360000,40000
1,27,360000,364000,71,709,400000,40000
1,28,400000,404000,71,709,440000,40000
1,29,440000,444000,71,709,480000,40000
1,30,480000,484000,71,709,520000,40000
1,31,520000,524000,71,709,560000,40000
1,32,560000,564000,71,709,600000,40000
1,33,600000,604000,71,709,640000,40000
1,34,640000,644000,71,709,680000,40000
1,35,680000,684000,71,709,720000,40000
2,36,0,4000,53,535,40000,40000
2,37,40000,44000,53,535,80000,40000
2,38,80000,84000,53,535,120000,40000
2,39,120000,124000,53,535,160000,40000
2,40,160000,164000,53,535,200000,40000
2,41,200000,204000,53,535,240000,40000
2,42,240000,244000,53,535,280000,40000
2,43,280000,284000,53,535,320000,40000
2,44,320000,324000,53,535,360000,40000
2,45,360000,364000,53,535,400000,40000
2,46,400000,404000,53,535,440000,40000
2,47,440000,444000,53,535,480000,40000
2,48,480000,484000,53,535,520000,40000
2,49,520000,524000,53,535,560000,40000
2,50,560000,564000,53,535,600000,40000
2,51,600000,604000,53,535,640000,40000
2,52,640000,644000,53,535,680000,40000
2,53,680000,684000,53,535,720000,40000
3,54,0,4000,210,2105,40000,40000
3,55,40000,44000,210,2105,80000,40000
3,56,80000,84000,210,2105,120000,40000
3,57,120000,124000,210,2105,160000,40000
3,58,160000,164000,210,2105,200000,40000
3,59,200000,204000,210,2105,240000,40000
3,60,240000,244000,210,2105,280000,40000
3,61,280000,284000,210,2105,320000,40000
3,62,320000,324000,210,2105,360000,40000
3,63,360000,364000,210,2105,400000,40000
3,64,400000,404000,210,2105,440000,40000
3,65,440000,444000,210,2105,480000,40000
3,66,480000,484000,210,2105,520000,40000
3,67,520000,524000,210,2105,560000,40000
3,68,560000,564000,210,2105,600000,40000
3,69,600000,604000,210,2105,640000,40000
3,70,640000,644000,210,2105,680000,40000
3,71,680000,684000,210,2105,720000,40000
4,72,0,4000,417,4167,40000,40000
4,73,40000,44000,417,4167,80000,40000
4,74,80000,84000,417,4167,120000,40000
4,75,120000,124000,417,4167,160000,40000
4,76,160000,164000,417,4167,200000,40000
4,77,200000,204000,417,4167,240000,40000
4,78,240000,244000,417,4167,280000,40000
4,79,280000,284000,417,4167,320000,40000
4,80,320000,324000,417,4167,360000,40000
4,81,360000,364000,417,4167,400000,40000
4,82,400000,404000,417,4167,440000,40000
4,83,440000,444000,417,4167,480000,40000
4,84,480000,484000,417,4167,520000,40000
4,85,520000,524000,417,4167,560000,40000
4,86,560000,564000,417,4167,600000,40000
4,87,600000,604000,417,4167,640000,40000
4,88,640000,644000,417,4167,680000,40000
4,89,680000,684000,417,4167,720000,40000
5,90,0,4000,428,4284,40000,40000
5,91,40000,44000,428,4284,80000,40000
5,92,80000,84000,428,4284,120000,40000
5,93,120000,124000,428,4284,160000,40000
5,94,160000,164000,428,4284,200000,40000
5,95,200000,204000,428,4284,240000,40000
5,96,240000,244000,428,4284,280000,40000
5,97,280000,284000,428,4284,320000,40000
5,98,320000,324000,428,4284,360000,40000
5,99,360000,364000,428,4284,400000,40000
5,100,400000,404000,428,4284,440000,40000
5,101,440000,444000,428,4284,480000,40000
5,102,480000,484000,428,4284,520000,40000
5,103,520000,524000,428,4284,560000,40000
5,104,560000,564000,428,4284,600000,40000
5,105,600000,604000,428,4284,640000,40000
5,106,640000,644000,428,4284,680000,40000
5,107,680000,684000,428,4284,720000,40000
6,108,0,4000,86,857,40000,40000
6,109,40000,44000,86,857,80000,40000
6,110,80000,84000,86,857,120000,40000
6,111,120000,124000,86,857,160000,40000
6,112,160000,164000,86,857,200000,40000
6,113,200000,204000,86,857,240000,40000
6,114,240000,244000,86,857,280000,40000
6,115,280000,284000,86,857,320000,40000
6,116,320000,324000,86,857,360000,40000
6,117,360000,364000,86,857,400000,40000
6,118,400000,404000,86,857,440000,40000
6,119,440000,444000,86,857,480000,40000
6,120,480000,484000,86,857,520000,40000
6,121,520000,524000,86,857,560000,40000
6,122,560000,564000,86,857,600000,40000
6,123,600000,604000,86,857,640000,40000
6,124,640000,644000,86,857,680000,40000
6,125,680000,684000,86,857,720000,40000
7,126,0,4000,428,4276,40000,40000
7,127,40000,44000,428,4276,80000,40000
7,128,80000,84000,428,4276,120000,40000
7,129,120000,124000,428,4276,160000,40000
7,130,160000,164000,428,4276,200000,40000
7,131,200000,204000,428,4276,240000,40000
7,132,240000,244000,428,4276,280000,40000
7,133,280000,284000,428,4276,320000,40000
7,134,320000,324000,428,4276,360000,40000
7,135,360000,364000,428,4276,400000,40000
7,136,400000,404000,428,4276,440000,40000
7,137,440000,444000,428,4276,480000,40000
7,138,480000,484000,428,4276,520000,40000
7,139,520000,524000,428,4276,560000,40000
7,140,560000,564000,428,4276,600000,40000
7,141,600000,604000,428,4276,640000,40000
7,142,640000,644000,428,4276,680000,40000
7,143,680000,684000,428,4276,720000,40000
8,144,0,4000,541,5409,40000,40000
8,145,40000,44000,541,5409,80000,40000
8,146,80000,84000,541,5409,120000,40000
8,147,120000,124000,541,5409,160000,40000
8,148,160000,164000,541,5409,200000,40000
8,149,200000,204000,541,5409,240000,40000
8,150,240000,244000,541,5409,280000,40000
8,151,280000,284000,541,5409,320000,40000
8,152,320000,324000,541,5409,360000,40000
8,153,360000,364000,541,5409,400000,40000
8,154,400000,404000,541,5409,440000,40000
8,155,440000,444000,541,5409,480000,40000
8,156,480000,484000,541,5409,520000,40000
8,157,520000,524000,541,5409,560000,40000
8,158,560000,564000,541,5409,600000,40000
8,159,600000,604000,541,5409,640000,40000
8,160,640000,644000,541,5409,680000,40000
8,161,680000,684000,541,5409,720000,40000
9,162,0,4000,275,2749,40000,40000
9,163,40000,44000,275,2749,80000,40000
9,164,80000,84000,275,2749,120000,40000
9,165,120000,124000,275,2749,160000,40000
