Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,34,341,10000,10000
0,1,10000,11000,34,341,20000,10000
0,2,20000,21000,34,341,30000,10000
0,3,30000,31000,34,341,40000,10000
0,4,40000,41000,34,341,50000,10000
0,5,50000,51000,34,341,60000,10000
0,6,60000,61000,34,341,70000,10000
0,7,70000,71000,34,341,80000,10000
0,8,80000,81000,34,341,90000,10000
0,9,90000,91000,34,341,100000,10000
0,10,100000,101000,34,341,110000,10000
0,11,110000,111000,34,341,120000,10000
0,12,120000,121000,34,341,130000,10000
0,13,130000,131000,34,341,140000,10000
0,14,140000,141000,34,341,150000,10000
1,15,0,1000,37,374,10000,10000
1,16,10000,11000,37,374,20000,10000
1,17,20000,21000,37,374,30000,10000
1,18,30000,31000,37,374,40000,10000
1,19,40000,41000,37,374,50000,10000
1,20,50000,51000,37,374,60000,10000
1,21,60000,61000,37,374,70000,10000
1,22,70000,71000,37,374,80000,10000
1,23,80000,81000,37,374,90000,10000
1,24,90000,91000,37,374,100000,10000
1,25,100000,101000,37,374,110000,10000
1,26,110000,111000,37,374,120000,10000
1,27,120000,121000,37,374,130000,10000
1,28,130000,131000,37,374,140000,10000
1,29,140000,141000,37,374,150000,10000
2,30,0,1000,9,86,10000,10000
2,31,10000,11000,9,86,20000,10000
2,32,20000,21000,9,86,30000,10000
2,33,30000,31000,9,86,40000,10000
2,34,40000,41000,9,86,50000,10000
2,35,50000,51000,9,86,60000,10000
2,36,60000,61000,9,86,70000,10000
2,37,70000,71000,9,86,80000,10000
2,38,80000,81000,9,86,90000,10000
2,39,90000,91000,9,86,100000,10000
2,40,100000,101000,9,86,110000,10000
2,41,110000,111000,9,86,120000,10000
2,42,120000,121000,9,86,130000,10000
2,43,130000,131000,9,86,140000,10000
2,44,140000,141000,9,86,150000,10000
3,45,0,1000,26,265,10000,10000
3,46,10000,11000,26,265,20000,10000
3,47,20000,21000,26,265,30000,10000
3,48,30000,31000,26,265,40000,10000
3,49,40000,41000,26,265,50000,10000
3,50,50000,51000,26,265,60000,10000
3,51,60000,61000,26,265,70000,10000
3,52,70000,71000,26,265,80000,10000
3,53,80000,81000,26,265,90000,10000
3,54,90000,91000,26,265,100000,10000
3,55,100000,101000,26,265,110000,10000
3,56,110000,111000,26,265,120000,10000
3,57,120000,121000,26,265,130000,10000
3,58,130000,131000,26,265,140000,10000
3,59,140000,141000,26,265,150000,10000
4,60,0,1000,11,108,10000,10000
4,61,10000,11000,11,108,20000,10000
4,62,20000,21000,11,108,30000,10000
4,63,30000,31000,11,108,40000,10000
4,64,40000,41000,11,108,50000,10000
4,65,50000,51000,11,108,60000,10000
4,66,60000,61000,11,108,70000,10000
4,67,70000,71000,11,108,80000,10000
4,68,80000,81000,11,108,90000,10000
4,69,90000,91000,11,108,100000,10000
4,70,100000,101000,11,108,110000,10000
4,71,110000,111000,11,108,120000,10000
4,72,120000,121000,11,108,130000,10000
4,73,130000,131000,11,108,140000,10000
4,74,140000,141000,11,108,150000,10000
5,75,0,1000,8,77,10000,10000
5,76,10000,11000,8,77,20000,10000
5,77,20000,21000,8,77,30000,10000
5,78,30000,31000,8,77,40000,10000
5,79,40000,41000,8,77,50000,10000
5,80,50000,51000,8,77,60000,10000
5,81,60000,61000,8,77,70000,10000
5,82,70000,71000,8,77,80000,10000
5,83,80000,81000,8,77,90000,10000
5,84,90000,91000,8,77,100000,10000
5,85,100000,101000,8,77,110000,10000
5,86,110000,111000,8,77,120000,10000
5,87,120000,121000,8,77,130000,10000
5,88,130000,131000,8,77,140000,10000
5,89,140000,141000,8,77,150000,10000
6,90,0,1000,37,373,10000,10000
6,91,10000,11000,37,373,20000,10000
6,92,20000,21000,37,373,30000,10000
6,93,30000,31000,37,373,40000,10000
6,94,40000,41000,37,373,50000,10000
6,95,50000,51000,37,373,60000,10000
6,96,60000,61000,37,373,70000,10000
6,97,70000,71000,37,373,80000,10000
6,98,80000,81000,37,373,90000,10000
6,99,90000,91000,37,373,100000,10000
6,100,100000,101000,37,373,110000,10000
6,101,110000,111000,37,373,120000,10000
6,102,120000,121000,37,373,130000,10000
6,103,130000,131000,37,373,140000,10000
6,104,140000,141000,37,373,150000,10000
7,105,0,1000,30,295,10000,10000
7,106,10000,11000,30,295,20000,10000
7,107,20000,21000,30,295,30000,10000
7,108,30000,31000,30,295,40000,10000
7,109,40000,41000,30,295,50000,10000
7,110,50000,51000,30,295,60000,10000
7,111,60000,61000,30,295,70000,10000
7,112,70000,71000,30,295,80000,10000
7,113,80000,81000,30,295,90000,10000
7,114,90000,91000,30,295,100000,10000
7,115,100000,101000,30,295,110000,10000
7,116,110000,111000,30,295,120000,10000
7,117,120000,121000,30,295,130000,10000
7,118,130000,131000,30,295,140000,10000
7,119,140000,141000,30,295,150000,10000
8,120,0,1000,20,196,10000,10000
8,121,10000,11000,20,196,20000,10000
8,122,20000,21000,20,196,30000,10000
8,123,30000,31000,20,196,40000,10000
8,124,40000,41000,20,196,50000,10000
8,125,50000,51000,20,196,60000,10000
8,126,60000,61000,20,196,70000,10000
8,127,70000,71000,20,196,80000,10000
8,128,80000,81000,20,196,90000,10000
8,129,90000,91000,20,196,100000,10000
8,130,100000,101000,20,196,110000,10000
8,131,110000,111000,20,196,120000,10000
8,132,120000,121000,20,196,130000,10000
8,133,130000,131000,20,196,140000,10000
8,134,140000,141000,20,196,150000,10000
9,135,0,1000,36,362,10000,10000
9,136,10000,11000,36,362,20000,10000
