From TID,From JID,To TID,To JID
0,0,2,30
0,0,11,165
0,0,12,180
0,0,1,15
0,0,4,60
0,0,7,105
0,0,8,120
0,0,9,135
0,1,2,31
0,1,11,166
0,1,12,181
0,1,1,16
0,1,4,61
0,1,7,106
0,1,8,121
0,1,9,136
0,2,2,32
0,2,11,167
0,2,12,182
0,2,1,17
0,2,4,62
0,2,7,107
0,2,8,122
0,2,9,137
0,3,2,33
0,3,11,168
0,3,12,183
0,3,1,18
0,3,4,63
0,3,7,108
0,3,8,123
0,3,9,138
0,4,2,34
0,4,11,169
0,4,12,184
0,4,1,19
0,4,4,64
0,4,7,109
0,4,8,124
0,4,9,139
0,5,2,35
0,5,11,170
0,5,12,185
0,5,1,20
0,5,4,65
0,5,7,110
0,5,8,125
0,5,9,140
0,6,2,36
0,6,11,171
0,6,12,186
0,6,1,21
0,6,4,66
0,6,7,111
0,6,8,126
0,6,9,141
0,7,2,37
0,7,11,172
0,7,12,187
0,7,1,22
0,7,4,67
0,7,7,112
0,7,8,127
0,7,9,142
0,8,2,38
0,8,11,173
0,8,12,188
0,8,1,23
0,8,4,68
0,8,7,113
0,8,8,128
0,8,9,143
0,9,2,39
0,9,11,174
0,9,12,189
0,9,1,24
0,9,4,69
0,9,7,114
0,9,8,129
0,9,9,144
0,10,2,40
0,10,11,175
0,10,12,190
0,10,1,25
0,10,4,70
0,10,7,115
0,10,8,130
0,10,9,145
0,11,2,41
0,11,11,176
0,11,12,191
0,11,1,26
0,11,4,71
0,11,7,116
0,11,8,131
0,11,9,146
0,12,2,42
0,12,11,177
0,12,12,192
0,12,1,27
0,12,4,72
0,12,7,117
0,12,8,132
0,12,9,147
0,13,2,43
0,13,11,178
0,13,12,193
0,13,1,28
0,13,4,73
0,13,7,118
0,13,8,133
0,13,9,148
0,14,2,44
0,14,11,179
0,14,12,194
0,14,1,29
0,14,4,74
0,14,7,119
0,14,8,134
0,14,9,149
2,30,4,60
2,30,9,135
2,30,10,150
2,30,1,15
2,30,3,45
2,30,5,75
2,30,8,120
2,31,4,61
2,31,9,136
2,31,10,151
2,31,1,16
2,31,3,46
2,31,5,76
2,31,8,121
2,32,4,62
2,32,9,137
2,32,10,152
2,32,1,17
2,32,3,47
2,32,5,77
2,32,8,122
2,33,4,63
2,33,9,138
2,33,10,153
2,33,1,18
2,33,3,48
2,33,5,78
2,33,8,123
2,34,4,64
2,34,9,139
2,34,10,154
2,34,1,19
2,34,3,49
2,34,5,79
2,34,8,124
2,35,4,65
2,35,9,140
2,35,10,155
2,35,1,20
2,35,3,50
2,35,5,80
2,35,8,125
2,36,4,66
2,36,9,141
2,36,10,156
2,36,1,21
2,36,3,51
2,36,5,81
2,36,8,126
2,37,4,67
2,37,9,142
2,37,10,157
2,37,1,22
2,37,3,52
2,37,5,82
2,37,8,127
2,38,4,68
2,38,9,143
2,38,10,158
2,38,1,23
2,38,3,53
2,38,5,83
2,38,8,128
2,39,4,69
2,39,9,144
2,39,10,159
2,39,1,24
2,39,3,54
2,39,5,84
2,39,8,129
2,40,4,70
2,40,9,145
2,40,10,160
2,40,1,25
2,40,3,55
2,40,5,85
2,40,8,130
2,41,4,71
2,41,9,146
2,41,10,161
2,41,1,26
2,41,3,56
2,41,5,86
2,41,8,131
2,42,4,72
2,42,9,147
2,42,10,162
2,42,1,27
2,42,3,57
2,42,5,87
2,42,8,132
2,43,4,73
2,43,9,148
2,43,10,163
2,43,1,28
2,43,3,58
2,43,5,88
2,43,8,133
2,44,4,74
2,44,9,149
2,44,10,164
2,44,1,29
2,44,3,59
2,44,5,89
2,44,8,134
3,45,1,15
3,46,1,16
3,47,1,17
3,48,1,18
3,49,1,19
3,50,1,20
3,51,1,21
3,52,1,22
3,53,1,23
3,54,1,24
3,55,1,25
3,56,1,26
3,57,1,27
3,58,1,28
3,59,1,29
4,60,6,90
4,60,7,105
4,60,8,120
4,60,5,75
4,61,6,91
4,61,7,106
4,61,8,121
4,61,5,76
4,62,6,92
4,62,7,107
4,62,8,122
4,62,5,77
4,63,6,93
4,63,7,108
4,63,8,123
4,63,5,78
4,64,6,94
4,64,7,109
4,64,8,124
4,64,5,79
4,65,6,95
4,65,7,110
4,65,8,125
4,65,5,80
4,66,6,96
4,66,7,111
4,66,8,126
4,66,5,81
4,67,6,97
4,67,7,112
4,67,8,127
4,67,5,82
4,68,6,98
4,68,7,113
4,68,8,128
4,68,5,83
4,69,6,99
4,69,7,114
4,69,8,129
4,69,5,84
4,70,6,100
4,70,7,115
4,70,8,130
4,70,5,85
4,71,6,101
4,71,7,116
4,71,8,131
4,71,5,86
4,72,6,102
4,72,7,117
4,72,8,132
4,72,5,87
4,73,6,103
4,73,7,118
4,73,8,133
4,73,5,88
4,74,6,104
4,74,7,119
4,74,8,134
4,74,5,89
5,75,3,45
5,76,3,46
5,77,3,47
5,78,3,48
5,79,3,49
5,80,3,50
5,81,3,51
5,82,3,52
5,83,3,53
5,84,3,54
5,85,3,55
5,86,3,56
5,87,3,57
5,88,3,58
5,89,3,59
6,90,5,75
6,90,3,45
6,91,5,76
6,91,3,46
6,92,5,77
6,92,3,47
6,93,5,78
6,93,3,48
6,94,5,79
6,94,3,49
6,95,5,80
6,95,3,50
6,96,5,81
6,96,3,51
6,97,5,82
6,97,3,52
6,98,5,83
6,98,3,53
6,99,5,84
6,99,3,54
6,100,5,85
6,100,3,55
6,101,5,86
6,101,3,56
6,102,5,87
6,102,3,57
6,103,5,88
6,103,3,58
6,104,5,89
6,104,3,59
7,105,5,75
7,105,1,15
7,106,5,76
7,106,1,16
7,107,5,77
7,107,1,17
7,108,5,78
7,108,1,18
7,109,5,79
7,109,1,19
7,110,5,80
7,110,1,20
7,111,5,81
7,111,1,21
7,112,5,82
7,112,1,22
7,113,5,83
7,113,1,23
7,114,5,84
7,114,1,24
7,115,5,85
7,115,1,25
7,116,5,86
7,116,1,26
7,117,5,87
7,117,1,27
7,118,5,88
7,118,1,28
7,119,5,89
7,119,1,29
8,120,5,75
8,121,5,76
8,122,5,77
8,123,5,78
8,124,5,79
8,125,5,80
8,126,5,81
8,127,5,82
8,128,5,83
8,129,5,84
8,130,5,85
8,131,5,86
8,132,5,87
8,133,5,88
8,134,5,89
9,135,3,45
9,135,8,120
9,136,3,46
9,136,8,121
9,137,3,47
9,137,8,122
9,138,3,48
9,138,8,123
9,139,3,49
9,139,8,124
9,140,3,50
9,140,8,125
9,141,3,51
9,141,8,126
9,142,3,52
9,142,8,127
9,143,3,53
9,143,8,128
9,144,3,54
9,144,8,129
9,145,3,55
9,145,8,130
9,146,3,56
9,146,8,131
9,147,3,57
9,147,8,132
9,148,3,58
9,148,8,133
9,149,3,59
9,149,8,134
10,150,3,45
10,150,1,15
