Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,171,1711,30000,30000
0,1,30000,33000,171,1711,60000,30000
0,2,60000,63000,171,1711,90000,30000
0,3,90000,93000,171,1711,120000,30000
0,4,120000,123000,171,1711,150000,30000
0,5,150000,153000,171,1711,180000,30000
0,6,180000,183000,171,1711,210000,30000
0,7,210000,213000,171,1711,240000,30000
0,8,240000,243000,171,1711,270000,30000
0,9,270000,273000,171,1711,300000,30000
0,10,300000,303000,171,1711,330000,30000
0,11,330000,333000,171,1711,360000,30000
0,12,360000,363000,171,1711,390000,30000
0,13,390000,393000,171,1711,420000,30000
0,14,420000,423000,171,1711,450000,30000
0,15,450000,453000,171,1711,480000,30000
0,16,480000,483000,171,1711,510000,30000
0,17,510000,513000,171,1711,540000,30000
0,18,540000,543000,171,1711,570000,30000
0,19,570000,573000,171,1711,600000,30000
0,20,600000,603000,171,1711,630000,30000
0,21,630000,633000,171,1711,660000,30000
0,22,660000,663000,171,1711,690000,30000
0,23,690000,693000,171,1711,720000,30000
0,24,720000,723000,171,1711,750000,30000
0,25,750000,753000,171,1711,780000,30000
0,26,780000,783000,171,1711,810000,30000
0,27,810000,813000,171,1711,840000,30000
0,28,840000,843000,171,1711,870000,30000
0,29,870000,873000,171,1711,900000,30000
0,30,900000,903000,171,1711,930000,30000
0,31,930000,933000,171,1711,960000,30000
0,32,960000,963000,171,1711,990000,30000
0,33,990000,993000,171,1711,1020000,30000
0,34,1020000,1023000,171,1711,1050000,30000
0,35,1050000,1053000,171,1711,1080000,30000
0,36,1080000,1083000,171,1711,1110000,30000
0,37,1110000,1113000,171,1711,1140000,30000
0,38,1140000,1143000,171,1711,1170000,30000
0,39,1170000,1173000,171,1711,1200000,30000
0,40,1200000,1203000,171,1711,1230000,30000
0,41,1230000,1233000,171,1711,1260000,30000
0,42,1260000,1263000,171,1711,1290000,30000
0,43,1290000,1293000,171,1711,1320000,30000
0,44,1320000,1323000,171,1711,1350000,30000
0,45,1350000,1353000,171,1711,1380000,30000
0,46,1380000,1383000,171,1711,1410000,30000
0,47,1410000,1413000,171,1711,1440000,30000
0,48,1440000,1443000,171,1711,1470000,30000
0,49,1470000,1473000,171,1711,1500000,30000
0,50,1500000,1503000,171,1711,1530000,30000
0,51,1530000,1533000,171,1711,1560000,30000
0,52,1560000,1563000,171,1711,1590000,30000
0,53,1590000,1593000,171,1711,1620000,30000
0,54,1620000,1623000,171,1711,1650000,30000
0,55,1650000,1653000,171,1711,1680000,30000
1,56,0,3000,175,1755,30000,30000
1,57,30000,33000,175,1755,60000,30000
1,58,60000,63000,175,1755,90000,30000
1,59,90000,93000,175,1755,120000,30000
1,60,120000,123000,175,1755,150000,30000
1,61,150000,153000,175,1755,180000,30000
1,62,180000,183000,175,1755,210000,30000
1,63,210000,213000,175,1755,240000,30000
1,64,240000,243000,175,1755,270000,30000
1,65,270000,273000,175,1755,300000,30000
1,66,300000,303000,175,1755,330000,30000
1,67,330000,333000,175,1755,360000,30000
1,68,360000,363000,175,1755,390000,30000
1,69,390000,393000,175,1755,420000,30000
1,70,420000,423000,175,1755,450000,30000
1,71,450000,453000,175,1755,480000,30000
1,72,480000,483000,175,1755,510000,30000
1,73,510000,513000,175,1755,540000,30000
1,74,540000,543000,175,1755,570000,30000
1,75,570000,573000,175,1755,600000,30000
1,76,600000,603000,175,1755,630000,30000
1,77,630000,633000,175,1755,660000,30000
1,78,660000,663000,175,1755,690000,30000
1,79,690000,693000,175,1755,720000,30000
1,80,720000,723000,175,1755,750000,30000
1,81,750000,753000,175,1755,780000,30000
1,82,780000,783000,175,1755,810000,30000
1,83,810000,813000,175,1755,840000,30000
1,84,840000,843000,175,1755,870000,30000
1,85,870000,873000,175,1755,900000,30000
1,86,900000,903000,175,1755,930000,30000
1,87,930000,933000,175,1755,960000,30000
1,88,960000,963000,175,1755,990000,30000
1,89,990000,993000,175,1755,1020000,30000
1,90,1020000,1023000,175,1755,1050000,30000
1,91,1050000,1053000,175,1755,1080000,30000
1,92,1080000,1083000,175,1755,1110000,30000
1,93,1110000,1113000,175,1755,1140000,30000
1,94,1140000,1143000,175,1755,1170000,30000
1,95,1170000,1173000,175,1755,1200000,30000
1,96,1200000,1203000,175,1755,1230000,30000
1,97,1230000,1233000,175,1755,1260000,30000
1,98,1260000,1263000,175,1755,1290000,30000
1,99,1290000,1293000,175,1755,1320000,30000
1,100,1320000,1323000,175,1755,1350000,30000
1,101,1350000,1353000,175,1755,1380000,30000
1,102,1380000,1383000,175,1755,1410000,30000
1,103,1410000,1413000,175,1755,1440000,30000
1,104,1440000,1443000,175,1755,1470000,30000
1,105,1470000,1473000,175,1755,1500000,30000
1,106,1500000,1503000,175,1755,1530000,30000
1,107,1530000,1533000,175,1755,1560000,30000
1,108,1560000,1563000,175,1755,1590000,30000
1,109,1590000,1593000,175,1755,1620000,30000
1,110,1620000,1623000,175,1755,1650000,30000
1,111,1650000,1653000,175,1755,1680000,30000
2,112,0,3000,308,3071,30000,30000
2,113,30000,33000,308,3071,60000,30000
2,114,60000,63000,308,3071,90000,30000
2,115,90000,93000,308,3071,120000,30000
2,116,120000,123000,308,3071,150000,30000
2,117,150000,153000,308,3071,180000,30000
2,118,180000,183000,308,3071,210000,30000
2,119,210000,213000,308,3071,240000,30000
2,120,240000,243000,308,3071,270000,30000
2,121,270000,273000,308,3071,300000,30000
2,122,300000,303000,308,3071,330000,30000
2,123,330000,333000,308,3071,360000,30000
2,124,360000,363000,308,3071,390000,30000
2,125,390000,393000,308,3071,420000,30000
2,126,420000,423000,308,3071,450000,30000
2,127,450000,453000,308,3071,480000,30000
2,128,480000,483000,308,3071,510000,30000
2,129,510000,513000,308,3071,540000,30000
2,130,540000,543000,308,3071,570000,30000
2,131,570000,573000,308,3071,600000,30000
2,132,600000,603000,308,3071,630000,30000
2,133,630000,633000,308,3071,660000,30000
2,134,660000,663000,308,3071,690000,30000
2,135,690000,693000,308,3071,720000,30000
2,136,720000,723000,308,3071,750000,30000
2,137,750000,753000,308,3071,780000,30000
2,138,780000,783000,308,3071,810000,30000
2,139,810000,813000,308,3071,840000,30000
2,140,840000,843000,308,3071,870000,30000
2,141,870000,873000,308,3071,900000,30000
2,142,900000,903000,308,3071,930000,30000
2,143,930000,933000,308,3071,960000,30000
2,144,960000,963000,308,3071,990000,30000
2,145,990000,993000,308,3071,1020000,30000
2,146,1020000,1023000,308,3071,1050000,30000
2,147,1050000,1053000,308,3071,1080000,30000
2,148,1080000,1083000,308,3071,1110000,30000
2,149,1110000,1113000,308,3071,1140000,30000
2,150,1140000,1143000,308,3071,1170000,30000
2,151,1170000,1173000,308,3071,1200000,30000
2,152,1200000,1203000,308,3071,1230000,30000
2,153,1230000,1233000,308,3071,1260000,30000
2,154,1260000,1263000,308,3071,1290000,30000
2,155,1290000,1293000,308,3071,1320000,30000
2,156,1320000,1323000,308,3071,1350000,30000
2,157,1350000,1353000,308,3071,1380000,30000
2,158,1380000,1383000,308,3071,1410000,30000
2,159,1410000,1413000,308,3071,1440000,30000
2,160,1440000,1443000,308,3071,1470000,30000
2,161,1470000,1473000,308,3071,1500000,30000
2,162,1500000,1503000,308,3071,1530000,30000
2,163,1530000,1533000,308,3071,1560000,30000
2,164,1560000,1563000,308,3071,1590000,30000
2,165,1590000,1593000,308,3071,1620000,30000
2,166,1620000,1623000,308,3071,1650000,30000
2,167,1650000,1653000,308,3071,1680000,30000
3,168,0,3000,336,3365,30000,30000
3,169,30000,33000,336,3365,60000,30000
3,170,60000,63000,336,3365,90000,30000
3,171,90000,93000,336,3365,120000,30000
3,172,120000,123000,336,3365,150000,30000
3,173,150000,153000,336,3365,180000,30000
3,174,180000,183000,336,3365,210000,30000
3,175,210000,213000,336,3365,240000,30000
3,176,240000,243000,336,3365,270000,30000
3,177,270000,273000,336,3365,300000,30000
3,178,300000,303000,336,3365,330000,30000
3,179,330000,333000,336,3365,360000,30000
3,180,360000,363000,336,3365,390000,30000
3,181,390000,393000,336,3365,420000,30000
3,182,420000,423000,336,3365,450000,30000
3,183,450000,453000,336,3365,480000,30000
3,184,480000,483000,336,3365,510000,30000
3,185,510000,513000,336,3365,540000,30000
3,186,540000,543000,336,3365,570000,30000
3,187,570000,573000,336,3365,600000,30000
3,188,600000,603000,336,3365,630000,30000
3,189,630000,633000,336,3365,660000,30000
3,190,660000,663000,336,3365,690000,30000
3,191,690000,693000,336,3365,720000,30000
3,192,720000,723000,336,3365,750000,30000
3,193,750000,753000,336,3365,780000,30000
3,194,780000,783000,336,3365,810000,30000
3,195,810000,813000,336,3365,840000,30000
3,196,840000,843000,336,3365,870000,30000
3,197,870000,873000,336,3365,900000,30000
3,198,900000,903000,336,3365,930000,30000
3,199,930000,933000,336,3365,960000,30000
3,200,960000,963000,336,3365,990000,30000
3,201,990000,993000,336,3365,1020000,30000
3,202,1020000,1023000,336,3365,1050000,30000
3,203,1050000,1053000,336,3365,1080000,30000
3,204,1080000,1083000,336,3365,1110000,30000
3,205,1110000,1113000,336,3365,1140000,30000
3,206,1140000,1143000,336,3365,1170000,30000
3,207,1170000,1173000,336,3365,1200000,30000
3,208,1200000,1203000,336,3365,1230000,30000
3,209,1230000,1233000,336,3365,1260000,30000
3,210,1260000,1263000,336,3365,1290000,30000
3,211,1290000,1293000,336,3365,1320000,30000
3,212,1320000,1323000,336,3365,1350000,30000
3,213,1350000,1353000,336,3365,1380000,30000
3,214,1380000,1383000,336,3365,1410000,30000
3,215,1410000,1413000,336,3365,1440000,30000
3,216,1440000,1443000,336,3365,1470000,30000
3,217,1470000,1473000,336,3365,1500000,30000
3,218,1500000,1503000,336,3365,1530000,30000
3,219,1530000,1533000,336,3365,1560000,30000
3,220,1560000,1563000,336,3365,1590000,30000
3,221,1590000,1593000,336,3365,1620000,30000
3,222,1620000,1623000,336,3365,1650000,30000
3,223,1650000,1653000,336,3365,1680000,30000
4,224,0,3000,114,1145,30000,30000
4,225,30000,33000,114,1145,60000,30000
4,226,60000,63000,114,1145,90000,30000
4,227,90000,93000,114,1145,120000,30000
4,228,120000,123000,114,1145,150000,30000
4,229,150000,153000,114,1145,180000,30000
4,230,180000,183000,114,1145,210000,30000
4,231,210000,213000,114,1145,240000,30000
4,232,240000,243000,114,1145,270000,30000
4,233,270000,273000,114,1145,300000,30000
4,234,300000,303000,114,1145,330000,30000
4,235,330000,333000,114,1145,360000,30000
4,236,360000,363000,114,1145,390000,30000
4,237,390000,393000,114,1145,420000,30000
4,238,420000,423000,114,1145,450000,30000
4,239,450000,453000,114,1145,480000,30000
4,240,480000,483000,114,1145,510000,30000
4,241,510000,513000,114,1145,540000,30000
4,242,540000,543000,114,1145,570000,30000
4,243,570000,573000,114,1145,600000,30000
4,244,600000,603000,114,1145,630000,30000
4,245,630000,633000,114,1145,660000,30000
4,246,660000,663000,114,1145,690000,30000
