From TID,From JID,To TID,To JID
0,0,2,112
0,0,9,504
0,0,10,560
0,0,1,56
0,0,5,280
0,0,8,448
0,1,2,113
0,1,9,505
0,1,10,561
0,1,1,57
0,1,5,281
0,1,8,449
0,2,2,114
0,2,9,506
0,2,10,562
0,2,1,58
0,2,5,282
0,2,8,450
0,3,2,115
0,3,9,507
0,3,10,563
0,3,1,59
0,3,5,283
0,3,8,451
0,4,2,116
0,4,9,508
0,4,10,564
0,4,1,60
0,4,5,284
0,4,8,452
0,5,2,117
0,5,9,509
0,5,10,565
0,5,1,61
0,5,5,285
0,5,8,453
0,6,2,118
0,6,9,510
0,6,10,566
0,6,1,62
0,6,5,286
0,6,8,454
0,7,2,119
0,7,9,511
0,7,10,567
0,7,1,63
0,7,5,287
0,7,8,455
0,8,2,120
0,8,9,512
0,8,10,568
0,8,1,64
0,8,5,288
0,8,8,456
0,9,2,121
0,9,9,513
0,9,10,569
0,9,1,65
0,9,5,289
0,9,8,457
0,10,2,122
0,10,9,514
0,10,10,570
0,10,1,66
0,10,5,290
0,10,8,458
0,11,2,123
0,11,9,515
0,11,10,571
0,11,1,67
0,11,5,291
0,11,8,459
0,12,2,124
0,12,9,516
0,12,10,572
0,12,1,68
0,12,5,292
0,12,8,460
0,13,2,125
0,13,9,517
0,13,10,573
0,13,1,69
0,13,5,293
0,13,8,461
0,14,2,126
0,14,9,518
0,14,10,574
0,14,1,70
0,14,5,294
0,14,8,462
0,15,2,127
0,15,9,519
0,15,10,575
0,15,1,71
0,15,5,295
0,15,8,463
0,16,2,128
0,16,9,520
0,16,10,576
0,16,1,72
0,16,5,296
0,16,8,464
0,17,2,129
0,17,9,521
0,17,10,577
0,17,1,73
0,17,5,297
0,17,8,465
0,18,2,130
0,18,9,522
0,18,10,578
0,18,1,74
0,18,5,298
0,18,8,466
0,19,2,131
0,19,9,523
0,19,10,579
0,19,1,75
0,19,5,299
0,19,8,467
0,20,2,132
0,20,9,524
0,20,10,580
0,20,1,76
0,20,5,300
0,20,8,468
0,21,2,133
0,21,9,525
0,21,10,581
0,21,1,77
0,21,5,301
0,21,8,469
0,22,2,134
0,22,9,526
0,22,10,582
0,22,1,78
0,22,5,302
0,22,8,470
0,23,2,135
0,23,9,527
0,23,10,583
0,23,1,79
0,23,5,303
0,23,8,471
0,24,2,136
0,24,9,528
0,24,10,584
0,24,1,80
0,24,5,304
0,24,8,472
0,25,2,137
0,25,9,529
0,25,10,585
0,25,1,81
0,25,5,305
0,25,8,473
0,26,2,138
0,26,9,530
0,26,10,586
0,26,1,82
0,26,5,306
0,26,8,474
0,27,2,139
0,27,9,531
0,27,10,587
0,27,1,83
0,27,5,307
0,27,8,475
0,28,2,140
0,28,9,532
0,28,10,588
0,28,1,84
0,28,5,308
0,28,8,476
0,29,2,141
0,29,9,533
0,29,10,589
0,29,1,85
0,29,5,309
0,29,8,477
0,30,2,142
0,30,9,534
0,30,10,590
0,30,1,86
0,30,5,310
0,30,8,478
0,31,2,143
0,31,9,535
0,31,10,591
0,31,1,87
0,31,5,311
0,31,8,479
0,32,2,144
0,32,9,536
0,32,10,592
0,32,1,88
0,32,5,312
0,32,8,480
0,33,2,145
0,33,9,537
0,33,10,593
0,33,1,89
0,33,5,313
0,33,8,481
0,34,2,146
0,34,9,538
0,34,10,594
0,34,1,90
0,34,5,314
0,34,8,482
0,35,2,147
0,35,9,539
0,35,10,595
0,35,1,91
0,35,5,315
0,35,8,483
0,36,2,148
0,36,9,540
0,36,10,596
0,36,1,92
0,36,5,316
0,36,8,484
0,37,2,149
0,37,9,541
0,37,10,597
0,37,1,93
0,37,5,317
0,37,8,485
0,38,2,150
0,38,9,542
0,38,10,598
0,38,1,94
0,38,5,318
0,38,8,486
0,39,2,151
0,39,9,543
0,39,10,599
0,39,1,95
0,39,5,319
0,39,8,487
0,40,2,152
0,40,9,544
0,40,10,600
0,40,1,96
0,40,5,320
0,40,8,488
0,41,2,153
0,41,9,545
0,41,10,601
0,41,1,97
0,41,5,321
0,41,8,489
0,42,2,154
0,42,9,546
0,42,10,602
0,42,1,98
0,42,5,322
0,42,8,490
0,43,2,155
0,43,9,547
0,43,10,603
0,43,1,99
0,43,5,323
0,43,8,491
0,44,2,156
0,44,9,548
0,44,10,604
0,44,1,100
0,44,5,324
0,44,8,492
0,45,2,157
0,45,9,549
0,45,10,605
0,45,1,101
0,45,5,325
0,45,8,493
0,46,2,158
0,46,9,550
0,46,10,606
0,46,1,102
0,46,5,326
0,46,8,494
0,47,2,159
0,47,9,551
0,47,10,607
0,47,1,103
0,47,5,327
0,47,8,495
0,48,2,160
0,48,9,552
0,48,10,608
0,48,1,104
0,48,5,328
0,48,8,496
0,49,2,161
0,49,9,553
0,49,10,609
0,49,1,105
0,49,5,329
0,49,8,497
0,50,2,162
0,50,9,554
0,50,10,610
0,50,1,106
0,50,5,330
0,50,8,498
0,51,2,163
0,51,9,555
0,51,10,611
0,51,1,107
0,51,5,331
0,51,8,499
0,52,2,164
0,52,9,556
0,52,10,612
0,52,1,108
0,52,5,332
0,52,8,500
0,53,2,165
0,53,9,557
0,53,10,613
0,53,1,109
0,53,5,333
0,53,8,501
0,54,2,166
0,54,9,558
0,54,10,614
0,54,1,110
0,54,5,334
0,54,8,502
0,55,2,167
0,55,9,559
0,55,10,615
0,55,1,111
0,55,5,335
0,55,8,503
2,112,4,224
2,112,8,448
2,112,1,56
2,112,6,336
2,113,4,225
2,113,8,449
2,113,1,57
2,113,6,337
2,114,4,226
2,114,8,450
2,114,1,58
2,114,6,338
2,115,4,227
2,115,8,451
2,115,1,59
2,115,6,339
2,116,4,228
2,116,8,452
2,116,1,60
2,116,6,340
2,117,4,229
2,117,8,453
2,117,1,61
2,117,6,341
2,118,4,230
2,118,8,454
2,118,1,62
2,118,6,342
2,119,4,231
2,119,8,455
2,119,1,63
2,119,6,343
2,120,4,232
2,120,8,456
2,120,1,64
2,120,6,344
2,121,4,233
2,121,8,457
2,121,1,65
2,121,6,345
2,122,4,234
2,122,8,458
2,122,1,66
2,122,6,346
2,123,4,235
2,123,8,459
2,123,1,67
2,123,6,347
2,124,4,236
2,124,8,460
2,124,1,68
2,124,6,348
2,125,4,237
2,125,8,461
2,125,1,69
2,125,6,349
2,126,4,238
2,126,8,462
2,126,1,70
2,126,6,350
2,127,4,239
2,127,8,463
2,127,1,71
2,127,6,351
