Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,23,230,10000,10000
0,1,10000,11000,23,230,20000,10000
0,2,20000,21000,23,230,30000,10000
0,3,30000,31000,23,230,40000,10000
0,4,40000,41000,23,230,50000,10000
0,5,50000,51000,23,230,60000,10000
0,6,60000,61000,23,230,70000,10000
0,7,70000,71000,23,230,80000,10000
0,8,80000,81000,23,230,90000,10000
0,9,90000,91000,23,230,100000,10000
0,10,100000,101000,23,230,110000,10000
0,11,110000,111000,23,230,120000,10000
0,12,120000,121000,23,230,130000,10000
0,13,130000,131000,23,230,140000,10000
0,14,140000,141000,23,230,150000,10000
0,15,150000,151000,23,230,160000,10000
0,16,160000,161000,23,230,170000,10000
0,17,170000,171000,23,230,180000,10000
1,18,0,1000,43,435,10000,10000
1,19,10000,11000,43,435,20000,10000
1,20,20000,21000,43,435,30000,10000
1,21,30000,31000,43,435,40000,10000
1,22,40000,41000,43,435,50000,10000
1,23,50000,51000,43,435,60000,10000
1,24,60000,61000,43,435,70000,10000
1,25,70000,71000,43,435,80000,10000
1,26,80000,81000,43,435,90000,10000
1,27,90000,91000,43,435,100000,10000
1,28,100000,101000,43,435,110000,10000
1,29,110000,111000,43,435,120000,10000
1,30,120000,121000,43,435,130000,10000
1,31,130000,131000,43,435,140000,10000
1,32,140000,141000,43,435,150000,10000
1,33,150000,151000,43,435,160000,10000
1,34,160000,161000,43,435,170000,10000
1,35,170000,171000,43,435,180000,10000
2,36,0,1000,71,707,10000,10000
2,37,10000,11000,71,707,20000,10000
2,38,20000,21000,71,707,30000,10000
2,39,30000,31000,71,707,40000,10000
2,40,40000,41000,71,707,50000,10000
2,41,50000,51000,71,707,60000,10000
2,42,60000,61000,71,707,70000,10000
2,43,70000,71000,71,707,80000,10000
2,44,80000,81000,71,707,90000,10000
2,45,90000,91000,71,707,100000,10000
2,46,100000,101000,71,707,110000,10000
2,47,110000,111000,71,707,120000,10000
2,48,120000,121000,71,707,130000,10000
2,49,130000,131000,71,707,140000,10000
2,50,140000,141000,71,707,150000,10000
2,51,150000,151000,71,707,160000,10000
2,52,160000,161000,71,707,170000,10000
2,53,170000,171000,71,707,180000,10000
3,54,0,1000,65,650,10000,10000
3,55,10000,11000,65,650,20000,10000
3,56,20000,21000,65,650,30000,10000
3,57,30000,31000,65,650,40000,10000
3,58,40000,41000,65,650,50000,10000
3,59,50000,51000,65,650,60000,10000
3,60,60000,61000,65,650,70000,10000
3,61,70000,71000,65,650,80000,10000
3,62,80000,81000,65,650,90000,10000
3,63,90000,91000,65,650,100000,10000
3,64,100000,101000,65,650,110000,10000
3,65,110000,111000,65,650,120000,10000
3,66,120000,121000,65,650,130000,10000
3,67,130000,131000,65,650,140000,10000
3,68,140000,141000,65,650,150000,10000
3,69,150000,151000,65,650,160000,10000
3,70,160000,161000,65,650,170000,10000
3,71,170000,171000,65,650,180000,10000
4,72,0,1000,8,79,10000,10000
4,73,10000,11000,8,79,20000,10000
4,74,20000,21000,8,79,30000,10000
4,75,30000,31000,8,79,40000,10000
4,76,40000,41000,8,79,50000,10000
4,77,50000,51000,8,79,60000,10000
4,78,60000,61000,8,79,70000,10000
4,79,70000,71000,8,79,80000,10000
4,80,80000,81000,8,79,90000,10000
4,81,90000,91000,8,79,100000,10000
4,82,100000,101000,8,79,110000,10000
4,83,110000,111000,8,79,120000,10000
4,84,120000,121000,8,79,130000,10000
4,85,130000,131000,8,79,140000,10000
4,86,140000,141000,8,79,150000,10000
4,87,150000,151000,8,79,160000,10000
4,88,160000,161000,8,79,170000,10000
4,89,170000,171000,8,79,180000,10000
5,90,0,1000,61,601,10000,10000
5,91,10000,11000,61,601,20000,10000
5,92,20000,21000,61,601,30000,10000
5,93,30000,31000,61,601,40000,10000
5,94,40000,41000,61,601,50000,10000
5,95,50000,51000,61,601,60000,10000
5,96,60000,61000,61,601,70000,10000
5,97,70000,71000,61,601,80000,10000
5,98,80000,81000,61,601,90000,10000
5,99,90000,91000,61,601,100000,10000
5,100,100000,101000,61,601,110000,10000
5,101,110000,111000,61,601,120000,10000
5,102,120000,121000,61,601,130000,10000
5,103,130000,131000,61,601,140000,10000
5,104,140000,141000,61,601,150000,10000
5,105,150000,151000,61,601,160000,10000
5,106,160000,161000,61,601,170000,10000
5,107,170000,171000,61,601,180000,10000
6,108,0,1000,46,462,10000,10000
6,109,10000,11000,46,462,20000,10000
6,110,20000,21000,46,462,30000,10000
6,111,30000,31000,46,462,40000,10000
6,112,40000,41000,46,462,50000,10000
6,113,50000,51000,46,462,60000,10000
6,114,60000,61000,46,462,70000,10000
6,115,70000,71000,46,462,80000,10000
6,116,80000,81000,46,462,90000,10000
6,117,90000,91000,46,462,100000,10000
6,118,100000,101000,46,462,110000,10000
6,119,110000,111000,46,462,120000,10000
6,120,120000,121000,46,462,130000,10000
6,121,130000,131000,46,462,140000,10000
6,122,140000,141000,46,462,150000,10000
6,123,150000,151000,46,462,160000,10000
6,124,160000,161000,46,462,170000,10000
6,125,170000,171000,46,462,180000,10000
7,126,0,1000,9,95,10000,10000
7,127,10000,11000,9,95,20000,10000
7,128,20000,21000,9,95,30000,10000
7,129,30000,31000,9,95,40000,10000
7,130,40000,41000,9,95,50000,10000
7,131,50000,51000,9,95,60000,10000
7,132,60000,61000,9,95,70000,10000
7,133,70000,71000,9,95,80000,10000
7,134,80000,81000,9,95,90000,10000
7,135,90000,91000,9,95,100000,10000
7,136,100000,101000,9,95,110000,10000
7,137,110000,111000,9,95,120000,10000
7,138,120000,121000,9,95,130000,10000
7,139,130000,131000,9,95,140000,10000
7,140,140000,141000,9,95,150000,10000
7,141,150000,151000,9,95,160000,10000
7,142,160000,161000,9,95,170000,10000
7,143,170000,171000,9,95,180000,10000
8,144,0,1000,10,101,10000,10000
8,145,10000,11000,10,101,20000,10000
8,146,20000,21000,10,101,30000,10000
8,147,30000,31000,10,101,40000,10000
8,148,40000,41000,10,101,50000,10000
8,149,50000,51000,10,101,60000,10000
8,150,60000,61000,10,101,70000,10000
8,151,70000,71000,10,101,80000,10000
8,152,80000,81000,10,101,90000,10000
8,153,90000,91000,10,101,100000,10000
8,154,100000,101000,10,101,110000,10000
8,155,110000,111000,10,101,120000,10000
8,156,120000,121000,10,101,130000,10000
8,157,130000,131000,10,101,140000,10000
8,158,140000,141000,10,101,150000,10000
8,159,150000,151000,10,101,160000,10000
8,160,160000,161000,10,101,170000,10000
8,161,170000,171000,10,101,180000,10000
9,162,0,1000,62,619,10000,10000
9,163,10000,11000,62,619,20000,10000
9,164,20000,21000,62,619,30000,10000
9,165,30000,31000,62,619,40000,10000
9,166,40000,41000,62,619,50000,10000
9,167,50000,51000,62,619,60000,10000
9,168,60000,61000,62,619,70000,10000
9,169,70000,71000,62,619,80000,10000
9,170,80000,81000,62,619,90000,10000
9,171,90000,91000,62,619,100000,10000
9,172,100000,101000,62,619,110000,10000
9,173,110000,111000,62,619,120000,10000
9,174,120000,121000,62,619,130000,10000
9,175,130000,131000,62,619,140000,10000
9,176,140000,141000,62,619,150000,10000
9,177,150000,151000,62,619,160000,10000
9,178,160000,161000,62,619,170000,10000
9,179,170000,171000,62,619,180000,10000
10,180,0,1000,56,564,10000,10000
10,181,10000,11000,56,564,20000,10000
10,182,20000,21000,56,564,30000,10000
10,183,30000,31000,56,564,40000,10000
10,184,40000,41000,56,564,50000,10000
10,185,50000,51000,56,564,60000,10000
10,186,60000,61000,56,564,70000,10000
10,187,70000,71000,56,564,80000,10000
10,188,80000,81000,56,564,90000,10000
10,189,90000,91000,56,564,100000,10000
10,190,100000,101000,56,564,110000,10000
10,191,110000,111000,56,564,120000,10000
10,192,120000,121000,56,564,130000,10000
10,193,130000,131000,56,564,140000,10000
10,194,140000,141000,56,564,150000,10000
10,195,150000,151000,56,564,160000,10000
10,196,160000,161000,56,564,170000,10000
10,197,170000,171000,56,564,180000,10000
11,198,0,1000,7,72,10000,10000
11,199,10000,11000,7,72,20000,10000
11,200,20000,21000,7,72,30000,10000
11,201,30000,31000,7,72,40000,10000
11,202,40000,41000,7,72,50000,10000
11,203,50000,51000,7,72,60000,10000
11,204,60000,61000,7,72,70000,10000
11,205,70000,71000,7,72,80000,10000
11,206,80000,81000,7,72,90000,10000
11,207,90000,91000,7,72,100000,10000
11,208,100000,101000,7,72,110000,10000
11,209,110000,111000,7,72,120000,10000
11,210,120000,121000,7,72,130000,10000
11,211,130000,131000,7,72,140000,10000
11,212,140000,141000,7,72,150000,10000
11,213,150000,151000,7,72,160000,10000
11,214,160000,161000,7,72,170000,10000
11,215,170000,171000,7,72,180000,10000
12,216,0,1000,99,992,10000,10000
12,217,10000,11000,99,992,20000,10000
12,218,20000,21000,99,992,30000,10000
12,219,30000,31000,99,992,40000,10000
12,220,40000,41000,99,992,50000,10000
12,221,50000,51000,99,992,60000,10000
12,222,60000,61000,99,992,70000,10000
12,223,70000,71000,99,992,80000,10000
12,224,80000,81000,99,992,90000,10000
12,225,90000,91000,99,992,100000,10000
12,226,100000,101000,99,992,110000,10000
12,227,110000,111000,99,992,120000,10000
12,228,120000,121000,99,992,130000,10000
12,229,130000,131000,99,992,140000,10000
12,230,140000,141000,99,992,150000,10000
12,231,150000,151000,99,992,160000,10000
12,232,160000,161000,99,992,170000,10000
12,233,170000,171000,99,992,180000,10000
13,234,0,1000,108,1083,10000,10000
13,235,10000,11000,108,1083,20000,10000
13,236,20000,21000,108,1083,30000,10000
13,237,30000,31000,108,1083,40000,10000
13,238,40000,41000,108,1083,50000,10000
13,239,50000,51000,108,1083,60000,10000
13,240,60000,61000,108,1083,70000,10000
13,241,70000,71000,108,1083,80000,10000
13,242,80000,81000,108,1083,90000,10000
13,243,90000,91000,108,1083,100000,10000
13,244,100000,101000,108,1083,110000,10000
13,245,110000,111000,108,1083,120000,10000
13,246,120000,121000,108,1083,130000,10000
13,247,130000,131000,108,1083,140000,10000
13,248,140000,141000,108,1083,150000,10000
13,249,150000,151000,108,1083,160000,10000
13,250,160000,161000,108,1083,170000,10000
13,251,170000,171000,108,1083,180000,10000
14,252,0,1000,36,361,10000,10000
14,253,10000,11000,36,361,20000,10000
14,254,20000,21000,36,361,30000,10000
14,255,30000,31000,36,361,40000,10000
14,256,40000,41000,36,361,50000,10000
14,257,50000,51000,36,361,60000,10000
14,258,60000,61000,36,361,70000,10000
14,259,70000,71000,36,361,80000,10000
14,260,80000,81000,36,361,90000,10000
14,261,90000,91000,36,361,100000,10000
14,262,100000,101000,36,361,110000,10000
14,263,110000,111000,36,361,120000,10000
14,264,120000,121000,36,361,130000,10000
14,265,130000,131000,36,361,140000,10000
14,266,140000,141000,36,361,150000,10000
14,267,150000,151000,36,361,160000,10000
14,268,160000,161000,36,361,170000,10000
14,269,170000,171000,36,361,180000,10000
15,270,0,1000,142,1421,10000,10000
15,271,10000,11000,142,1421,20000,10000
15,272,20000,21000,142,1421,30000,10000
15,273,30000,31000,142,1421,40000,10000
15,274,40000,41000,142,1421,50000,10000
15,275,50000,51000,142,1421,60000,10000
15,276,60000,61000,142,1421,70000,10000
15,277,70000,71000,142,1421,80000,10000
15,278,80000,81000,142,1421,90000,10000
15,279,90000,91000,142,1421,100000,10000
15,280,100000,101000,142,1421,110000,10000
15,281,110000,111000,142,1421,120000,10000
15,282,120000,121000,142,1421,130000,10000
15,283,130000,131000,142,1421,140000,10000
15,284,140000,141000,142,1421,150000,10000
15,285,150000,151000,142,1421,160000,10000
15,286,160000,161000,142,1421,170000,10000
15,287,170000,171000,142,1421,180000,10000
16,288,0,1000,64,636,10000,10000
16,289,10000,11000,64,636,20000,10000
16,290,20000,21000,64,636,30000,10000
16,291,30000,31000,64,636,40000,10000
16,292,40000,41000,64,636,50000,10000
16,293,50000,51000,64,636,60000,10000
16,294,60000,61000,64,636,70000,10000
16,295,70000,71000,64,636,80000,10000
16,296,80000,81000,64,636,90000,10000
16,297,90000,91000,64,636,100000,10000
16,298,100000,101000,64,636,110000,10000
16,299,110000,111000,64,636,120000,10000
16,300,120000,121000,64,636,130000,10000
16,301,130000,131000,64,636,140000,10000
16,302,140000,141000,64,636,150000,10000
16,303,150000,151000,64,636,160000,10000
16,304,160000,161000,64,636,170000,10000
16,305,170000,171000,64,636,180000,10000
17,306,0,1000,145,1451,10000,10000
17,307,10000,11000,145,1451,20000,10000
17,308,20000,21000,145,1451,30000,10000
17,309,30000,31000,145,1451,40000,10000
17,310,40000,41000,145,1451,50000,10000
