From TID,From JID,To TID,To JID
0,0,2,36
0,0,9,162
0,0,10,180
0,0,4,72
0,0,5,90
0,0,7,126
0,1,2,37
0,1,9,163
0,1,10,181
0,1,4,73
0,1,5,91
0,1,7,127
0,2,2,38
0,2,9,164
0,2,10,182
0,2,4,74
0,2,5,92
0,2,7,128
0,3,2,39
0,3,9,165
0,3,10,183
0,3,4,75
0,3,5,93
0,3,7,129
0,4,2,40
0,4,9,166
0,4,10,184
0,4,4,76
0,4,5,94
0,4,7,130
0,5,2,41
0,5,9,167
0,5,10,185
0,5,4,77
0,5,5,95
0,5,7,131
0,6,2,42
0,6,9,168
0,6,10,186
0,6,4,78
0,6,5,96
0,6,7,132
0,7,2,43
0,7,9,169
0,7,10,187
0,7,4,79
0,7,5,97
0,7,7,133
0,8,2,44
0,8,9,170
0,8,10,188
0,8,4,80
0,8,5,98
0,8,7,134
0,9,2,45
0,9,9,171
0,9,10,189
0,9,4,81
0,9,5,99
0,9,7,135
0,10,2,46
0,10,9,172
0,10,10,190
0,10,4,82
0,10,5,100
0,10,7,136
0,11,2,47
0,11,9,173
0,11,10,191
0,11,4,83
0,11,5,101
0,11,7,137
0,12,2,48
0,12,9,174
0,12,10,192
0,12,4,84
0,12,5,102
0,12,7,138
0,13,2,49
0,13,9,175
0,13,10,193
0,13,4,85
0,13,5,103
0,13,7,139
0,14,2,50
0,14,9,176
0,14,10,194
0,14,4,86
0,14,5,104
0,14,7,140
0,15,2,51
0,15,9,177
0,15,10,195
0,15,4,87
0,15,5,105
0,15,7,141
0,16,2,52
0,16,9,178
0,16,10,196
0,16,4,88
0,16,5,106
0,16,7,142
0,17,2,53
0,17,9,179
0,17,10,197
0,17,4,89
0,17,5,107
0,17,7,143
2,36,4,72
2,36,5,90
2,36,1,18
2,36,3,54
2,36,6,108
2,36,7,126
2,36,8,144
2,37,4,73
2,37,5,91
2,37,1,19
2,37,3,55
2,37,6,109
2,37,7,127
2,37,8,145
2,38,4,74
2,38,5,92
2,38,1,20
2,38,3,56
2,38,6,110
2,38,7,128
2,38,8,146
2,39,4,75
2,39,5,93
2,39,1,21
2,39,3,57
2,39,6,111
2,39,7,129
2,39,8,147
2,40,4,76
2,40,5,94
2,40,1,22
2,40,3,58
2,40,6,112
2,40,7,130
2,40,8,148
2,41,4,77
2,41,5,95
2,41,1,23
2,41,3,59
2,41,6,113
2,41,7,131
2,41,8,149
2,42,4,78
2,42,5,96
2,42,1,24
2,42,3,60
2,42,6,114
2,42,7,132
2,42,8,150
2,43,4,79
2,43,5,97
2,43,1,25
2,43,3,61
2,43,6,115
2,43,7,133
2,43,8,151
2,44,4,80
2,44,5,98
2,44,1,26
2,44,3,62
2,44,6,116
2,44,7,134
2,44,8,152
2,45,4,81
2,45,5,99
2,45,1,27
2,45,3,63
2,45,6,117
2,45,7,135
2,45,8,153
2,46,4,82
2,46,5,100
2,46,1,28
2,46,3,64
2,46,6,118
2,46,7,136
2,46,8,154
2,47,4,83
2,47,5,101
2,47,1,29
2,47,3,65
2,47,6,119
2,47,7,137
2,47,8,155
2,48,4,84
2,48,5,102
2,48,1,30
2,48,3,66
2,48,6,120
2,48,7,138
2,48,8,156
2,49,4,85
2,49,5,103
2,49,1,31
2,49,3,67
2,49,6,121
2,49,7,139
2,49,8,157
2,50,4,86
2,50,5,104
2,50,1,32
2,50,3,68
2,50,6,122
2,50,7,140
2,50,8,158
2,51,4,87
2,51,5,105
2,51,1,33
2,51,3,69
2,51,6,123
2,51,7,141
2,51,8,159
2,52,4,88
2,52,5,106
2,52,1,34
2,52,3,70
2,52,6,124
2,52,7,142
2,52,8,160
2,53,4,89
2,53,5,107
2,53,1,35
2,53,3,71
2,53,6,125
2,53,7,143
2,53,8,161
3,54,1,18
3,55,1,19
3,56,1,20
3,57,1,21
3,58,1,22
3,59,1,23
3,60,1,24
3,61,1,25
3,62,1,26
3,63,1,27
3,64,1,28
3,65,1,29
3,66,1,30
3,67,1,31
3,68,1,32
3,69,1,33
3,70,1,34
3,71,1,35
4,72,3,54
4,72,1,18
4,72,7,126
4,73,3,55
4,73,1,19
4,73,7,127
4,74,3,56
4,74,1,20
4,74,7,128
4,75,3,57
4,75,1,21
4,75,7,129
4,76,3,58
4,76,1,22
4,76,7,130
4,77,3,59
4,77,1,23
4,77,7,131
4,78,3,60
4,78,1,24
4,78,7,132
4,79,3,61
4,79,1,25
4,79,7,133
4,80,3,62
4,80,1,26
4,80,7,134
4,81,3,63
4,81,1,27
4,81,7,135
4,82,3,64
4,82,1,28
4,82,7,136
4,83,3,65
4,83,1,29
4,83,7,137
4,84,3,66
4,84,1,30
4,84,7,138
4,85,3,67
4,85,1,31
4,85,7,139
4,86,3,68
4,86,1,32
4,86,7,140
4,87,3,69
4,87,1,33
4,87,7,141
4,88,3,70
4,88,1,34
4,88,7,142
4,89,3,71
4,89,1,35
4,89,7,143
5,90,7,126
5,90,8,144
5,90,3,54
5,90,6,108
5,91,7,127
5,91,8,145
5,91,3,55
5,91,6,109
5,92,7,128
5,92,8,146
5,92,3,56
5,92,6,110
5,93,7,129
5,93,8,147
5,93,3,57
5,93,6,111
5,94,7,130
5,94,8,148
5,94,3,58
5,94,6,112
5,95,7,131
5,95,8,149
5,95,3,59
5,95,6,113
5,96,7,132
5,96,8,150
5,96,3,60
5,96,6,114
5,97,7,133
5,97,8,151
5,97,3,61
5,97,6,115
5,98,7,134
5,98,8,152
5,98,3,62
5,98,6,116
5,99,7,135
5,99,8,153
5,99,3,63
5,99,6,117
5,100,7,136
5,100,8,154
5,100,3,64
5,100,6,118
5,101,7,137
5,101,8,155
5,101,3,65
5,101,6,119
5,102,7,138
5,102,8,156
5,102,3,66
5,102,6,120
5,103,7,139
5,103,8,157
5,103,3,67
5,103,6,121
5,104,7,140
5,104,8,158
5,104,3,68
5,104,6,122
5,105,7,141
5,105,8,159
5,105,3,69
5,105,6,123
5,106,7,142
5,106,8,160
5,106,3,70
5,106,6,124
5,107,7,143
5,107,8,161
5,107,3,71
5,107,6,125
6,108,3,54
6,109,3,55
6,110,3,56
6,111,3,57
6,112,3,58
6,113,3,59
6,114,3,60
6,115,3,61
6,116,3,62
6,117,3,63
6,118,3,64
6,119,3,65
6,120,3,66
6,121,3,67
6,122,3,68
6,123,3,69
6,124,3,70
6,125,3,71
7,126,6,108
7,126,1,18
7,126,3,54
7,127,6,109
7,127,1,19
7,127,3,55
7,128,6,110
7,128,1,20
7,128,3,56
7,129,6,111
7,129,1,21
7,129,3,57
7,130,6,112
7,130,1,22
7,130,3,58
7,131,6,113
7,131,1,23
7,131,3,59
7,132,6,114
7,132,1,24
7,132,3,60
7,133,6,115
7,133,1,25
7,133,3,61
7,134,6,116
7,134,1,26
7,134,3,62
7,135,6,117
7,135,1,27
7,135,3,63
7,136,6,118
7,136,1,28
7,136,3,64
7,137,6,119
7,137,1,29
7,137,3,65
7,138,6,120
7,138,1,30
7,138,3,66
7,139,6,121
7,139,1,31
7,139,3,67
7,140,6,122
7,140,1,32
7,140,3,68
7,141,6,123
7,141,1,33
7,141,3,69
7,142,6,124
7,142,1,34
7,142,3,70
7,143,6,125
7,143,1,35
7,143,3,71
8,144,6,108
8,145,6,109
8,146,6,110
8,147,6,111
8,148,6,112
8,149,6,113
8,150,6,114
8,151,6,115
8,152,6,116
8,153,6,117
8,154,6,118
8,155,6,119
8,156,6,120
8,157,6,121
8,158,6,122
8,159,6,123
8,160,6,124
8,161,6,125
9,162,1,18
9,162,4,72
9,162,5,90
9,162,6,108
9,162,7,126
9,162,8,144
9,163,1,19
9,163,4,73
9,163,5,91
9,163,6,109
9,163,7,127
9,163,8,145
9,164,1,20
9,164,4,74
9,164,5,92
9,164,6,110
9,164,7,128
9,164,8,146
9,165,1,21
9,165,4,75
9,165,5,93
9,165,6,111
9,165,7,129
9,165,8,147
9,166,1,22
9,166,4,76
9,166,5,94
9,166,6,112
9,166,7,130
9,166,8,148
9,167,1,23
9,167,4,77
9,167,5,95
9,167,6,113
9,167,7,131
9,167,8,149
9,168,1,24
9,168,4,78
9,168,5,96
9,168,6,114
9,168,7,132
9,168,8,150
9,169,1,25
9,169,4,79
9,169,5,97
9,169,6,115
9,169,7,133
9,169,8,151
9,170,1,26
9,170,4,80
9,170,5,98
9,170,6,116
9,170,7,134
9,170,8,152
9,171,1,27
9,171,4,81
9,171,5,99
9,171,6,117
9,171,7,135
9,171,8,153
9,172,1,28
9,172,4,82
9,172,5,100
9,172,6,118
9,172,7,136
9,172,8,154
9,173,1,29
9,173,4,83
9,173,5,101
9,173,6,119
9,173,7,137
9,173,8,155
9,174,1,30
9,174,4,84
9,174,5,102
9,174,6,120
9,174,7,138
9,174,8,156
9,175,1,31
9,175,4,85
9,175,5,103
9,175,6,121
9,175,7,139
9,175,8,157
9,176,1,32
9,176,4,86
9,176,5,104
9,176,6,122
9,176,7,140
9,176,8,158
9,177,1,33
9,177,4,87
9,177,5,105
9,177,6,123
9,177,7,141
9,177,8,159
9,178,1,34
9,178,4,88
9,178,5,106
9,178,6,124
9,178,7,142
9,178,8,160
9,179,1,35
9,179,4,89
9,179,5,107
9,179,6,125
9,179,7,143
9,179,8,161
10,180,1,18
10,180,4,72
10,180,5,90
10,180,6,108
10,180,8,144
10,181,1,19
10,181,4,73
10,181,5,91
10,181,6,109
10,181,8,145
10,182,1,20
10,182,4,74
10,182,5,92
10,182,6,110
10,182,8,146
10,183,1,21
10,183,4,75
10,183,5,93
10,183,6,111
10,183,8,147
10,184,1,22
10,184,4,76
10,184,5,94
10,184,6,112
10,184,8,148
10,185,1,23
10,185,4,77
10,185,5,95
10,185,6,113
10,185,8,149
10,186,1,24
10,186,4,78
10,186,5,96
10,186,6,114
10,186,8,150
10,187,1,25
10,187,4,79
10,187,5,97
10,187,6,115
10,187,8,151
10,188,1,26
10,188,4,80
10,188,5,98
10,188,6,116
10,188,8,152
10,189,1,27
10,189,4,81
10,189,5,99
10,189,6,117
10,189,8,153
10,190,1,28
10,190,4,82
10,190,5,100
10,190,6,118
10,190,8,154
10,191,1,29
10,191,4,83
10,191,5,101
10,191,6,119
10,191,8,155
10,192,1,30
10,192,4,84
10,192,5,102
10,192,6,120
10,192,8,156
10,193,1,31
10,193,4,85
10,193,5,103
10,193,6,121
10,193,8,157
10,194,1,32
10,194,4,86
10,194,5,104
10,194,6,122
10,194,8,158
10,195,1,33
10,195,4,87
10,195,5,105
10,195,6,123
10,195,8,159
10,196,1,34
10,196,4,88
10,196,5,106
10,196,6,124
10,196,8,160
10,197,1,35
10,197,4,89
10,197,5,107
10,197,6,125
10,197,8,161
11,198,13,234
11,198,14,252
11,198,18,324
11,199,13,235
11,199,14,253
11,199,18,325
11,200,13,236
11,200,14,254
11,200,18,326
11,201,13,237
11,201,14,255
11,201,18,327
11,202,13,238
11,202,14,256
11,202,18,328
11,203,13,239
11,203,14,257
11,203,18,329
11,204,13,240
11,204,14,258
11,204,18,330
11,205,13,241
11,205,14,259
11,205,18,331
11,206,13,242
11,206,14,260
11,206,18,332
11,207,13,243
11,207,14,261
11,207,18,333
11,208,13,244
11,208,14,262
11,208,18,334
11,209,13,245
11,209,14,263
11,209,18,335
11,210,13,246
11,210,14,264
11,210,18,336
11,211,13,247
11,211,14,265
11,211,18,337
11,212,13,248
11,212,14,266
11,212,18,338
11,213,13,249
11,213,14,267
11,213,18,339
11,214,13,250
11,214,14,268
11,214,18,340
11,215,13,251
11,215,14,269
11,215,18,341
13,234,12,216
13,234,15,270
13,234,17,306
13,235,12,217
13,235,15,271
13,235,17,307
13,236,12,218
13,236,15,272
13,236,17,308
13,237,12,219
13,237,15,273
13,237,17,309
13,238,12,220
13,238,15,274
13,238,17,310
13,239,12,221
13,239,15,275
13,239,17,311
13,240,12,222
13,240,15,276
13,240,17,312
13,241,12,223
13,241,15,277
13,241,17,313
13,242,12,224
13,242,15,278
13,242,17,314
13,243,12,225
13,243,15,279
13,243,17,315
13,244,12,226
13,244,15,280
13,244,17,316
13,245,12,227
13,245,15,281
13,245,17,317
13,246,12,228
13,246,15,282
13,246,17,318
13,247,12,229
13,247,15,283
13,247,17,319
13,248,12,230
13,248,15,284
13,248,17,320
13,249,12,231
13,249,15,285
13,249,17,321
13,250,12,232
13,250,15,286
13,250,17,322
13,251,12,233
13,251,15,287
13,251,17,323
14,252,16,288
14,252,17,306
14,253,16,289
14,253,17,307
14,254,16,290
14,254,17,308
14,255,16,291
14,255,17,309
14,256,16,292
14,256,17,310
14,257,16,293
14,257,17,311
14,258,16,294
14,258,17,312
14,259,16,295
14,259,17,313
14,260,16,296
14,260,17,314
14,261,16,297
14,261,17,315
14,262,16,298
