Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,3,29,10000,10000
0,1,10000,11000,3,29,20000,10000
0,2,20000,21000,3,29,30000,10000
0,3,30000,31000,3,29,40000,10000
0,4,40000,41000,3,29,50000,10000
0,5,50000,51000,3,29,60000,10000
0,6,60000,61000,3,29,70000,10000
0,7,70000,71000,3,29,80000,10000
0,8,80000,81000,3,29,90000,10000
0,9,90000,91000,3,29,100000,10000
0,10,100000,101000,3,29,110000,10000
0,11,110000,111000,3,29,120000,10000
0,12,120000,121000,3,29,130000,10000
0,13,130000,131000,3,29,140000,10000
0,14,140000,141000,3,29,150000,10000
0,15,150000,151000,3,29,160000,10000
0,16,160000,161000,3,29,170000,10000
0,17,170000,171000,3,29,180000,10000
0,18,180000,181000,3,29,190000,10000
0,19,190000,191000,3,29,200000,10000
0,20,200000,201000,3,29,210000,10000
1,21,0,1000,6,60,10000,10000
1,22,10000,11000,6,60,20000,10000
1,23,20000,21000,6,60,30000,10000
1,24,30000,31000,6,60,40000,10000
1,25,40000,41000,6,60,50000,10000
1,26,50000,51000,6,60,60000,10000
1,27,60000,61000,6,60,70000,10000
1,28,70000,71000,6,60,80000,10000
1,29,80000,81000,6,60,90000,10000
1,30,90000,91000,6,60,100000,10000
1,31,100000,101000,6,60,110000,10000
1,32,110000,111000,6,60,120000,10000
1,33,120000,121000,6,60,130000,10000
1,34,130000,131000,6,60,140000,10000
1,35,140000,141000,6,60,150000,10000
1,36,150000,151000,6,60,160000,10000
1,37,160000,161000,6,60,170000,10000
1,38,170000,171000,6,60,180000,10000
1,39,180000,181000,6,60,190000,10000
1,40,190000,191000,6,60,200000,10000
1,41,200000,201000,6,60,210000,10000
2,42,0,1000,9,87,10000,10000
2,43,10000,11000,9,87,20000,10000
2,44,20000,21000,9,87,30000,10000
2,45,30000,31000,9,87,40000,10000
2,46,40000,41000,9,87,50000,10000
2,47,50000,51000,9,87,60000,10000
2,48,60000,61000,9,87,70000,10000
2,49,70000,71000,9,87,80000,10000
2,50,80000,81000,9,87,90000,10000
2,51,90000,91000,9,87,100000,10000
2,52,100000,101000,9,87,110000,10000
2,53,110000,111000,9,87,120000,10000
2,54,120000,121000,9,87,130000,10000
2,55,130000,131000,9,87,140000,10000
2,56,140000,141000,9,87,150000,10000
2,57,150000,151000,9,87,160000,10000
2,58,160000,161000,9,87,170000,10000
2,59,170000,171000,9,87,180000,10000
2,60,180000,181000,9,87,190000,10000
2,61,190000,191000,9,87,200000,10000
2,62,200000,201000,9,87,210000,10000
3,63,0,1000,7,74,10000,10000
3,64,10000,11000,7,74,20000,10000
3,65,20000,21000,7,74,30000,10000
3,66,30000,31000,7,74,40000,10000
3,67,40000,41000,7,74,50000,10000
3,68,50000,51000,7,74,60000,10000
3,69,60000,61000,7,74,70000,10000
3,70,70000,71000,7,74,80000,10000
3,71,80000,81000,7,74,90000,10000
3,72,90000,91000,7,74,100000,10000
3,73,100000,101000,7,74,110000,10000
3,74,110000,111000,7,74,120000,10000
3,75,120000,121000,7,74,130000,10000
3,76,130000,131000,7,74,140000,10000
3,77,140000,141000,7,74,150000,10000
3,78,150000,151000,7,74,160000,10000
3,79,160000,161000,7,74,170000,10000
3,80,170000,171000,7,74,180000,10000
3,81,180000,181000,7,74,190000,10000
3,82,190000,191000,7,74,200000,10000
3,83,200000,201000,7,74,210000,10000
4,84,0,1000,8,76,10000,10000
4,85,10000,11000,8,76,20000,10000
4,86,20000,21000,8,76,30000,10000
4,87,30000,31000,8,76,40000,10000
4,88,40000,41000,8,76,50000,10000
4,89,50000,51000,8,76,60000,10000
4,90,60000,61000,8,76,70000,10000
4,91,70000,71000,8,76,80000,10000
4,92,80000,81000,8,76,90000,10000
4,93,90000,91000,8,76,100000,10000
4,94,100000,101000,8,76,110000,10000
4,95,110000,111000,8,76,120000,10000
4,96,120000,121000,8,76,130000,10000
4,97,130000,131000,8,76,140000,10000
4,98,140000,141000,8,76,150000,10000
4,99,150000,151000,8,76,160000,10000
4,100,160000,161000,8,76,170000,10000
4,101,170000,171000,8,76,180000,10000
4,102,180000,181000,8,76,190000,10000
4,103,190000,191000,8,76,200000,10000
4,104,200000,201000,8,76,210000,10000
5,105,0,1000,4,37,10000,10000
5,106,10000,11000,4,37,20000,10000
5,107,20000,21000,4,37,30000,10000
5,108,30000,31000,4,37,40000,10000
5,109,40000,41000,4,37,50000,10000
5,110,50000,51000,4,37,60000,10000
5,111,60000,61000,4,37,70000,10000
5,112,70000,71000,4,37,80000,10000
5,113,80000,81000,4,37,90000,10000
5,114,90000,91000,4,37,100000,10000
5,115,100000,101000,4,37,110000,10000
5,116,110000,111000,4,37,120000,10000
5,117,120000,121000,4,37,130000,10000
5,118,130000,131000,4,37,140000,10000
5,119,140000,141000,4,37,150000,10000
5,120,150000,151000,4,37,160000,10000
5,121,160000,161000,4,37,170000,10000
5,122,170000,171000,4,37,180000,10000
5,123,180000,181000,4,37,190000,10000
5,124,190000,191000,4,37,200000,10000
5,125,200000,201000,4,37,210000,10000
6,126,0,1000,1,10,10000,10000
6,127,10000,11000,1,10,20000,10000
6,128,20000,21000,1,10,30000,10000
6,129,30000,31000,1,10,40000,10000
6,130,40000,41000,1,10,50000,10000
6,131,50000,51000,1,10,60000,10000
6,132,60000,61000,1,10,70000,10000
6,133,70000,71000,1,10,80000,10000
6,134,80000,81000,1,10,90000,10000
6,135,90000,91000,1,10,100000,10000
6,136,100000,101000,1,10,110000,10000
6,137,110000,111000,1,10,120000,10000
6,138,120000,121000,1,10,130000,10000
6,139,130000,131000,1,10,140000,10000
6,140,140000,141000,1,10,150000,10000
6,141,150000,151000,1,10,160000,10000
6,142,160000,161000,1,10,170000,10000
6,143,170000,171000,1,10,180000,10000
6,144,180000,181000,1,10,190000,10000
6,145,190000,191000,1,10,200000,10000
6,146,200000,201000,1,10,210000,10000
7,147,0,1000,5,55,10000,10000
7,148,10000,11000,5,55,20000,10000
7,149,20000,21000,5,55,30000,10000
7,150,30000,31000,5,55,40000,10000
7,151,40000,41000,5,55,50000,10000
7,152,50000,51000,5,55,60000,10000
7,153,60000,61000,5,55,70000,10000
7,154,70000,71000,5,55,80000,10000
7,155,80000,81000,5,55,90000,10000
7,156,90000,91000,5,55,100000,10000
7,157,100000,101000,5,55,110000,10000
7,158,110000,111000,5,55,120000,10000
7,159,120000,121000,5,55,130000,10000
7,160,130000,131000,5,55,140000,10000
7,161,140000,141000,5,55,150000,10000
7,162,150000,151000,5,55,160000,10000
7,163,160000,161000,5,55,170000,10000
7,164,170000,171000,5,55,180000,10000
7,165,180000,181000,5,55,190000,10000
7,166,190000,191000,5,55,200000,10000
7,167,200000,201000,5,55,210000,10000
8,168,0,1000,2,25,10000,10000
8,169,10000,11000,2,25,20000,10000
8,170,20000,21000,2,25,30000,10000
8,171,30000,31000,2,25,40000,10000
8,172,40000,41000,2,25,50000,10000
8,173,50000,51000,2,25,60000,10000
8,174,60000,61000,2,25,70000,10000
8,175,70000,71000,2,25,80000,10000
8,176,80000,81000,2,25,90000,10000
8,177,90000,91000,2,25,100000,10000
8,178,100000,101000,2,25,110000,10000
8,179,110000,111000,2,25,120000,10000
8,180,120000,121000,2,25,130000,10000
8,181,130000,131000,2,25,140000,10000
8,182,140000,141000,2,25,150000,10000
8,183,150000,151000,2,25,160000,10000
8,184,160000,161000,2,25,170000,10000
8,185,170000,171000,2,25,180000,10000
8,186,180000,181000,2,25,190000,10000
8,187,190000,191000,2,25,200000,10000
