From TID,From JID,To TID,To JID
0,0,2,42
0,0,11,231
0,0,12,252
0,0,6,126
0,0,8,168
0,0,9,189
0,0,10,210
0,1,2,43
0,1,11,232
0,1,12,253
0,1,6,127
0,1,8,169
0,1,9,190
0,1,10,211
0,2,2,44
0,2,11,233
0,2,12,254
0,2,6,128
0,2,8,170
0,2,9,191
0,2,10,212
0,3,2,45
0,3,11,234
0,3,12,255
0,3,6,129
0,3,8,171
0,3,9,192
0,3,10,213
0,4,2,46
0,4,11,235
0,4,12,256
0,4,6,130
0,4,8,172
0,4,9,193
0,4,10,214
0,5,2,47
0,5,11,236
0,5,12,257
0,5,6,131
0,5,8,173
0,5,9,194
0,5,10,215
0,6,2,48
0,6,11,237
0,6,12,258
0,6,6,132
0,6,8,174
0,6,9,195
0,6,10,216
0,7,2,49
0,7,11,238
0,7,12,259
0,7,6,133
0,7,8,175
0,7,9,196
0,7,10,217
0,8,2,50
0,8,11,239
0,8,12,260
0,8,6,134
0,8,8,176
0,8,9,197
0,8,10,218
0,9,2,51
0,9,11,240
0,9,12,261
0,9,6,135
0,9,8,177
0,9,9,198
0,9,10,219
0,10,2,52
0,10,11,241
0,10,12,262
0,10,6,136
0,10,8,178
0,10,9,199
0,10,10,220
0,11,2,53
0,11,11,242
0,11,12,263
0,11,6,137
0,11,8,179
0,11,9,200
0,11,10,221
0,12,2,54
0,12,11,243
0,12,12,264
0,12,6,138
0,12,8,180
0,12,9,201
0,12,10,222
0,13,2,55
0,13,11,244
0,13,12,265
0,13,6,139
0,13,8,181
0,13,9,202
0,13,10,223
0,14,2,56
0,14,11,245
0,14,12,266
0,14,6,140
0,14,8,182
0,14,9,203
0,14,10,224
0,15,2,57
0,15,11,246
0,15,12,267
0,15,6,141
0,15,8,183
0,15,9,204
0,15,10,225
0,16,2,58
0,16,11,247
0,16,12,268
0,16,6,142
0,16,8,184
0,16,9,205
0,16,10,226
0,17,2,59
0,17,11,248
0,17,12,269
0,17,6,143
0,17,8,185
0,17,9,206
0,17,10,227
0,18,2,60
0,18,11,249
0,18,12,270
0,18,6,144
0,18,8,186
0,18,9,207
0,18,10,228
0,19,2,61
0,19,11,250
0,19,12,271
0,19,6,145
0,19,8,187
0,19,9,208
0,19,10,229
0,20,2,62
0,20,11,251
0,20,12,272
0,20,6,146
0,20,8,188
0,20,9,209
0,20,10,230
2,42,4,84
2,42,5,105
2,42,10,210
2,42,1,21
2,42,3,63
2,42,6,126
2,42,8,168
2,42,9,189
2,43,4,85
2,43,5,106
2,43,10,211
2,43,1,22
2,43,3,64
2,43,6,127
2,43,8,169
2,43,9,190
2,44,4,86
2,44,5,107
2,44,10,212
2,44,1,23
2,44,3,65
2,44,6,128
2,44,8,170
2,44,9,191
2,45,4,87
2,45,5,108
2,45,10,213
2,45,1,24
2,45,3,66
2,45,6,129
2,45,8,171
2,45,9,192
2,46,4,88
2,46,5,109
2,46,10,214
2,46,1,25
2,46,3,67
2,46,6,130
2,46,8,172
2,46,9,193
2,47,4,89
2,47,5,110
2,47,10,215
2,47,1,26
2,47,3,68
2,47,6,131
2,47,8,173
2,47,9,194
2,48,4,90
2,48,5,111
2,48,10,216
2,48,1,27
2,48,3,69
2,48,6,132
2,48,8,174
2,48,9,195
2,49,4,91
2,49,5,112
2,49,10,217
2,49,1,28
2,49,3,70
2,49,6,133
2,49,8,175
2,49,9,196
2,50,4,92
2,50,5,113
2,50,10,218
2,50,1,29
2,50,3,71
2,50,6,134
2,50,8,176
2,50,9,197
2,51,4,93
2,51,5,114
2,51,10,219
2,51,1,30
2,51,3,72
2,51,6,135
2,51,8,177
2,51,9,198
2,52,4,94
2,52,5,115
2,52,10,220
2,52,1,31
2,52,3,73
2,52,6,136
2,52,8,178
2,52,9,199
2,53,4,95
2,53,5,116
2,53,10,221
2,53,1,32
2,53,3,74
2,53,6,137
2,53,8,179
2,53,9,200
2,54,4,96
2,54,5,117
2,54,10,222
2,54,1,33
2,54,3,75
2,54,6,138
2,54,8,180
2,54,9,201
2,55,4,97
2,55,5,118
2,55,10,223
2,55,1,34
2,55,3,76
2,55,6,139
2,55,8,181
2,55,9,202
2,56,4,98
2,56,5,119
2,56,10,224
2,56,1,35
2,56,3,77
2,56,6,140
2,56,8,182
2,56,9,203
2,57,4,99
2,57,5,120
2,57,10,225
2,57,1,36
2,57,3,78
2,57,6,141
2,57,8,183
2,57,9,204
2,58,4,100
2,58,5,121
2,58,10,226
2,58,1,37
2,58,3,79
2,58,6,142
2,58,8,184
2,58,9,205
2,59,4,101
2,59,5,122
2,59,10,227
2,59,1,38
2,59,3,80
2,59,6,143
2,59,8,185
2,59,9,206
2,60,4,102
2,60,5,123
2,60,10,228
2,60,1,39
2,60,3,81
2,60,6,144
2,60,8,186
2,60,9,207
2,61,4,103
2,61,5,124
2,61,10,229
2,61,1,40
2,61,3,82
2,61,6,145
2,61,8,187
2,61,9,208
2,62,4,104
2,62,5,125
2,62,10,230
2,62,1,41
2,62,3,83
2,62,6,146
2,62,8,188
2,62,9,209
3,63,1,21
3,64,1,22
3,65,1,23
3,66,1,24
3,67,1,25
3,68,1,26
3,69,1,27
3,70,1,28
3,71,1,29
3,72,1,30
3,73,1,31
3,74,1,32
3,75,1,33
3,76,1,34
3,77,1,35
3,78,1,36
3,79,1,37
3,80,1,38
3,81,1,39
3,82,1,40
3,83,1,41
4,84,3,63
4,84,9,189
4,85,3,64
4,85,9,190
4,86,3,65
4,86,9,191
4,87,3,66
4,87,9,192
4,88,3,67
4,88,9,193
4,89,3,68
4,89,9,194
4,90,3,69
4,90,9,195
4,91,3,70
4,91,9,196
4,92,3,71
4,92,9,197
4,93,3,72
4,93,9,198
4,94,3,73
4,94,9,199
4,95,3,74
4,95,9,200
4,96,3,75
4,96,9,201
4,97,3,76
4,97,9,202
4,98,3,77
4,98,9,203
4,99,3,78
4,99,9,204
4,100,3,79
4,100,9,205
4,101,3,80
4,101,9,206
4,102,3,81
4,102,9,207
4,103,3,82
4,103,9,208
4,104,3,83
4,104,9,209
5,105,7,147
5,105,8,168
5,105,9,189
5,105,1,21
5,105,6,126
5,106,7,148
5,106,8,169
5,106,9,190
5,106,1,22
5,106,6,127
5,107,7,149
5,107,8,170
5,107,9,191
5,107,1,23
5,107,6,128
5,108,7,150
5,108,8,171
5,108,9,192
5,108,1,24
5,108,6,129
5,109,7,151
5,109,8,172
5,109,9,193
5,109,1,25
5,109,6,130
5,110,7,152
5,110,8,173
5,110,9,194
5,110,1,26
5,110,6,131
5,111,7,153
5,111,8,174
5,111,9,195
5,111,1,27
5,111,6,132
5,112,7,154
5,112,8,175
5,112,9,196
5,112,1,28
5,112,6,133
5,113,7,155
5,113,8,176
5,113,9,197
5,113,1,29
5,113,6,134
5,114,7,156
5,114,8,177
5,114,9,198
5,114,1,30
5,114,6,135
5,115,7,157
5,115,8,178
5,115,9,199
5,115,1,31
5,115,6,136
5,116,7,158
5,116,8,179
5,116,9,200
5,116,1,32
5,116,6,137
5,117,7,159
5,117,8,180
5,117,9,201
5,117,1,33
5,117,6,138
5,118,7,160
5,118,8,181
5,118,9,202
5,118,1,34
5,118,6,139
5,119,7,161
5,119,8,182
5,119,9,203
5,119,1,35
5,119,6,140
5,120,7,162
5,120,8,183
5,120,9,204
5,120,1,36
5,120,6,141
5,121,7,163
5,121,8,184
5,121,9,205
5,121,1,37
5,121,6,142
5,122,7,164
5,122,8,185
5,122,9,206
5,122,1,38
5,122,6,143
5,123,7,165
5,123,8,186
5,123,9,207
5,123,1,39
5,123,6,144
5,124,7,166
5,124,8,187
5,124,9,208
5,124,1,40
5,124,6,145
5,125,7,167
5,125,8,188
5,125,9,209
5,125,1,41
5,125,6,146
6,126,3,63
6,127,3,64
6,128,3,65
6,129,3,66
6,130,3,67
6,131,3,68
6,132,3,69
6,133,3,70
6,134,3,71
6,135,3,72
6,136,3,73
6,137,3,74
6,138,3,75
6,139,3,76
6,140,3,77
6,141,3,78
6,142,3,79
6,143,3,80
6,144,3,81
6,145,3,82
6,146,3,83
7,147,6,126
7,147,3,63
7,148,6,127
7,148,3,64
7,149,6,128
7,149,3,65
7,150,6,129
7,150,3,66
7,151,6,130
7,151,3,67
7,152,6,131
7,152,3,68
7,153,6,132
7,153,3,69
7,154,6,133
7,154,3,70
7,155,6,134
7,155,3,71
7,156,6,135
7,156,3,72
7,157,6,136
7,157,3,73
7,158,6,137
7,158,3,74
7,159,6,138
7,159,3,75
7,160,6,139
7,160,3,76
7,161,6,140
7,161,3,77
7,162,6,141
7,162,3,78
7,163,6,142
7,163,3,79
7,164,6,143
7,164,3,80
7,165,6,144
7,165,3,81
7,166,6,145
7,166,3,82
7,167,6,146
7,167,3,83
8,168,6,126
8,168,3,63
8,169,6,127
8,169,3,64
8,170,6,128
8,170,3,65
8,171,6,129
8,171,3,66
8,172,6,130
8,172,3,67
8,173,6,131
8,173,3,68
8,174,6,132
8,174,3,69
8,175,6,133
8,175,3,70
8,176,6,134
8,176,3,71
8,177,6,135
8,177,3,72
8,178,6,136
8,178,3,73
8,179,6,137
8,179,3,74
8,180,6,138
8,180,3,75
8,181,6,139
8,181,3,76
8,182,6,140
8,182,3,77
8,183,6,141
8,183,3,78
8,184,6,142
8,184,3,79
8,185,6,143
8,185,3,80
8,186,6,144
8,186,3,81
8,187,6,145
8,187,3,82
8,188,6,146
8,188,3,83
9,189,6,126
9,189,1,21
9,189,3,63
9,190,6,127
9,190,1,22
9,190,3,64
9,191,6,128
9,191,1,23
9,191,3,65
9,192,6,129
9,192,1,24
9,192,3,66
9,193,6,130
9,193,1,25
9,193,3,67
9,194,6,131
9,194,1,26
9,194,3,68
9,195,6,132
9,195,1,27
9,195,3,69
