Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,95,952,10000,10000
0,1,10000,11000,95,952,20000,10000
0,2,20000,21000,95,952,30000,10000
0,3,30000,31000,95,952,40000,10000
0,4,40000,41000,95,952,50000,10000
0,5,50000,51000,95,952,60000,10000
1,6,0,1000,48,482,10000,10000
1,7,10000,11000,48,482,20000,10000
1,8,20000,21000,48,482,30000,10000
1,9,30000,31000,48,482,40000,10000
1,10,40000,41000,48,482,50000,10000
1,11,50000,51000,48,482,60000,10000
2,12,0,1000,115,1152,10000,10000
2,13,10000,11000,115,1152,20000,10000
2,14,20000,21000,115,1152,30000,10000
2,15,30000,31000,115,1152,40000,10000
2,16,40000,41000,115,1152,50000,10000
2,17,50000,51000,115,1152,60000,10000
3,18,0,1000,80,796,10000,10000
3,19,10000,11000,80,796,20000,10000
3,20,20000,21000,80,796,30000,10000
3,21,30000,31000,80,796,40000,10000
3,22,40000,41000,80,796,50000,10000
3,23,50000,51000,80,796,60000,10000
4,24,0,1000,30,297,10000,10000
4,25,10000,11000,30,297,20000,10000
4,26,20000,21000,30,297,30000,10000
4,27,30000,31000,30,297,40000,10000
4,28,40000,41000,30,297,50000,10000
4,29,50000,51000,30,297,60000,10000
5,30,0,1000,64,638,10000,10000
5,31,10000,11000,64,638,20000,10000
5,32,20000,21000,64,638,30000,10000
5,33,30000,31000,64,638,40000,10000
5,34,40000,41000,64,638,50000,10000
5,35,50000,51000,64,638,60000,10000
6,36,0,1000,53,533,10000,10000
6,37,10000,11000,53,533,20000,10000
6,38,20000,21000,53,533,30000,10000
6,39,30000,31000,53,533,40000,10000
6,40,40000,41000,53,533,50000,10000
6,41,50000,51000,53,533,60000,10000
7,42,0,1000,121,1210,10000,10000
7,43,10000,11000,121,1210,20000,10000
7,44,20000,21000,121,1210,30000,10000
7,45,30000,31000,121,1210,40000,10000
7,46,40000,41000,121,1210,50000,10000
7,47,50000,51000,121,1210,60000,10000
8,48,0,1000,74,741,10000,10000
8,49,10000,11000,74,741,20000,10000
8,50,20000,21000,74,741,30000,10000
8,51,30000,31000,74,741,40000,10000
8,52,40000,41000,74,741,50000,10000
8,53,50000,51000,74,741,60000,10000
9,54,0,1000,41,413,10000,10000
9,55,10000,11000,41,413,20000,10000
9,56,20000,21000,41,413,30000,10000
9,57,30000,31000,41,413,40000,10000
9,58,40000,41000,41,413,50000,10000
9,59,50000,51000,41,413,60000,10000
10,60,0,1000,119,1196,10000,10000
10,61,10000,11000,119,1196,20000,10000
10,62,20000,21000,119,1196,30000,10000
10,63,30000,31000,119,1196,40000,10000
10,64,40000,41000,119,1196,50000,10000
10,65,50000,51000,119,1196,60000,10000
11,66,0,1000,40,396,10000,10000
11,67,10000,11000,40,396,20000,10000
11,68,20000,21000,40,396,30000,10000
11,69,30000,31000,40,396,40000,10000
11,70,40000,41000,40,396,50000,10000
11,71,50000,51000,40,396,60000,10000
12,72,0,2000,292,2919,20000,20000
12,73,20000,22000,292,2919,40000,20000
12,74,40000,42000,292,2919,60000,20000
13,75,0,2000,73,729,20000,20000
13,76,20000,22000,73,729,40000,20000
13,77,40000,42000,73,729,60000,20000
14,78,0,2000,113,1135,20000,20000
14,79,20000,22000,113,1135,40000,20000
14,80,40000,42000,113,1135,60000,20000
15,81,0,2000,178,1782,20000,20000
15,82,20000,22000,178,1782,40000,20000
15,83,40000,42000,178,1782,60000,20000
16,84,0,2000,214,2141,20000,20000
16,85,20000,22000,214,2141,40000,20000
16,86,40000,42000,214,2141,60000,20000
17,87,0,2000,84,845,20000,20000
17,88,20000,22000,84,845,40000,20000
17,89,40000,42000,84,845,60000,20000
18,90,0,2000,290,2897,20000,20000
18,91,20000,22000,290,2897,40000,20000
18,92,40000,42000,290,2897,60000,20000
19,93,0,2000,90,897,20000,20000
19,94,20000,22000,90,897,40000,20000
19,95,40000,42000,90,897,60000,20000
20,96,0,2000,212,2116,20000,20000
20,97,20000,22000,212,2116,40000,20000
20,98,40000,42000,212,2116,60000,20000
21,99,0,2000,204,2041,20000,20000
21,100,20000,22000,204,2041,40000,20000
21,101,40000,42000,204,2041,60000,20000
22,102,0,3000,160,1598,30000,30000
22,103,30000,33000,160,1598,60000,30000
23,104,0,3000,266,2665,30000,30000
23,105,30000,33000,266,2665,60000,30000
24,106,0,3000,364,3642,30000,30000
24,107,30000,33000,364,3642,60000,30000
25,108,0,3000,369,3686,30000,30000
25,109,30000,33000,369,3686,60000,30000
26,110,0,3000,272,2717,30000,30000
26,111,30000,33000,272,2717,60000,30000
27,112,0,3000,8,79,30000,30000
27,113,30000,33000,8,79,60000,30000
28,114,0,3000,269,2693,30000,30000
28,115,30000,33000,269,2693,60000,30000
29,116,0,3000,88,878,30000,30000
29,117,30000,33000,88,878,60000,30000
30,118,0,3000,358,3579,30000,30000
30,119,30000,33000,358,3579,60000,30000
31,120,0,3000,211,2115,30000,30000
31,121,30000,33000,211,2115,60000,30000
32,122,0,3000,248,2478,30000,30000
32,123,30000,33000,248,2478,60000,30000
33,124,0,6000,451,4506,60000,60000
34,125,0,6000,632,6316,60000,60000
35,126,0,6000,181,1806,60000,60000
36,127,0,6000,508,5084,60000,60000
37,128,0,6000,7,66,60000,60000
38,129,0,6000,243,2433,60000,60000
39,130,0,6000,797,7967,60000,60000
40,131,0,6000,644,6443,60000,60000
41,132,0,6000,540,5399,60000,60000
42,133,0,6000,660,6599,60000,60000
43,134,0,6000,574,5743,60000,60000
