Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,83,835,20000,20000
0,1,20000,22000,83,835,40000,20000
0,2,40000,42000,83,835,60000,20000
0,3,60000,62000,83,835,80000,20000
0,4,80000,82000,83,835,100000,20000
0,5,100000,102000,83,835,120000,20000
1,6,0,2000,98,982,20000,20000
1,7,20000,22000,98,982,40000,20000
1,8,40000,42000,98,982,60000,20000
1,9,60000,62000,98,982,80000,20000
1,10,80000,82000,98,982,100000,20000
1,11,100000,102000,98,982,120000,20000
2,12,0,2000,121,1213,20000,20000
2,13,20000,22000,121,1213,40000,20000
2,14,40000,42000,121,1213,60000,20000
2,15,60000,62000,121,1213,80000,20000
2,16,80000,82000,121,1213,100000,20000
2,17,100000,102000,121,1213,120000,20000
3,18,0,2000,72,720,20000,20000
3,19,20000,22000,72,720,40000,20000
3,20,40000,42000,72,720,60000,20000
3,21,60000,62000,72,720,80000,20000
3,22,80000,82000,72,720,100000,20000
3,23,100000,102000,72,720,120000,20000
4,24,0,2000,52,518,20000,20000
4,25,20000,22000,52,518,40000,20000
4,26,40000,42000,52,518,60000,20000
4,27,60000,62000,52,518,80000,20000
4,28,80000,82000,52,518,100000,20000
4,29,100000,102000,52,518,120000,20000
5,30,0,2000,89,889,20000,20000
5,31,20000,22000,89,889,40000,20000
5,32,40000,42000,89,889,60000,20000
5,33,60000,62000,89,889,80000,20000
5,34,80000,82000,89,889,100000,20000
5,35,100000,102000,89,889,120000,20000
6,36,0,2000,169,1689,20000,20000
6,37,20000,22000,169,1689,40000,20000
6,38,40000,42000,169,1689,60000,20000
6,39,60000,62000,169,1689,80000,20000
6,40,80000,82000,169,1689,100000,20000
6,41,100000,102000,169,1689,120000,20000
7,42,0,2000,107,1068,20000,20000
7,43,20000,22000,107,1068,40000,20000
7,44,40000,42000,107,1068,60000,20000
7,45,60000,62000,107,1068,80000,20000
7,46,80000,82000,107,1068,100000,20000
7,47,100000,102000,107,1068,120000,20000
8,48,0,2000,27,270,20000,20000
8,49,20000,22000,27,270,40000,20000
8,50,40000,42000,27,270,60000,20000
8,51,60000,62000,27,270,80000,20000
8,52,80000,82000,27,270,100000,20000
8,53,100000,102000,27,270,120000,20000
9,54,0,2000,21,206,20000,20000
9,55,20000,22000,21,206,40000,20000
9,56,40000,42000,21,206,60000,20000
9,57,60000,62000,21,206,80000,20000
9,58,80000,82000,21,206,100000,20000
9,59,100000,102000,21,206,120000,20000
10,60,0,3000,69,691,30000,30000
10,61,30000,33000,69,691,60000,30000
10,62,60000,63000,69,691,90000,30000
10,63,90000,93000,69,691,120000,30000
11,64,0,3000,53,530,30000,30000
11,65,30000,33000,53,530,60000,30000
11,66,60000,63000,53,530,90000,30000
11,67,90000,93000,53,530,120000,30000
12,68,0,3000,67,671,30000,30000
12,69,30000,33000,67,671,60000,30000
12,70,60000,63000,67,671,90000,30000
12,71,90000,93000,67,671,120000,30000
13,72,0,3000,67,670,30000,30000
13,73,30000,33000,67,670,60000,30000
13,74,60000,63000,67,670,90000,30000
13,75,90000,93000,67,670,120000,30000
14,76,0,3000,23,228,30000,30000
14,77,30000,33000,23,228,60000,30000
14,78,60000,63000,23,228,90000,30000
14,79,90000,93000,23,228,120000,30000
15,80,0,3000,96,965,30000,30000
15,81,30000,33000,96,965,60000,30000
15,82,60000,63000,96,965,90000,30000
15,83,90000,93000,96,965,120000,30000
16,84,0,3000,98,977,30000,30000
16,85,30000,33000,98,977,60000,30000
16,86,60000,63000,98,977,90000,30000
16,87,90000,93000,98,977,120000,30000
17,88,0,3000,98,976,30000,30000
17,89,30000,33000,98,976,60000,30000
17,90,60000,63000,98,976,90000,30000
17,91,90000,93000,98,976,120000,30000
18,92,0,3000,23,229,30000,30000
18,93,30000,33000,23,229,60000,30000
18,94,60000,63000,23,229,90000,30000
18,95,90000,93000,23,229,120000,30000
19,96,0,3000,33,331,30000,30000
19,97,30000,33000,33,331,60000,30000
19,98,60000,63000,33,331,90000,30000
19,99,90000,93000,33,331,120000,30000
20,100,0,3000,50,504,30000,30000
20,101,30000,33000,50,504,60000,30000
20,102,60000,63000,50,504,90000,30000
20,103,90000,93000,50,504,120000,30000
21,104,0,4000,166,1661,40000,40000
21,105,40000,44000,166,1661,80000,40000
21,106,80000,84000,166,1661,120000,40000
22,107,0,4000,250,2496,40000,40000
22,108,40000,44000,250,2496,80000,40000
22,109,80000,84000,250,2496,120000,40000
23,110,0,4000,288,2884,40000,40000
23,111,40000,44000,288,2884,80000,40000
23,112,80000,84000,288,2884,120000,40000
24,113,0,4000,369,3693,40000,40000
24,114,40000,44000,369,3693,80000,40000
24,115,80000,84000,369,3693,120000,40000
25,116,0,4000,170,1698,40000,40000
25,117,40000,44000,170,1698,80000,40000
25,118,80000,84000,170,1698,120000,40000
26,119,0,4000,414,4138,40000,40000
26,120,40000,44000,414,4138,80000,40000
26,121,80000,84000,414,4138,120000,40000
27,122,0,4000,265,2655,40000,40000
27,123,40000,44000,265,2655,80000,40000
