From TID,From JID,To TID,To JID
0,0,2,12
0,0,9,54
0,0,3,18
0,0,4,24
0,0,7,42
0,0,8,48
0,1,2,13
0,1,9,55
0,1,3,19
0,1,4,25
0,1,7,43
0,1,8,49
0,2,2,14
0,2,9,56
0,2,3,20
0,2,4,26
0,2,7,44
0,2,8,50
0,3,2,15
0,3,9,57
0,3,3,21
0,3,4,27
0,3,7,45
0,3,8,51
0,4,2,16
0,4,9,58
0,4,3,22
0,4,4,28
0,4,7,46
0,4,8,52
0,5,2,17
0,5,9,59
0,5,3,23
0,5,4,29
0,5,7,47
0,5,8,53
2,12,4,24
2,12,5,30
2,12,1,6
2,12,6,36
2,12,7,42
2,12,8,48
2,13,4,25
2,13,5,31
2,13,1,7
2,13,6,37
2,13,7,43
2,13,8,49
2,14,4,26
2,14,5,32
2,14,1,8
2,14,6,38
2,14,7,44
2,14,8,50
2,15,4,27
2,15,5,33
2,15,1,9
2,15,6,39
2,15,7,45
2,15,8,51
2,16,4,28
2,16,5,34
2,16,1,10
2,16,6,40
2,16,7,46
2,16,8,52
2,17,4,29
2,17,5,35
2,17,1,11
2,17,6,41
2,17,7,47
2,17,8,53
3,18,1,6
3,19,1,7
3,20,1,8
3,21,1,9
3,22,1,10
3,23,1,11
4,24,3,18
4,24,7,42
4,25,3,19
4,25,7,43
4,26,3,20
4,26,7,44
4,27,3,21
4,27,7,45
4,28,3,22
4,28,7,46
4,29,3,23
4,29,7,47
5,30,7,42
5,30,8,48
5,30,1,6
5,30,3,18
5,31,7,43
5,31,8,49
5,31,1,7
5,31,3,19
5,32,7,44
5,32,8,50
5,32,1,8
5,32,3,20
5,33,7,45
5,33,8,51
5,33,1,9
5,33,3,21
5,34,7,46
5,34,8,52
5,34,1,10
5,34,3,22
5,35,7,47
5,35,8,53
5,35,1,11
5,35,3,23
6,36,3,18
6,36,1,6
6,37,3,19
6,37,1,7
6,38,3,20
6,38,1,8
6,39,3,21
6,39,1,9
6,40,3,22
6,40,1,10
6,41,3,23
6,41,1,11
7,42,6,36
7,42,1,6
7,43,6,37
7,43,1,7
7,44,6,38
7,44,1,8
7,45,6,39
7,45,1,9
7,46,6,40
7,46,1,10
7,47,6,41
7,47,1,11
8,48,6,36
8,49,6,37
8,50,6,38
8,51,6,39
8,52,6,40
8,53,6,41
9,54,1,6
9,54,4,24
9,54,6,36
9,54,7,42
9,55,1,7
9,55,4,25
9,55,6,37
9,55,7,43
9,56,1,8
9,56,4,26
9,56,6,38
9,56,7,44
9,57,1,9
9,57,4,27
9,57,6,39
9,57,7,45
9,58,1,10
9,58,4,28
9,58,6,40
9,58,7,46
9,59,1,11
9,59,4,29
9,59,6,41
9,59,7,47
10,60,12,68
10,60,13,72
10,60,11,64
10,60,16,84
10,60,17,88
10,60,19,96
10,61,12,69
10,61,13,73
10,61,11,65
10,61,16,85
10,61,17,89
10,61,19,97
10,62,12,70
10,62,13,74
10,62,11,66
10,62,16,86
10,62,17,90
10,62,19,98
10,63,12,71
10,63,13,75
10,63,11,67
10,63,16,87
10,63,17,91
10,63,19,99
12,68,11,64
12,68,14,76
12,68,15,80
12,68,17,88
12,68,19,96
12,68,20,100
12,69,11,65
12,69,14,77
12,69,15,81
12,69,17,89
12,69,19,97
12,69,20,101
12,70,11,66
12,70,14,78
12,70,15,82
12,70,17,90
12,70,19,98
12,70,20,102
12,71,11,67
12,71,14,79
12,71,15,83
12,71,17,91
12,71,19,99
12,71,20,103
13,72,15,80
13,72,20,100
13,72,11,64
13,73,15,81
13,73,20,101
13,73,11,65
13,74,15,82
13,74,20,102
13,74,11,66
13,75,15,83
