From TID,From JID,To TID,To JID
0,0,2,180
0,0,6,540
0,0,7,630
0,0,1,90
0,0,3,270
0,1,2,181
0,1,6,541
0,1,7,631
0,1,1,91
0,1,3,271
0,2,2,182
0,2,6,542
0,2,7,632
0,2,1,92
0,2,3,272
0,3,2,183
0,3,6,543
0,3,7,633
0,3,1,93
0,3,3,273
0,4,2,184
0,4,6,544
0,4,7,634
0,4,1,94
0,4,3,274
0,5,2,185
0,5,6,545
0,5,7,635
0,5,1,95
0,5,3,275
0,6,2,186
0,6,6,546
0,6,7,636
0,6,1,96
0,6,3,276
0,7,2,187
0,7,6,547
0,7,7,637
0,7,1,97
0,7,3,277
0,8,2,188
0,8,6,548
0,8,7,638
0,8,1,98
0,8,3,278
0,9,2,189
0,9,6,549
0,9,7,639
0,9,1,99
0,9,3,279
0,10,2,190
0,10,6,550
0,10,7,640
0,10,1,100
0,10,3,280
0,11,2,191
0,11,6,551
0,11,7,641
0,11,1,101
0,11,3,281
0,12,2,192
0,12,6,552
0,12,7,642
0,12,1,102
0,12,3,282
0,13,2,193
0,13,6,553
0,13,7,643
0,13,1,103
0,13,3,283
0,14,2,194
0,14,6,554
0,14,7,644
0,14,1,104
0,14,3,284
0,15,2,195
0,15,6,555
0,15,7,645
0,15,1,105
0,15,3,285
0,16,2,196
0,16,6,556
0,16,7,646
0,16,1,106
0,16,3,286
0,17,2,197
0,17,6,557
0,17,7,647
0,17,1,107
0,17,3,287
0,18,2,198
0,18,6,558
0,18,7,648
0,18,1,108
0,18,3,288
0,19,2,199
0,19,6,559
0,19,7,649
0,19,1,109
0,19,3,289
0,20,2,200
0,20,6,560
0,20,7,650
0,20,1,110
0,20,3,290
0,21,2,201
0,21,6,561
0,21,7,651
0,21,1,111
0,21,3,291
0,22,2,202
0,22,6,562
0,22,7,652
0,22,1,112
0,22,3,292
0,23,2,203
0,23,6,563
0,23,7,653
0,23,1,113
0,23,3,293
0,24,2,204
0,24,6,564
0,24,7,654
0,24,1,114
0,24,3,294
0,25,2,205
0,25,6,565
0,25,7,655
0,25,1,115
0,25,3,295
0,26,2,206
0,26,6,566
0,26,7,656
0,26,1,116
0,26,3,296
0,27,2,207
0,27,6,567
0,27,7,657
0,27,1,117
0,27,3,297
0,28,2,208
0,28,6,568
0,28,7,658
0,28,1,118
0,28,3,298
0,29,2,209
0,29,6,569
0,29,7,659
0,29,1,119
0,29,3,299
0,30,2,210
0,30,6,570
0,30,7,660
0,30,1,120
0,30,3,300
0,31,2,211
0,31,6,571
0,31,7,661
0,31,1,121
0,31,3,301
0,32,2,212
0,32,6,572
0,32,7,662
0,32,1,122
0,32,3,302
0,33,2,213
0,33,6,573
0,33,7,663
0,33,1,123
0,33,3,303
0,34,2,214
0,34,6,574
0,34,7,664
0,34,1,124
0,34,3,304
0,35,2,215
0,35,6,575
0,35,7,665
0,35,1,125
0,35,3,305
0,36,2,216
0,36,6,576
0,36,7,666
0,36,1,126
0,36,3,306
0,37,2,217
0,37,6,577
0,37,7,667
0,37,1,127
0,37,3,307
0,38,2,218
0,38,6,578
0,38,7,668
0,38,1,128
0,38,3,308
0,39,2,219
0,39,6,579
0,39,7,669
0,39,1,129
0,39,3,309
0,40,2,220
0,40,6,580
0,40,7,670
0,40,1,130
0,40,3,310
0,41,2,221
0,41,6,581
0,41,7,671
0,41,1,131
0,41,3,311
0,42,2,222
0,42,6,582
0,42,7,672
0,42,1,132
0,42,3,312
0,43,2,223
0,43,6,583
0,43,7,673
0,43,1,133
0,43,3,313
0,44,2,224
0,44,6,584
0,44,7,674
0,44,1,134
0,44,3,314
0,45,2,225
0,45,6,585
0,45,7,675
0,45,1,135
0,45,3,315
0,46,2,226
0,46,6,586
0,46,7,676
0,46,1,136
0,46,3,316
0,47,2,227
0,47,6,587
0,47,7,677
0,47,1,137
0,47,3,317
0,48,2,228
0,48,6,588
0,48,7,678
0,48,1,138
0,48,3,318
0,49,2,229
0,49,6,589
0,49,7,679
0,49,1,139
0,49,3,319
0,50,2,230
0,50,6,590
0,50,7,680
0,50,1,140
0,50,3,320
0,51,2,231
0,51,6,591
0,51,7,681
0,51,1,141
0,51,3,321
0,52,2,232
0,52,6,592
0,52,7,682
0,52,1,142
0,52,3,322
0,53,2,233
0,53,6,593
0,53,7,683
0,53,1,143
0,53,3,323
0,54,2,234
0,54,6,594
0,54,7,684
0,54,1,144
0,54,3,324
0,55,2,235
0,55,6,595
0,55,7,685
0,55,1,145
0,55,3,325
0,56,2,236
0,56,6,596
0,56,7,686
0,56,1,146
0,56,3,326
0,57,2,237
0,57,6,597
0,57,7,687
0,57,1,147
0,57,3,327
0,58,2,238
0,58,6,598
0,58,7,688
0,58,1,148
0,58,3,328
0,59,2,239
0,59,6,599
0,59,7,689
0,59,1,149
0,59,3,329
0,60,2,240
0,60,6,600
0,60,7,690
0,60,1,150
0,60,3,330
0,61,2,241
0,61,6,601
0,61,7,691
0,61,1,151
0,61,3,331
0,62,2,242
0,62,6,602
0,62,7,692
0,62,1,152
0,62,3,332
0,63,2,243
0,63,6,603
0,63,7,693
0,63,1,153
0,63,3,333
0,64,2,244
0,64,6,604
0,64,7,694
0,64,1,154
0,64,3,334
0,65,2,245
0,65,6,605
0,65,7,695
0,65,1,155
0,65,3,335
0,66,2,246
0,66,6,606
0,66,7,696
0,66,1,156
0,66,3,336
0,67,2,247
0,67,6,607
0,67,7,697
0,67,1,157
0,67,3,337
0,68,2,248
0,68,6,608
0,68,7,698
0,68,1,158
0,68,3,338
0,69,2,249
0,69,6,609
0,69,7,699
0,69,1,159
0,69,3,339
0,70,2,250
0,70,6,610
0,70,7,700
0,70,1,160
0,70,3,340
0,71,2,251
0,71,6,611
0,71,7,701
0,71,1,161
0,71,3,341
0,72,2,252
0,72,6,612
0,72,7,702
0,72,1,162
0,72,3,342
0,73,2,253
0,73,6,613
0,73,7,703
0,73,1,163
0,73,3,343
0,74,2,254
0,74,6,614
0,74,7,704
0,74,1,164
0,74,3,344
0,75,2,255
0,75,6,615
0,75,7,705
0,75,1,165
0,75,3,345
0,76,2,256
0,76,6,616
0,76,7,706
0,76,1,166
0,76,3,346
0,77,2,257
0,77,6,617
0,77,7,707
0,77,1,167
0,77,3,347
0,78,2,258
0,78,6,618
0,78,7,708
0,78,1,168
0,78,3,348
0,79,2,259
0,79,6,619
0,79,7,709
0,79,1,169
0,79,3,349
0,80,2,260
0,80,6,620
0,80,7,710
0,80,1,170
0,80,3,350
0,81,2,261
0,81,6,621
0,81,7,711
0,81,1,171
0,81,3,351
0,82,2,262
0,82,6,622
0,82,7,712
0,82,1,172
0,82,3,352
0,83,2,263
0,83,6,623
0,83,7,713
0,83,1,173
0,83,3,353
0,84,2,264
0,84,6,624
0,84,7,714
0,84,1,174
0,84,3,354
0,85,2,265
0,85,6,625
0,85,7,715
0,85,1,175
0,85,3,355
0,86,2,266
0,86,6,626
0,86,7,716
0,86,1,176
0,86,3,356
0,87,2,267
0,87,6,627
0,87,7,717
0,87,1,177
0,87,3,357
0,88,2,268
0,88,6,628
0,88,7,718
0,88,1,178
0,88,3,358
0,89,2,269
0,89,6,629
0,89,7,719
0,89,1,179
0,89,3,359
2,180,4,360
2,180,5,450
2,181,4,361
2,181,5,451
2,182,4,362
2,182,5,452
2,183,4,363
2,183,5,453
2,184,4,364
2,184,5,454
2,185,4,365
2,185,5,455
2,186,4,366
2,186,5,456
2,187,4,367
2,187,5,457
2,188,4,368
2,188,5,458
2,189,4,369
2,189,5,459
2,190,4,370
2,190,5,460
2,191,4,371
2,191,5,461
2,192,4,372
2,192,5,462
2,193,4,373
2,193,5,463
2,194,4,374
2,194,5,464
2,195,4,375
2,195,5,465
2,196,4,376
2,196,5,466
2,197,4,377
2,197,5,467
2,198,4,378
2,198,5,468
2,199,4,379
2,199,5,469
2,200,4,380
2,200,5,470
2,201,4,381
2,201,5,471
2,202,4,382
2,202,5,472
2,203,4,383
2,203,5,473
2,204,4,384
2,204,5,474
2,205,4,385
2,205,5,475
2,206,4,386
2,206,5,476
2,207,4,387
2,207,5,477
2,208,4,388
2,208,5,478
2,209,4,389
2,209,5,479
2,210,4,390
2,210,5,480
2,211,4,391
2,211,5,481
2,212,4,392
2,212,5,482
2,213,4,393
2,213,5,483
2,214,4,394
2,214,5,484
2,215,4,395
2,215,5,485
2,216,4,396
2,216,5,486
2,217,4,397
2,217,5,487
2,218,4,398
2,218,5,488
2,219,4,399
2,219,5,489
2,220,4,400
2,220,5,490
2,221,4,401
2,221,5,491
2,222,4,402
2,222,5,492
2,223,4,403
2,223,5,493
2,224,4,404
2,224,5,494
2,225,4,405
2,225,5,495
2,226,4,406
2,226,5,496
2,227,4,407
2,227,5,497
2,228,4,408
2,228,5,498
2,229,4,409
2,229,5,499
2,230,4,410
2,230,5,500
2,231,4,411
2,231,5,501
2,232,4,412
2,232,5,502
2,233,4,413
2,233,5,503
2,234,4,414
2,234,5,504
2,235,4,415
2,235,5,505
2,236,4,416
2,236,5,506
2,237,4,417
2,237,5,507
2,238,4,418
2,238,5,508
2,239,4,419
2,239,5,509
2,240,4,420
2,240,5,510
2,241,4,421
2,241,5,511
2,242,4,422
2,242,5,512
2,243,4,423
2,243,5,513
2,244,4,424
2,244,5,514
2,245,4,425
2,245,5,515
2,246,4,426
2,246,5,516
2,247,4,427
2,247,5,517
2,248,4,428
2,248,5,518
2,249,4,429
2,249,5,519
2,250,4,430
2,250,5,520
2,251,4,431
2,251,5,521
2,252,4,432
2,252,5,522
2,253,4,433
2,253,5,523
2,254,4,434
2,254,5,524
2,255,4,435
2,255,5,525
2,256,4,436
2,256,5,526
2,257,4,437
2,257,5,527
2,258,4,438
2,258,5,528
2,259,4,439
2,259,5,529
2,260,4,440
2,260,5,530
2,261,4,441
2,261,5,531
2,262,4,442
2,262,5,532
2,263,4,443
2,263,5,533
2,264,4,444
2,264,5,534
2,265,4,445
2,265,5,535
2,266,4,446
2,266,5,536
2,267,4,447
2,267,5,537
2,268,4,448
2,268,5,538
2,269,4,449
2,269,5,539
3,270,1,90
3,271,1,91
3,272,1,92
3,273,1,93
3,274,1,94
3,275,1,95
3,276,1,96
3,277,1,97
3,278,1,98
3,279,1,99
3,280,1,100
3,281,1,101
3,282,1,102
3,283,1,103
3,284,1,104
3,285,1,105
3,286,1,106
3,287,1,107
3,288,1,108
3,289,1,109
3,290,1,110
3,291,1,111
3,292,1,112
3,293,1,113
3,294,1,114
3,295,1,115
3,296,1,116
3,297,1,117
3,298,1,118
3,299,1,119
3,300,1,120
3,301,1,121
3,302,1,122
3,303,1,123
3,304,1,124
3,305,1,125
3,306,1,126
3,307,1,127
3,308,1,128
3,309,1,129
3,310,1,130
3,311,1,131
3,312,1,132
3,313,1,133
3,314,1,134
3,315,1,135
3,316,1,136
3,317,1,137
3,318,1,138
3,319,1,139
3,320,1,140
3,321,1,141
3,322,1,142
3,323,1,143
3,324,1,144
3,325,1,145
3,326,1,146
3,327,1,147
3,328,1,148
3,329,1,149
3,330,1,150
3,331,1,151
3,332,1,152
3,333,1,153
3,334,1,154
3,335,1,155
3,336,1,156
3,337,1,157
3,338,1,158
3,339,1,159
3,340,1,160
3,341,1,161
3,342,1,162
3,343,1,163
3,344,1,164
3,345,1,165
3,346,1,166
3,347,1,167
3,348,1,168
3,349,1,169
3,350,1,170
3,351,1,171
3,352,1,172
3,353,1,173
3,354,1,174
3,355,1,175
3,356,1,176
3,357,1,177
3,358,1,178
3,359,1,179
