Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,279,2794,30000,30000
0,1,30000,33000,279,2794,60000,30000
0,2,60000,63000,279,2794,90000,30000
0,3,90000,93000,279,2794,120000,30000
0,4,120000,123000,279,2794,150000,30000
0,5,150000,153000,279,2794,180000,30000
1,6,0,3000,57,566,30000,30000
1,7,30000,33000,57,566,60000,30000
1,8,60000,63000,57,566,90000,30000
1,9,90000,93000,57,566,120000,30000
1,10,120000,123000,57,566,150000,30000
1,11,150000,153000,57,566,180000,30000
2,12,0,3000,22,221,30000,30000
2,13,30000,33000,22,221,60000,30000
2,14,60000,63000,22,221,90000,30000
2,15,90000,93000,22,221,120000,30000
2,16,120000,123000,22,221,150000,30000
2,17,150000,153000,22,221,180000,30000
3,18,0,3000,201,2015,30000,30000
3,19,30000,33000,201,2015,60000,30000
3,20,60000,63000,201,2015,90000,30000
3,21,90000,93000,201,2015,120000,30000
3,22,120000,123000,201,2015,150000,30000
3,23,150000,153000,201,2015,180000,30000
4,24,0,3000,225,2247,30000,30000
4,25,30000,33000,225,2247,60000,30000
4,26,60000,63000,225,2247,90000,30000
4,27,90000,93000,225,2247,120000,30000
4,28,120000,123000,225,2247,150000,30000
4,29,150000,153000,225,2247,180000,30000
5,30,0,3000,186,1860,30000,30000
5,31,30000,33000,186,1860,60000,30000
5,32,60000,63000,186,1860,90000,30000
5,33,90000,93000,186,1860,120000,30000
5,34,120000,123000,186,1860,150000,30000
5,35,150000,153000,186,1860,180000,30000
6,36,0,3000,134,1339,30000,30000
6,37,30000,33000,134,1339,60000,30000
6,38,60000,63000,134,1339,90000,30000
6,39,90000,93000,134,1339,120000,30000
6,40,120000,123000,134,1339,150000,30000
6,41,150000,153000,134,1339,180000,30000
7,42,0,3000,301,3006,30000,30000
7,43,30000,33000,301,3006,60000,30000
7,44,60000,63000,301,3006,90000,30000
7,45,90000,93000,301,3006,120000,30000
7,46,120000,123000,301,3006,150000,30000
7,47,150000,153000,301,3006,180000,30000
8,48,0,3000,340,3399,30000,30000
8,49,30000,33000,340,3399,60000,30000
8,50,60000,63000,340,3399,90000,30000
8,51,90000,93000,340,3399,120000,30000
8,52,120000,123000,340,3399,150000,30000
8,53,150000,153000,340,3399,180000,30000
9,54,0,3000,145,1451,30000,30000
9,55,30000,33000,145,1451,60000,30000
9,56,60000,63000,145,1451,90000,30000
9,57,90000,93000,145,1451,120000,30000
9,58,120000,123000,145,1451,150000,30000
9,59,150000,153000,145,1451,180000,30000
10,60,0,3000,245,2455,30000,30000
10,61,30000,33000,245,2455,60000,30000
10,62,60000,63000,245,2455,90000,30000
10,63,90000,93000,245,2455,120000,30000
10,64,120000,123000,245,2455,150000,30000
10,65,150000,153000,245,2455,180000,30000
11,66,0,3000,234,2344,30000,30000
11,67,30000,33000,234,2344,60000,30000
11,68,60000,63000,234,2344,90000,30000
11,69,90000,93000,234,2344,120000,30000
11,70,120000,123000,234,2344,150000,30000
11,71,150000,153000,234,2344,180000,30000
12,72,0,3000,343,3433,30000,30000
12,73,30000,33000,343,3433,60000,30000
12,74,60000,63000,343,3433,90000,30000
12,75,90000,93000,343,3433,120000,30000
12,76,120000,123000,343,3433,150000,30000
12,77,150000,153000,343,3433,180000,30000
13,78,0,3000,44,442,30000,30000
13,79,30000,33000,44,442,60000,30000
13,80,60000,63000,44,442,90000,30000
13,81,90000,93000,44,442,120000,30000
13,82,120000,123000,44,442,150000,30000
13,83,150000,153000,44,442,180000,30000
14,84,0,3000,21,209,30000,30000
14,85,30000,33000,21,209,60000,30000
14,86,60000,63000,21,209,90000,30000
14,87,90000,93000,21,209,120000,30000
14,88,120000,123000,21,209,150000,30000
14,89,150000,153000,21,209,180000,30000
15,90,0,3000,30,304,30000,30000
15,91,30000,33000,30,304,60000,30000
15,92,60000,63000,30,304,90000,30000
15,93,90000,93000,30,304,120000,30000
15,94,120000,123000,30,304,150000,30000
15,95,150000,153000,30,304,180000,30000
16,96,0,3000,266,2656,30000,30000
16,97,30000,33000,266,2656,60000,30000
16,98,60000,63000,266,2656,90000,30000
16,99,90000,93000,266,2656,120000,30000
16,100,120000,123000,266,2656,150000,30000
16,101,150000,153000,266,2656,180000,30000
17,102,0,3000,126,1255,30000,30000
17,103,30000,33000,126,1255,60000,30000
17,104,60000,63000,126,1255,90000,30000
17,105,90000,93000,126,1255,120000,30000
17,106,120000,123000,126,1255,150000,30000
17,107,150000,153000,126,1255,180000,30000
18,108,0,3000,325,3252,30000,30000
18,109,30000,33000,325,3252,60000,30000
18,110,60000,63000,325,3252,90000,30000
18,111,90000,93000,325,3252,120000,30000
18,112,120000,123000,325,3252,150000,30000
18,113,150000,153000,325,3252,180000,30000
19,114,0,3000,335,3351,30000,30000
19,115,30000,33000,335,3351,60000,30000
19,116,60000,63000,335,3351,90000,30000
19,117,90000,93000,335,3351,120000,30000
19,118,120000,123000,335,3351,150000,30000
19,119,150000,153000,335,3351,180000,30000
20,120,0,3000,229,2283,30000,30000
20,121,30000,33000,229,2283,60000,30000
20,122,60000,63000,229,2283,90000,30000
20,123,90000,93000,229,2283,120000,30000
20,124,120000,123000,229,2283,150000,30000
20,125,150000,153000,229,2283,180000,30000
21,126,0,3000,28,277,30000,30000
21,127,30000,33000,28,277,60000,30000
21,128,60000,63000,28,277,90000,30000
21,129,90000,93000,28,277,120000,30000
21,130,120000,123000,28,277,150000,30000
21,131,150000,153000,28,277,180000,30000
22,132,0,3000,232,2323,30000,30000
22,133,30000,33000,232,2323,60000,30000
22,134,60000,63000,232,2323,90000,30000
22,135,90000,93000,232,2323,120000,30000
22,136,120000,123000,232,2323,150000,30000
22,137,150000,153000,232,2323,180000,30000
23,138,0,3000,230,2303,30000,30000
23,139,30000,33000,230,2303,60000,30000
23,140,60000,63000,230,2303,90000,30000
23,141,90000,93000,230,2303,120000,30000
23,142,120000,123000,230,2303,150000,30000
23,143,150000,153000,230,2303,180000,30000
24,144,0,6000,307,3068,60000,60000
24,145,60000,66000,307,3068,120000,60000
24,146,120000,126000,307,3068,180000,60000
25,147,0,6000,352,3520,60000,60000
25,148,60000,66000,352,3520,120000,60000
25,149,120000,126000,352,3520,180000,60000
26,150,0,6000,317,3173,60000,60000
26,151,60000,66000,317,3173,120000,60000
26,152,120000,126000,317,3173,180000,60000
27,153,0,6000,284,2841,60000,60000
27,154,60000,66000,284,2841,120000,60000
27,155,120000,126000,284,2841,180000,60000
28,156,0,6000,311,3114,60000,60000
28,157,60000,66000,311,3114,120000,60000
28,158,120000,126000,311,3114,180000,60000
29,159,0,6000,4,43,60000,60000
29,160,60000,66000,4,43,120000,60000
29,161,120000,126000,4,43,180000,60000
30,162,0,6000,78,776,60000,60000
30,163,60000,66000,78,776,120000,60000
30,164,120000,126000,78,776,180000,60000
31,165,0,6000,291,2913,60000,60000
31,166,60000,66000,291,2913,120000,60000
31,167,120000,126000,291,2913,180000,60000
32,168,0,6000,162,1623,60000,60000
32,169,60000,66000,162,1623,120000,60000
32,170,120000,126000,162,1623,180000,60000
33,171,0,6000,244,2440,60000,60000
33,172,60000,66000,244,2440,120000,60000
33,173,120000,126000,244,2440,180000,60000
34,174,0,6000,227,2266,60000,60000
34,175,60000,66000,227,2266,120000,60000
34,176,120000,126000,227,2266,180000,60000
35,177,0,6000,117,1167,60000,60000
35,178,60000,66000,117,1167,120000,60000
35,179,120000,126000,117,1167,180000,60000
36,180,0,18000,1665,16648,180000,180000
37,181,0,18000,2676,26761,180000,180000
38,182,0,18000,2561,25605,180000,180000
39,183,0,18000,1456,14556,180000,180000
40,184,0,18000,915,9152,180000,180000
41,185,0,18000,919,9193,180000,180000
42,186,0,18000,89,886,180000,180000
43,187,0,18000,2101,21013,180000,180000
44,188,0,18000,1145,11454,180000,180000
45,189,0,18000,1313,13131,180000,180000
