From TID,From JID,To TID,To JID
0,0,2,12
0,0,10,60
0,0,1,6
0,0,4,24
0,0,6,36
0,0,7,42
0,0,8,48
0,0,9,54
0,1,2,13
0,1,10,61
0,1,1,7
0,1,4,25
0,1,6,37
0,1,7,43
0,1,8,49
0,1,9,55
0,2,2,14
0,2,10,62
0,2,1,8
0,2,4,26
0,2,6,38
0,2,7,44
0,2,8,50
0,2,9,56
0,3,2,15
0,3,10,63
0,3,1,9
0,3,4,27
0,3,6,39
0,3,7,45
0,3,8,51
0,3,9,57
0,4,2,16
0,4,10,64
0,4,1,10
0,4,4,28
0,4,6,40
0,4,7,46
0,4,8,52
0,4,9,58
0,5,2,17
0,5,10,65
0,5,1,11
0,5,4,29
0,5,6,41
0,5,7,47
0,5,8,53
0,5,9,59
2,12,4,24
2,12,5,30
2,12,9,54
2,12,6,36
2,12,7,42
2,12,8,48
2,13,4,25
2,13,5,31
2,13,9,55
2,13,6,37
2,13,7,43
2,13,8,49
2,14,4,26
2,14,5,32
2,14,9,56
2,14,6,38
2,14,7,44
2,14,8,50
2,15,4,27
2,15,5,33
2,15,9,57
2,15,6,39
2,15,7,45
2,15,8,51
2,16,4,28
2,16,5,34
2,16,9,58
2,16,6,40
2,16,7,46
2,16,8,52
2,17,4,29
2,17,5,35
2,17,9,59
2,17,6,41
2,17,7,47
2,17,8,53
3,18,1,6
3,19,1,7
3,20,1,8
3,21,1,9
3,22,1,10
3,23,1,11
4,24,3,18
4,24,1,6
4,24,6,36
4,25,3,19
4,25,1,7
4,25,6,37
4,26,3,20
4,26,1,8
4,26,6,38
4,27,3,21
4,27,1,9
4,27,6,39
4,28,3,22
4,28,1,10
4,28,6,40
4,29,3,23
4,29,1,11
4,29,6,41
5,30,7,42
5,30,8,48
5,30,1,6
5,30,3,18
5,30,6,36
5,31,7,43
5,31,8,49
5,31,1,7
5,31,3,19
5,31,6,37
5,32,7,44
5,32,8,50
5,32,1,8
5,32,3,20
5,32,6,38
5,33,7,45
5,33,8,51
5,33,1,9
5,33,3,21
5,33,6,39
5,34,7,46
5,34,8,52
5,34,1,10
5,34,3,22
5,34,6,40
5,35,7,47
5,35,8,53
5,35,1,11
5,35,3,23
5,35,6,41
6,36,3,18
6,37,3,19
6,38,3,20
6,39,3,21
6,40,3,22
6,41,3,23
7,42,6,36
7,42,1,6
7,43,6,37
7,43,1,7
7,44,6,38
7,44,1,8
7,45,6,39
7,45,1,9
7,46,6,40
7,46,1,10
7,47,6,41
7,47,1,11
8,48,6,36
8,48,1,6
8,48,3,18
8,49,6,37
8,49,1,7
8,49,3,19
8,50,6,38
8,50,1,8
8,50,3,20
8,51,6,39
8,51,1,9
8,51,3,21
8,52,6,40
8,52,1,10
8,52,3,22
8,53,6,41
8,53,1,11
8,53,3,23
9,54,3,18
9,54,1,6
