From TID,From JID,To TID,To JID
0,0,2,36
0,0,3,54
0,0,4,72
0,0,5,90
0,0,7,126
0,0,8,144
0,0,11,198
0,1,2,37
0,1,3,55
0,1,4,73
0,1,5,91
0,1,7,127
0,1,8,145
0,1,11,199
0,2,2,38
0,2,3,56
0,2,4,74
0,2,5,92
0,2,7,128
0,2,8,146
0,2,11,200
0,3,2,39
0,3,3,57
0,3,4,75
0,3,5,93
0,3,7,129
0,3,8,147
0,3,11,201
0,4,2,40
0,4,3,58
0,4,4,76
0,4,5,94
0,4,7,130
0,4,8,148
0,4,11,202
0,5,2,41
0,5,3,59
0,5,4,77
0,5,5,95
0,5,7,131
0,5,8,149
0,5,11,203
0,6,2,42
0,6,3,60
0,6,4,78
0,6,5,96
0,6,7,132
0,6,8,150
0,6,11,204
0,7,2,43
0,7,3,61
0,7,4,79
0,7,5,97
0,7,7,133
0,7,8,151
0,7,11,205
0,8,2,44
0,8,3,62
0,8,4,80
0,8,5,98
0,8,7,134
0,8,8,152
0,8,11,206
0,9,2,45
0,9,3,63
0,9,4,81
0,9,5,99
0,9,7,135
0,9,8,153
0,9,11,207
0,10,2,46
0,10,3,64
0,10,4,82
0,10,5,100
0,10,7,136
0,10,8,154
0,10,11,208
0,11,2,47
0,11,3,65
0,11,4,83
0,11,5,101
0,11,7,137
0,11,8,155
0,11,11,209
0,12,2,48
0,12,3,66
0,12,4,84
0,12,5,102
0,12,7,138
0,12,8,156
0,12,11,210
0,13,2,49
0,13,3,67
0,13,4,85
0,13,5,103
0,13,7,139
0,13,8,157
0,13,11,211
0,14,2,50
0,14,3,68
0,14,4,86
0,14,5,104
0,14,7,140
0,14,8,158
0,14,11,212
0,15,2,51
0,15,3,69
0,15,4,87
0,15,5,105
0,15,7,141
0,15,8,159
0,15,11,213
0,16,2,52
0,16,3,70
0,16,4,88
0,16,5,106
0,16,7,142
0,16,8,160
0,16,11,214
0,17,2,53
0,17,3,71
0,17,4,89
0,17,5,107
0,17,7,143
0,17,8,161
0,17,11,215
2,36,1,18
2,36,5,90
2,36,8,144
2,36,9,162
2,37,1,19
2,37,5,91
2,37,8,145
2,37,9,163
2,38,1,20
2,38,5,92
2,38,8,146
2,38,9,164
2,39,1,21
2,39,5,93
2,39,8,147
2,39,9,165
2,40,1,22
2,40,5,94
2,40,8,148
2,40,9,166
2,41,1,23
2,41,5,95
2,41,8,149
2,41,9,167
2,42,1,24
2,42,5,96
2,42,8,150
2,42,9,168
2,43,1,25
2,43,5,97
2,43,8,151
2,43,9,169
2,44,1,26
2,44,5,98
2,44,8,152
2,44,9,170
2,45,1,27
2,45,5,99
2,45,8,153
2,45,9,171
2,46,1,28
2,46,5,100
2,46,8,154
2,46,9,172
2,47,1,29
2,47,5,101
2,47,8,155
2,47,9,173
2,48,1,30
2,48,5,102
2,48,8,156
2,48,9,174
2,49,1,31
2,49,5,103
2,49,8,157
2,49,9,175
2,50,1,32
2,50,5,104
2,50,8,158
2,50,9,176
2,51,1,33
2,51,5,105
2,51,8,159
2,51,9,177
2,52,1,34
2,52,5,106
2,52,8,160
2,52,9,178
2,53,1,35
2,53,5,107
2,53,8,161
2,53,9,179
3,54,1,18
3,54,8,144
3,54,9,162
3,55,1,19
3,55,8,145
3,55,9,163
3,56,1,20
3,56,8,146
3,56,9,164
3,57,1,21
3,57,8,147
3,57,9,165
3,58,1,22
3,58,8,148
3,58,9,166
3,59,1,23
3,59,8,149
3,59,9,167
3,60,1,24
3,60,8,150
3,60,9,168
3,61,1,25
3,61,8,151
3,61,9,169
3,62,1,26
3,62,8,152
3,62,9,170
3,63,1,27
3,63,8,153
3,63,9,171
3,64,1,28
3,64,8,154
3,64,9,172
3,65,1,29
3,65,8,155
3,65,9,173
3,66,1,30
3,66,8,156
3,66,9,174
3,67,1,31
3,67,8,157
3,67,9,175
3,68,1,32
3,68,8,158
3,68,9,176
3,69,1,33
3,69,8,159
3,69,9,177
3,70,1,34
3,70,8,160
3,70,9,178
3,71,1,35
3,71,8,161
3,71,9,179
4,72,6,108
4,72,11,198
4,72,5,90
4,72,7,126
4,72,8,144
4,72,9,162
4,73,6,109
4,73,11,199
4,73,5,91
4,73,7,127
4,73,8,145
4,73,9,163
4,74,6,110
4,74,11,200
4,74,5,92
4,74,7,128
4,74,8,146
4,74,9,164
4,75,6,111
4,75,11,201
4,75,5,93
4,75,7,129
4,75,8,147
4,75,9,165
4,76,6,112
4,76,11,202
4,76,5,94
4,76,7,130
4,76,8,148
4,76,9,166
4,77,6,113
4,77,11,203
4,77,5,95
4,77,7,131
4,77,8,149
4,77,9,167
4,78,6,114
4,78,11,204
4,78,5,96
4,78,7,132
4,78,8,150
4,78,9,168
4,79,6,115
4,79,11,205
4,79,5,97
4,79,7,133
4,79,8,151
4,79,9,169
4,80,6,116
4,80,11,206
4,80,5,98
4,80,7,134
4,80,8,152
4,80,9,170
4,81,6,117
4,81,11,207
4,81,5,99
4,81,7,135
4,81,8,153
4,81,9,171
4,82,6,118
4,82,11,208
4,82,5,100
4,82,7,136
4,82,8,154
4,82,9,172
4,83,6,119
4,83,11,209
4,83,5,101
4,83,7,137
4,83,8,155
4,83,9,173
4,84,6,120
4,84,11,210
4,84,5,102
4,84,7,138
4,84,8,156
4,84,9,174
4,85,6,121
4,85,11,211
4,85,5,103
4,85,7,139
4,85,8,157
4,85,9,175
4,86,6,122
4,86,11,212
4,86,5,104
4,86,7,140
4,86,8,158
4,86,9,176
4,87,6,123
4,87,11,213
4,87,5,105
4,87,7,141
4,87,8,159
4,87,9,177
4,88,6,124
4,88,11,214
4,88,5,106
4,88,7,142
4,88,8,160
4,88,9,178
4,89,6,125
4,89,11,215
4,89,5,107
4,89,7,143
4,89,8,161
4,89,9,179
5,90,1,18
5,91,1,19
5,92,1,20
5,93,1,21
5,94,1,22
5,95,1,23
5,96,1,24
5,97,1,25
5,98,1,26
5,99,1,27
5,100,1,28
5,101,1,29
5,102,1,30
5,103,1,31
5,104,1,32
5,105,1,33
5,106,1,34
5,107,1,35
6,108,8,144
6,108,9,162
6,108,10,180
6,108,1,18
6,108,7,126
6,109,8,145
6,109,9,163
6,109,10,181
6,109,1,19
6,109,7,127
6,110,8,146
6,110,9,164
6,110,10,182
6,110,1,20
6,110,7,128
6,111,8,147
6,111,9,165
6,111,10,183
6,111,1,21
6,111,7,129
6,112,8,148
6,112,9,166
6,112,10,184
6,112,1,22
6,112,7,130
6,113,8,149
6,113,9,167
6,113,10,185
6,113,1,23
6,113,7,131
6,114,8,150
6,114,9,168
6,114,10,186
6,114,1,24
6,114,7,132
6,115,8,151
6,115,9,169
6,115,10,187
6,115,1,25
6,115,7,133
6,116,8,152
6,116,9,170
6,116,10,188
6,116,1,26
6,116,7,134
6,117,8,153
6,117,9,171
6,117,10,189
6,117,1,27
6,117,7,135
6,118,8,154
6,118,9,172
6,118,10,190
6,118,1,28
6,118,7,136
6,119,8,155
6,119,9,173
6,119,10,191
6,119,1,29
6,119,7,137
6,120,8,156
6,120,9,174
6,120,10,192
6,120,1,30
6,120,7,138
6,121,8,157
6,121,9,175
6,121,10,193
6,121,1,31
6,121,7,139
6,122,8,158
6,122,9,176
6,122,10,194
6,122,1,32
6,122,7,140
6,123,8,159
6,123,9,177
6,123,10,195
6,123,1,33
6,123,7,141
6,124,8,160
6,124,9,178
6,124,10,196
6,124,1,34
6,124,7,142
6,125,8,161
6,125,9,179
6,125,10,197
6,125,1,35
6,125,7,143
7,126,5,90
7,126,1,18
7,127,5,91
7,127,1,19
7,128,5,92
7,128,1,20
7,129,5,93
7,129,1,21
7,130,5,94
7,130,1,22
7,131,5,95
7,131,1,23
7,132,5,96
7,132,1,24
7,133,5,97
7,133,1,25
7,134,5,98
7,134,1,26
7,135,5,99
7,135,1,27
7,136,5,100
7,136,1,28
7,137,5,101
7,137,1,29
7,138,5,102
7,138,1,30
7,139,5,103
7,139,1,31
7,140,5,104
7,140,1,32
7,141,5,105
7,141,1,33
7,142,5,106
7,142,1,34
7,143,5,107
7,143,1,35
8,144,7,126
8,144,1,18
8,144,5,90
8,145,7,127
8,145,1,19
8,145,5,91
8,146,7,128
8,146,1,20
8,146,5,92
8,147,7,129
8,147,1,21
8,147,5,93
8,148,7,130
8,148,1,22
8,148,5,94
8,149,7,131
8,149,1,23
8,149,5,95
8,150,7,132
8,150,1,24
8,150,5,96
8,151,7,133
8,151,1,25
8,151,5,97
8,152,7,134
8,152,1,26
8,152,5,98
8,153,7,135
8,153,1,27
8,153,5,99
8,154,7,136
8,154,1,28
8,154,5,100
8,155,7,137
8,155,1,29
8,155,5,101
8,156,7,138
8,156,1,30
8,156,5,102
8,157,7,139
8,157,1,31
8,157,5,103
8,158,7,140
8,158,1,32
8,158,5,104
8,159,7,141
8,159,1,33
8,159,5,105
8,160,7,142
8,160,1,34
8,160,5,106
8,161,7,143
8,161,1,35
8,161,5,107
9,162,7,126
9,162,5,90
9,163,7,127
9,163,5,91
9,164,7,128
9,164,5,92
9,165,7,129
9,165,5,93
9,166,7,130
9,166,5,94
9,167,7,131
9,167,5,95
9,168,7,132
9,168,5,96
9,169,7,133
9,169,5,97
9,170,7,134
9,170,5,98
9,171,7,135
9,171,5,99
9,172,7,136
9,172,5,100
9,173,7,137
9,173,5,101
9,174,7,138
9,174,5,102
9,175,7,139
9,175,5,103
9,176,7,140
9,176,5,104
9,177,7,141
9,177,5,105
9,178,7,142
9,178,5,106
9,179,7,143
9,179,5,107
10,180,7,126
10,180,1,18
10,181,7,127
10,181,1,19
10,182,7,128
10,182,1,20
10,183,7,129
10,183,1,21
10,184,7,130
10,184,1,22
10,185,7,131
10,185,1,23
10,186,7,132
10,186,1,24
10,187,7,133
10,187,1,25
10,188,7,134
10,188,1,26
10,189,7,135
10,189,1,27
10,190,7,136
10,190,1,28
10,191,7,137
10,191,1,29
10,192,7,138
10,192,1,30
10,193,7,139
10,193,1,31
10,194,7,140
10,194,1,32
10,195,7,141
10,195,1,33
10,196,7,142
10,196,1,34
10,197,7,143
10,197,1,35
11,198,5,90
11,198,7,126
11,198,9,162
11,198,10,180
11,199,5,91
11,199,7,127
11,199,9,163
11,199,10,181
11,200,5,92
11,200,7,128
11,200,9,164
11,200,10,182
11,201,5,93
11,201,7,129
11,201,9,165
11,201,10,183
11,202,5,94
11,202,7,130
11,202,9,166
11,202,10,184
11,203,5,95
11,203,7,131
11,203,9,167
11,203,10,185
11,204,5,96
11,204,7,132
11,204,9,168
11,204,10,186
11,205,5,97
11,205,7,133
11,205,9,169
11,205,10,187
11,206,5,98
11,206,7,134
11,206,9,170
11,206,10,188
11,207,5,99
11,207,7,135
11,207,9,171
11,207,10,189
11,208,5,100
11,208,7,136
11,208,9,172
11,208,10,190
11,209,5,101
11,209,7,137
11,209,9,173
11,209,10,191
11,210,5,102
11,210,7,138
11,210,9,174
11,210,10,192
11,211,5,103
11,211,7,139
11,211,9,175
11,211,10,193
11,212,5,104
11,212,7,140
11,212,9,176
11,212,10,194
11,213,5,105
11,213,7,141
11,213,9,177
11,213,10,195
11,214,5,106
11,214,7,142
11,214,9,178
11,214,10,196
11,215,5,107
11,215,7,143
11,215,9,179
11,215,10,197
12,216,14,246
12,216,19,321
12,216,20,336
12,216,16,276
12,216,21,351
12,216,23,381
12,217,14,247
12,217,19,322
12,217,20,337
12,217,16,277
12,217,21,352
12,217,23,382
12,218,14,248
12,218,19,323
12,218,20,338
12,218,16,278
12,218,21,353
12,218,23,383
12,219,14,249
12,219,19,324
12,219,20,339
12,219,16,279
12,219,21,354
12,219,23,384
12,220,14,250
12,220,19,325
12,220,20,340
12,220,16,280
12,220,21,355
12,220,23,385
12,221,14,251
12,221,19,326
12,221,20,341
12,221,16,281
12,221,21,356
12,221,23,386
12,222,14,252
12,222,19,327
12,222,20,342
12,222,16,282
12,222,21,357
12,222,23,387
12,223,14,253
12,223,19,328
12,223,20,343
