Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,396,3963,30000,30000
0,1,30000,33000,396,3963,60000,30000
0,2,60000,63000,396,3963,90000,30000
0,3,90000,93000,396,3963,120000,30000
0,4,120000,123000,396,3963,150000,30000
0,5,150000,153000,396,3963,180000,30000
0,6,180000,183000,396,3963,210000,30000
0,7,210000,213000,396,3963,240000,30000
0,8,240000,243000,396,3963,270000,30000
0,9,270000,273000,396,3963,300000,30000
0,10,300000,303000,396,3963,330000,30000
0,11,330000,333000,396,3963,360000,30000
0,12,360000,363000,396,3963,390000,30000
0,13,390000,393000,396,3963,420000,30000
0,14,420000,423000,396,3963,450000,30000
0,15,450000,453000,396,3963,480000,30000
0,16,480000,483000,396,3963,510000,30000
0,17,510000,513000,396,3963,540000,30000
0,18,540000,543000,396,3963,570000,30000
0,19,570000,573000,396,3963,600000,30000
0,20,600000,603000,396,3963,630000,30000
1,21,0,3000,441,4412,30000,30000
1,22,30000,33000,441,4412,60000,30000
1,23,60000,63000,441,4412,90000,30000
1,24,90000,93000,441,4412,120000,30000
1,25,120000,123000,441,4412,150000,30000
1,26,150000,153000,441,4412,180000,30000
1,27,180000,183000,441,4412,210000,30000
1,28,210000,213000,441,4412,240000,30000
1,29,240000,243000,441,4412,270000,30000
1,30,270000,273000,441,4412,300000,30000
1,31,300000,303000,441,4412,330000,30000
1,32,330000,333000,441,4412,360000,30000
1,33,360000,363000,441,4412,390000,30000
1,34,390000,393000,441,4412,420000,30000
1,35,420000,423000,441,4412,450000,30000
1,36,450000,453000,441,4412,480000,30000
1,37,480000,483000,441,4412,510000,30000
1,38,510000,513000,441,4412,540000,30000
1,39,540000,543000,441,4412,570000,30000
1,40,570000,573000,441,4412,600000,30000
1,41,600000,603000,441,4412,630000,30000
2,42,0,3000,335,3348,30000,30000
2,43,30000,33000,335,3348,60000,30000
2,44,60000,63000,335,3348,90000,30000
2,45,90000,93000,335,3348,120000,30000
2,46,120000,123000,335,3348,150000,30000
2,47,150000,153000,335,3348,180000,30000
2,48,180000,183000,335,3348,210000,30000
2,49,210000,213000,335,3348,240000,30000
2,50,240000,243000,335,3348,270000,30000
2,51,270000,273000,335,3348,300000,30000
2,52,300000,303000,335,3348,330000,30000
2,53,330000,333000,335,3348,360000,30000
2,54,360000,363000,335,3348,390000,30000
2,55,390000,393000,335,3348,420000,30000
2,56,420000,423000,335,3348,450000,30000
2,57,450000,453000,335,3348,480000,30000
2,58,480000,483000,335,3348,510000,30000
2,59,510000,513000,335,3348,540000,30000
2,60,540000,543000,335,3348,570000,30000
2,61,570000,573000,335,3348,600000,30000
2,62,600000,603000,335,3348,630000,30000
3,63,0,3000,452,4516,30000,30000
3,64,30000,33000,452,4516,60000,30000
3,65,60000,63000,452,4516,90000,30000
3,66,90000,93000,452,4516,120000,30000
3,67,120000,123000,452,4516,150000,30000
3,68,150000,153000,452,4516,180000,30000
3,69,180000,183000,452,4516,210000,30000
3,70,210000,213000,452,4516,240000,30000
3,71,240000,243000,452,4516,270000,30000
3,72,270000,273000,452,4516,300000,30000
3,73,300000,303000,452,4516,330000,30000
3,74,330000,333000,452,4516,360000,30000
3,75,360000,363000,452,4516,390000,30000
3,76,390000,393000,452,4516,420000,30000
3,77,420000,423000,452,4516,450000,30000
3,78,450000,453000,452,4516,480000,30000
3,79,480000,483000,452,4516,510000,30000
3,80,510000,513000,452,4516,540000,30000
3,81,540000,543000,452,4516,570000,30000
3,82,570000,573000,452,4516,600000,30000
3,83,600000,603000,452,4516,630000,30000
4,84,0,3000,339,3385,30000,30000
4,85,30000,33000,339,3385,60000,30000
4,86,60000,63000,339,3385,90000,30000
4,87,90000,93000,339,3385,120000,30000
4,88,120000,123000,339,3385,150000,30000
4,89,150000,153000,339,3385,180000,30000
4,90,180000,183000,339,3385,210000,30000
4,91,210000,213000,339,3385,240000,30000
4,92,240000,243000,339,3385,270000,30000
4,93,270000,273000,339,3385,300000,30000
4,94,300000,303000,339,3385,330000,30000
4,95,330000,333000,339,3385,360000,30000
4,96,360000,363000,339,3385,390000,30000
4,97,390000,393000,339,3385,420000,30000
4,98,420000,423000,339,3385,450000,30000
4,99,450000,453000,339,3385,480000,30000
4,100,480000,483000,339,3385,510000,30000
4,101,510000,513000,339,3385,540000,30000
4,102,540000,543000,339,3385,570000,30000
4,103,570000,573000,339,3385,600000,30000
4,104,600000,603000,339,3385,630000,30000
5,105,0,3000,471,4710,30000,30000
5,106,30000,33000,471,4710,60000,30000
5,107,60000,63000,471,4710,90000,30000
5,108,90000,93000,471,4710,120000,30000
5,109,120000,123000,471,4710,150000,30000
5,110,150000,153000,471,4710,180000,30000
5,111,180000,183000,471,4710,210000,30000
5,112,210000,213000,471,4710,240000,30000
5,113,240000,243000,471,4710,270000,30000
5,114,270000,273000,471,4710,300000,30000
5,115,300000,303000,471,4710,330000,30000
5,116,330000,333000,471,4710,360000,30000
5,117,360000,363000,471,4710,390000,30000
5,118,390000,393000,471,4710,420000,30000
5,119,420000,423000,471,4710,450000,30000
5,120,450000,453000,471,4710,480000,30000
5,121,480000,483000,471,4710,510000,30000
5,122,510000,513000,471,4710,540000,30000
5,123,540000,543000,471,4710,570000,30000
5,124,570000,573000,471,4710,600000,30000
5,125,600000,603000,471,4710,630000,30000
6,126,0,3000,265,2645,30000,30000
6,127,30000,33000,265,2645,60000,30000
6,128,60000,63000,265,2645,90000,30000
6,129,90000,93000,265,2645,120000,30000
6,130,120000,123000,265,2645,150000,30000
6,131,150000,153000,265,2645,180000,30000
6,132,180000,183000,265,2645,210000,30000
6,133,210000,213000,265,2645,240000,30000
6,134,240000,243000,265,2645,270000,30000
6,135,270000,273000,265,2645,300000,30000
6,136,300000,303000,265,2645,330000,30000
6,137,330000,333000,265,2645,360000,30000
6,138,360000,363000,265,2645,390000,30000
6,139,390000,393000,265,2645,420000,30000
6,140,420000,423000,265,2645,450000,30000
6,141,450000,453000,265,2645,480000,30000
6,142,480000,483000,265,2645,510000,30000
6,143,510000,513000,265,2645,540000,30000
6,144,540000,543000,265,2645,570000,30000
6,145,570000,573000,265,2645,600000,30000
6,146,600000,603000,265,2645,630000,30000
7,147,0,3000,1268,12687,30000,30000
7,148,30000,33000,1268,12687,60000,30000
7,149,60000,63000,1268,12687,90000,30000
7,150,90000,93000,1268,12687,120000,30000
7,151,120000,123000,1268,12687,150000,30000
7,152,150000,153000,1268,12687,180000,30000
7,153,180000,183000,1268,12687,210000,30000
7,154,210000,213000,1268,12687,240000,30000
7,155,240000,243000,1268,12687,270000,30000
7,156,270000,273000,1268,12687,300000,30000
7,157,300000,303000,1268,12687,330000,30000
7,158,330000,333000,1268,12687,360000,30000
7,159,360000,363000,1268,12687,390000,30000
7,160,390000,393000,1268,12687,420000,30000
7,161,420000,423000,1268,12687,450000,30000
7,162,450000,453000,1268,12687,480000,30000
7,163,480000,483000,1268,12687,510000,30000
7,164,510000,513000,1268,12687,540000,30000
7,165,540000,543000,1268,12687,570000,30000
7,166,570000,573000,1268,12687,600000,30000
7,167,600000,603000,1268,12687,630000,30000
8,168,0,3000,145,1448,30000,30000
8,169,30000,33000,145,1448,60000,30000
8,170,60000,63000,145,1448,90000,30000
8,171,90000,93000,145,1448,120000,30000
8,172,120000,123000,145,1448,150000,30000
8,173,150000,153000,145,1448,180000,30000
8,174,180000,183000,145,1448,210000,30000
8,175,210000,213000,145,1448,240000,30000
8,176,240000,243000,145,1448,270000,30000
8,177,270000,273000,145,1448,300000,30000
8,178,300000,303000,145,1448,330000,30000
8,179,330000,333000,145,1448,360000,30000
8,180,360000,363000,145,1448,390000,30000
8,181,390000,393000,145,1448,420000,30000
8,182,420000,423000,145,1448,450000,30000
8,183,450000,453000,145,1448,480000,30000
8,184,480000,483000,145,1448,510000,30000
8,185,510000,513000,145,1448,540000,30000
8,186,540000,543000,145,1448,570000,30000
8,187,570000,573000,145,1448,600000,30000
8,188,600000,603000,145,1448,630000,30000
9,189,0,3000,135,1350,30000,30000
9,190,30000,33000,135,1350,60000,30000
9,191,60000,63000,135,1350,90000,30000
9,192,90000,93000,135,1350,120000,30000
9,193,120000,123000,135,1350,150000,30000
9,194,150000,153000,135,1350,180000,30000
9,195,180000,183000,135,1350,210000,30000
9,196,210000,213000,135,1350,240000,30000
9,197,240000,243000,135,1350,270000,30000
9,198,270000,273000,135,1350,300000,30000
9,199,300000,303000,135,1350,330000,30000
9,200,330000,333000,135,1350,360000,30000
9,201,360000,363000,135,1350,390000,30000
9,202,390000,393000,135,1350,420000,30000
9,203,420000,423000,135,1350,450000,30000
9,204,450000,453000,135,1350,480000,30000
9,205,480000,483000,135,1350,510000,30000
9,206,510000,513000,135,1350,540000,30000
9,207,540000,543000,135,1350,570000,30000
9,208,570000,573000,135,1350,600000,30000
9,209,600000,603000,135,1350,630000,30000
10,210,0,3000,1124,11241,30000,30000
10,211,30000,33000,1124,11241,60000,30000
10,212,60000,63000,1124,11241,90000,30000
10,213,90000,93000,1124,11241,120000,30000
10,214,120000,123000,1124,11241,150000,30000
10,215,150000,153000,1124,11241,180000,30000
10,216,180000,183000,1124,11241,210000,30000
10,217,210000,213000,1124,11241,240000,30000
10,218,240000,243000,1124,11241,270000,30000
10,219,270000,273000,1124,11241,300000,30000
10,220,300000,303000,1124,11241,330000,30000
10,221,330000,333000,1124,11241,360000,30000
10,222,360000,363000,1124,11241,390000,30000
10,223,390000,393000,1124,11241,420000,30000
10,224,420000,423000,1124,11241,450000,30000
10,225,450000,453000,1124,11241,480000,30000
10,226,480000,483000,1124,11241,510000,30000
10,227,510000,513000,1124,11241,540000,30000
10,228,540000,543000,1124,11241,570000,30000
10,229,570000,573000,1124,11241,600000,30000
10,230,600000,603000,1124,11241,630000,30000
11,231,0,7000,122,1221,70000,70000
11,232,70000,77000,122,1221,140000,70000
11,233,140000,147000,122,1221,210000,70000
11,234,210000,217000,122,1221,280000,70000
11,235,280000,287000,122,1221,350000,70000
11,236,350000,357000,122,1221,420000,70000
11,237,420000,427000,122,1221,490000,70000
11,238,490000,497000,122,1221,560000,70000
11,239,560000,567000,122,1221,630000,70000
12,240,0,7000,625,6254,70000,70000
12,241,70000,77000,625,6254,140000,70000
12,242,140000,147000,625,6254,210000,70000
12,243,210000,217000,625,6254,280000,70000
12,244,280000,287000,625,6254,350000,70000
12,245,350000,357000,625,6254,420000,70000
12,246,420000,427000,625,6254,490000,70000
12,247,490000,497000,625,6254,560000,70000
12,248,560000,567000,625,6254,630000,70000
13,249,0,7000,503,5035,70000,70000
13,250,70000,77000,503,5035,140000,70000
13,251,140000,147000,503,5035,210000,70000
13,252,210000,217000,503,5035,280000,70000
13,253,280000,287000,503,5035,350000,70000
13,254,350000,357000,503,5035,420000,70000
13,255,420000,427000,503,5035,490000,70000
13,256,490000,497000,503,5035,560000,70000
13,257,560000,567000,503,5035,630000,70000
14,258,0,7000,580,5805,70000,70000
14,259,70000,77000,580,5805,140000,70000
14,260,140000,147000,580,5805,210000,70000
14,261,210000,217000,580,5805,280000,70000
14,262,280000,287000,580,5805,350000,70000
14,263,350000,357000,580,5805,420000,70000
14,264,420000,427000,580,5805,490000,70000
14,265,490000,497000,580,5805,560000,70000
14,266,560000,567000,580,5805,630000,70000
15,267,0,7000,861,8609,70000,70000
15,268,70000,77000,861,8609,140000,70000
15,269,140000,147000,861,8609,210000,70000
15,270,210000,217000,861,8609,280000,70000
15,271,280000,287000,861,8609,350000,70000
15,272,350000,357000,861,8609,420000,70000
15,273,420000,427000,861,8609,490000,70000
15,274,490000,497000,861,8609,560000,70000
15,275,560000,567000,861,8609,630000,70000
16,276,0,7000,771,7713,70000,70000
16,277,70000,77000,771,7713,140000,70000
16,278,140000,147000,771,7713,210000,70000
16,279,210000,217000,771,7713,280000,70000
16,280,280000,287000,771,7713,350000,70000
16,281,350000,357000,771,7713,420000,70000
16,282,420000,427000,771,7713,490000,70000
16,283,490000,497000,771,7713,560000,70000
16,284,560000,567000,771,7713,630000,70000
17,285,0,7000,606,6059,70000,70000
17,286,70000,77000,606,6059,140000,70000
