Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,52,523,10000,10000
0,1,10000,11000,52,523,20000,10000
0,2,20000,21000,52,523,30000,10000
0,3,30000,31000,52,523,40000,10000
0,4,40000,41000,52,523,50000,10000
0,5,50000,51000,52,523,60000,10000
0,6,60000,61000,52,523,70000,10000
0,7,70000,71000,52,523,80000,10000
0,8,80000,81000,52,523,90000,10000
0,9,90000,91000,52,523,100000,10000
0,10,100000,101000,52,523,110000,10000
0,11,110000,111000,52,523,120000,10000
0,12,120000,121000,52,523,130000,10000
0,13,130000,131000,52,523,140000,10000
0,14,140000,141000,52,523,150000,10000
0,15,150000,151000,52,523,160000,10000
0,16,160000,161000,52,523,170000,10000
0,17,170000,171000,52,523,180000,10000
0,18,180000,181000,52,523,190000,10000
0,19,190000,191000,52,523,200000,10000
0,20,200000,201000,52,523,210000,10000
0,21,210000,211000,52,523,220000,10000
0,22,220000,221000,52,523,230000,10000
0,23,230000,231000,52,523,240000,10000
0,24,240000,241000,52,523,250000,10000
0,25,250000,251000,52,523,260000,10000
0,26,260000,261000,52,523,270000,10000
0,27,270000,271000,52,523,280000,10000
0,28,280000,281000,52,523,290000,10000
0,29,290000,291000,52,523,300000,10000
0,30,300000,301000,52,523,310000,10000
0,31,310000,311000,52,523,320000,10000
0,32,320000,321000,52,523,330000,10000
0,33,330000,331000,52,523,340000,10000
0,34,340000,341000,52,523,350000,10000
0,35,350000,351000,52,523,360000,10000
0,36,360000,361000,52,523,370000,10000
0,37,370000,371000,52,523,380000,10000
0,38,380000,381000,52,523,390000,10000
0,39,390000,391000,52,523,400000,10000
0,40,400000,401000,52,523,410000,10000
0,41,410000,411000,52,523,420000,10000
0,42,420000,421000,52,523,430000,10000
0,43,430000,431000,52,523,440000,10000
0,44,440000,441000,52,523,450000,10000
0,45,450000,451000,52,523,460000,10000
0,46,460000,461000,52,523,470000,10000
0,47,470000,471000,52,523,480000,10000
0,48,480000,481000,52,523,490000,10000
0,49,490000,491000,52,523,500000,10000
0,50,500000,501000,52,523,510000,10000
0,51,510000,511000,52,523,520000,10000
0,52,520000,521000,52,523,530000,10000
0,53,530000,531000,52,523,540000,10000
0,54,540000,541000,52,523,550000,10000
0,55,550000,551000,52,523,560000,10000
0,56,560000,561000,52,523,570000,10000
0,57,570000,571000,52,523,580000,10000
0,58,580000,581000,52,523,590000,10000
0,59,590000,591000,52,523,600000,10000
0,60,600000,601000,52,523,610000,10000
0,61,610000,611000,52,523,620000,10000
0,62,620000,621000,52,523,630000,10000
0,63,630000,631000,52,523,640000,10000
0,64,640000,641000,52,523,650000,10000
0,65,650000,651000,52,523,660000,10000
0,66,660000,661000,52,523,670000,10000
0,67,670000,671000,52,523,680000,10000
0,68,680000,681000,52,523,690000,10000
0,69,690000,691000,52,523,700000,10000
0,70,700000,701000,52,523,710000,10000
0,71,710000,711000,52,523,720000,10000
0,72,720000,721000,52,523,730000,10000
0,73,730000,731000,52,523,740000,10000
0,74,740000,741000,52,523,750000,10000
0,75,750000,751000,52,523,760000,10000
0,76,760000,761000,52,523,770000,10000
0,77,770000,771000,52,523,780000,10000
0,78,780000,781000,52,523,790000,10000
0,79,790000,791000,52,523,800000,10000
0,80,800000,801000,52,523,810000,10000
0,81,810000,811000,52,523,820000,10000
0,82,820000,821000,52,523,830000,10000
0,83,830000,831000,52,523,840000,10000
0,84,840000,841000,52,523,850000,10000
0,85,850000,851000,52,523,860000,10000
0,86,860000,861000,52,523,870000,10000
0,87,870000,871000,52,523,880000,10000
0,88,880000,881000,52,523,890000,10000
0,89,890000,891000,52,523,900000,10000
0,90,900000,901000,52,523,910000,10000
0,91,910000,911000,52,523,920000,10000
0,92,920000,921000,52,523,930000,10000
0,93,930000,931000,52,523,940000,10000
0,94,940000,941000,52,523,950000,10000
0,95,950000,951000,52,523,960000,10000
0,96,960000,961000,52,523,970000,10000
0,97,970000,971000,52,523,980000,10000
0,98,980000,981000,52,523,990000,10000
0,99,990000,991000,52,523,1000000,10000
0,100,1000000,1001000,52,523,1010000,10000
0,101,1010000,1011000,52,523,1020000,10000
0,102,1020000,1021000,52,523,1030000,10000
0,103,1030000,1031000,52,523,1040000,10000
0,104,1040000,1041000,52,523,1050000,10000
0,105,1050000,1051000,52,523,1060000,10000
0,106,1060000,1061000,52,523,1070000,10000
0,107,1070000,1071000,52,523,1080000,10000
0,108,1080000,1081000,52,523,1090000,10000
0,109,1090000,1091000,52,523,1100000,10000
1,110,0,1000,36,358,10000,10000
1,111,10000,11000,36,358,20000,10000
1,112,20000,21000,36,358,30000,10000
1,113,30000,31000,36,358,40000,10000
1,114,40000,41000,36,358,50000,10000
1,115,50000,51000,36,358,60000,10000
1,116,60000,61000,36,358,70000,10000
1,117,70000,71000,36,358,80000,10000
1,118,80000,81000,36,358,90000,10000
1,119,90000,91000,36,358,100000,10000
1,120,100000,101000,36,358,110000,10000
1,121,110000,111000,36,358,120000,10000
1,122,120000,121000,36,358,130000,10000
1,123,130000,131000,36,358,140000,10000
1,124,140000,141000,36,358,150000,10000
1,125,150000,151000,36,358,160000,10000
1,126,160000,161000,36,358,170000,10000
1,127,170000,171000,36,358,180000,10000
1,128,180000,181000,36,358,190000,10000
1,129,190000,191000,36,358,200000,10000
1,130,200000,201000,36,358,210000,10000
1,131,210000,211000,36,358,220000,10000
1,132,220000,221000,36,358,230000,10000
1,133,230000,231000,36,358,240000,10000
1,134,240000,241000,36,358,250000,10000
1,135,250000,251000,36,358,260000,10000
1,136,260000,261000,36,358,270000,10000
1,137,270000,271000,36,358,280000,10000
1,138,280000,281000,36,358,290000,10000
1,139,290000,291000,36,358,300000,10000
1,140,300000,301000,36,358,310000,10000
1,141,310000,311000,36,358,320000,10000
1,142,320000,321000,36,358,330000,10000
1,143,330000,331000,36,358,340000,10000
1,144,340000,341000,36,358,350000,10000
1,145,350000,351000,36,358,360000,10000
1,146,360000,361000,36,358,370000,10000
1,147,370000,371000,36,358,380000,10000
1,148,380000,381000,36,358,390000,10000
1,149,390000,391000,36,358,400000,10000
1,150,400000,401000,36,358,410000,10000
1,151,410000,411000,36,358,420000,10000
1,152,420000,421000,36,358,430000,10000
1,153,430000,431000,36,358,440000,10000
1,154,440000,441000,36,358,450000,10000
1,155,450000,451000,36,358,460000,10000
1,156,460000,461000,36,358,470000,10000
1,157,470000,471000,36,358,480000,10000
1,158,480000,481000,36,358,490000,10000
1,159,490000,491000,36,358,500000,10000
1,160,500000,501000,36,358,510000,10000
1,161,510000,511000,36,358,520000,10000
1,162,520000,521000,36,358,530000,10000
1,163,530000,531000,36,358,540000,10000
1,164,540000,541000,36,358,550000,10000
1,165,550000,551000,36,358,560000,10000
1,166,560000,561000,36,358,570000,10000
1,167,570000,571000,36,358,580000,10000
1,168,580000,581000,36,358,590000,10000
1,169,590000,591000,36,358,600000,10000
1,170,600000,601000,36,358,610000,10000
1,171,610000,611000,36,358,620000,10000
1,172,620000,621000,36,358,630000,10000
1,173,630000,631000,36,358,640000,10000
1,174,640000,641000,36,358,650000,10000
1,175,650000,651000,36,358,660000,10000
