From TID,From JID,To TID,To JID
0,0,2,228
0,0,10,1140
0,0,3,342
0,0,5,570
0,0,6,684
0,0,7,798
0,0,8,912
0,1,2,229
0,1,10,1141
0,1,3,343
0,1,5,571
0,1,6,685
0,1,7,799
0,1,8,913
0,2,2,230
0,2,10,1142
0,2,3,344
0,2,5,572
0,2,6,686
0,2,7,800
0,2,8,914
0,3,2,231
0,3,10,1143
0,3,3,345
0,3,5,573
0,3,6,687
0,3,7,801
0,3,8,915
0,4,2,232
0,4,10,1144
0,4,3,346
0,4,5,574
0,4,6,688
0,4,7,802
0,4,8,916
0,5,2,233
0,5,10,1145
0,5,3,347
0,5,5,575
0,5,6,689
0,5,7,803
0,5,8,917
0,6,2,234
0,6,10,1146
0,6,3,348
0,6,5,576
0,6,6,690
0,6,7,804
0,6,8,918
0,7,2,235
0,7,10,1147
0,7,3,349
0,7,5,577
0,7,6,691
0,7,7,805
0,7,8,919
0,8,2,236
0,8,10,1148
0,8,3,350
0,8,5,578
0,8,6,692
0,8,7,806
0,8,8,920
0,9,2,237
0,9,10,1149
0,9,3,351
0,9,5,579
0,9,6,693
0,9,7,807
0,9,8,921
0,10,2,238
0,10,10,1150
0,10,3,352
0,10,5,580
0,10,6,694
0,10,7,808
0,10,8,922
0,11,2,239
0,11,10,1151
0,11,3,353
0,11,5,581
0,11,6,695
0,11,7,809
0,11,8,923
0,12,2,240
0,12,10,1152
0,12,3,354
0,12,5,582
0,12,6,696
0,12,7,810
0,12,8,924
0,13,2,241
0,13,10,1153
0,13,3,355
0,13,5,583
0,13,6,697
0,13,7,811
0,13,8,925
0,14,2,242
0,14,10,1154
0,14,3,356
0,14,5,584
0,14,6,698
0,14,7,812
0,14,8,926
0,15,2,243
0,15,10,1155
0,15,3,357
0,15,5,585
0,15,6,699
0,15,7,813
0,15,8,927
0,16,2,244
0,16,10,1156
0,16,3,358
0,16,5,586
0,16,6,700
0,16,7,814
0,16,8,928
0,17,2,245
0,17,10,1157
0,17,3,359
0,17,5,587
0,17,6,701
0,17,7,815
0,17,8,929
0,18,2,246
0,18,10,1158
0,18,3,360
0,18,5,588
0,18,6,702
0,18,7,816
0,18,8,930
0,19,2,247
0,19,10,1159
0,19,3,361
0,19,5,589
0,19,6,703
0,19,7,817
0,19,8,931
0,20,2,248
0,20,10,1160
0,20,3,362
0,20,5,590
0,20,6,704
0,20,7,818
0,20,8,932
0,21,2,249
