Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,49,493,10000,10000
0,1,10000,11000,49,493,20000,10000
1,2,0,1000,16,164,10000,10000
1,3,10000,11000,16,164,20000,10000
2,4,0,1000,45,451,10000,10000
2,5,10000,11000,45,451,20000,10000
3,6,0,1000,46,462,10000,10000
3,7,10000,11000,46,462,20000,10000
4,8,0,1000,49,493,10000,10000
4,9,10000,11000,49,493,20000,10000
5,10,0,1000,16,162,10000,10000
5,11,10000,11000,16,162,20000,10000
6,12,0,1000,44,432,10000,10000
6,13,10000,11000,44,432,20000,10000
7,14,0,1000,22,221,10000,10000
7,15,10000,11000,22,221,20000,10000
8,16,0,1000,3,32,10000,10000
8,17,10000,11000,3,32,20000,10000
9,18,0,1000,22,218,10000,10000
9,19,10000,11000,22,218,20000,10000
10,20,0,1000,29,279,10000,10000
10,21,10000,11000,29,279,20000,10000
11,22,0,1000,50,505,10000,10000
11,23,10000,11000,50,505,20000,10000
12,24,0,1000,126,1262,10000,10000
12,25,10000,11000,126,1262,20000,10000
13,26,0,1000,63,628,10000,10000
13,27,10000,11000,63,628,20000,10000
14,28,0,1000,30,297,10000,10000
14,29,10000,11000,30,297,20000,10000
15,30,0,1000,66,656,10000,10000
15,31,10000,11000,66,656,20000,10000
16,32,0,1000,50,496,10000,10000
16,33,10000,11000,50,496,20000,10000
17,34,0,1000,115,1149,10000,10000
17,35,10000,11000,115,1149,20000,10000
18,36,0,1000,46,465,10000,10000
18,37,10000,11000,46,465,20000,10000
19,38,0,1000,52,523,10000,10000
19,39,10000,11000,52,523,20000,10000
20,40,0,1000,26,259,10000,10000
20,41,10000,11000,26,259,20000,10000
21,42,0,1000,11,110,10000,10000
21,43,10000,11000,11,110,20000,10000
22,44,0,1000,4,36,10000,10000
22,45,10000,11000,4,36,20000,10000
23,46,0,1000,138,1379,10000,10000
23,47,10000,11000,138,1379,20000,10000
24,48,0,1000,121,1212,10000,10000
24,49,10000,11000,121,1212,20000,10000
25,50,0,2000,46,460,20000,20000
26,51,0,2000,100,1004,20000,20000
27,52,0,2000,142,1418,20000,20000
28,53,0,2000,147,1470,20000,20000
29,54,0,2000,110,1100,20000,20000
30,55,0,2000,77,773,20000,20000
31,56,0,2000,177,1759,20000,20000
32,57,0,2000,173,1734,20000,20000
33,58,0,2000,112,1118,20000,20000
34,59,0,2000,18,184,20000,20000
35,60,0,2000,1,10,20000,20000
36,61,0,2000,138,1377,20000,20000
37,62,0,2000,124,1238,20000,20000
38,63,0,2000,5,52,20000,20000
39,64,0,2000,475,4753,20000,20000
40,65,0,2000,123,1224,20000,20000
41,66,0,2000,295,2950,20000,20000
42,67,0,2000,465,4652,20000,20000
43,68,0,2000,179,1791,20000,20000
44,69,0,2000,4,43,20000,20000
45,70,0,2000,210,2101,20000,20000
