From TID,From JID,To TID,To JID
0,0,2,4
0,0,10,20
0,0,11,22
0,0,1,2
0,0,3,6
0,1,2,5
0,1,10,21
0,1,11,23
0,1,1,3
0,1,3,7
2,4,4,8
2,4,5,10
2,4,9,18
2,4,3,6
2,4,6,12
2,4,8,16
2,5,4,9
2,5,5,11
2,5,9,19
2,5,3,7
2,5,6,13
2,5,8,17
3,6,1,2
3,7,1,3
4,8,3,6
4,8,1,2
4,8,6,12
4,9,3,7
4,9,1,3
4,9,6,13
5,10,7,14
5,10,8,16
5,10,3,6
5,11,7,15
5,11,8,17
5,11,3,7
6,12,3,6
6,12,1,2
6,13,3,7
6,13,1,3
7,14,6,12
7,14,1,2
7,14,3,6
7,15,6,13
7,15,1,3
7,15,3,7
8,16,6,12
8,16,1,2
8,16,3,6
8,17,6,13
8,17,1,3
8,17,3,7
9,18,3,6
9,18,1,2
9,18,7,14
9,18,8,16
9,19,3,7
9,19,1,3
9,19,7,15
9,19,8,17
10,20,1,2
10,20,5,10
10,20,6,12
10,20,7,14
10,21,1,3
10,21,5,11
10,21,6,13
10,21,7,15
11,22,1,2
11,22,4,8
11,22,8,16
11,23,1,3
11,23,4,9
11,23,8,17
12,24,14,28
12,24,19,38
12,24,24,48
12,24,13,26
12,24,16,32
12,24,17,34
12,24,18,36
12,24,21,42
12,25,14,29
12,25,19,39
12,25,24,49
12,25,13,27
12,25,16,33
12,25,17,35
12,25,18,37
12,25,21,43
14,28,16,32
14,28,17,34
14,28,18,36
14,28,15,30
14,28,20,40
14,28,21,42
14,28,22,44
14,29,16,33
14,29,17,35
14,29,18,37
14,29,15,31
14,29,20,41
14,29,21,43
14,29,22,45
15,30,13,26
15,31,13,27
16,32,15,30
16,33,15,31
17,34,15,30
17,34,20,40
17,35,15,31
17,35,20,41
18,36,15,30
18,36,20,40
18,37,15,31
18,37,20,41
19,38,21,42
19,38,22,44
19,38,23,46
19,38,13,26
19,38,15,30
19,38,18,36
19,39,21,43
19,39,22,45
19,39,23,47
19,39,13,27
19,39,15,31
19,39,18,37
20,40,13,26
20,41,13,27
21,42,20,40
21,43,20,41
22,44,20,40
22,44,15,30
22,45,20,41
22,45,15,31
23,46,20,40
23,46,13,26
23,47,20,41
23,47,13,27
24,48,13,26
24,48,17,34
24,48,20,40
24,48,21,42
24,48,23,46
24,49,13,27
24,49,17,35
24,49,20,41
24,49,21,43
24,49,23,47
25,50,27,52
25,50,36,61
25,50,37,62
25,50,29,54
25,50,31,56
25,50,32,57
25,50,35,60
27,52,29,54
27,52,34,59
27,52,35,60
27,52,26,51
27,52,30,55
27,52,32,57
28,53,26,51
29,54,31,56
29,54,32,57
29,54,33,58
29,54,26,51
29,54,30,55
30,55,28,53
31,56,30,55
32,57,30,55
33,58,30,55
33,58,26,51
34,59,28,53
34,59,26,51
34,59,30,55
34,59,31,56
34,59,32,57
35,60,28,53
35,60,30,55
35,60,31,56
36,61,26,51
36,61,29,54
36,61,31,56
36,61,32,57
37,62,26,51
37,62,28,53
37,62,32,57
37,62,35,60
38,63,40,65
38,63,44,69
38,63,45,70
38,63,39,64
38,63,41,66
40,65,42,67
40,65,43,68
40,65,39,64
41,66,39,64
42,67,41,66
43,68,41,66
44,69,39,64
44,69,43,68
45,70,39,64
45,70,41,66
45,70,42,67
45,70,43,68
