From TID,From JID,To TID,To JID
0,0,2,360
0,0,3,540
0,0,4,720
0,0,5,900
0,0,6,1080
0,0,8,1440
0,0,10,1800
0,0,11,1980
0,1,2,361
0,1,3,541
0,1,4,721
0,1,5,901
0,1,6,1081
0,1,8,1441
0,1,10,1801
0,1,11,1981
0,2,2,362
0,2,3,542
0,2,4,722
0,2,5,902
0,2,6,1082
0,2,8,1442
0,2,10,1802
0,2,11,1982
0,3,2,363
0,3,3,543
0,3,4,723
0,3,5,903
0,3,6,1083
0,3,8,1443
0,3,10,1803
0,3,11,1983
0,4,2,364
0,4,3,544
0,4,4,724
0,4,5,904
0,4,6,1084
0,4,8,1444
0,4,10,1804
0,4,11,1984
0,5,2,365
0,5,3,545
0,5,4,725
0,5,5,905
0,5,6,1085
0,5,8,1445
0,5,10,1805
0,5,11,1985
0,6,2,366
0,6,3,546
0,6,4,726
0,6,5,906
0,6,6,1086
0,6,8,1446
0,6,10,1806
0,6,11,1986
0,7,2,367
0,7,3,547
0,7,4,727
0,7,5,907
0,7,6,1087
0,7,8,1447
0,7,10,1807
0,7,11,1987
0,8,2,368
0,8,3,548
0,8,4,728
0,8,5,908
0,8,6,1088
0,8,8,1448
0,8,10,1808
0,8,11,1988
0,9,2,369
0,9,3,549
0,9,4,729
0,9,5,909
0,9,6,1089
0,9,8,1449
0,9,10,1809
0,9,11,1989
0,10,2,370
0,10,3,550
0,10,4,730
0,10,5,910
0,10,6,1090
0,10,8,1450
0,10,10,1810
0,10,11,1990
0,11,2,371
0,11,3,551
0,11,4,731
0,11,5,911
0,11,6,1091
0,11,8,1451
0,11,10,1811
0,11,11,1991
0,12,2,372
0,12,3,552
0,12,4,732
0,12,5,912
0,12,6,1092
0,12,8,1452
0,12,10,1812
0,12,11,1992
0,13,2,373
0,13,3,553
0,13,4,733
0,13,5,913
0,13,6,1093
0,13,8,1453
0,13,10,1813
0,13,11,1993
0,14,2,374
0,14,3,554
0,14,4,734
0,14,5,914
0,14,6,1094
0,14,8,1454
0,14,10,1814
0,14,11,1994
0,15,2,375
0,15,3,555
0,15,4,735
0,15,5,915
0,15,6,1095
0,15,8,1455
0,15,10,1815
0,15,11,1995
0,16,2,376
0,16,3,556
0,16,4,736
0,16,5,916
0,16,6,1096
0,16,8,1456
0,16,10,1816
0,16,11,1996
0,17,2,377
0,17,3,557
0,17,4,737
0,17,5,917
0,17,6,1097
0,17,8,1457
0,17,10,1817
0,17,11,1997
0,18,2,378
0,18,3,558
0,18,4,738
0,18,5,918
0,18,6,1098
0,18,8,1458
0,18,10,1818
0,18,11,1998
0,19,2,379
0,19,3,559
0,19,4,739
0,19,5,919
0,19,6,1099
0,19,8,1459
0,19,10,1819
0,19,11,1999
0,20,2,380
0,20,3,560
0,20,4,740
0,20,5,920
0,20,6,1100
0,20,8,1460
0,20,10,1820
0,20,11,2000
0,21,2,381
0,21,3,561
0,21,4,741
0,21,5,921
0,21,6,1101
0,21,8,1461
0,21,10,1821
0,21,11,2001
0,22,2,382
0,22,3,562
0,22,4,742
0,22,5,922
0,22,6,1102
0,22,8,1462
0,22,10,1822
0,22,11,2002
0,23,2,383
0,23,3,563
0,23,4,743
0,23,5,923
0,23,6,1103
0,23,8,1463
0,23,10,1823
0,23,11,2003
0,24,2,384
0,24,3,564
0,24,4,744
0,24,5,924
0,24,6,1104
0,24,8,1464
0,24,10,1824
0,24,11,2004
0,25,2,385
0,25,3,565
0,25,4,745
0,25,5,925
0,25,6,1105
0,25,8,1465
0,25,10,1825
0,25,11,2005
0,26,2,386
0,26,3,566
0,26,4,746
0,26,5,926
0,26,6,1106
0,26,8,1466
0,26,10,1826
0,26,11,2006
0,27,2,387
0,27,3,567
0,27,4,747
0,27,5,927
0,27,6,1107
0,27,8,1467
0,27,10,1827
0,27,11,2007
0,28,2,388
0,28,3,568
0,28,4,748
0,28,5,928
0,28,6,1108
0,28,8,1468
0,28,10,1828
0,28,11,2008
0,29,2,389
0,29,3,569
0,29,4,749
0,29,5,929
0,29,6,1109
0,29,8,1469
0,29,10,1829
0,29,11,2009
0,30,2,390
0,30,3,570
0,30,4,750
0,30,5,930
0,30,6,1110
0,30,8,1470
0,30,10,1830
0,30,11,2010
0,31,2,391
0,31,3,571
0,31,4,751
0,31,5,931
0,31,6,1111
0,31,8,1471
0,31,10,1831
0,31,11,2011
0,32,2,392
0,32,3,572
0,32,4,752
0,32,5,932
0,32,6,1112
0,32,8,1472
0,32,10,1832
0,32,11,2012
0,33,2,393
0,33,3,573
0,33,4,753
0,33,5,933
0,33,6,1113
0,33,8,1473
0,33,10,1833
0,33,11,2013
0,34,2,394
0,34,3,574
0,34,4,754
0,34,5,934
0,34,6,1114
0,34,8,1474
0,34,10,1834
0,34,11,2014
0,35,2,395
0,35,3,575
0,35,4,755
0,35,5,935
0,35,6,1115
0,35,8,1475
0,35,10,1835
0,35,11,2015
0,36,2,396
0,36,3,576
0,36,4,756
0,36,5,936
0,36,6,1116
0,36,8,1476
0,36,10,1836
0,36,11,2016
0,37,2,397
0,37,3,577
0,37,4,757
0,37,5,937
0,37,6,1117
0,37,8,1477
0,37,10,1837
0,37,11,2017
0,38,2,398
0,38,3,578
0,38,4,758
0,38,5,938
0,38,6,1118
0,38,8,1478
0,38,10,1838
0,38,11,2018
0,39,2,399
0,39,3,579
0,39,4,759
0,39,5,939
0,39,6,1119
0,39,8,1479
0,39,10,1839
0,39,11,2019
0,40,2,400
0,40,3,580
0,40,4,760
0,40,5,940
0,40,6,1120
0,40,8,1480
0,40,10,1840
0,40,11,2020
0,41,2,401
0,41,3,581
0,41,4,761
0,41,5,941
0,41,6,1121
0,41,8,1481
0,41,10,1841
0,41,11,2021
0,42,2,402
0,42,3,582
0,42,4,762
0,42,5,942
0,42,6,1122
0,42,8,1482
0,42,10,1842
0,42,11,2022
0,43,2,403
0,43,3,583
0,43,4,763
0,43,5,943
0,43,6,1123
0,43,8,1483
0,43,10,1843
0,43,11,2023
0,44,2,404
0,44,3,584
0,44,4,764
0,44,5,944
0,44,6,1124
0,44,8,1484
0,44,10,1844
0,44,11,2024
0,45,2,405
0,45,3,585
0,45,4,765
0,45,5,945
0,45,6,1125
0,45,8,1485
0,45,10,1845
0,45,11,2025
0,46,2,406
0,46,3,586
0,46,4,766
0,46,5,946
0,46,6,1126
0,46,8,1486
0,46,10,1846
0,46,11,2026
0,47,2,407
0,47,3,587
0,47,4,767
0,47,5,947
0,47,6,1127
0,47,8,1487
0,47,10,1847
0,47,11,2027
0,48,2,408
0,48,3,588
0,48,4,768
0,48,5,948
0,48,6,1128
0,48,8,1488
0,48,10,1848
0,48,11,2028
0,49,2,409
0,49,3,589
0,49,4,769
0,49,5,949
0,49,6,1129
0,49,8,1489
0,49,10,1849
0,49,11,2029
0,50,2,410
0,50,3,590
0,50,4,770
0,50,5,950
0,50,6,1130
0,50,8,1490
0,50,10,1850
0,50,11,2030
0,51,2,411
0,51,3,591
0,51,4,771
0,51,5,951
0,51,6,1131
0,51,8,1491
0,51,10,1851
0,51,11,2031
0,52,2,412
0,52,3,592
0,52,4,772
0,52,5,952
0,52,6,1132
0,52,8,1492
0,52,10,1852
0,52,11,2032
0,53,2,413
0,53,3,593
0,53,4,773
0,53,5,953
0,53,6,1133
0,53,8,1493
0,53,10,1853
0,53,11,2033
0,54,2,414
0,54,3,594
0,54,4,774
0,54,5,954
0,54,6,1134
0,54,8,1494
0,54,10,1854
0,54,11,2034
0,55,2,415
0,55,3,595
0,55,4,775
0,55,5,955
0,55,6,1135
0,55,8,1495
0,55,10,1855
0,55,11,2035
0,56,2,416
0,56,3,596
0,56,4,776
0,56,5,956
0,56,6,1136
0,56,8,1496
0,56,10,1856
0,56,11,2036
0,57,2,417
0,57,3,597
0,57,4,777
0,57,5,957
0,57,6,1137
0,57,8,1497
0,57,10,1857
0,57,11,2037
0,58,2,418
0,58,3,598
0,58,4,778
0,58,5,958
0,58,6,1138
0,58,8,1498
0,58,10,1858
0,58,11,2038
0,59,2,419
0,59,3,599
0,59,4,779
0,59,5,959
0,59,6,1139
0,59,8,1499
0,59,10,1859
0,59,11,2039
0,60,2,420
0,60,3,600
0,60,4,780
0,60,5,960
0,60,6,1140
0,60,8,1500
0,60,10,1860
0,60,11,2040
0,61,2,421
0,61,3,601
0,61,4,781
0,61,5,961
0,61,6,1141
0,61,8,1501
0,61,10,1861
0,61,11,2041
0,62,2,422
0,62,3,602
0,62,4,782
0,62,5,962
0,62,6,1142
0,62,8,1502
0,62,10,1862
0,62,11,2042
0,63,2,423
0,63,3,603
0,63,4,783
0,63,5,963
0,63,6,1143
0,63,8,1503
0,63,10,1863
0,63,11,2043
0,64,2,424
0,64,3,604
0,64,4,784
0,64,5,964
0,64,6,1144
0,64,8,1504
0,64,10,1864
0,64,11,2044
0,65,2,425
0,65,3,605
0,65,4,785
0,65,5,965
0,65,6,1145
0,65,8,1505
0,65,10,1865
0,65,11,2045
0,66,2,426
0,66,3,606
0,66,4,786
0,66,5,966
0,66,6,1146
0,66,8,1506
0,66,10,1866
0,66,11,2046
0,67,2,427
0,67,3,607
0,67,4,787
0,67,5,967
0,67,6,1147
0,67,8,1507
0,67,10,1867
0,67,11,2047
0,68,2,428
0,68,3,608
0,68,4,788
0,68,5,968
0,68,6,1148
0,68,8,1508
0,68,10,1868
0,68,11,2048
0,69,2,429
0,69,3,609
0,69,4,789
0,69,5,969
0,69,6,1149
0,69,8,1509
0,69,10,1869
0,69,11,2049
0,70,2,430
0,70,3,610
0,70,4,790
0,70,5,970
0,70,6,1150
0,70,8,1510
0,70,10,1870
0,70,11,2050
0,71,2,431
0,71,3,611
0,71,4,791
0,71,5,971
0,71,6,1151
0,71,8,1511
0,71,10,1871
0,71,11,2051
0,72,2,432
0,72,3,612
0,72,4,792
0,72,5,972
0,72,6,1152
0,72,8,1512
0,72,10,1872
0,72,11,2052
0,73,2,433
0,73,3,613
0,73,4,793
0,73,5,973
0,73,6,1153
0,73,8,1513
0,73,10,1873
0,73,11,2053
0,74,2,434
0,74,3,614
0,74,4,794
0,74,5,974
0,74,6,1154
0,74,8,1514
0,74,10,1874
0,74,11,2054
0,75,2,435
0,75,3,615
0,75,4,795
0,75,5,975
0,75,6,1155
0,75,8,1515
0,75,10,1875
0,75,11,2055
0,76,2,436
0,76,3,616
0,76,4,796
0,76,5,976
0,76,6,1156
0,76,8,1516
0,76,10,1876
0,76,11,2056
0,77,2,437
0,77,3,617
0,77,4,797
0,77,5,977
0,77,6,1157
0,77,8,1517
0,77,10,1877
0,77,11,2057
0,78,2,438
0,78,3,618
0,78,4,798
0,78,5,978
0,78,6,1158
0,78,8,1518
0,78,10,1878
0,78,11,2058
0,79,2,439
0,79,3,619
0,79,4,799
0,79,5,979
0,79,6,1159
0,79,8,1519
0,79,10,1879
0,79,11,2059
0,80,2,440
0,80,3,620
0,80,4,800
0,80,5,980
0,80,6,1160
0,80,8,1520
0,80,10,1880
0,80,11,2060
0,81,2,441
0,81,3,621
0,81,4,801
0,81,5,981
0,81,6,1161
0,81,8,1521
0,81,10,1881
0,81,11,2061
0,82,2,442
0,82,3,622
0,82,4,802
0,82,5,982
0,82,6,1162
0,82,8,1522
0,82,10,1882
0,82,11,2062
0,83,2,443
0,83,3,623
0,83,4,803
0,83,5,983
0,83,6,1163
0,83,8,1523
0,83,10,1883
0,83,11,2063
0,84,2,444
0,84,3,624
0,84,4,804
0,84,5,984
0,84,6,1164
0,84,8,1524
0,84,10,1884
0,84,11,2064
0,85,2,445
0,85,3,625
0,85,4,805
0,85,5,985
0,85,6,1165
0,85,8,1525
0,85,10,1885
0,85,11,2065
0,86,2,446
0,86,3,626
0,86,4,806
0,86,5,986
0,86,6,1166
0,86,8,1526
0,86,10,1886
0,86,11,2066
0,87,2,447
0,87,3,627
0,87,4,807
0,87,5,987
0,87,6,1167
0,87,8,1527
0,87,10,1887
0,87,11,2067
0,88,2,448
0,88,3,628
0,88,4,808
0,88,5,988
0,88,6,1168
0,88,8,1528
0,88,10,1888
0,88,11,2068
0,89,2,449
0,89,3,629
0,89,4,809
0,89,5,989
0,89,6,1169
0,89,8,1529
0,89,10,1889
0,89,11,2069
0,90,2,450
0,90,3,630
0,90,4,810
0,90,5,990
0,90,6,1170
0,90,8,1530
0,90,10,1890
0,90,11,2070
0,91,2,451
0,91,3,631
0,91,4,811
0,91,5,991
0,91,6,1171
0,91,8,1531
0,91,10,1891
0,91,11,2071
0,92,2,452
0,92,3,632
0,92,4,812
0,92,5,992
0,92,6,1172
0,92,8,1532
0,92,10,1892
0,92,11,2072
0,93,2,453
0,93,3,633
0,93,4,813
0,93,5,993
0,93,6,1173
0,93,8,1533
0,93,10,1893
0,93,11,2073
0,94,2,454
0,94,3,634
0,94,4,814
0,94,5,994
0,94,6,1174
0,94,8,1534
0,94,10,1894
0,94,11,2074
0,95,2,455
0,95,3,635
0,95,4,815
0,95,5,995
0,95,6,1175
0,95,8,1535
0,95,10,1895
0,95,11,2075
0,96,2,456
0,96,3,636
0,96,4,816
0,96,5,996
0,96,6,1176
0,96,8,1536
0,96,10,1896
0,96,11,2076
0,97,2,457
0,97,3,637
0,97,4,817
0,97,5,997
0,97,6,1177
0,97,8,1537
0,97,10,1897
0,97,11,2077
0,98,2,458
0,98,3,638
0,98,4,818
0,98,5,998
0,98,6,1178
0,98,8,1538
0,98,10,1898
0,98,11,2078
0,99,2,459
0,99,3,639
0,99,4,819
0,99,5,999
0,99,6,1179
0,99,8,1539
0,99,10,1899
0,99,11,2079
0,100,2,460
0,100,3,640
0,100,4,820
0,100,5,1000
0,100,6,1180
0,100,8,1540
0,100,10,1900
0,100,11,2080
0,101,2,461
0,101,3,641
0,101,4,821
0,101,5,1001
0,101,6,1181
0,101,8,1541
0,101,10,1901
0,101,11,2081
0,102,2,462
0,102,3,642
0,102,4,822
0,102,5,1002
0,102,6,1182
0,102,8,1542
0,102,10,1902
0,102,11,2082
0,103,2,463
0,103,3,643
0,103,4,823
0,103,5,1003
0,103,6,1183
0,103,8,1543
0,103,10,1903
0,103,11,2083
0,104,2,464
0,104,3,644
0,104,4,824
0,104,5,1004
0,104,6,1184
0,104,8,1544
0,104,10,1904
0,104,11,2084
0,105,2,465
0,105,3,645
0,105,4,825
0,105,5,1005
0,105,6,1185
0,105,8,1545
0,105,10,1905
0,105,11,2085
0,106,2,466
0,106,3,646
0,106,4,826
0,106,5,1006
