Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,3000,770,7705,30000,30000
0,1,30000,33000,770,7705,60000,30000
0,2,60000,63000,770,7705,90000,30000
0,3,90000,93000,770,7705,120000,30000
0,4,120000,123000,770,7705,150000,30000
0,5,150000,153000,770,7705,180000,30000
0,6,180000,183000,770,7705,210000,30000
0,7,210000,213000,770,7705,240000,30000
0,8,240000,243000,770,7705,270000,30000
0,9,270000,273000,770,7705,300000,30000
0,10,300000,303000,770,7705,330000,30000
0,11,330000,333000,770,7705,360000,30000
0,12,360000,363000,770,7705,390000,30000
0,13,390000,393000,770,7705,420000,30000
0,14,420000,423000,770,7705,450000,30000
0,15,450000,453000,770,7705,480000,30000
0,16,480000,483000,770,7705,510000,30000
0,17,510000,513000,770,7705,540000,30000
0,18,540000,543000,770,7705,570000,30000
0,19,570000,573000,770,7705,600000,30000
0,20,600000,603000,770,7705,630000,30000
0,21,630000,633000,770,7705,660000,30000
0,22,660000,663000,770,7705,690000,30000
0,23,690000,693000,770,7705,720000,30000
0,24,720000,723000,770,7705,750000,30000
0,25,750000,753000,770,7705,780000,30000
0,26,780000,783000,770,7705,810000,30000
0,27,810000,813000,770,7705,840000,30000
0,28,840000,843000,770,7705,870000,30000
0,29,870000,873000,770,7705,900000,30000
0,30,900000,903000,770,7705,930000,30000
0,31,930000,933000,770,7705,960000,30000
0,32,960000,963000,770,7705,990000,30000
0,33,990000,993000,770,7705,1020000,30000
0,34,1020000,1023000,770,7705,1050000,30000
0,35,1050000,1053000,770,7705,1080000,30000
0,36,1080000,1083000,770,7705,1110000,30000
0,37,1110000,1113000,770,7705,1140000,30000
0,38,1140000,1143000,770,7705,1170000,30000
0,39,1170000,1173000,770,7705,1200000,30000
0,40,1200000,1203000,770,7705,1230000,30000
0,41,1230000,1233000,770,7705,1260000,30000
0,42,1260000,1263000,770,7705,1290000,30000
0,43,1290000,1293000,770,7705,1320000,30000
0,44,1320000,1323000,770,7705,1350000,30000
0,45,1350000,1353000,770,7705,1380000,30000
0,46,1380000,1383000,770,7705,1410000,30000
0,47,1410000,1413000,770,7705,1440000,30000
0,48,1440000,1443000,770,7705,1470000,30000
0,49,1470000,1473000,770,7705,1500000,30000
0,50,1500000,1503000,770,7705,1530000,30000
0,51,1530000,1533000,770,7705,1560000,30000
0,52,1560000,1563000,770,7705,1590000,30000
0,53,1590000,1593000,770,7705,1620000,30000
0,54,1620000,1623000,770,7705,1650000,30000
0,55,1650000,1653000,770,7705,1680000,30000
0,56,1680000,1683000,770,7705,1710000,30000
0,57,1710000,1713000,770,7705,1740000,30000
0,58,1740000,1743000,770,7705,1770000,30000
0,59,1770000,1773000,770,7705,1800000,30000
0,60,1800000,1803000,770,7705,1830000,30000
0,61,1830000,1833000,770,7705,1860000,30000
0,62,1860000,1863000,770,7705,1890000,30000
0,63,1890000,1893000,770,7705,1920000,30000
0,64,1920000,1923000,770,7705,1950000,30000
0,65,1950000,1953000,770,7705,1980000,30000
0,66,1980000,1983000,770,7705,2010000,30000
0,67,2010000,2013000,770,7705,2040000,30000
0,68,2040000,2043000,770,7705,2070000,30000
0,69,2070000,2073000,770,7705,2100000,30000
0,70,2100000,2103000,770,7705,2130000,30000
0,71,2130000,2133000,770,7705,2160000,30000
0,72,2160000,2163000,770,7705,2190000,30000
0,73,2190000,2193000,770,7705,2220000,30000
0,74,2220000,2223000,770,7705,2250000,30000
0,75,2250000,2253000,770,7705,2280000,30000
0,76,2280000,2283000,770,7705,2310000,30000
0,77,2310000,2313000,770,7705,2340000,30000
0,78,2340000,2343000,770,7705,2370000,30000
0,79,2370000,2373000,770,7705,2400000,30000
0,80,2400000,2403000,770,7705,2430000,30000
0,81,2430000,2433000,770,7705,2460000,30000
0,82,2460000,2463000,770,7705,2490000,30000
0,83,2490000,2493000,770,7705,2520000,30000
0,84,2520000,2523000,770,7705,2550000,30000
0,85,2550000,2553000,770,7705,2580000,30000
0,86,2580000,2583000,770,7705,2610000,30000
0,87,2610000,2613000,770,7705,2640000,30000
0,88,2640000,2643000,770,7705,2670000,30000
0,89,2670000,2673000,770,7705,2700000,30000
0,90,2700000,2703000,770,7705,2730000,30000
0,91,2730000,2733000,770,7705,2760000,30000
0,92,2760000,2763000,770,7705,2790000,30000
0,93,2790000,2793000,770,7705,2820000,30000
0,94,2820000,2823000,770,7705,2850000,30000
0,95,2850000,2853000,770,7705,2880000,30000
0,96,2880000,2883000,770,7705,2910000,30000
0,97,2910000,2913000,770,7705,2940000,30000
0,98,2940000,2943000,770,7705,2970000,30000
0,99,2970000,2973000,770,7705,3000000,30000
0,100,3000000,3003000,770,7705,3030000,30000
0,101,3030000,3033000,770,7705,3060000,30000
0,102,3060000,3063000,770,7705,3090000,30000
0,103,3090000,3093000,770,7705,3120000,30000
0,104,3120000,3123000,770,7705,3150000,30000
0,105,3150000,3153000,770,7705,3180000,30000
0,106,3180000,3183000,770,7705,3210000,30000
0,107,3210000,3213000,770,7705,3240000,30000
0,108,3240000,3243000,770,7705,3270000,30000
0,109,3270000,3273000,770,7705,3300000,30000
0,110,3300000,3303000,770,7705,3330000,30000
0,111,3330000,3333000,770,7705,3360000,30000
0,112,3360000,3363000,770,7705,3390000,30000
0,113,3390000,3393000,770,7705,3420000,30000
0,114,3420000,3423000,770,7705,3450000,30000
0,115,3450000,3453000,770,7705,3480000,30000
0,116,3480000,3483000,770,7705,3510000,30000
0,117,3510000,3513000,770,7705,3540000,30000
0,118,3540000,3543000,770,7705,3570000,30000
0,119,3570000,3573000,770,7705,3600000,30000
0,120,3600000,3603000,770,7705,3630000,30000
0,121,3630000,3633000,770,7705,3660000,30000
0,122,3660000,3663000,770,7705,3690000,30000
0,123,3690000,3693000,770,7705,3720000,30000
0,124,3720000,3723000,770,7705,3750000,30000
0,125,3750000,3753000,770,7705,3780000,30000
0,126,3780000,3783000,770,7705,3810000,30000
0,127,3810000,3813000,770,7705,3840000,30000
0,128,3840000,3843000,770,7705,3870000,30000
0,129,3870000,3873000,770,7705,3900000,30000
0,130,3900000,3903000,770,7705,3930000,30000
0,131,3930000,3933000,770,7705,3960000,30000
0,132,3960000,3963000,770,7705,3990000,30000
0,133,3990000,3993000,770,7705,4020000,30000
0,134,4020000,4023000,770,7705,4050000,30000
0,135,4050000,4053000,770,7705,4080000,30000
0,136,4080000,4083000,770,7705,4110000,30000
0,137,4110000,4113000,770,7705,4140000,30000
0,138,4140000,4143000,770,7705,4170000,30000
0,139,4170000,4173000,770,7705,4200000,30000
0,140,4200000,4203000,770,7705,4230000,30000
0,141,4230000,4233000,770,7705,4260000,30000
0,142,4260000,4263000,770,7705,4290000,30000
0,143,4290000,4293000,770,7705,4320000,30000
0,144,4320000,4323000,770,7705,4350000,30000
0,145,4350000,4353000,770,7705,4380000,30000
0,146,4380000,4383000,770,7705,4410000,30000
0,147,4410000,4413000,770,7705,4440000,30000
0,148,4440000,4443000,770,7705,4470000,30000
0,149,4470000,4473000,770,7705,4500000,30000
0,150,4500000,4503000,770,7705,4530000,30000
0,151,4530000,4533000,770,7705,4560000,30000
0,152,4560000,4563000,770,7705,4590000,30000
0,153,4590000,4593000,770,7705,4620000,30000
1,154,0,3000,704,7040,30000,30000
1,155,30000,33000,704,7040,60000,30000
1,156,60000,63000,704,7040,90000,30000
1,157,90000,93000,704,7040,120000,30000
1,158,120000,123000,704,7040,150000,30000
1,159,150000,153000,704,7040,180000,30000
1,160,180000,183000,704,7040,210000,30000
1,161,210000,213000,704,7040,240000,30000
1,162,240000,243000,704,7040,270000,30000
1,163,270000,273000,704,7040,300000,30000
1,164,300000,303000,704,7040,330000,30000
1,165,330000,333000,704,7040,360000,30000
1,166,360000,363000,704,7040,390000,30000
1,167,390000,393000,704,7040,420000,30000
1,168,420000,423000,704,7040,450000,30000
1,169,450000,453000,704,7040,480000,30000
1,170,480000,483000,704,7040,510000,30000
1,171,510000,513000,704,7040,540000,30000
1,172,540000,543000,704,7040,570000,30000
1,173,570000,573000,704,7040,600000,30000
1,174,600000,603000,704,7040,630000,30000
1,175,630000,633000,704,7040,660000,30000
1,176,660000,663000,704,7040,690000,30000
1,177,690000,693000,704,7040,720000,30000
1,178,720000,723000,704,7040,750000,30000
1,179,750000,753000,704,7040,780000,30000
1,180,780000,783000,704,7040,810000,30000
1,181,810000,813000,704,7040,840000,30000
1,182,840000,843000,704,7040,870000,30000
1,183,870000,873000,704,7040,900000,30000
1,184,900000,903000,704,7040,930000,30000
1,185,930000,933000,704,7040,960000,30000
1,186,960000,963000,704,7040,990000,30000
1,187,990000,993000,704,7040,1020000,30000
1,188,1020000,1023000,704,7040,1050000,30000
1,189,1050000,1053000,704,7040,1080000,30000
1,190,1080000,1083000,704,7040,1110000,30000
1,191,1110000,1113000,704,7040,1140000,30000
1,192,1140000,1143000,704,7040,1170000,30000
1,193,1170000,1173000,704,7040,1200000,30000
1,194,1200000,1203000,704,7040,1230000,30000
1,195,1230000,1233000,704,7040,1260000,30000
