Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,51,505,10000,10000
0,1,10000,11000,51,505,20000,10000
0,2,20000,21000,51,505,30000,10000
0,3,30000,31000,51,505,40000,10000
0,4,40000,41000,51,505,50000,10000
0,5,50000,51000,51,505,60000,10000
0,6,60000,61000,51,505,70000,10000
0,7,70000,71000,51,505,80000,10000
0,8,80000,81000,51,505,90000,10000
0,9,90000,91000,51,505,100000,10000
0,10,100000,101000,51,505,110000,10000
0,11,110000,111000,51,505,120000,10000
0,12,120000,121000,51,505,130000,10000
0,13,130000,131000,51,505,140000,10000
0,14,140000,141000,51,505,150000,10000
0,15,150000,151000,51,505,160000,10000
0,16,160000,161000,51,505,170000,10000
0,17,170000,171000,51,505,180000,10000
0,18,180000,181000,51,505,190000,10000
0,19,190000,191000,51,505,200000,10000
0,20,200000,201000,51,505,210000,10000
0,21,210000,211000,51,505,220000,10000
0,22,220000,221000,51,505,230000,10000
0,23,230000,231000,51,505,240000,10000
0,24,240000,241000,51,505,250000,10000
0,25,250000,251000,51,505,260000,10000
0,26,260000,261000,51,505,270000,10000
0,27,270000,271000,51,505,280000,10000
0,28,280000,281000,51,505,290000,10000
0,29,290000,291000,51,505,300000,10000
0,30,300000,301000,51,505,310000,10000
0,31,310000,311000,51,505,320000,10000
0,32,320000,321000,51,505,330000,10000
0,33,330000,331000,51,505,340000,10000
0,34,340000,341000,51,505,350000,10000
0,35,350000,351000,51,505,360000,10000
0,36,360000,361000,51,505,370000,10000
0,37,370000,371000,51,505,380000,10000
0,38,380000,381000,51,505,390000,10000
0,39,390000,391000,51,505,400000,10000
0,40,400000,401000,51,505,410000,10000
0,41,410000,411000,51,505,420000,10000
0,42,420000,421000,51,505,430000,10000
0,43,430000,431000,51,505,440000,10000
0,44,440000,441000,51,505,450000,10000
0,45,450000,451000,51,505,460000,10000
0,46,460000,461000,51,505,470000,10000
0,47,470000,471000,51,505,480000,10000
0,48,480000,481000,51,505,490000,10000
0,49,490000,491000,51,505,500000,10000
0,50,500000,501000,51,505,510000,10000
0,51,510000,511000,51,505,520000,10000
0,52,520000,521000,51,505,530000,10000
0,53,530000,531000,51,505,540000,10000
0,54,540000,541000,51,505,550000,10000
0,55,550000,551000,51,505,560000,10000
0,56,560000,561000,51,505,570000,10000
0,57,570000,571000,51,505,580000,10000
0,58,580000,581000,51,505,590000,10000
0,59,590000,591000,51,505,600000,10000
1,60,0,1000,159,1592,10000,10000
1,61,10000,11000,159,1592,20000,10000
1,62,20000,21000,159,1592,30000,10000
1,63,30000,31000,159,1592,40000,10000
1,64,40000,41000,159,1592,50000,10000
1,65,50000,51000,159,1592,60000,10000
1,66,60000,61000,159,1592,70000,10000
1,67,70000,71000,159,1592,80000,10000
1,68,80000,81000,159,1592,90000,10000
1,69,90000,91000,159,1592,100000,10000
1,70,100000,101000,159,1592,110000,10000
1,71,110000,111000,159,1592,120000,10000
1,72,120000,121000,159,1592,130000,10000
1,73,130000,131000,159,1592,140000,10000
1,74,140000,141000,159,1592,150000,10000
1,75,150000,151000,159,1592,160000,10000
1,76,160000,161000,159,1592,170000,10000
1,77,170000,171000,159,1592,180000,10000
1,78,180000,181000,159,1592,190000,10000
1,79,190000,191000,159,1592,200000,10000
1,80,200000,201000,159,1592,210000,10000
1,81,210000,211000,159,1592,220000,10000
1,82,220000,221000,159,1592,230000,10000
1,83,230000,231000,159,1592,240000,10000
1,84,240000,241000,159,1592,250000,10000
1,85,250000,251000,159,1592,260000,10000
1,86,260000,261000,159,1592,270000,10000
1,87,270000,271000,159,1592,280000,10000
1,88,280000,281000,159,1592,290000,10000
1,89,290000,291000,159,1592,300000,10000
1,90,300000,301000,159,1592,310000,10000
1,91,310000,311000,159,1592,320000,10000
1,92,320000,321000,159,1592,330000,10000
1,93,330000,331000,159,1592,340000,10000
1,94,340000,341000,159,1592,350000,10000
1,95,350000,351000,159,1592,360000,10000
1,96,360000,361000,159,1592,370000,10000
1,97,370000,371000,159,1592,380000,10000
