Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,6000,106,1057,60000,60000
0,1,60000,66000,106,1057,120000,60000
0,2,120000,126000,106,1057,180000,60000
0,3,180000,186000,106,1057,240000,60000
0,4,240000,246000,106,1057,300000,60000
0,5,300000,306000,106,1057,360000,60000
0,6,360000,366000,106,1057,420000,60000
0,7,420000,426000,106,1057,480000,60000
0,8,480000,486000,106,1057,540000,60000
0,9,540000,546000,106,1057,600000,60000
0,10,600000,606000,106,1057,660000,60000
0,11,660000,666000,106,1057,720000,60000
0,12,720000,726000,106,1057,780000,60000
0,13,780000,786000,106,1057,840000,60000
0,14,840000,846000,106,1057,900000,60000
0,15,900000,906000,106,1057,960000,60000
0,16,960000,966000,106,1057,1020000,60000
0,17,1020000,1026000,106,1057,1080000,60000
0,18,1080000,1086000,106,1057,1140000,60000
0,19,1140000,1146000,106,1057,1200000,60000
0,20,1200000,1206000,106,1057,1260000,60000
0,21,1260000,1266000,106,1057,1320000,60000
0,22,1320000,1326000,106,1057,1380000,60000
0,23,1380000,1386000,106,1057,1440000,60000
0,24,1440000,1446000,106,1057,1500000,60000
0,25,1500000,1506000,106,1057,1560000,60000
0,26,1560000,1566000,106,1057,1620000,60000
0,27,1620000,1626000,106,1057,1680000,60000
0,28,1680000,1686000,106,1057,1740000,60000
0,29,1740000,1746000,106,1057,1800000,60000
0,30,1800000,1806000,106,1057,1860000,60000
0,31,1860000,1866000,106,1057,1920000,60000
0,32,1920000,1926000,106,1057,1980000,60000
0,33,1980000,1986000,106,1057,2040000,60000
0,34,2040000,2046000,106,1057,2100000,60000
0,35,2100000,2106000,106,1057,2160000,60000
0,36,2160000,2166000,106,1057,2220000,60000
0,37,2220000,2226000,106,1057,2280000,60000
0,38,2280000,2286000,106,1057,2340000,60000
0,39,2340000,2346000,106,1057,2400000,60000
0,40,2400000,2406000,106,1057,2460000,60000
0,41,2460000,2466000,106,1057,2520000,60000
1,42,0,6000,100,997,60000,60000
1,43,60000,66000,100,997,120000,60000
1,44,120000,126000,100,997,180000,60000
1,45,180000,186000,100,997,240000,60000
1,46,240000,246000,100,997,300000,60000
1,47,300000,306000,100,997,360000,60000
1,48,360000,366000,100,997,420000,60000
1,49,420000,426000,100,997,480000,60000
1,50,480000,486000,100,997,540000,60000
1,51,540000,546000,100,997,600000,60000
1,52,600000,606000,100,997,660000,60000
1,53,660000,666000,100,997,720000,60000
1,54,720000,726000,100,997,780000,60000
1,55,780000,786000,100,997,840000,60000
1,56,840000,846000,100,997,900000,60000
1,57,900000,906000,100,997,960000,60000
1,58,960000,966000,100,997,1020000,60000
1,59,1020000,1026000,100,997,1080000,60000
1,60,1080000,1086000,100,997,1140000,60000
1,61,1140000,1146000,100,997,1200000,60000
1,62,1200000,1206000,100,997,1260000,60000
1,63,1260000,1266000,100,997,1320000,60000
1,64,1320000,1326000,100,997,1380000,60000
1,65,1380000,1386000,100,997,1440000,60000
1,66,1440000,1446000,100,997,1500000,60000
1,67,1500000,1506000,100,997,1560000,60000
1,68,1560000,1566000,100,997,1620000,60000
1,69,1620000,1626000,100,997,1680000,60000
1,70,1680000,1686000,100,997,1740000,60000
1,71,1740000,1746000,100,997,1800000,60000
1,72,1800000,1806000,100,997,1860000,60000
1,73,1860000,1866000,100,997,1920000,60000
1,74,1920000,1926000,100,997,1980000,60000
1,75,1980000,1986000,100,997,2040000,60000
1,76,2040000,2046000,100,997,2100000,60000
1,77,2100000,2106000,100,997,2160000,60000
1,78,2160000,2166000,100,997,2220000,60000
1,79,2220000,2226000,100,997,2280000,60000
1,80,2280000,2286000,100,997,2340000,60000
1,81,2340000,2346000,100,997,2400000,60000
1,82,2400000,2406000,100,997,2460000,60000
1,83,2460000,2466000,100,997,2520000,60000
2,84,0,6000,90,901,60000,60000
2,85,60000,66000,90,901,120000,60000
2,86,120000,126000,90,901,180000,60000
2,87,180000,186000,90,901,240000,60000
2,88,240000,246000,90,901,300000,60000
2,89,300000,306000,90,901,360000,60000
2,90,360000,366000,90,901,420000,60000
2,91,420000,426000,90,901,480000,60000
2,92,480000,486000,90,901,540000,60000
2,93,540000,546000,90,901,600000,60000
2,94,600000,606000,90,901,660000,60000
2,95,660000,666000,90,901,720000,60000
2,96,720000,726000,90,901,780000,60000
2,97,780000,786000,90,901,840000,60000
2,98,840000,846000,90,901,900000,60000
2,99,900000,906000,90,901,960000,60000
2,100,960000,966000,90,901,1020000,60000
2,101,1020000,1026000,90,901,1080000,60000
2,102,1080000,1086000,90,901,1140000,60000
2,103,1140000,1146000,90,901,1200000,60000
2,104,1200000,1206000,90,901,1260000,60000
2,105,1260000,1266000,90,901,1320000,60000
2,106,1320000,1326000,90,901,1380000,60000
2,107,1380000,1386000,90,901,1440000,60000
2,108,1440000,1446000,90,901,1500000,60000
2,109,1500000,1506000,90,901,1560000,60000
2,110,1560000,1566000,90,901,1620000,60000
2,111,1620000,1626000,90,901,1680000,60000
2,112,1680000,1686000,90,901,1740000,60000
2,113,1740000,1746000,90,901,1800000,60000
2,114,1800000,1806000,90,901,1860000,60000
2,115,1860000,1866000,90,901,1920000,60000
2,116,1920000,1926000,90,901,1980000,60000
2,117,1980000,1986000,90,901,2040000,60000
2,118,2040000,2046000,90,901,2100000,60000
2,119,2100000,2106000,90,901,2160000,60000
2,120,2160000,2166000,90,901,2220000,60000
2,121,2220000,2226000,90,901,2280000,60000
2,122,2280000,2286000,90,901,2340000,60000
2,123,2340000,2346000,90,901,2400000,60000
2,124,2400000,2406000,90,901,2460000,60000
2,125,2460000,2466000,90,901,2520000,60000
3,126,0,6000,144,1443,60000,60000
3,127,60000,66000,144,1443,120000,60000
3,128,120000,126000,144,1443,180000,60000
3,129,180000,186000,144,1443,240000,60000
3,130,240000,246000,144,1443,300000,60000
3,131,300000,306000,144,1443,360000,60000
3,132,360000,366000,144,1443,420000,60000
3,133,420000,426000,144,1443,480000,60000
3,134,480000,486000,144,1443,540000,60000
3,135,540000,546000,144,1443,600000,60000
3,136,600000,606000,144,1443,660000,60000
3,137,660000,666000,144,1443,720000,60000
3,138,720000,726000,144,1443,780000,60000
3,139,780000,786000,144,1443,840000,60000
3,140,840000,846000,144,1443,900000,60000
3,141,900000,906000,144,1443,960000,60000
3,142,960000,966000,144,1443,1020000,60000
3,143,1020000,1026000,144,1443,1080000,60000
3,144,1080000,1086000,144,1443,1140000,60000
3,145,1140000,1146000,144,1443,1200000,60000
3,146,1200000,1206000,144,1443,1260000,60000
3,147,1260000,1266000,144,1443,1320000,60000
3,148,1320000,1326000,144,1443,1380000,60000
3,149,1380000,1386000,144,1443,1440000,60000
3,150,1440000,1446000,144,1443,1500000,60000
3,151,1500000,1506000,144,1443,1560000,60000
3,152,1560000,1566000,144,1443,1620000,60000
3,153,1620000,1626000,144,1443,1680000,60000
3,154,1680000,1686000,144,1443,1740000,60000
3,155,1740000,1746000,144,1443,1800000,60000
3,156,1800000,1806000,144,1443,1860000,60000
3,157,1860000,1866000,144,1443,1920000,60000
3,158,1920000,1926000,144,1443,1980000,60000
3,159,1980000,1986000,144,1443,2040000,60000
3,160,2040000,2046000,144,1443,2100000,60000
3,161,2100000,2106000,144,1443,2160000,60000
3,162,2160000,2166000,144,1443,2220000,60000
3,163,2220000,2226000,144,1443,2280000,60000
3,164,2280000,2286000,144,1443,2340000,60000
3,165,2340000,2346000,144,1443,2400000,60000
3,166,2400000,2406000,144,1443,2460000,60000
3,167,2460000,2466000,144,1443,2520000,60000
4,168,0,6000,212,2117,60000,60000
4,169,60000,66000,212,2117,120000,60000
4,170,120000,126000,212,2117,180000,60000
4,171,180000,186000,212,2117,240000,60000
4,172,240000,246000,212,2117,300000,60000
4,173,300000,306000,212,2117,360000,60000
4,174,360000,366000,212,2117,420000,60000
4,175,420000,426000,212,2117,480000,60000
4,176,480000,486000,212,2117,540000,60000
4,177,540000,546000,212,2117,600000,60000
4,178,600000,606000,212,2117,660000,60000
4,179,660000,666000,212,2117,720000,60000
4,180,720000,726000,212,2117,780000,60000
4,181,780000,786000,212,2117,840000,60000
4,182,840000,846000,212,2117,900000,60000
4,183,900000,906000,212,2117,960000,60000
4,184,960000,966000,212,2117,1020000,60000
4,185,1020000,1026000,212,2117,1080000,60000
4,186,1080000,1086000,212,2117,1140000,60000
4,187,1140000,1146000,212,2117,1200000,60000
4,188,1200000,1206000,212,2117,1260000,60000
4,189,1260000,1266000,212,2117,1320000,60000
4,190,1320000,1326000,212,2117,1380000,60000
4,191,1380000,1386000,212,2117,1440000,60000
4,192,1440000,1446000,212,2117,1500000,60000
4,193,1500000,1506000,212,2117,1560000,60000
4,194,1560000,1566000,212,2117,1620000,60000
4,195,1620000,1626000,212,2117,1680000,60000
4,196,1680000,1686000,212,2117,1740000,60000
4,197,1740000,1746000,212,2117,1800000,60000
4,198,1800000,1806000,212,2117,1860000,60000
4,199,1860000,1866000,212,2117,1920000,60000
4,200,1920000,1926000,212,2117,1980000,60000
4,201,1980000,1986000,212,2117,2040000,60000
4,202,2040000,2046000,212,2117,2100000,60000
4,203,2100000,2106000,212,2117,2160000,60000
4,204,2160000,2166000,212,2117,2220000,60000
4,205,2220000,2226000,212,2117,2280000,60000
4,206,2280000,2286000,212,2117,2340000,60000
4,207,2340000,2346000,212,2117,2400000,60000
4,208,2400000,2406000,212,2117,2460000,60000
4,209,2460000,2466000,212,2117,2520000,60000
5,210,0,6000,233,2328,60000,60000
5,211,60000,66000,233,2328,120000,60000
5,212,120000,126000,233,2328,180000,60000
5,213,180000,186000,233,2328,240000,60000
5,214,240000,246000,233,2328,300000,60000
5,215,300000,306000,233,2328,360000,60000
5,216,360000,366000,233,2328,420000,60000
5,217,420000,426000,233,2328,480000,60000
5,218,480000,486000,233,2328,540000,60000
5,219,540000,546000,233,2328,600000,60000
5,220,600000,606000,233,2328,660000,60000
5,221,660000,666000,233,2328,720000,60000
5,222,720000,726000,233,2328,780000,60000
5,223,780000,786000,233,2328,840000,60000
5,224,840000,846000,233,2328,900000,60000
5,225,900000,906000,233,2328,960000,60000
5,226,960000,966000,233,2328,1020000,60000
5,227,1020000,1026000,233,2328,1080000,60000
5,228,1080000,1086000,233,2328,1140000,60000
5,229,1140000,1146000,233,2328,1200000,60000
5,230,1200000,1206000,233,2328,1260000,60000
5,231,1260000,1266000,233,2328,1320000,60000
5,232,1320000,1326000,233,2328,1380000,60000
5,233,1380000,1386000,233,2328,1440000,60000
5,234,1440000,1446000,233,2328,1500000,60000
5,235,1500000,1506000,233,2328,1560000,60000
5,236,1560000,1566000,233,2328,1620000,60000
5,237,1620000,1626000,233,2328,1680000,60000
5,238,1680000,1686000,233,2328,1740000,60000
5,239,1740000,1746000,233,2328,1800000,60000
5,240,1800000,1806000,233,2328,1860000,60000
5,241,1860000,1866000,233,2328,1920000,60000
5,242,1920000,1926000,233,2328,1980000,60000
5,243,1980000,1986000,233,2328,2040000,60000
5,244,2040000,2046000,233,2328,2100000,60000
5,245,2100000,2106000,233,2328,2160000,60000
5,246,2160000,2166000,233,2328,2220000,60000
5,247,2220000,2226000,233,2328,2280000,60000
5,248,2280000,2286000,233,2328,2340000,60000
5,249,2340000,2346000,233,2328,2400000,60000
5,250,2400000,2406000,233,2328,2460000,60000
5,251,2460000,2466000,233,2328,2520000,60000
6,252,0,6000,104,1041,60000,60000
6,253,60000,66000,104,1041,120000,60000
6,254,120000,126000,104,1041,180000,60000
6,255,180000,186000,104,1041,240000,60000
6,256,240000,246000,104,1041,300000,60000
6,257,300000,306000,104,1041,360000,60000
6,258,360000,366000,104,1041,420000,60000
6,259,420000,426000,104,1041,480000,60000
6,260,480000,486000,104,1041,540000,60000
6,261,540000,546000,104,1041,600000,60000
6,262,600000,606000,104,1041,660000,60000
6,263,660000,666000,104,1041,720000,60000
6,264,720000,726000,104,1041,780000,60000
6,265,780000,786000,104,1041,840000,60000
6,266,840000,846000,104,1041,900000,60000
6,267,900000,906000,104,1041,960000,60000
6,268,960000,966000,104,1041,1020000,60000
6,269,1020000,1026000,104,1041,1080000,60000
6,270,1080000,1086000,104,1041,1140000,60000
6,271,1140000,1146000,104,1041,1200000,60000
6,272,1200000,1206000,104,1041,1260000,60000
6,273,1260000,1266000,104,1041,1320000,60000
6,274,1320000,1326000,104,1041,1380000,60000
6,275,1380000,1386000,104,1041,1440000,60000
6,276,1440000,1446000,104,1041,1500000,60000
6,277,1500000,1506000,104,1041,1560000,60000
6,278,1560000,1566000,104,1041,1620000,60000
6,279,1620000,1626000,104,1041,1680000,60000
6,280,1680000,1686000,104,1041,1740000,60000
6,281,1740000,1746000,104,1041,1800000,60000
6,282,1800000,1806000,104,1041,1860000,60000
6,283,1860000,1866000,104,1041,1920000,60000
6,284,1920000,1926000,104,1041,1980000,60000
6,285,1980000,1986000,104,1041,2040000,60000
6,286,2040000,2046000,104,1041,2100000,60000
6,287,2100000,2106000,104,1041,2160000,60000
6,288,2160000,2166000,104,1041,2220000,60000
6,289,2220000,2226000,104,1041,2280000,60000
6,290,2280000,2286000,104,1041,2340000,60000
6,291,2340000,2346000,104,1041,2400000,60000
6,292,2400000,2406000,104,1041,2460000,60000
6,293,2460000,2466000,104,1041,2520000,60000
7,294,0,6000,30,303,60000,60000
7,295,60000,66000,30,303,120000,60000
7,296,120000,126000,30,303,180000,60000
7,297,180000,186000,30,303,240000,60000
7,298,240000,246000,30,303,300000,60000
7,299,300000,306000,30,303,360000,60000
7,300,360000,366000,30,303,420000,60000
7,301,420000,426000,30,303,480000,60000
7,302,480000,486000,30,303,540000,60000
7,303,540000,546000,30,303,600000,60000
7,304,600000,606000,30,303,660000,60000
7,305,660000,666000,30,303,720000,60000
7,306,720000,726000,30,303,780000,60000
7,307,780000,786000,30,303,840000,60000
7,308,840000,846000,30,303,900000,60000
7,309,900000,906000,30,303,960000,60000
7,310,960000,966000,30,303,1020000,60000
7,311,1020000,1026000,30,303,1080000,60000
7,312,1080000,1086000,30,303,1140000,60000
7,313,1140000,1146000,30,303,1200000,60000
7,314,1200000,1206000,30,303,1260000,60000
7,315,1260000,1266000,30,303,1320000,60000
7,316,1320000,1326000,30,303,1380000,60000
7,317,1380000,1386000,30,303,1440000,60000
7,318,1440000,1446000,30,303,1500000,60000
7,319,1500000,1506000,30,303,1560000,60000
