From TID,From JID,To TID,To JID
0,0,2,84
0,0,11,462
0,0,12,504
0,0,1,42
0,0,7,294
0,0,8,336
0,0,9,378
0,1,2,85
0,1,11,463
0,1,12,505
0,1,1,43
0,1,7,295
0,1,8,337
0,1,9,379
0,2,2,86
0,2,11,464
0,2,12,506
0,2,1,44
0,2,7,296
0,2,8,338
0,2,9,380
0,3,2,87
0,3,11,465
0,3,12,507
0,3,1,45
0,3,7,297
0,3,8,339
0,3,9,381
0,4,2,88
0,4,11,466
0,4,12,508
0,4,1,46
0,4,7,298
0,4,8,340
0,4,9,382
0,5,2,89
0,5,11,467
0,5,12,509
0,5,1,47
0,5,7,299
0,5,8,341
0,5,9,383
0,6,2,90
0,6,11,468
0,6,12,510
0,6,1,48
0,6,7,300
0,6,8,342
0,6,9,384
0,7,2,91
0,7,11,469
0,7,12,511
0,7,1,49
0,7,7,301
0,7,8,343
0,7,9,385
0,8,2,92
0,8,11,470
0,8,12,512
0,8,1,50
0,8,7,302
0,8,8,344
0,8,9,386
0,9,2,93
0,9,11,471
0,9,12,513
0,9,1,51
0,9,7,303
0,9,8,345
0,9,9,387
0,10,2,94
0,10,11,472
0,10,12,514
0,10,1,52
0,10,7,304
0,10,8,346
0,10,9,388
0,11,2,95
0,11,11,473
0,11,12,515
0,11,1,53
0,11,7,305
0,11,8,347
0,11,9,389
0,12,2,96
0,12,11,474
0,12,12,516
0,12,1,54
0,12,7,306
0,12,8,348
0,12,9,390
0,13,2,97
0,13,11,475
0,13,12,517
0,13,1,55
0,13,7,307
0,13,8,349
0,13,9,391
0,14,2,98
0,14,11,476
0,14,12,518
0,14,1,56
0,14,7,308
0,14,8,350
0,14,9,392
0,15,2,99
0,15,11,477
0,15,12,519
0,15,1,57
0,15,7,309
0,15,8,351
0,15,9,393
0,16,2,100
0,16,11,478
0,16,12,520
0,16,1,58
0,16,7,310
0,16,8,352
0,16,9,394
0,17,2,101
0,17,11,479
0,17,12,521
0,17,1,59
0,17,7,311
0,17,8,353
0,17,9,395
0,18,2,102
0,18,11,480
0,18,12,522
0,18,1,60
0,18,7,312
0,18,8,354
0,18,9,396
0,19,2,103
0,19,11,481
0,19,12,523
0,19,1,61
0,19,7,313
0,19,8,355
0,19,9,397
0,20,2,104
0,20,11,482
0,20,12,524
0,20,1,62
0,20,7,314
0,20,8,356
0,20,9,398
0,21,2,105
0,21,11,483
0,21,12,525
0,21,1,63
0,21,7,315
0,21,8,357
0,21,9,399
0,22,2,106
0,22,11,484
0,22,12,526
0,22,1,64
0,22,7,316
0,22,8,358
0,22,9,400
0,23,2,107
0,23,11,485
0,23,12,527
0,23,1,65
0,23,7,317
0,23,8,359
0,23,9,401
0,24,2,108
0,24,11,486
0,24,12,528
0,24,1,66
0,24,7,318
0,24,8,360
0,24,9,402
0,25,2,109
0,25,11,487
0,25,12,529
0,25,1,67
0,25,7,319
0,25,8,361
0,25,9,403
0,26,2,110
0,26,11,488
0,26,12,530
0,26,1,68
0,26,7,320
0,26,8,362
0,26,9,404
0,27,2,111
0,27,11,489
0,27,12,531
0,27,1,69
0,27,7,321
0,27,8,363
0,27,9,405
0,28,2,112
0,28,11,490
0,28,12,532
0,28,1,70
0,28,7,322
0,28,8,364
0,28,9,406
0,29,2,113
0,29,11,491
0,29,12,533
0,29,1,71
0,29,7,323
0,29,8,365
0,29,9,407
0,30,2,114
0,30,11,492
0,30,12,534
0,30,1,72
0,30,7,324
0,30,8,366
0,30,9,408
0,31,2,115
0,31,11,493
0,31,12,535
0,31,1,73
0,31,7,325
0,31,8,367
0,31,9,409
0,32,2,116
0,32,11,494
0,32,12,536
0,32,1,74
0,32,7,326
0,32,8,368
0,32,9,410
0,33,2,117
0,33,11,495
0,33,12,537
0,33,1,75
0,33,7,327
0,33,8,369
0,33,9,411
0,34,2,118
0,34,11,496
0,34,12,538
0,34,1,76
0,34,7,328
0,34,8,370
0,34,9,412
0,35,2,119
0,35,11,497
0,35,12,539
0,35,1,77
0,35,7,329
0,35,8,371
0,35,9,413
0,36,2,120
0,36,11,498
0,36,12,540
0,36,1,78
0,36,7,330
0,36,8,372
0,36,9,414
0,37,2,121
0,37,11,499
0,37,12,541
0,37,1,79
0,37,7,331
0,37,8,373
0,37,9,415
0,38,2,122
0,38,11,500
0,38,12,542
0,38,1,80
0,38,7,332
0,38,8,374
0,38,9,416
0,39,2,123
0,39,11,501
0,39,12,543
0,39,1,81
0,39,7,333
0,39,8,375
0,39,9,417
0,40,2,124
0,40,11,502
0,40,12,544
0,40,1,82
0,40,7,334
0,40,8,376
0,40,9,418
0,41,2,125
0,41,11,503
0,41,12,545
0,41,1,83
0,41,7,335
0,41,8,377
0,41,9,419
2,84,4,168
2,84,5,210
2,84,10,420
2,84,1,42
2,84,3,126
2,84,6,252
2,84,7,294
2,84,8,336
2,84,9,378
2,85,4,169
2,85,5,211
2,85,10,421
2,85,1,43
2,85,3,127
2,85,6,253
2,85,7,295
2,85,8,337
2,85,9,379
2,86,4,170
2,86,5,212
2,86,10,422
2,86,1,44
2,86,3,128
2,86,6,254
2,86,7,296
2,86,8,338
2,86,9,380
2,87,4,171
2,87,5,213
2,87,10,423
2,87,1,45
2,87,3,129
2,87,6,255
2,87,7,297
2,87,8,339
2,87,9,381
