From TID,From JID,To TID,To JID
0,0,2,70
0,0,11,385
0,0,3,105
0,0,4,140
0,0,6,210
0,0,7,245
0,0,8,280
0,0,10,350
0,1,2,71
0,1,11,386
0,1,3,106
0,1,4,141
0,1,6,211
0,1,7,246
0,1,8,281
0,1,10,351
0,2,2,72
0,2,11,387
0,2,3,107
0,2,4,142
0,2,6,212
0,2,7,247
0,2,8,282
0,2,10,352
0,3,2,73
0,3,11,388
0,3,3,108
0,3,4,143
0,3,6,213
0,3,7,248
0,3,8,283
0,3,10,353
0,4,2,74
0,4,11,389
0,4,3,109
0,4,4,144
0,4,6,214
0,4,7,249
0,4,8,284
0,4,10,354
0,5,2,75
0,5,11,390
0,5,3,110
0,5,4,145
0,5,6,215
0,5,7,250
0,5,8,285
0,5,10,355
0,6,2,76
0,6,11,391
0,6,3,111
0,6,4,146
0,6,6,216
0,6,7,251
0,6,8,286
0,6,10,356
0,7,2,77
0,7,11,392
0,7,3,112
0,7,4,147
0,7,6,217
0,7,7,252
0,7,8,287
0,7,10,357
0,8,2,78
0,8,11,393
0,8,3,113
0,8,4,148
0,8,6,218
0,8,7,253
0,8,8,288
0,8,10,358
0,9,2,79
0,9,11,394
0,9,3,114
0,9,4,149
0,9,6,219
0,9,7,254
0,9,8,289
0,9,10,359
0,10,2,80
0,10,11,395
0,10,3,115
0,10,4,150
0,10,6,220
0,10,7,255
0,10,8,290
0,10,10,360
0,11,2,81
0,11,11,396
0,11,3,116
0,11,4,151
0,11,6,221
0,11,7,256
0,11,8,291
0,11,10,361
0,12,2,82
0,12,11,397
0,12,3,117
0,12,4,152
0,12,6,222
0,12,7,257
0,12,8,292
0,12,10,362
0,13,2,83
0,13,11,398
0,13,3,118
0,13,4,153
0,13,6,223
0,13,7,258
0,13,8,293
0,13,10,363
0,14,2,84
0,14,11,399
0,14,3,119
0,14,4,154
0,14,6,224
0,14,7,259
0,14,8,294
0,14,10,364
0,15,2,85
0,15,11,400
0,15,3,120
0,15,4,155
0,15,6,225
0,15,7,260
0,15,8,295
0,15,10,365
0,16,2,86
0,16,11,401
0,16,3,121
0,16,4,156
0,16,6,226
0,16,7,261
0,16,8,296
0,16,10,366
0,17,2,87
0,17,11,402
0,17,3,122
0,17,4,157
0,17,6,227
0,17,7,262
0,17,8,297
0,17,10,367
0,18,2,88
0,18,11,403
0,18,3,123
0,18,4,158
0,18,6,228
0,18,7,263
0,18,8,298
0,18,10,368
0,19,2,89
0,19,11,404
0,19,3,124
0,19,4,159
0,19,6,229
0,19,7,264
0,19,8,299
0,19,10,369
0,20,2,90
0,20,11,405
0,20,3,125
0,20,4,160
0,20,6,230
0,20,7,265
0,20,8,300
0,20,10,370
0,21,2,91
0,21,11,406
0,21,3,126
0,21,4,161
0,21,6,231
0,21,7,266
0,21,8,301
0,21,10,371
0,22,2,92
0,22,11,407
0,22,3,127
0,22,4,162
0,22,6,232
0,22,7,267
0,22,8,302
0,22,10,372
0,23,2,93
0,23,11,408
0,23,3,128
0,23,4,163
0,23,6,233
0,23,7,268
0,23,8,303
0,23,10,373
0,24,2,94
0,24,11,409
0,24,3,129
0,24,4,164
0,24,6,234
0,24,7,269
0,24,8,304
0,24,10,374
0,25,2,95
0,25,11,410
0,25,3,130
0,25,4,165
0,25,6,235
0,25,7,270
0,25,8,305
0,25,10,375
0,26,2,96
0,26,11,411
0,26,3,131
0,26,4,166
0,26,6,236
0,26,7,271
0,26,8,306
0,26,10,376
0,27,2,97
0,27,11,412
0,27,3,132
0,27,4,167
0,27,6,237
0,27,7,272
0,27,8,307
0,27,10,377
0,28,2,98
0,28,11,413
0,28,3,133
0,28,4,168
0,28,6,238
0,28,7,273
0,28,8,308
0,28,10,378
0,29,2,99
0,29,11,414
0,29,3,134
0,29,4,169
0,29,6,239
0,29,7,274
0,29,8,309
0,29,10,379
0,30,2,100
0,30,11,415
0,30,3,135
0,30,4,170
0,30,6,240
0,30,7,275
0,30,8,310
0,30,10,380
0,31,2,101
0,31,11,416
0,31,3,136
0,31,4,171
0,31,6,241
0,31,7,276
0,31,8,311
0,31,10,381
0,32,2,102
0,32,11,417
0,32,3,137
0,32,4,172
0,32,6,242
0,32,7,277
0,32,8,312
0,32,10,382
0,33,2,103
0,33,11,418
0,33,3,138
0,33,4,173
0,33,6,243
0,33,7,278
0,33,8,313
0,33,10,383
0,34,2,104
0,34,11,419
0,34,3,139
0,34,4,174
0,34,6,244
0,34,7,279
0,34,8,314
0,34,10,384
2,70,4,140
2,70,9,315
2,70,10,350
2,70,3,105
2,70,6,210
2,70,8,280
2,71,4,141
2,71,9,316
2,71,10,351
2,71,3,106
2,71,6,211
2,71,8,281
2,72,4,142
2,72,9,317
2,72,10,352
2,72,3,107
2,72,6,212
2,72,8,282
2,73,4,143
2,73,9,318
2,73,10,353
2,73,3,108
2,73,6,213
2,73,8,283
2,74,4,144
2,74,9,319
2,74,10,354
2,74,3,109
2,74,6,214
2,74,8,284
2,75,4,145
2,75,9,320
2,75,10,355
2,75,3,110
2,75,6,215
2,75,8,285
2,76,4,146
2,76,9,321
2,76,10,356
2,76,3,111
2,76,6,216
2,76,8,286
2,77,4,147
2,77,9,322
2,77,10,357
2,77,3,112
2,77,6,217
2,77,8,287
2,78,4,148
2,78,9,323
2,78,10,358
2,78,3,113
2,78,6,218
2,78,8,288
2,79,4,149
2,79,9,324
2,79,10,359
2,79,3,114
2,79,6,219
2,79,8,289
2,80,4,150
2,80,9,325
2,80,10,360
2,80,3,115
2,80,6,220
2,80,8,290
2,81,4,151
2,81,9,326
2,81,10,361
2,81,3,116
2,81,6,221
2,81,8,291
2,82,4,152
2,82,9,327
2,82,10,362
2,82,3,117
2,82,6,222
2,82,8,292
2,83,4,153
2,83,9,328
2,83,10,363
2,83,3,118
2,83,6,223
2,83,8,293
2,84,4,154
2,84,9,329
2,84,10,364
2,84,3,119
2,84,6,224
2,84,8,294
2,85,4,155
2,85,9,330
2,85,10,365
2,85,3,120
2,85,6,225
2,85,8,295
2,86,4,156
2,86,9,331
2,86,10,366
2,86,3,121
2,86,6,226
2,86,8,296
2,87,4,157
2,87,9,332
2,87,10,367
2,87,3,122
2,87,6,227
2,87,8,297
2,88,4,158
2,88,9,333
2,88,10,368
2,88,3,123
2,88,6,228
2,88,8,298
2,89,4,159
2,89,9,334
2,89,10,369
2,89,3,124
2,89,6,229
2,89,8,299
2,90,4,160
2,90,9,335
2,90,10,370
2,90,3,125
2,90,6,230
2,90,8,300
2,91,4,161
2,91,9,336
2,91,10,371
2,91,3,126
2,91,6,231
2,91,8,301
2,92,4,162
2,92,9,337
2,92,10,372
2,92,3,127
2,92,6,232
2,92,8,302
2,93,4,163
2,93,9,338
2,93,10,373
2,93,3,128
2,93,6,233
2,93,8,303
2,94,4,164
2,94,9,339
2,94,10,374
2,94,3,129
2,94,6,234
2,94,8,304
2,95,4,165
2,95,9,340
2,95,10,375
2,95,3,130
2,95,6,235
2,95,8,305
2,96,4,166
2,96,9,341
2,96,10,376
2,96,3,131
2,96,6,236
2,96,8,306
2,97,4,167
2,97,9,342
2,97,10,377
2,97,3,132
2,97,6,237
2,97,8,307
2,98,4,168
2,98,9,343
2,98,10,378
2,98,3,133
2,98,6,238
2,98,8,308
2,99,4,169
2,99,9,344
2,99,10,379
2,99,3,134
2,99,6,239
2,99,8,309
2,100,4,170
2,100,9,345
2,100,10,380
2,100,3,135
2,100,6,240
2,100,8,310
2,101,4,171
2,101,9,346
2,101,10,381
2,101,3,136
2,101,6,241
2,101,8,311
2,102,4,172
2,102,9,347
2,102,10,382
2,102,3,137
2,102,6,242
2,102,8,312
2,103,4,173
2,103,9,348
2,103,10,383
2,103,3,138
2,103,6,243
2,103,8,313
2,104,4,174
2,104,9,349
2,104,10,384
2,104,3,139
2,104,6,244
2,104,8,314
3,105,1,35
3,106,1,36
3,107,1,37
3,108,1,38
3,109,1,39
3,110,1,40
3,111,1,41
3,112,1,42
3,113,1,43
3,114,1,44
3,115,1,45
3,116,1,46
3,117,1,47
3,118,1,48
3,119,1,49
3,120,1,50
3,121,1,51
3,122,1,52
3,123,1,53
3,124,1,54
3,125,1,55
3,126,1,56
3,127,1,57
3,128,1,58
3,129,1,59
3,130,1,60
3,131,1,61
3,132,1,62
3,133,1,63
3,134,1,64
3,135,1,65
3,136,1,66
3,137,1,67
3,138,1,68
3,139,1,69
4,140,6,210
4,140,7,245
4,140,8,280
4,141,6,211
4,141,7,246
4,141,8,281
4,142,6,212
4,142,7,247
4,142,8,282
4,143,6,213
4,143,7,248
4,143,8,283
4,144,6,214
4,144,7,249
4,144,8,284
4,145,6,215
4,145,7,250
4,145,8,285
4,146,6,216
4,146,7,251
4,146,8,286
4,147,6,217
4,147,7,252
4,147,8,287
4,148,6,218
4,148,7,253
4,148,8,288
4,149,6,219
4,149,7,254
4,149,8,289
4,150,6,220
4,150,7,255
4,150,8,290
4,151,6,221
4,151,7,256
4,151,8,291
4,152,6,222
4,152,7,257
4,152,8,292
4,153,6,223
4,153,7,258
4,153,8,293
4,154,6,224
4,154,7,259
4,154,8,294
4,155,6,225
4,155,7,260
4,155,8,295
4,156,6,226
4,156,7,261
4,156,8,296
4,157,6,227
4,157,7,262
4,157,8,297
4,158,6,228
4,158,7,263
4,158,8,298
4,159,6,229
4,159,7,264
4,159,8,299
4,160,6,230
4,160,7,265
4,160,8,300
4,161,6,231
4,161,7,266
4,161,8,301
4,162,6,232
4,162,7,267
4,162,8,302
4,163,6,233
4,163,7,268
4,163,8,303
4,164,6,234
4,164,7,269
4,164,8,304
4,165,6,235
4,165,7,270
4,165,8,305
4,166,6,236
4,166,7,271
4,166,8,306
4,167,6,237
4,167,7,272
4,167,8,307
4,168,6,238
4,168,7,273
4,168,8,308
4,169,6,239
4,169,7,274
4,169,8,309
4,170,6,240
4,170,7,275
4,170,8,310
4,171,6,241
4,171,7,276
4,171,8,311
4,172,6,242
4,172,7,277
4,172,8,312
4,173,6,243
4,173,7,278
4,173,8,313
4,174,6,244
4,174,7,279
4,174,8,314
5,175,3,105
5,175,1,35
5,176,3,106
5,176,1,36
5,177,3,107
5,177,1,37
5,178,3,108
5,178,1,38
5,179,3,109
5,179,1,39
5,180,3,110
5,180,1,40
5,181,3,111
5,181,1,41
5,182,3,112
5,182,1,42
5,183,3,113
5,183,1,43
5,184,3,114
5,184,1,44
5,185,3,115
5,185,1,45
5,186,3,116
5,186,1,46
5,187,3,117
5,187,1,47
5,188,3,118
5,188,1,48
5,189,3,119
5,189,1,49
5,190,3,120
5,190,1,50
5,191,3,121
5,191,1,51
5,192,3,122
5,192,1,52
5,193,3,123
5,193,1,53
5,194,3,124
5,194,1,54
5,195,3,125
5,195,1,55
5,196,3,126
5,196,1,56
5,197,3,127
5,197,1,57
5,198,3,128
5,198,1,58
5,199,3,129
5,199,1,59
5,200,3,130
5,200,1,60
5,201,3,131
5,201,1,61
5,202,3,132
5,202,1,62
5,203,3,133
5,203,1,63
5,204,3,134
5,204,1,64
5,205,3,135
5,205,1,65
5,206,3,136
5,206,1,66
5,207,3,137
5,207,1,67
5,208,3,138
5,208,1,68
5,209,3,139
5,209,1,69
6,210,5,175
6,210,3,105
6,211,5,176
6,211,3,106
6,212,5,177
6,212,3,107
6,213,5,178
6,213,3,108
6,214,5,179
6,214,3,109
6,215,5,180
6,215,3,110
6,216,5,181
6,216,3,111
6,217,5,182
6,217,3,112
6,218,5,183
6,218,3,113
6,219,5,184
6,219,3,114
6,220,5,185
6,220,3,115
6,221,5,186
6,221,3,116
6,222,5,187
6,222,3,117
6,223,5,188
6,223,3,118
6,224,5,189
6,224,3,119
6,225,5,190
6,225,3,120
6,226,5,191
6,226,3,121
6,227,5,192
6,227,3,122
6,228,5,193
6,228,3,123
6,229,5,194
6,229,3,124
6,230,5,195
6,230,3,125
6,231,5,196
6,231,3,126
6,232,5,197
6,232,3,127
6,233,5,198
6,233,3,128
6,234,5,199
6,234,3,129
6,235,5,200
6,235,3,130
6,236,5,201
6,236,3,131
6,237,5,202
6,237,3,132
6,238,5,203
6,238,3,133
6,239,5,204
6,239,3,134
6,240,5,205
6,240,3,135
6,241,5,206
6,241,3,136
6,242,5,207
6,242,3,137
6,243,5,208
6,243,3,138
6,244,5,209
6,244,3,139
7,245,5,175
7,245,1,35
7,245,3,105
7,246,5,176
7,246,1,36
7,246,3,106
7,247,5,177
7,247,1,37
7,247,3,107
7,248,5,178
7,248,1,38
7,248,3,108
7,249,5,179
7,249,1,39
7,249,3,109
7,250,5,180
7,250,1,40
7,250,3,110
7,251,5,181
7,251,1,41
7,251,3,111
7,252,5,182
7,252,1,42
7,252,3,112
7,253,5,183
7,253,1,43
7,253,3,113
7,254,5,184
7,254,1,44
7,254,3,114
7,255,5,185
7,255,1,45
7,255,3,115
7,256,5,186
7,256,1,46
7,256,3,116
7,257,5,187
7,257,1,47
7,257,3,117
7,258,5,188
7,258,1,48
7,258,3,118
7,259,5,189
7,259,1,49
7,259,3,119
7,260,5,190
