From TID,From JID,To TID,To JID
0,0,2,240
0,0,3,360
0,0,4,480
0,0,1,120
0,0,8,960
0,0,9,1080
0,0,10,1200
0,1,2,241
0,1,3,361
0,1,4,481
0,1,1,121
0,1,8,961
0,1,9,1081
0,1,10,1201
0,2,2,242
0,2,3,362
0,2,4,482
0,2,1,122
0,2,8,962
0,2,9,1082
0,2,10,1202
0,3,2,243
0,3,3,363
0,3,4,483
0,3,1,123
0,3,8,963
0,3,9,1083
0,3,10,1203
0,4,2,244
0,4,3,364
0,4,4,484
0,4,1,124
0,4,8,964
0,4,9,1084
0,4,10,1204
0,5,2,245
0,5,3,365
0,5,4,485
0,5,1,125
0,5,8,965
0,5,9,1085
0,5,10,1205
0,6,2,246
0,6,3,366
0,6,4,486
0,6,1,126
0,6,8,966
0,6,9,1086
0,6,10,1206
0,7,2,247
0,7,3,367
0,7,4,487
0,7,1,127
0,7,8,967
0,7,9,1087
0,7,10,1207
0,8,2,248
0,8,3,368
0,8,4,488
0,8,1,128
0,8,8,968
0,8,9,1088
0,8,10,1208
0,9,2,249
0,9,3,369
0,9,4,489
0,9,1,129
0,9,8,969
0,9,9,1089
0,9,10,1209
0,10,2,250
0,10,3,370
0,10,4,490
0,10,1,130
0,10,8,970
0,10,9,1090
0,10,10,1210
0,11,2,251
0,11,3,371
0,11,4,491
0,11,1,131
0,11,8,971
0,11,9,1091
0,11,10,1211
0,12,2,252
0,12,3,372
0,12,4,492
0,12,1,132
0,12,8,972
0,12,9,1092
0,12,10,1212
0,13,2,253
0,13,3,373
0,13,4,493
0,13,1,133
0,13,8,973
0,13,9,1093
0,13,10,1213
0,14,2,254
0,14,3,374
0,14,4,494
0,14,1,134
0,14,8,974
0,14,9,1094
0,14,10,1214
0,15,2,255
0,15,3,375
0,15,4,495
0,15,1,135
0,15,8,975
0,15,9,1095
0,15,10,1215
0,16,2,256
0,16,3,376
0,16,4,496
0,16,1,136
0,16,8,976
0,16,9,1096
0,16,10,1216
0,17,2,257
0,17,3,377
0,17,4,497
0,17,1,137
0,17,8,977
0,17,9,1097
0,17,10,1217
0,18,2,258
0,18,3,378
0,18,4,498
0,18,1,138
0,18,8,978
0,18,9,1098
0,18,10,1218
0,19,2,259
0,19,3,379
0,19,4,499
0,19,1,139
0,19,8,979
0,19,9,1099
0,19,10,1219
0,20,2,260
0,20,3,380
0,20,4,500
0,20,1,140
0,20,8,980
0,20,9,1100
0,20,10,1220
0,21,2,261
0,21,3,381
0,21,4,501
0,21,1,141
0,21,8,981
0,21,9,1101
0,21,10,1221
0,22,2,262
0,22,3,382
0,22,4,502
0,22,1,142
0,22,8,982
0,22,9,1102
0,22,10,1222
0,23,2,263
0,23,3,383
0,23,4,503
0,23,1,143
0,23,8,983
0,23,9,1103
0,23,10,1223
0,24,2,264
0,24,3,384
0,24,4,504
0,24,1,144
0,24,8,984
0,24,9,1104
0,24,10,1224
0,25,2,265
0,25,3,385
0,25,4,505
0,25,1,145
0,25,8,985
0,25,9,1105
0,25,10,1225
0,26,2,266
0,26,3,386
0,26,4,506
0,26,1,146
0,26,8,986
0,26,9,1106
0,26,10,1226
0,27,2,267
0,27,3,387
0,27,4,507
0,27,1,147
0,27,8,987
0,27,9,1107
0,27,10,1227
0,28,2,268
0,28,3,388
0,28,4,508
0,28,1,148
0,28,8,988
0,28,9,1108
0,28,10,1228
0,29,2,269
0,29,3,389
0,29,4,509
0,29,1,149
0,29,8,989
0,29,9,1109
0,29,10,1229
0,30,2,270
0,30,3,390
0,30,4,510
0,30,1,150
0,30,8,990
0,30,9,1110
0,30,10,1230
0,31,2,271
0,31,3,391
0,31,4,511
0,31,1,151
0,31,8,991
0,31,9,1111
0,31,10,1231
0,32,2,272
0,32,3,392
0,32,4,512
0,32,1,152
0,32,8,992
0,32,9,1112
0,32,10,1232
0,33,2,273
0,33,3,393
0,33,4,513
0,33,1,153
0,33,8,993
0,33,9,1113
0,33,10,1233
0,34,2,274
0,34,3,394
0,34,4,514
0,34,1,154
0,34,8,994
0,34,9,1114
0,34,10,1234
0,35,2,275
0,35,3,395
0,35,4,515
0,35,1,155
0,35,8,995
0,35,9,1115
0,35,10,1235
0,36,2,276
0,36,3,396
0,36,4,516
0,36,1,156
0,36,8,996
0,36,9,1116
0,36,10,1236
0,37,2,277
0,37,3,397
0,37,4,517
0,37,1,157
0,37,8,997
0,37,9,1117
0,37,10,1237
0,38,2,278
0,38,3,398
0,38,4,518
0,38,1,158
0,38,8,998
0,38,9,1118
0,38,10,1238
0,39,2,279
0,39,3,399
0,39,4,519
0,39,1,159
0,39,8,999
0,39,9,1119
0,39,10,1239
