From TID,From JID,To TID,To JID
0,0,2,304
0,0,3,456
0,0,1,152
0,1,2,305
0,1,3,457
0,1,1,153
0,2,2,306
0,2,3,458
0,2,1,154
0,3,2,307
0,3,3,459
0,3,1,155
0,4,2,308
0,4,3,460
0,4,1,156
0,5,2,309
0,5,3,461
0,5,1,157
0,6,2,310
0,6,3,462
0,6,1,158
0,7,2,311
0,7,3,463
0,7,1,159
0,8,2,312
0,8,3,464
0,8,1,160
0,9,2,313
0,9,3,465
0,9,1,161
0,10,2,314
0,10,3,466
0,10,1,162
0,11,2,315
0,11,3,467
0,11,1,163
0,12,2,316
0,12,3,468
0,12,1,164
0,13,2,317
0,13,3,469
0,13,1,165
0,14,2,318
0,14,3,470
0,14,1,166
0,15,2,319
0,15,3,471
0,15,1,167
0,16,2,320
0,16,3,472
0,16,1,168
0,17,2,321
0,17,3,473
0,17,1,169
0,18,2,322
0,18,3,474
0,18,1,170
0,19,2,323
0,19,3,475
0,19,1,171
0,20,2,324
0,20,3,476
0,20,1,172
0,21,2,325
0,21,3,477
0,21,1,173
0,22,2,326
0,22,3,478
0,22,1,174
0,23,2,327
0,23,3,479
0,23,1,175
0,24,2,328
0,24,3,480
0,24,1,176
0,25,2,329
0,25,3,481
0,25,1,177
0,26,2,330
0,26,3,482
0,26,1,178
0,27,2,331
0,27,3,483
0,27,1,179
0,28,2,332
0,28,3,484
0,28,1,180
0,29,2,333
0,29,3,485
0,29,1,181
0,30,2,334
0,30,3,486
0,30,1,182
0,31,2,335
0,31,3,487
0,31,1,183
0,32,2,336
0,32,3,488
0,32,1,184
0,33,2,337
0,33,3,489
0,33,1,185
0,34,2,338
0,34,3,490
0,34,1,186
0,35,2,339
0,35,3,491
0,35,1,187
0,36,2,340
0,36,3,492
0,36,1,188
0,37,2,341
0,37,3,493
0,37,1,189
0,38,2,342
0,38,3,494
0,38,1,190
0,39,2,343
0,39,3,495
0,39,1,191
0,40,2,344
0,40,3,496
0,40,1,192
0,41,2,345
0,41,3,497
0,41,1,193
0,42,2,346
0,42,3,498
0,42,1,194
0,43,2,347
0,43,3,499
0,43,1,195
0,44,2,348
0,44,3,500
0,44,1,196
0,45,2,349
0,45,3,501
0,45,1,197
