From TID,From JID,To TID,To JID
0,0,2,140
0,0,11,770
0,0,12,840
0,0,4,280
0,0,5,350
0,0,6,420
0,0,7,490
0,1,2,141
0,1,11,771
0,1,12,841
0,1,4,281
0,1,5,351
0,1,6,421
0,1,7,491
0,2,2,142
0,2,11,772
0,2,12,842
0,2,4,282
0,2,5,352
0,2,6,422
0,2,7,492
0,3,2,143
0,3,11,773
0,3,12,843
0,3,4,283
0,3,5,353
0,3,6,423
0,3,7,493
0,4,2,144
0,4,11,774
0,4,12,844
0,4,4,284
0,4,5,354
0,4,6,424
0,4,7,494
0,5,2,145
0,5,11,775
0,5,12,845
0,5,4,285
0,5,5,355
0,5,6,425
0,5,7,495
0,6,2,146
0,6,11,776
0,6,12,846
0,6,4,286
0,6,5,356
0,6,6,426
0,6,7,496
0,7,2,147
0,7,11,777
0,7,12,847
0,7,4,287
0,7,5,357
0,7,6,427
0,7,7,497
0,8,2,148
0,8,11,778
0,8,12,848
0,8,4,288
0,8,5,358
0,8,6,428
0,8,7,498
0,9,2,149
0,9,11,779
0,9,12,849
0,9,4,289
0,9,5,359
0,9,6,429
0,9,7,499
0,10,2,150
0,10,11,780
0,10,12,850
0,10,4,290
0,10,5,360
0,10,6,430
0,10,7,500
0,11,2,151
0,11,11,781
0,11,12,851
0,11,4,291
0,11,5,361
0,11,6,431
0,11,7,501
0,12,2,152
0,12,11,782
0,12,12,852
0,12,4,292
0,12,5,362
0,12,6,432
0,12,7,502
0,13,2,153
0,13,11,783
0,13,12,853
0,13,4,293
0,13,5,363
0,13,6,433
0,13,7,503
0,14,2,154
0,14,11,784
0,14,12,854
0,14,4,294
0,14,5,364
0,14,6,434
0,14,7,504
0,15,2,155
0,15,11,785
0,15,12,855
0,15,4,295
0,15,5,365
0,15,6,435
0,15,7,505
0,16,2,156
0,16,11,786
0,16,12,856
0,16,4,296
0,16,5,366
0,16,6,436
0,16,7,506
0,17,2,157
0,17,11,787
0,17,12,857
0,17,4,297
0,17,5,367
0,17,6,437
0,17,7,507
0,18,2,158
0,18,11,788
0,18,12,858
0,18,4,298
0,18,5,368
0,18,6,438
0,18,7,508
0,19,2,159
0,19,11,789
0,19,12,859
0,19,4,299
0,19,5,369
0,19,6,439
0,19,7,509
0,20,2,160
0,20,11,790
0,20,12,860
0,20,4,300
0,20,5,370
0,20,6,440
0,20,7,510
0,21,2,161
0,21,11,791
0,21,12,861
0,21,4,301
0,21,5,371
0,21,6,441
0,21,7,511
0,22,2,162
0,22,11,792
0,22,12,862
0,22,4,302
0,22,5,372
0,22,6,442
0,22,7,512
0,23,2,163
0,23,11,793
0,23,12,863
0,23,4,303
0,23,5,373
0,23,6,443
