From TID,From JID,To TID,To JID
0,0,2,286
0,0,11,1573
0,0,12,1716
0,0,4,572
0,0,5,715
0,0,6,858
0,0,7,1001
0,0,8,1144
0,1,2,287
0,1,11,1574
0,1,12,1717
0,1,4,573
0,1,5,716
0,1,6,859
0,1,7,1002
0,1,8,1145
0,2,2,288
0,2,11,1575
0,2,12,1718
0,2,4,574
0,2,5,717
0,2,6,860
0,2,7,1003
0,2,8,1146
0,3,2,289
0,3,11,1576
0,3,12,1719
0,3,4,575
0,3,5,718
0,3,6,861
0,3,7,1004
0,3,8,1147
0,4,2,290
0,4,11,1577
0,4,12,1720
0,4,4,576
0,4,5,719
0,4,6,862
0,4,7,1005
0,4,8,1148
0,5,2,291
0,5,11,1578
0,5,12,1721
0,5,4,577
0,5,5,720
0,5,6,863
0,5,7,1006
0,5,8,1149
0,6,2,292
0,6,11,1579
0,6,12,1722
0,6,4,578
0,6,5,721
0,6,6,864
0,6,7,1007
0,6,8,1150
0,7,2,293
0,7,11,1580
0,7,12,1723
0,7,4,579
0,7,5,722
0,7,6,865
0,7,7,1008
0,7,8,1151
0,8,2,294
0,8,11,1581
0,8,12,1724
0,8,4,580
0,8,5,723
0,8,6,866
0,8,7,1009
0,8,8,1152
0,9,2,295
0,9,11,1582
0,9,12,1725
0,9,4,581
0,9,5,724
0,9,6,867
0,9,7,1010
0,9,8,1153
0,10,2,296
0,10,11,1583
0,10,12,1726
0,10,4,582
0,10,5,725
0,10,6,868
0,10,7,1011
0,10,8,1154
0,11,2,297
0,11,11,1584
0,11,12,1727
0,11,4,583
0,11,5,726
0,11,6,869
0,11,7,1012
0,11,8,1155
0,12,2,298
0,12,11,1585
0,12,12,1728
0,12,4,584
0,12,5,727
0,12,6,870
0,12,7,1013
0,12,8,1156
0,13,2,299
0,13,11,1586
0,13,12,1729
0,13,4,585
0,13,5,728
0,13,6,871
0,13,7,1014
0,13,8,1157
0,14,2,300
0,14,11,1587
0,14,12,1730
0,14,4,586
0,14,5,729
0,14,6,872
0,14,7,1015
0,14,8,1158
0,15,2,301
0,15,11,1588
0,15,12,1731
0,15,4,587
0,15,5,730
0,15,6,873
0,15,7,1016
0,15,8,1159
0,16,2,302
0,16,11,1589
0,16,12,1732
0,16,4,588
0,16,5,731
0,16,6,874
0,16,7,1017
0,16,8,1160
0,17,2,303
0,17,11,1590
0,17,12,1733
0,17,4,589
0,17,5,732
0,17,6,875
0,17,7,1018
0,17,8,1161
0,18,2,304
0,18,11,1591
0,18,12,1734
0,18,4,590
0,18,5,733
0,18,6,876
0,18,7,1019
0,18,8,1162
0,19,2,305
0,19,11,1592
0,19,12,1735
0,19,4,591
0,19,5,734
0,19,6,877
0,19,7,1020
0,19,8,1163
0,20,2,306
0,20,11,1593
0,20,12,1736
0,20,4,592
0,20,5,735
0,20,6,878
0,20,7,1021
0,20,8,1164
0,21,2,307
0,21,11,1594
0,21,12,1737
0,21,4,593
0,21,5,736
0,21,6,879
0,21,7,1022
0,21,8,1165
0,22,2,308
0,22,11,1595
0,22,12,1738
0,22,4,594
0,22,5,737
0,22,6,880
0,22,7,1023
0,22,8,1166
0,23,2,309
0,23,11,1596
0,23,12,1739
0,23,4,595
0,23,5,738
0,23,6,881
0,23,7,1024
0,23,8,1167
0,24,2,310
0,24,11,1597
0,24,12,1740
0,24,4,596
0,24,5,739
0,24,6,882
0,24,7,1025
0,24,8,1168
0,25,2,311
0,25,11,1598
0,25,12,1741
0,25,4,597
0,25,5,740
0,25,6,883
0,25,7,1026
0,25,8,1169
0,26,2,312
0,26,11,1599
0,26,12,1742
0,26,4,598
0,26,5,741
0,26,6,884
0,26,7,1027
0,26,8,1170
0,27,2,313
0,27,11,1600
0,27,12,1743
0,27,4,599
0,27,5,742
0,27,6,885
0,27,7,1028
0,27,8,1171
0,28,2,314
0,28,11,1601
0,28,12,1744
0,28,4,600
0,28,5,743
0,28,6,886
0,28,7,1029
0,28,8,1172
0,29,2,315
0,29,11,1602
0,29,12,1745
0,29,4,601
0,29,5,744
0,29,6,887
0,29,7,1030
0,29,8,1173
0,30,2,316
0,30,11,1603
0,30,12,1746
0,30,4,602
0,30,5,745
0,30,6,888
0,30,7,1031
0,30,8,1174
0,31,2,317
0,31,11,1604
0,31,12,1747
0,31,4,603
0,31,5,746
0,31,6,889
0,31,7,1032
0,31,8,1175
0,32,2,318
0,32,11,1605
0,32,12,1748
0,32,4,604
0,32,5,747
0,32,6,890
0,32,7,1033
0,32,8,1176
0,33,2,319
0,33,11,1606
0,33,12,1749
0,33,4,605
0,33,5,748
0,33,6,891
0,33,7,1034
0,33,8,1177
0,34,2,320
0,34,11,1607
0,34,12,1750
0,34,4,606
0,34,5,749
0,34,6,892
0,34,7,1035
0,34,8,1178
0,35,2,321
0,35,11,1608
0,35,12,1751
0,35,4,607
0,35,5,750
0,35,6,893
0,35,7,1036
0,35,8,1179
0,36,2,322
0,36,11,1609
0,36,12,1752
0,36,4,608
0,36,5,751
0,36,6,894
0,36,7,1037
0,36,8,1180
0,37,2,323
0,37,11,1610
0,37,12,1753
0,37,4,609
0,37,5,752
0,37,6,895
0,37,7,1038
0,37,8,1181
0,38,2,324
0,38,11,1611
0,38,12,1754
0,38,4,610
0,38,5,753
0,38,6,896
0,38,7,1039
0,38,8,1182
0,39,2,325
0,39,11,1612
0,39,12,1755
0,39,4,611
0,39,5,754
0,39,6,897
0,39,7,1040
0,39,8,1183
0,40,2,326
0,40,11,1613
0,40,12,1756
0,40,4,612
0,40,5,755
0,40,6,898
0,40,7,1041
0,40,8,1184
0,41,2,327
0,41,11,1614
0,41,12,1757
0,41,4,613
0,41,5,756
0,41,6,899
0,41,7,1042
0,41,8,1185
0,42,2,328
0,42,11,1615
0,42,12,1758
0,42,4,614
0,42,5,757
0,42,6,900
0,42,7,1043
0,42,8,1186
0,43,2,329
0,43,11,1616
0,43,12,1759
0,43,4,615
0,43,5,758
0,43,6,901
0,43,7,1044
0,43,8,1187
0,44,2,330
0,44,11,1617
0,44,12,1760
0,44,4,616
0,44,5,759
0,44,6,902
0,44,7,1045
0,44,8,1188
0,45,2,331
0,45,11,1618
0,45,12,1761
0,45,4,617
0,45,5,760
0,45,6,903
0,45,7,1046
0,45,8,1189
0,46,2,332
0,46,11,1619
0,46,12,1762
0,46,4,618
0,46,5,761
0,46,6,904
0,46,7,1047
0,46,8,1190
0,47,2,333
0,47,11,1620
0,47,12,1763
0,47,4,619
0,47,5,762
0,47,6,905
0,47,7,1048
0,47,8,1191
0,48,2,334
0,48,11,1621
0,48,12,1764
0,48,4,620
0,48,5,763
0,48,6,906
0,48,7,1049
0,48,8,1192
0,49,2,335
0,49,11,1622
0,49,12,1765
0,49,4,621
0,49,5,764
0,49,6,907
0,49,7,1050
0,49,8,1193
0,50,2,336
0,50,11,1623
0,50,12,1766
0,50,4,622
0,50,5,765
0,50,6,908
0,50,7,1051
0,50,8,1194
0,51,2,337
0,51,11,1624
0,51,12,1767
0,51,4,623
0,51,5,766
0,51,6,909
0,51,7,1052
0,51,8,1195
0,52,2,338
0,52,11,1625
0,52,12,1768
0,52,4,624
0,52,5,767
0,52,6,910
0,52,7,1053
0,52,8,1196
0,53,2,339
0,53,11,1626
0,53,12,1769
0,53,4,625
0,53,5,768
0,53,6,911
0,53,7,1054
0,53,8,1197
0,54,2,340
0,54,11,1627
0,54,12,1770
0,54,4,626
0,54,5,769
0,54,6,912
0,54,7,1055
0,54,8,1198
0,55,2,341
0,55,11,1628
0,55,12,1771
0,55,4,627
0,55,5,770
0,55,6,913
0,55,7,1056
0,55,8,1199
0,56,2,342
0,56,11,1629
0,56,12,1772
0,56,4,628
0,56,5,771
0,56,6,914
0,56,7,1057
0,56,8,1200
0,57,2,343
0,57,11,1630
0,57,12,1773
0,57,4,629
0,57,5,772
0,57,6,915
0,57,7,1058
0,57,8,1201
0,58,2,344
0,58,11,1631
0,58,12,1774
0,58,4,630
0,58,5,773
0,58,6,916
0,58,7,1059
0,58,8,1202
0,59,2,345
0,59,11,1632
0,59,12,1775
0,59,4,631
0,59,5,774
0,59,6,917
0,59,7,1060
0,59,8,1203
0,60,2,346
0,60,11,1633
0,60,12,1776
0,60,4,632
0,60,5,775
0,60,6,918
0,60,7,1061
0,60,8,1204
0,61,2,347
0,61,11,1634
0,61,12,1777
0,61,4,633
0,61,5,776
0,61,6,919
0,61,7,1062
0,61,8,1205
0,62,2,348
0,62,11,1635
0,62,12,1778
0,62,4,634
0,62,5,777
0,62,6,920
0,62,7,1063
0,62,8,1206
0,63,2,349
0,63,11,1636
0,63,12,1779
0,63,4,635
0,63,5,778
0,63,6,921
0,63,7,1064
0,63,8,1207
0,64,2,350
0,64,11,1637
0,64,12,1780
0,64,4,636
0,64,5,779
0,64,6,922
0,64,7,1065
0,64,8,1208
0,65,2,351
0,65,11,1638
0,65,12,1781
0,65,4,637
0,65,5,780
0,65,6,923
0,65,7,1066
0,65,8,1209
0,66,2,352
0,66,11,1639
0,66,12,1782
0,66,4,638
0,66,5,781
0,66,6,924
0,66,7,1067
0,66,8,1210
0,67,2,353
0,67,11,1640
0,67,12,1783
0,67,4,639
0,67,5,782
0,67,6,925
0,67,7,1068
0,67,8,1211
0,68,2,354
0,68,11,1641
0,68,12,1784
0,68,4,640
0,68,5,783
0,68,6,926
0,68,7,1069
0,68,8,1212
0,69,2,355
0,69,11,1642
0,69,12,1785
0,69,4,641
0,69,5,784
0,69,6,927
0,69,7,1070
0,69,8,1213
0,70,2,356
0,70,11,1643
0,70,12,1786
0,70,4,642
0,70,5,785
0,70,6,928
0,70,7,1071
0,70,8,1214
0,71,2,357
0,71,11,1644
0,71,12,1787
0,71,4,643
0,71,5,786
0,71,6,929
0,71,7,1072
0,71,8,1215
0,72,2,358
0,72,11,1645
0,72,12,1788
0,72,4,644
0,72,5,787
0,72,6,930
0,72,7,1073
0,72,8,1216
0,73,2,359
0,73,11,1646
0,73,12,1789
0,73,4,645
0,73,5,788
0,73,6,931
0,73,7,1074
0,73,8,1217
0,74,2,360
0,74,11,1647
0,74,12,1790
0,74,4,646
0,74,5,789
0,74,6,932
0,74,7,1075
0,74,8,1218
0,75,2,361
0,75,11,1648
0,75,12,1791
0,75,4,647
0,75,5,790
0,75,6,933
0,75,7,1076
0,75,8,1219
0,76,2,362
0,76,11,1649
0,76,12,1792
0,76,4,648
0,76,5,791
0,76,6,934
0,76,7,1077
0,76,8,1220
0,77,2,363
0,77,11,1650
0,77,12,1793
0,77,4,649
0,77,5,792
0,77,6,935
0,77,7,1078
0,77,8,1221
0,78,2,364
0,78,11,1651
0,78,12,1794
0,78,4,650
0,78,5,793
0,78,6,936
0,78,7,1079
0,78,8,1222
0,79,2,365
0,79,11,1652
0,79,12,1795
0,79,4,651
0,79,5,794
0,79,6,937
0,79,7,1080
0,79,8,1223
0,80,2,366
0,80,11,1653
0,80,12,1796
0,80,4,652
0,80,5,795
0,80,6,938
0,80,7,1081
0,80,8,1224
0,81,2,367
0,81,11,1654
0,81,12,1797
0,81,4,653
0,81,5,796
0,81,6,939
0,81,7,1082
0,81,8,1225
0,82,2,368
0,82,11,1655
0,82,12,1798
0,82,4,654
0,82,5,797
0,82,6,940
0,82,7,1083
0,82,8,1226
0,83,2,369
0,83,11,1656
0,83,12,1799
0,83,4,655
0,83,5,798
0,83,6,941
0,83,7,1084
0,83,8,1227
0,84,2,370
0,84,11,1657
0,84,12,1800
0,84,4,656
0,84,5,799
0,84,6,942
0,84,7,1085
0,84,8,1228
0,85,2,371
0,85,11,1658
0,85,12,1801
0,85,4,657
0,85,5,800
0,85,6,943
0,85,7,1086
0,85,8,1229
0,86,2,372
0,86,11,1659
0,86,12,1802
0,86,4,658
0,86,5,801
0,86,6,944
0,86,7,1087
0,86,8,1230
0,87,2,373
0,87,11,1660
0,87,12,1803
0,87,4,659
0,87,5,802
0,87,6,945
0,87,7,1088
0,87,8,1231
0,88,2,374
0,88,11,1661
0,88,12,1804
0,88,4,660
0,88,5,803
0,88,6,946
0,88,7,1089
0,88,8,1232
0,89,2,375
0,89,11,1662
0,89,12,1805
0,89,4,661
0,89,5,804
0,89,6,947
0,89,7,1090
0,89,8,1233
0,90,2,376
0,90,11,1663
0,90,12,1806
0,90,4,662
0,90,5,805
0,90,6,948
0,90,7,1091
0,90,8,1234
0,91,2,377
0,91,11,1664
0,91,12,1807
0,91,4,663
0,91,5,806
0,91,6,949
0,91,7,1092
0,91,8,1235
0,92,2,378
0,92,11,1665
0,92,12,1808
0,92,4,664
0,92,5,807
0,92,6,950
0,92,7,1093
0,92,8,1236
0,93,2,379
0,93,11,1666
0,93,12,1809
0,93,4,665
0,93,5,808
0,93,6,951
0,93,7,1094
0,93,8,1237
0,94,2,380
0,94,11,1667
0,94,12,1810
0,94,4,666
0,94,5,809
0,94,6,952
0,94,7,1095
0,94,8,1238
0,95,2,381
0,95,11,1668
0,95,12,1811
0,95,4,667
0,95,5,810
0,95,6,953
0,95,7,1096
0,95,8,1239
0,96,2,382
0,96,11,1669
0,96,12,1812
0,96,4,668
0,96,5,811
0,96,6,954
0,96,7,1097
0,96,8,1240
0,97,2,383
0,97,11,1670
0,97,12,1813
0,97,4,669
0,97,5,812
0,97,6,955
0,97,7,1098
0,97,8,1241
0,98,2,384
0,98,11,1671
0,98,12,1814
0,98,4,670
0,98,5,813
0,98,6,956
0,98,7,1099
0,98,8,1242
0,99,2,385
0,99,11,1672
0,99,12,1815
0,99,4,671
0,99,5,814
0,99,6,957
0,99,7,1100
0,99,8,1243
0,100,2,386
0,100,11,1673
0,100,12,1816
0,100,4,672
0,100,5,815
0,100,6,958
0,100,7,1101
0,100,8,1244
0,101,2,387
0,101,11,1674
0,101,12,1817
0,101,4,673
0,101,5,816
0,101,6,959
0,101,7,1102
0,101,8,1245
0,102,2,388
0,102,11,1675
0,102,12,1818
0,102,4,674
0,102,5,817
0,102,6,960
0,102,7,1103
0,102,8,1246
0,103,2,389
0,103,11,1676
0,103,12,1819
0,103,4,675
0,103,5,818
0,103,6,961
0,103,7,1104
0,103,8,1247
0,104,2,390
0,104,11,1677
0,104,12,1820
0,104,4,676
0,104,5,819
0,104,6,962
0,104,7,1105
0,104,8,1248
0,105,2,391
0,105,11,1678
0,105,12,1821
0,105,4,677
0,105,5,820
0,105,6,963
0,105,7,1106
0,105,8,1249
0,106,2,392
0,106,11,1679
0,106,12,1822
0,106,4,678
0,106,5,821
0,106,6,964
0,106,7,1107
0,106,8,1250
0,107,2,393
0,107,11,1680
0,107,12,1823
0,107,4,679
0,107,5,822
0,107,6,965
0,107,7,1108
0,107,8,1251
0,108,2,394
0,108,11,1681
0,108,12,1824
0,108,4,680
0,108,5,823
0,108,6,966
0,108,7,1109
0,108,8,1252
0,109,2,395
0,109,11,1682
0,109,12,1825
0,109,4,681
0,109,5,824
0,109,6,967
0,109,7,1110
0,109,8,1253
0,110,2,396
0,110,11,1683
0,110,12,1826
0,110,4,682
0,110,5,825
0,110,6,968
0,110,7,1111
0,110,8,1254
0,111,2,397
0,111,11,1684
0,111,12,1827
0,111,4,683
0,111,5,826
0,111,6,969
0,111,7,1112
0,111,8,1255
0,112,2,398
0,112,11,1685
0,112,12,1828
0,112,4,684
0,112,5,827
0,112,6,970
0,112,7,1113
0,112,8,1256
0,113,2,399
0,113,11,1686
0,113,12,1829
0,113,4,685
0,113,5,828
0,113,6,971
0,113,7,1114
0,113,8,1257
0,114,2,400
0,114,11,1687
0,114,12,1830
0,114,4,686
0,114,5,829
0,114,6,972
0,114,7,1115
0,114,8,1258
0,115,2,401
0,115,11,1688
0,115,12,1831
0,115,4,687
0,115,5,830
0,115,6,973
0,115,7,1116
0,115,8,1259
0,116,2,402
0,116,11,1689
0,116,12,1832
0,116,4,688
0,116,5,831
0,116,6,974
0,116,7,1117
0,116,8,1260
0,117,2,403
0,117,11,1690
0,117,12,1833
0,117,4,689
0,117,5,832
0,117,6,975
0,117,7,1118
0,117,8,1261
0,118,2,404
0,118,11,1691
0,118,12,1834
0,118,4,690
0,118,5,833
0,118,6,976
0,118,7,1119
0,118,8,1262
0,119,2,405
0,119,11,1692
0,119,12,1835
0,119,4,691
0,119,5,834
0,119,6,977
0,119,7,1120
0,119,8,1263
0,120,2,406
0,120,11,1693
0,120,12,1836
0,120,4,692
0,120,5,835
0,120,6,978
0,120,7,1121
0,120,8,1264
0,121,2,407
0,121,11,1694
0,121,12,1837
0,121,4,693
0,121,5,836
0,121,6,979
0,121,7,1122
0,121,8,1265
0,122,2,408
0,122,11,1695
0,122,12,1838
0,122,4,694
0,122,5,837
0,122,6,980
0,122,7,1123
0,122,8,1266
0,123,2,409
0,123,11,1696
0,123,12,1839
0,123,4,695
0,123,5,838
0,123,6,981
0,123,7,1124
0,123,8,1267
0,124,2,410
0,124,11,1697
0,124,12,1840
0,124,4,696
0,124,5,839
0,124,6,982
0,124,7,1125
0,124,8,1268
0,125,2,411
0,125,11,1698
0,125,12,1841
0,125,4,697
0,125,5,840
0,125,6,983
0,125,7,1126
0,125,8,1269
0,126,2,412
0,126,11,1699
0,126,12,1842
0,126,4,698
0,126,5,841
0,126,6,984
0,126,7,1127
0,126,8,1270
0,127,2,413
0,127,11,1700
0,127,12,1843
0,127,4,699
0,127,5,842
0,127,6,985
0,127,7,1128
0,127,8,1271
0,128,2,414
0,128,11,1701
0,128,12,1844
0,128,4,700
0,128,5,843
0,128,6,986
0,128,7,1129
0,128,8,1272
0,129,2,415
0,129,11,1702
0,129,12,1845
0,129,4,701
0,129,5,844
0,129,6,987
0,129,7,1130
0,129,8,1273
0,130,2,416
0,130,11,1703
0,130,12,1846
0,130,4,702
0,130,5,845
0,130,6,988
0,130,7,1131
0,130,8,1274
0,131,2,417
0,131,11,1704
0,131,12,1847
0,131,4,703
0,131,5,846
0,131,6,989
0,131,7,1132
0,131,8,1275
0,132,2,418
0,132,11,1705
0,132,12,1848
0,132,4,704
0,132,5,847
0,132,6,990
0,132,7,1133
0,132,8,1276
0,133,2,419
0,133,11,1706
0,133,12,1849
0,133,4,705
0,133,5,848
0,133,6,991
0,133,7,1134
0,133,8,1277
0,134,2,420
0,134,11,1707
0,134,12,1850
0,134,4,706
0,134,5,849
0,134,6,992
0,134,7,1135
0,134,8,1278
0,135,2,421
0,135,11,1708
0,135,12,1851
0,135,4,707
0,135,5,850
0,135,6,993
0,135,7,1136
0,135,8,1279
0,136,2,422
0,136,11,1709
0,136,12,1852
0,136,4,708
0,136,5,851
0,136,6,994
0,136,7,1137
0,136,8,1280
0,137,2,423
0,137,11,1710
0,137,12,1853
0,137,4,709
0,137,5,852
0,137,6,995
0,137,7,1138
0,137,8,1281
0,138,2,424
0,138,11,1711
0,138,12,1854
0,138,4,710
0,138,5,853
0,138,6,996
0,138,7,1139
0,138,8,1282
0,139,2,425
0,139,11,1712
0,139,12,1855
0,139,4,711
0,139,5,854
0,139,6,997
0,139,7,1140
0,139,8,1283
0,140,2,426
0,140,11,1713
0,140,12,1856
0,140,4,712
0,140,5,855
0,140,6,998
0,140,7,1141
0,140,8,1284
0,141,2,427
0,141,11,1714
0,141,12,1857
0,141,4,713
0,141,5,856
0,141,6,999
0,141,7,1142
0,141,8,1285
0,142,2,428
0,142,11,1715
0,142,12,1858
0,142,4,714
0,142,5,857
0,142,6,1000
0,142,7,1143
0,142,8,1286
2,286,4,572
