From TID,From JID,To TID,To JID
0,0,2,120
0,0,3,180
0,0,12,720
0,0,1,60
0,0,4,240
0,0,5,300
0,0,6,360
0,0,10,600
0,1,2,121
0,1,3,181
0,1,12,721
0,1,1,61
0,1,4,241
0,1,5,301
0,1,6,361
0,1,10,601
0,2,2,122
0,2,3,182
0,2,12,722
0,2,1,62
0,2,4,242
0,2,5,302
0,2,6,362
0,2,10,602
0,3,2,123
0,3,3,183
0,3,12,723
0,3,1,63
0,3,4,243
0,3,5,303
0,3,6,363
0,3,10,603
0,4,2,124
0,4,3,184
0,4,12,724
0,4,1,64
0,4,4,244
0,4,5,304
0,4,6,364
0,4,10,604
0,5,2,125
0,5,3,185
0,5,12,725
0,5,1,65
0,5,4,245
0,5,5,305
0,5,6,365
0,5,10,605
0,6,2,126
0,6,3,186
0,6,12,726
0,6,1,66
0,6,4,246
0,6,5,306
0,6,6,366
0,6,10,606
0,7,2,127
0,7,3,187
0,7,12,727
0,7,1,67
0,7,4,247
0,7,5,307
0,7,6,367
0,7,10,607
0,8,2,128
0,8,3,188
0,8,12,728
0,8,1,68
0,8,4,248
0,8,5,308
0,8,6,368
0,8,10,608
0,9,2,129
0,9,3,189
0,9,12,729
0,9,1,69
0,9,4,249
0,9,5,309
0,9,6,369
0,9,10,609
0,10,2,130
0,10,3,190
0,10,12,730
0,10,1,70
0,10,4,250
0,10,5,310
0,10,6,370
0,10,10,610
0,11,2,131
0,11,3,191
0,11,12,731
0,11,1,71
0,11,4,251
0,11,5,311
0,11,6,371
0,11,10,611
0,12,2,132
0,12,3,192
0,12,12,732
0,12,1,72
0,12,4,252
0,12,5,312
0,12,6,372
0,12,10,612
0,13,2,133
0,13,3,193
0,13,12,733
0,13,1,73
0,13,4,253
0,13,5,313
0,13,6,373
0,13,10,613
0,14,2,134
0,14,3,194
0,14,12,734
0,14,1,74
0,14,4,254
0,14,5,314
0,14,6,374
0,14,10,614
0,15,2,135
0,15,3,195
0,15,12,735
0,15,1,75
0,15,4,255
0,15,5,315
0,15,6,375
0,15,10,615
0,16,2,136
0,16,3,196
0,16,12,736
0,16,1,76
0,16,4,256
0,16,5,316
0,16,6,376
0,16,10,616
0,17,2,137
0,17,3,197
0,17,12,737
0,17,1,77
0,17,4,257
0,17,5,317
0,17,6,377
0,17,10,617
0,18,2,138
0,18,3,198
0,18,12,738
0,18,1,78
0,18,4,258
0,18,5,318
0,18,6,378
0,18,10,618
0,19,2,139
0,19,3,199
0,19,12,739
0,19,1,79
0,19,4,259
0,19,5,319
0,19,6,379
0,19,10,619
0,20,2,140
0,20,3,200
0,20,12,740
0,20,1,80
0,20,4,260
0,20,5,320
0,20,6,380
0,20,10,620
0,21,2,141
0,21,3,201
0,21,12,741
0,21,1,81
0,21,4,261
0,21,5,321
0,21,6,381
0,21,10,621
0,22,2,142
0,22,3,202
0,22,12,742
0,22,1,82
0,22,4,262
0,22,5,322
0,22,6,382
0,22,10,622
0,23,2,143
0,23,3,203
0,23,12,743
0,23,1,83
0,23,4,263
0,23,5,323
0,23,6,383
0,23,10,623
0,24,2,144
0,24,3,204
0,24,12,744
0,24,1,84
0,24,4,264
0,24,5,324
0,24,6,384
0,24,10,624
0,25,2,145
0,25,3,205
0,25,12,745
0,25,1,85
0,25,4,265
0,25,5,325
0,25,6,385
0,25,10,625
0,26,2,146
0,26,3,206
0,26,12,746
0,26,1,86
0,26,4,266
0,26,5,326
0,26,6,386
0,26,10,626
0,27,2,147
0,27,3,207
0,27,12,747
0,27,1,87
0,27,4,267
0,27,5,327
0,27,6,387
0,27,10,627
0,28,2,148
0,28,3,208
0,28,12,748
0,28,1,88
0,28,4,268
0,28,5,328
0,28,6,388
0,28,10,628
0,29,2,149
0,29,3,209
0,29,12,749
0,29,1,89
0,29,4,269
0,29,5,329
0,29,6,389
0,29,10,629
0,30,2,150
0,30,3,210
0,30,12,750
0,30,1,90
0,30,4,270
0,30,5,330
0,30,6,390
0,30,10,630
0,31,2,151
0,31,3,211
0,31,12,751
0,31,1,91
0,31,4,271
0,31,5,331
0,31,6,391
0,31,10,631
0,32,2,152
0,32,3,212
0,32,12,752
0,32,1,92
0,32,4,272
0,32,5,332
0,32,6,392
