From TID,From JID,To TID,To JID
0,0,2,16
0,0,3,24
0,0,7,56
0,0,1,8
0,0,4,32
0,0,8,64
0,0,9,72
0,0,10,80
0,1,2,17
0,1,3,25
0,1,7,57
0,1,1,9
0,1,4,33
0,1,8,65
0,1,9,73
0,1,10,81
0,2,2,18
0,2,3,26
0,2,7,58
0,2,1,10
0,2,4,34
0,2,8,66
0,2,9,74
0,2,10,82
0,3,2,19
0,3,3,27
0,3,7,59
0,3,1,11
0,3,4,35
0,3,8,67
0,3,9,75
0,3,10,83
0,4,2,20
0,4,3,28
0,4,7,60
0,4,1,12
0,4,4,36
0,4,8,68
0,4,9,76
0,4,10,84
0,5,2,21
0,5,3,29
0,5,7,61
0,5,1,13
0,5,4,37
0,5,8,69
0,5,9,77
0,5,10,85
0,6,2,22
0,6,3,30
0,6,7,62
0,6,1,14
0,6,4,38
0,6,8,70
0,6,9,78
0,6,10,86
0,7,2,23
0,7,3,31
0,7,7,63
0,7,1,15
0,7,4,39
0,7,8,71
0,7,9,79
0,7,10,87
2,16,1,8
2,16,6,48
2,16,8,64
2,16,10,80
2,17,1,9
2,17,6,49
2,17,8,65
2,17,10,81
2,18,1,10
2,18,6,50
2,18,8,66
2,18,10,82
2,19,1,11
2,19,6,51
2,19,8,67
2,19,10,83
2,20,1,12
2,20,6,52
2,20,8,68
2,20,10,84
2,21,1,13
2,21,6,53
2,21,8,69
2,21,10,85
2,22,1,14
2,22,6,54
2,22,8,70
2,22,10,86
2,23,1,15
2,23,6,55
2,23,8,71
2,23,10,87
3,24,5,40
3,24,6,48
3,24,1,8
3,24,4,32
3,24,9,72
3,24,10,80
3,25,5,41
3,25,6,49
3,25,1,9
3,25,4,33
3,25,9,73
3,25,10,81
3,26,5,42
3,26,6,50
3,26,1,10
3,26,4,34
3,26,9,74
3,26,10,82
3,27,5,43
3,27,6,51
3,27,1,11
3,27,4,35
3,27,9,75
3,27,10,83
3,28,5,44
3,28,6,52
3,28,1,12
3,28,4,36
3,28,9,76
3,28,10,84
3,29,5,45
3,29,6,53
3,29,1,13
3,29,4,37
3,29,9,77
3,29,10,85
3,30,5,46
3,30,6,54
3,30,1,14
3,30,4,38
3,30,9,78
3,30,10,86
3,31,5,47
3,31,6,55
3,31,1,15
3,31,4,39
3,31,9,79
3,31,10,87
4,32,1,8
4,33,1,9
4,34,1,10
4,35,1,11
4,36,1,12
4,37,1,13
4,38,1,14
4,39,1,15
5,40,4,32
5,40,8,64
5,41,4,33
5,41,8,65
5,42,4,34
5,42,8,66
5,43,4,35
5,43,8,67
5,44,4,36
5,44,8,68
5,45,4,37
5,45,8,69
5,46,4,38
5,46,8,70
5,47,4,39
5,47,8,71
6,48,4,32
6,48,1,8
6,48,8,64
6,49,4,33
6,49,1,9
6,49,8,65
6,50,4,34
6,50,1,10
6,50,8,66
6,51,4,35
6,51,1,11
6,51,8,67
6,52,4,36
6,52,1,12
6,52,8,68
6,53,4,37
6,53,1,13
6,53,8,69
6,54,4,38
6,54,1,14
