Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,7,70,20000,20000
0,1,20000,22000,7,70,40000,20000
0,2,40000,42000,7,70,60000,20000
0,3,60000,62000,7,70,80000,20000
0,4,80000,82000,7,70,100000,20000
0,5,100000,102000,7,70,120000,20000
0,6,120000,122000,7,70,140000,20000
0,7,140000,142000,7,70,160000,20000
0,8,160000,162000,7,70,180000,20000
0,9,180000,182000,7,70,200000,20000
0,10,200000,202000,7,70,220000,20000
0,11,220000,222000,7,70,240000,20000
0,12,240000,242000,7,70,260000,20000
0,13,260000,262000,7,70,280000,20000
0,14,280000,282000,7,70,300000,20000
0,15,300000,302000,7,70,320000,20000
0,16,320000,322000,7,70,340000,20000
0,17,340000,342000,7,70,360000,20000
0,18,360000,362000,7,70,380000,20000
0,19,380000,382000,7,70,400000,20000
0,20,400000,402000,7,70,420000,20000
0,21,420000,422000,7,70,440000,20000
0,22,440000,442000,7,70,460000,20000
0,23,460000,462000,7,70,480000,20000
0,24,480000,482000,7,70,500000,20000
0,25,500000,502000,7,70,520000,20000
0,26,520000,522000,7,70,540000,20000
0,27,540000,542000,7,70,560000,20000
0,28,560000,562000,7,70,580000,20000
0,29,580000,582000,7,70,600000,20000
0,30,600000,602000,7,70,620000,20000
0,31,620000,622000,7,70,640000,20000
0,32,640000,642000,7,70,660000,20000
0,33,660000,662000,7,70,680000,20000
0,34,680000,682000,7,70,700000,20000
0,35,700000,702000,7,70,720000,20000
1,36,0,2000,183,1826,20000,20000
1,37,20000,22000,183,1826,40000,20000
1,38,40000,42000,183,1826,60000,20000
1,39,60000,62000,183,1826,80000,20000
1,40,80000,82000,183,1826,100000,20000
1,41,100000,102000,183,1826,120000,20000
1,42,120000,122000,183,1826,140000,20000
1,43,140000,142000,183,1826,160000,20000
1,44,160000,162000,183,1826,180000,20000
1,45,180000,182000,183,1826,200000,20000
1,46,200000,202000,183,1826,220000,20000
1,47,220000,222000,183,1826,240000,20000
1,48,240000,242000,183,1826,260000,20000
1,49,260000,262000,183,1826,280000,20000
1,50,280000,282000,183,1826,300000,20000
1,51,300000,302000,183,1826,320000,20000
1,52,320000,322000,183,1826,340000,20000
1,53,340000,342000,183,1826,360000,20000
1,54,360000,362000,183,1826,380000,20000
1,55,380000,382000,183,1826,400000,20000
1,56,400000,402000,183,1826,420000,20000
1,57,420000,422000,183,1826,440000,20000
1,58,440000,442000,183,1826,460000,20000
1,59,460000,462000,183,1826,480000,20000
1,60,480000,482000,183,1826,500000,20000
1,61,500000,502000,183,1826,520000,20000
1,62,520000,522000,183,1826,540000,20000
1,63,540000,542000,183,1826,560000,20000
1,64,560000,562000,183,1826,580000,20000
1,65,580000,582000,183,1826,600000,20000
1,66,600000,602000,183,1826,620000,20000
1,67,620000,622000,183,1826,640000,20000
1,68,640000,642000,183,1826,660000,20000
1,69,660000,662000,183,1826,680000,20000
1,70,680000,682000,183,1826,700000,20000
1,71,700000,702000,183,1826,720000,20000
2,72,0,2000,138,1383,20000,20000
2,73,20000,22000,138,1383,40000,20000
2,74,40000,42000,138,1383,60000,20000
2,75,60000,62000,138,1383,80000,20000
2,76,80000,82000,138,1383,100000,20000
2,77,100000,102000,138,1383,120000,20000
2,78,120000,122000,138,1383,140000,20000
2,79,140000,142000,138,1383,160000,20000
2,80,160000,162000,138,1383,180000,20000
2,81,180000,182000,138,1383,200000,20000
2,82,200000,202000,138,1383,220000,20000
2,83,220000,222000,138,1383,240000,20000
2,84,240000,242000,138,1383,260000,20000
2,85,260000,262000,138,1383,280000,20000
2,86,280000,282000,138,1383,300000,20000
2,87,300000,302000,138,1383,320000,20000
2,88,320000,322000,138,1383,340000,20000
2,89,340000,342000,138,1383,360000,20000
2,90,360000,362000,138,1383,380000,20000
2,91,380000,382000,138,1383,400000,20000
2,92,400000,402000,138,1383,420000,20000
2,93,420000,422000,138,1383,440000,20000
2,94,440000,442000,138,1383,460000,20000
2,95,460000,462000,138,1383,480000,20000
2,96,480000,482000,138,1383,500000,20000
2,97,500000,502000,138,1383,520000,20000
2,98,520000,522000,138,1383,540000,20000
2,99,540000,542000,138,1383,560000,20000
2,100,560000,562000,138,1383,580000,20000
2,101,580000,582000,138,1383,600000,20000
2,102,600000,602000,138,1383,620000,20000
2,103,620000,622000,138,1383,640000,20000
2,104,640000,642000,138,1383,660000,20000
2,105,660000,662000,138,1383,680000,20000
2,106,680000,682000,138,1383,700000,20000
2,107,700000,702000,138,1383,720000,20000
3,108,0,2000,114,1142,20000,20000
3,109,20000,22000,114,1142,40000,20000
3,110,40000,42000,114,1142,60000,20000
3,111,60000,62000,114,1142,80000,20000
3,112,80000,82000,114,1142,100000,20000
3,113,100000,102000,114,1142,120000,20000
3,114,120000,122000,114,1142,140000,20000
3,115,140000,142000,114,1142,160000,20000
3,116,160000,162000,114,1142,180000,20000
3,117,180000,182000,114,1142,200000,20000
3,118,200000,202000,114,1142,220000,20000
3,119,220000,222000,114,1142,240000,20000
3,120,240000,242000,114,1142,260000,20000
3,121,260000,262000,114,1142,280000,20000
3,122,280000,282000,114,1142,300000,20000
3,123,300000,302000,114,1142,320000,20000
3,124,320000,322000,114,1142,340000,20000
3,125,340000,342000,114,1142,360000,20000
3,126,360000,362000,114,1142,380000,20000
3,127,380000,382000,114,1142,400000,20000
3,128,400000,402000,114,1142,420000,20000
3,129,420000,422000,114,1142,440000,20000
3,130,440000,442000,114,1142,460000,20000
3,131,460000,462000,114,1142,480000,20000
3,132,480000,482000,114,1142,500000,20000
3,133,500000,502000,114,1142,520000,20000
3,134,520000,522000,114,1142,540000,20000
3,135,540000,542000,114,1142,560000,20000
3,136,560000,562000,114,1142,580000,20000
3,137,580000,582000,114,1142,600000,20000
3,138,600000,602000,114,1142,620000,20000
3,139,620000,622000,114,1142,640000,20000
3,140,640000,642000,114,1142,660000,20000
3,141,660000,662000,114,1142,680000,20000
3,142,680000,682000,114,1142,700000,20000
3,143,700000,702000,114,1142,720000,20000
4,144,0,2000,133,1328,20000,20000
4,145,20000,22000,133,1328,40000,20000
4,146,40000,42000,133,1328,60000,20000
4,147,60000,62000,133,1328,80000,20000
4,148,80000,82000,133,1328,100000,20000
4,149,100000,102000,133,1328,120000,20000
4,150,120000,122000,133,1328,140000,20000
4,151,140000,142000,133,1328,160000,20000
4,152,160000,162000,133,1328,180000,20000
4,153,180000,182000,133,1328,200000,20000
4,154,200000,202000,133,1328,220000,20000
4,155,220000,222000,133,1328,240000,20000
