Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,74,741,10000,10000
0,1,10000,11000,74,741,20000,10000
0,2,20000,21000,74,741,30000,10000
0,3,30000,31000,74,741,40000,10000
0,4,40000,41000,74,741,50000,10000
0,5,50000,51000,74,741,60000,10000
0,6,60000,61000,74,741,70000,10000
0,7,70000,71000,74,741,80000,10000
0,8,80000,81000,74,741,90000,10000
0,9,90000,91000,74,741,100000,10000
0,10,100000,101000,74,741,110000,10000
0,11,110000,111000,74,741,120000,10000
1,12,0,1000,35,347,10000,10000
1,13,10000,11000,35,347,20000,10000
1,14,20000,21000,35,347,30000,10000
1,15,30000,31000,35,347,40000,10000
1,16,40000,41000,35,347,50000,10000
1,17,50000,51000,35,347,60000,10000
1,18,60000,61000,35,347,70000,10000
1,19,70000,71000,35,347,80000,10000
1,20,80000,81000,35,347,90000,10000
1,21,90000,91000,35,347,100000,10000
1,22,100000,101000,35,347,110000,10000
1,23,110000,111000,35,347,120000,10000
2,24,0,1000,32,321,10000,10000
2,25,10000,11000,32,321,20000,10000
2,26,20000,21000,32,321,30000,10000
2,27,30000,31000,32,321,40000,10000
2,28,40000,41000,32,321,50000,10000
2,29,50000,51000,32,321,60000,10000
2,30,60000,61000,32,321,70000,10000
2,31,70000,71000,32,321,80000,10000
2,32,80000,81000,32,321,90000,10000
2,33,90000,91000,32,321,100000,10000
2,34,100000,101000,32,321,110000,10000
2,35,110000,111000,32,321,120000,10000
3,36,0,1000,32,318,10000,10000
3,37,10000,11000,32,318,20000,10000
3,38,20000,21000,32,318,30000,10000
3,39,30000,31000,32,318,40000,10000
3,40,40000,41000,32,318,50000,10000
3,41,50000,51000,32,318,60000,10000
3,42,60000,61000,32,318,70000,10000
3,43,70000,71000,32,318,80000,10000
3,44,80000,81000,32,318,90000,10000
3,45,90000,91000,32,318,100000,10000
3,46,100000,101000,32,318,110000,10000
3,47,110000,111000,32,318,120000,10000
4,48,0,1000,28,281,10000,10000
4,49,10000,11000,28,281,20000,10000
4,50,20000,21000,28,281,30000,10000
4,51,30000,31000,28,281,40000,10000
4,52,40000,41000,28,281,50000,10000
4,53,50000,51000,28,281,60000,10000
4,54,60000,61000,28,281,70000,10000
4,55,70000,71000,28,281,80000,10000
4,56,80000,81000,28,281,90000,10000
4,57,90000,91000,28,281,100000,10000
4,58,100000,101000,28,281,110000,10000
4,59,110000,111000,28,281,120000,10000
5,60,0,1000,60,598,10000,10000
5,61,10000,11000,60,598,20000,10000
5,62,20000,21000,60,598,30000,10000
5,63,30000,31000,60,598,40000,10000
5,64,40000,41000,60,598,50000,10000
5,65,50000,51000,60,598,60000,10000
5,66,60000,61000,60,598,70000,10000
5,67,70000,71000,60,598,80000,10000
5,68,80000,81000,60,598,90000,10000
5,69,90000,91000,60,598,100000,10000
5,70,100000,101000,60,598,110000,10000
5,71,110000,111000,60,598,120000,10000
6,72,0,1000,70,705,10000,10000
6,73,10000,11000,70,705,20000,10000
6,74,20000,21000,70,705,30000,10000
6,75,30000,31000,70,705,40000,10000
6,76,40000,41000,70,705,50000,10000
6,77,50000,51000,70,705,60000,10000
6,78,60000,61000,70,705,70000,10000
6,79,70000,71000,70,705,80000,10000
6,80,80000,81000,70,705,90000,10000
6,81,90000,91000,70,705,100000,10000
6,82,100000,101000,70,705,110000,10000
6,83,110000,111000,70,705,120000,10000
7,84,0,1000,69,687,10000,10000
7,85,10000,11000,69,687,20000,10000
7,86,20000,21000,69,687,30000,10000
7,87,30000,31000,69,687,40000,10000
7,88,40000,41000,69,687,50000,10000
7,89,50000,51000,69,687,60000,10000
7,90,60000,61000,69,687,70000,10000
7,91,70000,71000,69,687,80000,10000
7,92,80000,81000,69,687,90000,10000
7,93,90000,91000,69,687,100000,10000
7,94,100000,101000,69,687,110000,10000
7,95,110000,111000,69,687,120000,10000
8,96,0,1000,23,227,10000,10000
8,97,10000,11000,23,227,20000,10000
8,98,20000,21000,23,227,30000,10000
8,99,30000,31000,23,227,40000,10000
8,100,40000,41000,23,227,50000,10000
8,101,50000,51000,23,227,60000,10000
8,102,60000,61000,23,227,70000,10000
8,103,70000,71000,23,227,80000,10000
8,104,80000,81000,23,227,90000,10000
8,105,90000,91000,23,227,100000,10000
8,106,100000,101000,23,227,110000,10000
8,107,110000,111000,23,227,120000,10000
9,108,0,1000,81,808,10000,10000
9,109,10000,11000,81,808,20000,10000
9,110,20000,21000,81,808,30000,10000
9,111,30000,31000,81,808,40000,10000
9,112,40000,41000,81,808,50000,10000
9,113,50000,51000,81,808,60000,10000
9,114,60000,61000,81,808,70000,10000
9,115,70000,71000,81,808,80000,10000
9,116,80000,81000,81,808,90000,10000
9,117,90000,91000,81,808,100000,10000
9,118,100000,101000,81,808,110000,10000
9,119,110000,111000,81,808,120000,10000
10,120,0,1000,75,754,10000,10000
10,121,10000,11000,75,754,20000,10000
10,122,20000,21000,75,754,30000,10000
10,123,30000,31000,75,754,40000,10000
10,124,40000,41000,75,754,50000,10000
10,125,50000,51000,75,754,60000,10000
10,126,60000,61000,75,754,70000,10000
10,127,70000,71000,75,754,80000,10000
10,128,80000,81000,75,754,90000,10000
10,129,90000,91000,75,754,100000,10000
10,130,100000,101000,75,754,110000,10000
10,131,110000,111000,75,754,120000,10000
11,132,0,3000,153,1527,30000,30000
11,133,30000,33000,153,1527,60000,30000
11,134,60000,63000,153,1527,90000,30000
11,135,90000,93000,153,1527,120000,30000
12,136,0,3000,12,120,30000,30000
12,137,30000,33000,12,120,60000,30000
12,138,60000,63000,12,120,90000,30000
12,139,90000,93000,12,120,120000,30000
13,140,0,3000,174,1745,30000,30000
13,141,30000,33000,174,1745,60000,30000
13,142,60000,63000,174,1745,90000,30000
13,143,90000,93000,174,1745,120000,30000
14,144,0,3000,150,1496,30000,30000
14,145,30000,33000,150,1496,60000,30000
14,146,60000,63000,150,1496,90000,30000
14,147,90000,93000,150,1496,120000,30000
15,148,0,3000,50,503,30000,30000
15,149,30000,33000,50,503,60000,30000
15,150,60000,63000,50,503,90000,30000
15,151,90000,93000,50,503,120000,30000
16,152,0,3000,215,2151,30000,30000
16,153,30000,33000,215,2151,60000,30000
16,154,60000,63000,215,2151,90000,30000
16,155,90000,93000,215,2151,120000,30000
17,156,0,3000,172,1724,30000,30000
17,157,30000,33000,172,1724,60000,30000
17,158,60000,63000,172,1724,90000,30000
17,159,90000,93000,172,1724,120000,30000
18,160,0,3000,126,1257,30000,30000
18,161,30000,33000,126,1257,60000,30000
18,162,60000,63000,126,1257,90000,30000
18,163,90000,93000,126,1257,120000,30000
19,164,0,3000,177,1769,30000,30000
19,165,30000,33000,177,1769,60000,30000
19,166,60000,63000,177,1769,90000,30000
19,167,90000,93000,177,1769,120000,30000
20,168,0,3000,148,1476,30000,30000
20,169,30000,33000,148,1476,60000,30000
20,170,60000,63000,148,1476,90000,30000
20,171,90000,93000,148,1476,120000,30000
21,172,0,3000,99,994,30000,30000
21,173,30000,33000,99,994,60000,30000
21,174,60000,63000,99,994,90000,30000
21,175,90000,93000,99,994,120000,30000
22,176,0,3000,177,1774,30000,30000
22,177,30000,33000,177,1774,60000,30000
22,178,60000,63000,177,1774,90000,30000
22,179,90000,93000,177,1774,120000,30000
23,180,0,4000,249,2488,40000,40000
23,181,40000,44000,249,2488,80000,40000
23,182,80000,84000,249,2488,120000,40000
24,183,0,4000,468,4685,40000,40000
24,184,40000,44000,468,4685,80000,40000
24,185,80000,84000,468,4685,120000,40000
25,186,0,4000,88,875,40000,40000
25,187,40000,44000,88,875,80000,40000
25,188,80000,84000,88,875,120000,40000
26,189,0,4000,373,3729,40000,40000
26,190,40000,44000,373,3729,80000,40000
26,191,80000,84000,373,3729,120000,40000
27,192,0,4000,543,5435,40000,40000
27,193,40000,44000,543,5435,80000,40000
27,194,80000,84000,543,5435,120000,40000
28,195,0,6000,102,1022,60000,60000
28,196,60000,66000,102,1022,120000,60000
29,197,0,6000,250,2501,60000,60000
29,198,60000,66000,250,2501,120000,60000
30,199,0,6000,101,1008,60000,60000
30,200,60000,66000,101,1008,120000,60000
31,201,0,6000,138,1377,60000,60000
31,202,60000,66000,138,1377,120000,60000
32,203,0,6000,30,297,60000,60000
32,204,60000,66000,30,297,120000,60000
33,205,0,6000,256,2565,60000,60000
33,206,60000,66000,256,2565,120000,60000
34,207,0,6000,265,2648,60000,60000
34,208,60000,66000,265,2648,120000,60000
35,209,0,6000,51,512,60000,60000
35,210,60000,66000,51,512,120000,60000
36,211,0,6000,23,226,60000,60000
36,212,60000,66000,23,226,120000,60000
37,213,0,6000,176,1764,60000,60000
37,214,60000,66000,176,1764,120000,60000
38,215,0,6000,44,444,60000,60000
38,216,60000,66000,44,444,120000,60000
