From TID,From JID,To TID,To JID
0,0,2,24
0,0,6,72
0,0,7,84
0,0,3,36
0,0,8,96
0,0,9,108
0,0,10,120
0,1,2,25
0,1,6,73
0,1,7,85
0,1,3,37
0,1,8,97
0,1,9,109
0,1,10,121
0,2,2,26
0,2,6,74
0,2,7,86
0,2,3,38
0,2,8,98
0,2,9,110
0,2,10,122
0,3,2,27
0,3,6,75
0,3,7,87
0,3,3,39
0,3,8,99
0,3,9,111
0,3,10,123
0,4,2,28
0,4,6,76
0,4,7,88
0,4,3,40
0,4,8,100
0,4,9,112
0,4,10,124
0,5,2,29
0,5,6,77
0,5,7,89
0,5,3,41
0,5,8,101
0,5,9,113
0,5,10,125
0,6,2,30
0,6,6,78
0,6,7,90
0,6,3,42
0,6,8,102
0,6,9,114
0,6,10,126
0,7,2,31
0,7,6,79
0,7,7,91
0,7,3,43
0,7,8,103
0,7,9,115
0,7,10,127
0,8,2,32
0,8,6,80
0,8,7,92
0,8,3,44
0,8,8,104
0,8,9,116
0,8,10,128
0,9,2,33
0,9,6,81
0,9,7,93
0,9,3,45
0,9,8,105
0,9,9,117
0,9,10,129
0,10,2,34
0,10,6,82
0,10,7,94
0,10,3,46
0,10,8,106
0,10,9,118
0,10,10,130
0,11,2,35
0,11,6,83
0,11,7,95
0,11,3,47
0,11,8,107
0,11,9,119
0,11,10,131
2,24,4,48
2,24,5,60
2,24,1,12
2,24,8,96
2,24,9,108
2,25,4,49
2,25,5,61
2,25,1,13
2,25,8,97
2,25,9,109
2,26,4,50
2,26,5,62
2,26,1,14
2,26,8,98
2,26,9,110
2,27,4,51
2,27,5,63
2,27,1,15
2,27,8,99
2,27,9,111
2,28,4,52
2,28,5,64
2,28,1,16
2,28,8,100
2,28,9,112
2,29,4,53
2,29,5,65
2,29,1,17
2,29,8,101
2,29,9,113
2,30,4,54
2,30,5,66
2,30,1,18
2,30,8,102
2,30,9,114
2,31,4,55
2,31,5,67
2,31,1,19
2,31,8,103
2,31,9,115
2,32,4,56
2,32,5,68
2,32,1,20
2,32,8,104
2,32,9,116
2,33,4,57
2,33,5,69
2,33,1,21
2,33,8,105
2,33,9,117
2,34,4,58
2,34,5,70
2,34,1,22
2,34,8,106
2,34,9,118
2,35,4,59
2,35,5,71
2,35,1,23
2,35,8,107
2,35,9,119
3,36,1,12
3,37,1,13
3,38,1,14
3,39,1,15
3,40,1,16
3,41,1,17
3,42,1,18
3,43,1,19
3,44,1,20
3,45,1,21
3,46,1,22
3,47,1,23
4,48,3,36
4,48,8,96
4,49,3,37
4,49,8,97
4,50,3,38
4,50,8,98
4,51,3,39
4,51,8,99
4,52,3,40
4,52,8,100
4,53,3,41
4,53,8,101
4,54,3,42
4,54,8,102
4,55,3,43
4,55,8,103
4,56,3,44
4,56,8,104
4,57,3,45
4,57,8,105
4,58,3,46
4,58,8,106
4,59,3,47
4,59,8,107
5,60,3,36
5,61,3,37
5,62,3,38
5,63,3,39
5,64,3,40
5,65,3,41
5,66,3,42
5,67,3,43
5,68,3,44
5,69,3,45
5,70,3,46
5,71,3,47
6,72,1,12
6,72,3,36
6,72,8,96
6,73,1,13
6,73,3,37
6,73,8,97
6,74,1,14
6,74,3,38
6,74,8,98
6,75,1,15
6,75,3,39
6,75,8,99
6,76,1,16
6,76,3,40
6,76,8,100
6,77,1,17
6,77,3,41
6,77,8,101
6,78,1,18
6,78,3,42
6,78,8,102
6,79,1,19
6,79,3,43
6,79,8,103
6,80,1,20
6,80,3,44
6,80,8,104
6,81,1,21
6,81,3,45
6,81,8,105
6,82,1,22
6,82,3,46
6,82,8,106
6,83,1,23
6,83,3,47
6,83,8,107
7,84,9,108
7,84,10,120
7,84,1,12
7,84,3,36
7,85,9,109
7,85,10,121
7,85,1,13
7,85,3,37
7,86,9,110
7,86,10,122
7,86,1,14
7,86,3,38
7,87,9,111
7,87,10,123
7,87,1,15
7,87,3,39
7,88,9,112
7,88,10,124
7,88,1,16
7,88,3,40
7,89,9,113
7,89,10,125
7,89,1,17
7,89,3,41
7,90,9,114
7,90,10,126
7,90,1,18
7,90,3,42
7,91,9,115
7,91,10,127
7,91,1,19
7,91,3,43
7,92,9,116
7,92,10,128
7,92,1,20
7,92,3,44
7,93,9,117
7,93,10,129
7,93,1,21
7,93,3,45
7,94,9,118
7,94,10,130
7,94,1,22
7,94,3,46
7,95,9,119
7,95,10,131
7,95,1,23
7,95,3,47
8,96,1,12
8,97,1,13
8,98,1,14
8,99,1,15
8,100,1,16
8,101,1,17
8,102,1,18
8,103,1,19
8,104,1,20
8,105,1,21
8,106,1,22
8,107,1,23
9,108,8,96
9,108,1,12
9,109,8,97
9,109,1,13
9,110,8,98
9,110,1,14
9,111,8,99
9,111,1,15
9,112,8,100
9,112,1,16
9,113,8,101
9,113,1,17
9,114,8,102
9,114,1,18
9,115,8,103
9,115,1,19
9,116,8,104
9,116,1,20
9,117,8,105
9,117,1,21
9,118,8,106
9,118,1,22
9,119,8,107
9,119,1,23
10,120,8,96
10,120,1,12
10,120,3,36
10,121,8,97
10,121,1,13
10,121,3,37
10,122,8,98
10,122,1,14
10,122,3,38
10,123,8,99
10,123,1,15
10,123,3,39
10,124,8,100
10,124,1,16
10,124,3,40
10,125,8,101
10,125,1,17
10,125,3,41
10,126,8,102
10,126,1,18
10,126,3,42
10,127,8,103
10,127,1,19
10,127,3,43
10,128,8,104
10,128,1,20
10,128,3,44
10,129,8,105
10,129,1,21
10,129,3,45
10,130,8,106
10,130,1,22
10,130,3,46
10,131,8,107
10,131,1,23
10,131,3,47
11,132,13,140
11,132,14,144
11,132,22,176
11,132,12,136
11,132,15,148
11,132,19,164
11,132,20,168
11,133,13,141
11,133,14,145
11,133,22,177
11,133,12,137
11,133,15,149
11,133,19,165
11,133,20,169
11,134,13,142
11,134,14,146
11,134,22,178
11,134,12,138
11,134,15,150
11,134,19,166
11,134,20,170
11,135,13,143
11,135,14,147
11,135,22,179
11,135,12,139
11,135,15,151
11,135,19,167
11,135,20,171
13,140,12,136
13,140,15,148
13,140,16,152
13,140,19,164
13,140,20,168
13,141,12,137
13,141,15,149
13,141,16,153
13,141,19,165
13,141,20,169
13,142,12,138
13,142,15,150
13,142,16,154
13,142,19,166
13,142,20,170
13,143,12,139
13,143,15,151
13,143,16,155
13,143,19,167
13,143,20,171
14,144,16,152
14,144,20,168
14,144,21,172
14,144,15,148
14,144,18,160
14,145,16,153
14,145,20,169
14,145,21,173
14,145,15,149
14,145,18,161
14,146,16,154
14,146,20,170
14,146,21,174
14,146,15,150
14,146,18,162
14,147,16,155
14,147,20,171
14,147,21,175
14,147,15,151
14,147,18,163
15,148,12,136
15,149,12,137
15,150,12,138
15,151,12,139
16,152,18,160
16,152,19,164
16,152,12,136
16,152,15,148
16,153,18,161
16,153,19,165
16,153,12,137
16,153,15,149
16,154,18,162
16,154,19,166
16,154,12,138
16,154,15,150
16,155,18,163
16,155,19,167
16,155,12,139
16,155,15,151
17,156,15,148
17,156,12,136
17,157,15,149
17,157,12,137
17,158,15,150
17,158,12,138
17,159,15,151
17,159,12,139
18,160,17,156
18,161,17,157
18,162,17,158
18,163,17,159
19,164,17,156
19,164,12,136
19,165,17,157
19,165,12,137
19,166,17,158
19,166,12,138
19,167,17,159
19,167,12,139
20,168,15,148
20,168,12,136
20,168,17,156
20,168,18,160
20,169,15,149
20,169,12,137
20,169,17,157
20,169,18,161
20,170,15,150
20,170,12,138
20,170,17,158
20,170,18,162
20,171,15,151
20,171,12,139
20,171,17,159
20,171,18,163
21,172,15,148
21,172,12,136
21,172,19,164
21,173,15,149
21,173,12,137
21,173,19,165
21,174,15,150
21,174,12,138
21,174,19,166
21,175,15,151
21,175,12,139
21,175,19,167
22,176,12,136
22,176,15,148
22,176,16,152
22,176,17,156
22,176,18,160
22,176,19,164
22,176,20,168
22,177,12,137
22,177,15,149
22,177,16,153
22,177,17,157
22,177,18,161
22,177,19,165
22,177,20,169
22,178,12,138
22,178,15,150
22,178,16,154
22,178,17,158
22,178,18,162
22,178,19,166
22,178,20,170
22,179,12,139
22,179,15,151
22,179,16,155
22,179,17,159
22,179,18,163
22,179,19,167
22,179,20,171
23,180,25,186
23,180,26,189
23,180,27,192
23,181,25,187
23,181,26,190
23,181,27,193
23,182,25,188
23,182,26,191
23,182,27,194
25,186,24,183
25,187,24,184
25,188,24,185
26,189,24,183
26,190,24,184
26,191,24,185
27,192,24,183
27,193,24,184
27,194,24,185
