Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,57,566,10000,10000
0,1,10000,11000,57,566,20000,10000
0,2,20000,21000,57,566,30000,10000
0,3,30000,31000,57,566,40000,10000
1,4,0,1000,11,113,10000,10000
1,5,10000,11000,11,113,20000,10000
1,6,20000,21000,11,113,30000,10000
1,7,30000,31000,11,113,40000,10000
2,8,0,1000,2,21,10000,10000
2,9,10000,11000,2,21,20000,10000
2,10,20000,21000,2,21,30000,10000
2,11,30000,31000,2,21,40000,10000
3,12,0,1000,75,754,10000,10000
3,13,10000,11000,75,754,20000,10000
3,14,20000,21000,75,754,30000,10000
3,15,30000,31000,75,754,40000,10000
4,16,0,1000,38,379,10000,10000
4,17,10000,11000,38,379,20000,10000
4,18,20000,21000,38,379,30000,10000
4,19,30000,31000,38,379,40000,10000
5,20,0,1000,40,399,10000,10000
5,21,10000,11000,40,399,20000,10000
5,22,20000,21000,40,399,30000,10000
5,23,30000,31000,40,399,40000,10000
6,24,0,1000,36,357,10000,10000
6,25,10000,11000,36,357,20000,10000
6,26,20000,21000,36,357,30000,10000
6,27,30000,31000,36,357,40000,10000
7,28,0,1000,65,656,10000,10000
7,29,10000,11000,65,656,20000,10000
7,30,20000,21000,65,656,30000,10000
7,31,30000,31000,65,656,40000,10000
8,32,0,1000,58,581,10000,10000
8,33,10000,11000,58,581,20000,10000
8,34,20000,21000,58,581,30000,10000
8,35,30000,31000,58,581,40000,10000
9,36,0,1000,31,307,10000,10000
9,37,10000,11000,31,307,20000,10000
9,38,20000,21000,31,307,30000,10000
9,39,30000,31000,31,307,40000,10000
10,40,0,1000,3,29,10000,10000
10,41,10000,11000,3,29,20000,10000
10,42,20000,21000,3,29,30000,10000
10,43,30000,31000,3,29,40000,10000
11,44,0,1000,30,302,10000,10000
11,45,10000,11000,30,302,20000,10000
11,46,20000,21000,30,302,30000,10000
11,47,30000,31000,30,302,40000,10000
12,48,0,1000,3,30,10000,10000
12,49,10000,11000,3,30,20000,10000
12,50,20000,21000,3,30,30000,10000
12,51,30000,31000,3,30,40000,10000
13,52,0,1000,7,74,10000,10000
13,53,10000,11000,7,74,20000,10000
13,54,20000,21000,7,74,30000,10000
13,55,30000,31000,7,74,40000,10000
14,56,0,1000,127,1259,10000,10000
14,57,10000,11000,127,1259,20000,10000
14,58,20000,21000,127,1259,30000,10000
14,59,30000,31000,127,1259,40000,10000
15,60,0,1000,141,1401,10000,10000
15,61,10000,11000,141,1401,20000,10000
15,62,20000,21000,141,1401,30000,10000
15,63,30000,31000,141,1401,40000,10000
16,64,0,1000,96,962,10000,10000
16,65,10000,11000,96,962,20000,10000
16,66,20000,21000,96,962,30000,10000
16,67,30000,31000,96,962,40000,10000
17,68,0,1000,17,167,10000,10000
17,69,10000,11000,17,167,20000,10000
17,70,20000,21000,17,167,30000,10000
17,71,30000,31000,17,167,40000,10000
18,72,0,1000,60,600,10000,10000
18,73,10000,11000,60,600,20000,10000
18,74,20000,21000,60,600,30000,10000
18,75,30000,31000,60,600,40000,10000
19,76,0,1000,67,675,10000,10000
19,77,10000,11000,67,675,20000,10000
19,78,20000,21000,67,675,30000,10000
19,79,30000,31000,67,675,40000,10000
20,80,0,1000,109,1094,10000,10000
20,81,10000,11000,109,1094,20000,10000
20,82,20000,21000,109,1094,30000,10000
20,83,30000,31000,109,1094,40000,10000
21,84,0,1000,51,515,10000,10000
21,85,10000,11000,51,515,20000,10000
21,86,20000,21000,51,515,30000,10000
21,87,30000,31000,51,515,40000,10000
22,88,0,1000,2,22,10000,10000
22,89,10000,11000,2,22,20000,10000
22,90,20000,21000,2,22,30000,10000
22,91,30000,31000,2,22,40000,10000
23,92,0,1000,11,109,10000,10000
23,93,10000,11000,11,109,20000,10000
23,94,20000,21000,11,109,30000,10000
23,95,30000,31000,11,109,40000,10000
24,96,0,1000,5,48,10000,10000
24,97,10000,11000,5,48,20000,10000
24,98,20000,21000,5,48,30000,10000
24,99,30000,31000,5,48,40000,10000
25,100,0,1000,75,750,10000,10000
25,101,10000,11000,75,750,20000,10000
25,102,20000,21000,75,750,30000,10000
25,103,30000,31000,75,750,40000,10000
26,104,0,1000,46,461,10000,10000
26,105,10000,11000,46,461,20000,10000
26,106,20000,21000,46,461,30000,10000
26,107,30000,31000,46,461,40000,10000
27,108,0,4000,14,138,40000,40000
28,109,0,4000,188,1884,40000,40000
29,110,0,4000,386,3858,40000,40000
30,111,0,4000,3,35,40000,40000
31,112,0,4000,133,1326,40000,40000
32,113,0,4000,289,2891,40000,40000
33,114,0,4000,385,3846,40000,40000
34,115,0,4000,27,269,40000,40000
35,116,0,4000,124,1240,40000,40000
36,117,0,4000,363,3632,40000,40000
37,118,0,4000,325,3254,40000,40000
38,119,0,4000,239,2395,40000,40000
39,120,0,4000,186,1856,40000,40000
40,121,0,4000,186,1856,40000,40000
41,122,0,4000,273,2733,40000,40000
42,123,0,4000,177,1767,40000,40000
43,124,0,4000,1458,14581,40000,40000
44,125,0,4000,403,4033,40000,40000
45,126,0,4000,984,9843,40000,40000
