From TID,From JID,To TID,To JID
0,0,2,8
0,0,7,28
0,0,12,48
0,0,3,12
0,0,5,20
0,0,6,24
0,1,2,9
0,1,7,29
0,1,12,49
0,1,3,13
0,1,5,21
0,1,6,25
0,2,2,10
0,2,7,30
0,2,12,50
0,2,3,14
0,2,5,22
0,2,6,26
0,3,2,11
0,3,7,31
0,3,12,51
0,3,3,15
0,3,5,23
0,3,6,27
2,8,4,16
2,8,5,20
2,8,6,24
2,8,3,12
2,8,8,32
2,8,9,36
2,8,11,44
2,9,4,17
2,9,5,21
2,9,6,25
2,9,3,13
2,9,8,33
2,9,9,37
2,9,11,45
2,10,4,18
2,10,5,22
2,10,6,26
2,10,3,14
2,10,8,34
2,10,9,38
2,10,11,46
2,11,4,19
2,11,5,23
2,11,6,27
2,11,3,15
2,11,8,35
2,11,9,39
2,11,11,47
3,12,1,4
3,13,1,5
3,14,1,6
3,15,1,7
4,16,3,12
4,16,8,32
4,17,3,13
4,17,8,33
4,18,3,14
4,18,8,34
4,19,3,15
4,19,8,35
5,20,3,12
5,20,1,4
5,21,3,13
5,21,1,5
5,22,3,14
5,22,1,6
5,23,3,15
5,23,1,7
6,24,3,12
6,24,1,4
6,25,3,13
6,25,1,5
6,26,3,14
6,26,1,6
6,27,3,15
6,27,1,7
7,28,9,36
7,28,10,40
7,28,11,44
7,28,1,4
7,28,3,12
7,28,6,24
7,29,9,37
7,29,10,41
7,29,11,45
7,29,1,5
7,29,3,13
7,29,6,25
7,30,9,38
7,30,10,42
7,30,11,46
7,30,1,6
7,30,3,14
7,30,6,26
7,31,9,39
7,31,10,43
7,31,11,47
7,31,1,7
7,31,3,15
7,31,6,27
8,32,1,4
8,33,1,5
8,34,1,6
8,35,1,7
9,36,8,32
9,36,3,12
9,37,8,33
9,37,3,13
9,38,8,34
9,38,3,14
9,39,8,35
9,39,3,15
10,40,8,32
10,40,1,4
10,41,8,33
10,41,1,5
10,42,8,34
10,42,1,6
10,43,8,35
10,43,1,7
11,44,8,32
11,45,8,33
11,46,8,34
11,47,8,35
12,48,1,4
12,48,4,16
12,48,5,20
12,48,8,32
12,48,10,40
12,48,11,44
12,49,1,5
12,49,4,17
12,49,5,21
12,49,8,33
12,49,10,41
12,49,11,45
12,50,1,6
12,50,4,18
12,50,5,22
12,50,8,34
12,50,10,42
12,50,11,46
12,51,1,7
12,51,4,19
12,51,5,23
12,51,8,35
12,51,10,43
12,51,11,47
13,52,15,60
13,52,26,104
13,52,14,56
13,52,18,72
13,52,21,84
13,52,23,92
13,52,24,96
13,52,25,100
13,53,15,61
13,53,26,105
13,53,14,57
13,53,18,73
13,53,21,85
13,53,23,93
13,53,24,97
13,53,25,101
13,54,15,62
13,54,26,106
13,54,14,58
13,54,18,74
13,54,21,86
13,54,23,94
13,54,24,98
13,54,25,102
13,55,15,63
13,55,26,107
13,55,14,59
13,55,18,75
13,55,21,87
13,55,23,95
13,55,24,99
13,55,25,103
15,60,17,68
15,60,21,84
15,60,25,100
15,60,14,56
15,60,16,64
15,60,24,96
15,61,17,69
15,61,21,85
15,61,25,101
15,61,14,57
15,61,16,65
15,61,24,97
15,62,17,70
15,62,21,86
15,62,25,102
15,62,14,58
15,62,16,66
15,62,24,98
15,63,17,71
15,63,21,87
15,63,25,103
15,63,14,59
15,63,16,67
15,63,24,99
16,64,14,56
16,65,14,57
16,66,14,58
16,67,14,59
17,68,19,76
17,68,20,80
17,68,23,92
17,68,24,96
17,69,19,77
17,69,20,81
17,69,23,93
17,69,24,97
17,70,19,78
17,70,20,82
17,70,23,94
17,70,24,98
17,71,19,79
17,71,20,83
17,71,23,95
17,71,24,99
18,72,16,64
18,73,16,65
18,74,16,66
18,75,16,67
19,76,18,72
19,76,14,56
19,76,16,64
19,76,22,88
19,77,18,73
19,77,14,57
19,77,16,65
19,77,22,89
19,78,18,74
19,78,14,58
19,78,16,66
19,78,22,90
19,79,18,75
19,79,14,59
19,79,16,67
19,79,22,91
20,80,18,72
20,80,14,56
20,80,16,64
20,80,22,88
20,81,18,73
20,81,14,57
20,81,16,65
20,81,22,89
20,82,18,74
20,82,14,58
20,82,16,66
20,82,22,90
20,83,18,75
20,83,14,59
20,83,16,67
20,83,22,91
21,84,23,92
21,84,24,96
21,84,16,64
21,84,18,72
21,84,19,76
21,84,20,80
21,85,23,93
21,85,24,97
21,85,16,65
21,85,18,73
21,85,19,77
21,85,20,81
21,86,23,94
21,86,24,98
21,86,16,66
21,86,18,74
21,86,19,78
21,86,20,82
21,87,23,95
21,87,24,99
21,87,16,67
21,87,18,75
21,87,19,79
21,87,20,83
22,88,16,64
22,88,14,56
22,89,16,65
22,89,14,57
22,90,16,66
22,90,14,58
22,91,16,67
22,91,14,59
23,92,22,88
23,92,16,64
23,93,22,89
23,93,16,65
23,94,22,90
23,94,16,66
23,95,22,91
23,95,16,67
24,96,22,88
24,97,22,89
24,98,22,90
24,99,22,91
25,100,16,64
25,100,18,72
25,100,20,80
25,100,22,88
25,100,23,92
25,100,24,96
25,101,16,65
25,101,18,73
25,101,20,81
25,101,22,89
25,101,23,93
25,101,24,97
25,102,16,66
25,102,18,74
25,102,20,82
25,102,22,90
25,102,23,94
25,102,24,98
25,103,16,67
25,103,18,75
25,103,20,83
25,103,22,91
25,103,23,95
25,103,24,99
26,104,14,56
26,104,18,72
26,104,19,76
26,104,20,80
26,104,21,84
26,104,23,92
26,105,14,57
26,105,18,73
26,105,19,77
26,105,20,81
26,105,21,85
26,105,23,93
26,106,14,58
26,106,18,74
26,106,19,78
26,106,20,82
26,106,21,86
26,106,23,94
26,107,14,59
26,107,18,75
26,107,19,79
26,107,20,83
26,107,21,87
26,107,23,95
27,108,29,110
27,108,33,114
27,108,40,121
27,108,31,112
27,108,34,115
27,108,35,116
27,108,36,117
27,108,39,120
29,110,31,112
29,110,32,113
29,110,28,109
29,110,34,115
29,110,37,118
29,110,38,119
30,111,28,109
31,112,30,111
31,112,28,109
31,112,34,115
31,112,37,118
32,113,30,111
32,113,28,109
32,113,36,117
32,113,38,119
33,114,35,116
33,114,39,120
33,114,32,113
33,114,34,115
34,115,28,109
35,116,37,118
35,116,38,119
36,117,34,115
36,117,30,111
37,118,36,117
37,118,28,109
37,118,34,115
38,119,36,117
38,119,28,109
38,119,30,111
38,119,34,115
39,120,34,115
39,120,28,109
39,120,37,118
39,120,38,119
40,121,28,109
40,121,32,113
40,121,35,116
40,121,36,117
40,121,38,119
41,122,43,124
41,122,44,125
41,122,45,126
43,124,42,123
44,125,42,123
45,126,42,123
