Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,162,1620,10000,10000
0,1,10000,11000,162,1620,20000,10000
0,2,20000,21000,162,1620,30000,10000
0,3,30000,31000,162,1620,40000,10000
0,4,40000,41000,162,1620,50000,10000
0,5,50000,51000,162,1620,60000,10000
0,6,60000,61000,162,1620,70000,10000
0,7,70000,71000,162,1620,80000,10000
0,8,80000,81000,162,1620,90000,10000
1,9,0,1000,505,5057,10000,10000
1,10,10000,11000,505,5057,20000,10000
1,11,20000,21000,505,5057,30000,10000
1,12,30000,31000,505,5057,40000,10000
1,13,40000,41000,505,5057,50000,10000
1,14,50000,51000,505,5057,60000,10000
1,15,60000,61000,505,5057,70000,10000
1,16,70000,71000,505,5057,80000,10000
1,17,80000,81000,505,5057,90000,10000
2,18,0,1000,223,2231,10000,10000
2,19,10000,11000,223,2231,20000,10000
2,20,20000,21000,223,2231,30000,10000
2,21,30000,31000,223,2231,40000,10000
2,22,40000,41000,223,2231,50000,10000
2,23,50000,51000,223,2231,60000,10000
2,24,60000,61000,223,2231,70000,10000
2,25,70000,71000,223,2231,80000,10000
2,26,80000,81000,223,2231,90000,10000
3,27,0,1000,2,16,10000,10000
3,28,10000,11000,2,16,20000,10000
3,29,20000,21000,2,16,30000,10000
3,30,30000,31000,2,16,40000,10000
3,31,40000,41000,2,16,50000,10000
3,32,50000,51000,2,16,60000,10000
3,33,60000,61000,2,16,70000,10000
3,34,70000,71000,2,16,80000,10000
3,35,80000,81000,2,16,90000,10000
4,36,0,1000,68,681,10000,10000
4,37,10000,11000,68,681,20000,10000
4,38,20000,21000,68,681,30000,10000
4,39,30000,31000,68,681,40000,10000
4,40,40000,41000,68,681,50000,10000
4,41,50000,51000,68,681,60000,10000
4,42,60000,61000,68,681,70000,10000
4,43,70000,71000,68,681,80000,10000
4,44,80000,81000,68,681,90000,10000
5,45,0,1000,85,852,10000,10000
5,46,10000,11000,85,852,20000,10000
5,47,20000,21000,85,852,30000,10000
5,48,30000,31000,85,852,40000,10000
5,49,40000,41000,85,852,50000,10000
5,50,50000,51000,85,852,60000,10000
5,51,60000,61000,85,852,70000,10000
5,52,70000,71000,85,852,80000,10000
5,53,80000,81000,85,852,90000,10000
6,54,0,1000,107,1075,10000,10000
6,55,10000,11000,107,1075,20000,10000
6,56,20000,21000,107,1075,30000,10000
6,57,30000,31000,107,1075,40000,10000
6,58,40000,41000,107,1075,50000,10000
6,59,50000,51000,107,1075,60000,10000
6,60,60000,61000,107,1075,70000,10000
6,61,70000,71000,107,1075,80000,10000
6,62,80000,81000,107,1075,90000,10000
7,63,0,1000,28,276,10000,10000
7,64,10000,11000,28,276,20000,10000
7,65,20000,21000,28,276,30000,10000
7,66,30000,31000,28,276,40000,10000
7,67,40000,41000,28,276,50000,10000
7,68,50000,51000,28,276,60000,10000
7,69,60000,61000,28,276,70000,10000
7,70,70000,71000,28,276,80000,10000
7,71,80000,81000,28,276,90000,10000
8,72,0,1000,114,1140,10000,10000
8,73,10000,11000,114,1140,20000,10000
8,74,20000,21000,114,1140,30000,10000
8,75,30000,31000,114,1140,40000,10000
8,76,40000,41000,114,1140,50000,10000
8,77,50000,51000,114,1140,60000,10000
8,78,60000,61000,114,1140,70000,10000
8,79,70000,71000,114,1140,80000,10000
8,80,80000,81000,114,1140,90000,10000
9,81,0,1000,104,1038,10000,10000
9,82,10000,11000,104,1038,20000,10000
9,83,20000,21000,104,1038,30000,10000
9,84,30000,31000,104,1038,40000,10000
9,85,40000,41000,104,1038,50000,10000
9,86,50000,51000,104,1038,60000,10000
9,87,60000,61000,104,1038,70000,10000
9,88,70000,71000,104,1038,80000,10000
9,89,80000,81000,104,1038,90000,10000
10,90,0,1000,84,827,10000,10000
10,91,10000,11000,84,827,20000,10000
10,92,20000,21000,84,827,30000,10000
10,93,30000,31000,84,827,40000,10000
10,94,40000,41000,84,827,50000,10000
10,95,50000,51000,84,827,60000,10000
10,96,60000,61000,84,827,70000,10000
10,97,70000,71000,84,827,80000,10000
10,98,80000,81000,84,827,90000,10000
11,99,0,1000,72,720,10000,10000
11,100,10000,11000,72,720,20000,10000
11,101,20000,21000,72,720,30000,10000
11,102,30000,31000,72,720,40000,10000
11,103,40000,41000,72,720,50000,10000
11,104,50000,51000,72,720,60000,10000
11,105,60000,61000,72,720,70000,10000
11,106,70000,71000,72,720,80000,10000
11,107,80000,81000,72,720,90000,10000
12,108,0,1000,81,814,10000,10000
12,109,10000,11000,81,814,20000,10000
12,110,20000,21000,81,814,30000,10000
12,111,30000,31000,81,814,40000,10000
12,112,40000,41000,81,814,50000,10000
12,113,50000,51000,81,814,60000,10000
12,114,60000,61000,81,814,70000,10000
12,115,70000,71000,81,814,80000,10000
12,116,80000,81000,81,814,90000,10000
13,117,0,1000,2,24,10000,10000
13,118,10000,11000,2,24,20000,10000
13,119,20000,21000,2,24,30000,10000
13,120,30000,31000,2,24,40000,10000
13,121,40000,41000,2,24,50000,10000
13,122,50000,51000,2,24,60000,10000
13,123,60000,61000,2,24,70000,10000
13,124,70000,71000,2,24,80000,10000
13,125,80000,81000,2,24,90000,10000
14,126,0,1000,1,14,10000,10000
14,127,10000,11000,1,14,20000,10000
14,128,20000,21000,1,14,30000,10000
14,129,30000,31000,1,14,40000,10000
14,130,40000,41000,1,14,50000,10000
14,131,50000,51000,1,14,60000,10000
14,132,60000,61000,1,14,70000,10000
14,133,70000,71000,1,14,80000,10000
14,134,80000,81000,1,14,90000,10000
15,135,0,1000,110,1103,10000,10000
15,136,10000,11000,110,1103,20000,10000
15,137,20000,21000,110,1103,30000,10000
15,138,30000,31000,110,1103,40000,10000
15,139,40000,41000,110,1103,50000,10000
15,140,50000,51000,110,1103,60000,10000
15,141,60000,61000,110,1103,70000,10000
15,142,70000,71000,110,1103,80000,10000
15,143,80000,81000,110,1103,90000,10000
16,144,0,3000,159,1590,30000,30000
16,145,30000,33000,159,1590,60000,30000
16,146,60000,63000,159,1590,90000,30000
17,147,0,3000,545,5447,30000,30000
17,148,30000,33000,545,5447,60000,30000
17,149,60000,63000,545,5447,90000,30000
18,150,0,3000,103,1034,30000,30000
18,151,30000,33000,103,1034,60000,30000
18,152,60000,63000,103,1034,90000,30000
19,153,0,3000,144,1444,30000,30000
19,154,30000,33000,144,1444,60000,30000
19,155,60000,63000,144,1444,90000,30000
20,156,0,3000,51,513,30000,30000
20,157,30000,33000,51,513,60000,30000
20,158,60000,63000,51,513,90000,30000
21,159,0,3000,430,4293,30000,30000
21,160,30000,33000,430,4293,60000,30000
21,161,60000,63000,430,4293,90000,30000
22,162,0,3000,474,4740,30000,30000
22,163,30000,33000,474,4740,60000,30000
22,164,60000,63000,474,4740,90000,30000
23,165,0,3000,707,7072,30000,30000
23,166,30000,33000,707,7072,60000,30000
23,167,60000,63000,707,7072,90000,30000
24,168,0,9000,839,8395,90000,90000
25,169,0,9000,697,6958,90000,90000
26,170,0,9000,131,1311,90000,90000
27,171,0,9000,673,6732,90000,90000
28,172,0,9000,42,423,90000,90000
29,173,0,9000,1036,10361,90000,90000
30,174,0,9000,1292,12920,90000,90000
31,175,0,9000,1231,12312,90000,90000
32,176,0,9000,1077,10770,90000,90000
33,177,0,9000,2,16,90000,90000
34,178,0,9000,73,731,90000,90000
35,179,0,9000,823,8233,90000,90000
