From TID,From JID,To TID,To JID
0,0,2,18
0,0,3,27
0,1,2,19
0,1,3,28
0,2,2,20
0,2,3,29
0,3,2,21
0,3,3,30
0,4,2,22
0,4,3,31
0,5,2,23
0,5,3,32
0,6,2,24
0,6,3,33
0,7,2,25
0,7,3,34
0,8,2,26
0,8,3,35
2,18,1,9
2,19,1,10
2,20,1,11
2,21,1,12
2,22,1,13
2,23,1,14
2,24,1,15
2,25,1,16
2,26,1,17
3,27,1,9
3,28,1,10
3,29,1,11
3,30,1,12
3,31,1,13
3,32,1,14
3,33,1,15
3,34,1,16
3,35,1,17
4,36,6,54
4,36,7,63
4,36,8,72
4,36,5,45
4,36,10,90
4,36,12,108
4,36,14,126
4,36,15,135
4,37,6,55
4,37,7,64
4,37,8,73
4,37,5,46
4,37,10,91
4,37,12,109
4,37,14,127
4,37,15,136
4,38,6,56
4,38,7,65
4,38,8,74
4,38,5,47
4,38,10,92
4,38,12,110
4,38,14,128
4,38,15,137
4,39,6,57
4,39,7,66
4,39,8,75
4,39,5,48
4,39,10,93
4,39,12,111
4,39,14,129
4,39,15,138
4,40,6,58
4,40,7,67
4,40,8,76
4,40,5,49
4,40,10,94
4,40,12,112
4,40,14,130
4,40,15,139
4,41,6,59
4,41,7,68
4,41,8,77
4,41,5,50
4,41,10,95
4,41,12,113
4,41,14,131
4,41,15,140
4,42,6,60
4,42,7,69
4,42,8,78
4,42,5,51
4,42,10,96
4,42,12,114
4,42,14,132
4,42,15,141
4,43,6,61
4,43,7,70
4,43,8,79
4,43,5,52
4,43,10,97
4,43,12,115
4,43,14,133
4,43,15,142
4,44,6,62
4,44,7,71
4,44,8,80
4,44,5,53
4,44,10,98
4,44,12,116
4,44,14,134
4,44,15,143
6,54,5,45
6,54,10,90
6,54,12,108
6,54,15,135
6,55,5,46
6,55,10,91
6,55,12,109
6,55,15,136
6,56,5,47
6,56,10,92
6,56,12,110
6,56,15,137
6,57,5,48
6,57,10,93
6,57,12,111
6,57,15,138
6,58,5,49
6,58,10,94
6,58,12,112
6,58,15,139
6,59,5,50
6,59,10,95
6,59,12,113
6,59,15,140
6,60,5,51
6,60,10,96
6,60,12,114
6,60,15,141
6,61,5,52
6,61,10,97
6,61,12,115
6,61,15,142
6,62,5,53
6,62,10,98
6,62,12,116
6,62,15,143
7,63,5,45
7,63,9,81
7,63,13,117
7,63,15,135
7,64,5,46
7,64,9,82
7,64,13,118
7,64,15,136
7,65,5,47
7,65,9,83
7,65,13,119
7,65,15,137
7,66,5,48
