From TID,From JID,To TID,To JID
0,0,2,224
0,0,3,336
0,0,4,448
0,0,1,112
0,0,5,560
0,0,7,784
0,0,9,1008
0,0,11,1232
0,1,2,225
0,1,3,337
0,1,4,449
0,1,1,113
0,1,5,561
0,1,7,785
0,1,9,1009
0,1,11,1233
0,2,2,226
0,2,3,338
0,2,4,450
0,2,1,114
0,2,5,562
0,2,7,786
0,2,9,1010
0,2,11,1234
0,3,2,227
0,3,3,339
0,3,4,451
0,3,1,115
0,3,5,563
0,3,7,787
0,3,9,1011
0,3,11,1235
0,4,2,228
0,4,3,340
0,4,4,452
0,4,1,116
0,4,5,564
0,4,7,788
0,4,9,1012
0,4,11,1236
0,5,2,229
0,5,3,341
0,5,4,453
0,5,1,117
0,5,5,565
0,5,7,789
0,5,9,1013
0,5,11,1237
0,6,2,230
0,6,3,342
0,6,4,454
0,6,1,118
0,6,5,566
0,6,7,790
0,6,9,1014
0,6,11,1238
0,7,2,231
0,7,3,343
0,7,4,455
0,7,1,119
0,7,5,567
0,7,7,791
0,7,9,1015
0,7,11,1239
0,8,2,232
0,8,3,344
0,8,4,456
0,8,1,120
0,8,5,568
0,8,7,792
0,8,9,1016
0,8,11,1240
0,9,2,233
0,9,3,345
0,9,4,457
0,9,1,121
0,9,5,569
0,9,7,793
0,9,9,1017
0,9,11,1241
0,10,2,234
0,10,3,346
0,10,4,458
0,10,1,122
0,10,5,570
0,10,7,794
0,10,9,1018
0,10,11,1242
0,11,2,235
0,11,3,347
0,11,4,459
0,11,1,123
0,11,5,571
0,11,7,795
0,11,9,1019
0,11,11,1243
0,12,2,236
0,12,3,348
0,12,4,460
0,12,1,124
0,12,5,572
0,12,7,796
0,12,9,1020
0,12,11,1244
0,13,2,237
0,13,3,349
0,13,4,461
0,13,1,125
0,13,5,573
0,13,7,797
0,13,9,1021
0,13,11,1245
0,14,2,238
0,14,3,350
0,14,4,462
0,14,1,126
0,14,5,574
0,14,7,798
0,14,9,1022
0,14,11,1246
0,15,2,239
0,15,3,351
0,15,4,463
0,15,1,127
0,15,5,575
0,15,7,799
0,15,9,1023
0,15,11,1247
0,16,2,240
0,16,3,352
0,16,4,464
0,16,1,128
0,16,5,576
0,16,7,800
0,16,9,1024
0,16,11,1248
0,17,2,241
0,17,3,353
0,17,4,465
0,17,1,129
0,17,5,577
0,17,7,801
0,17,9,1025
0,17,11,1249
0,18,2,242
0,18,3,354
0,18,4,466
0,18,1,130
0,18,5,578
0,18,7,802
0,18,9,1026
0,18,11,1250
0,19,2,243
0,19,3,355
0,19,4,467
0,19,1,131
0,19,5,579
0,19,7,803
0,19,9,1027
0,19,11,1251
0,20,2,244
0,20,3,356
0,20,4,468
0,20,1,132
0,20,5,580
0,20,7,804
0,20,9,1028
0,20,11,1252
0,21,2,245
0,21,3,357
0,21,4,469
0,21,1,133
0,21,5,581
0,21,7,805
0,21,9,1029
0,21,11,1253
0,22,2,246
0,22,3,358
0,22,4,470
0,22,1,134
0,22,5,582
0,22,7,806
0,22,9,1030
0,22,11,1254
0,23,2,247
0,23,3,359
0,23,4,471
0,23,1,135
0,23,5,583
0,23,7,807
0,23,9,1031
0,23,11,1255
0,24,2,248
0,24,3,360
0,24,4,472
0,24,1,136
0,24,5,584
0,24,7,808
0,24,9,1032
0,24,11,1256
0,25,2,249
0,25,3,361
0,25,4,473
0,25,1,137
0,25,5,585
0,25,7,809
0,25,9,1033
0,25,11,1257
0,26,2,250
0,26,3,362
0,26,4,474
0,26,1,138
0,26,5,586
0,26,7,810
0,26,9,1034
0,26,11,1258
0,27,2,251
0,27,3,363
0,27,4,475
0,27,1,139
0,27,5,587
0,27,7,811
0,27,9,1035
0,27,11,1259
0,28,2,252
0,28,3,364
0,28,4,476
0,28,1,140
0,28,5,588
0,28,7,812
0,28,9,1036
0,28,11,1260
0,29,2,253
0,29,3,365
0,29,4,477
0,29,1,141
0,29,5,589
0,29,7,813
0,29,9,1037
0,29,11,1261
0,30,2,254
