From TID,From JID,To TID,To JID
0,0,2,120
0,0,10,600
0,0,11,660
0,0,1,60
0,0,3,180
0,0,5,300
0,0,6,360
0,0,7,420
0,1,2,121
0,1,10,601
0,1,11,661
0,1,1,61
0,1,3,181
0,1,5,301
0,1,6,361
0,1,7,421
0,2,2,122
0,2,10,602
0,2,11,662
0,2,1,62
0,2,3,182
0,2,5,302
0,2,6,362
0,2,7,422
0,3,2,123
0,3,10,603
0,3,11,663
0,3,1,63
0,3,3,183
0,3,5,303
0,3,6,363
0,3,7,423
0,4,2,124
0,4,10,604
0,4,11,664
0,4,1,64
0,4,3,184
0,4,5,304
0,4,6,364
0,4,7,424
0,5,2,125
0,5,10,605
0,5,11,665
0,5,1,65
0,5,3,185
0,5,5,305
0,5,6,365
0,5,7,425
0,6,2,126
0,6,10,606
0,6,11,666
0,6,1,66
0,6,3,186
0,6,5,306
0,6,6,366
0,6,7,426
0,7,2,127
0,7,10,607
0,7,11,667
0,7,1,67
0,7,3,187
0,7,5,307
0,7,6,367
0,7,7,427
0,8,2,128
0,8,10,608
0,8,11,668
0,8,1,68
0,8,3,188
0,8,5,308
0,8,6,368
0,8,7,428
0,9,2,129
0,9,10,609
0,9,11,669
0,9,1,69
0,9,3,189
0,9,5,309
0,9,6,369
0,9,7,429
0,10,2,130
0,10,10,610
0,10,11,670
0,10,1,70
0,10,3,190
0,10,5,310
0,10,6,370
0,10,7,430
0,11,2,131
0,11,10,611
0,11,11,671
0,11,1,71
0,11,3,191
0,11,5,311
0,11,6,371
0,11,7,431
0,12,2,132
0,12,10,612
0,12,11,672
0,12,1,72
0,12,3,192
0,12,5,312
0,12,6,372
0,12,7,432
0,13,2,133
0,13,10,613
0,13,11,673
0,13,1,73
0,13,3,193
0,13,5,313
0,13,6,373
0,13,7,433
0,14,2,134
0,14,10,614
0,14,11,674
0,14,1,74
0,14,3,194
0,14,5,314
0,14,6,374
0,14,7,434
0,15,2,135
0,15,10,615
0,15,11,675
0,15,1,75
0,15,3,195
0,15,5,315
0,15,6,375
0,15,7,435
0,16,2,136
0,16,10,616
0,16,11,676
0,16,1,76
0,16,3,196
0,16,5,316
0,16,6,376
0,16,7,436
0,17,2,137
0,17,10,617
0,17,11,677
0,17,1,77
0,17,3,197
0,17,5,317
0,17,6,377
0,17,7,437
0,18,2,138
0,18,10,618
0,18,11,678
0,18,1,78
0,18,3,198
0,18,5,318
0,18,6,378
0,18,7,438
0,19,2,139
0,19,10,619
0,19,11,679
0,19,1,79
0,19,3,199
0,19,5,319
0,19,6,379
0,19,7,439
0,20,2,140
0,20,10,620
0,20,11,680
0,20,1,80
0,20,3,200
0,20,5,320
0,20,6,380
0,20,7,440
0,21,2,141
0,21,10,621
0,21,11,681
0,21,1,81
0,21,3,201
0,21,5,321
0,21,6,381
0,21,7,441
0,22,2,142
0,22,10,622
0,22,11,682
0,22,1,82
0,22,3,202
0,22,5,322
0,22,6,382
0,22,7,442
0,23,2,143
0,23,10,623
0,23,11,683
0,23,1,83
0,23,3,203
0,23,5,323
0,23,6,383
0,23,7,443
0,24,2,144
0,24,10,624
0,24,11,684
0,24,1,84
0,24,3,204
0,24,5,324
0,24,6,384
0,24,7,444
0,25,2,145
0,25,10,625
0,25,11,685
0,25,1,85
0,25,3,205
0,25,5,325
0,25,6,385
0,25,7,445
0,26,2,146
0,26,10,626
0,26,11,686
0,26,1,86
0,26,3,206
0,26,5,326
0,26,6,386
0,26,7,446
0,27,2,147
0,27,10,627
0,27,11,687
0,27,1,87
0,27,3,207
0,27,5,327
0,27,6,387
0,27,7,447
0,28,2,148
0,28,10,628
0,28,11,688
0,28,1,88
0,28,3,208
0,28,5,328
0,28,6,388
0,28,7,448
0,29,2,149
0,29,10,629
0,29,11,689
0,29,1,89
0,29,3,209
0,29,5,329
0,29,6,389
0,29,7,449
0,30,2,150
0,30,10,630
0,30,11,690
0,30,1,90
0,30,3,210
0,30,5,330
0,30,6,390
0,30,7,450
0,31,2,151
0,31,10,631
0,31,11,691
0,31,1,91
0,31,3,211
0,31,5,331
0,31,6,391
0,31,7,451
0,32,2,152
0,32,10,632
0,32,11,692
0,32,1,92
0,32,3,212
0,32,5,332
0,32,6,392
0,32,7,452
0,33,2,153
0,33,10,633
0,33,11,693
0,33,1,93
0,33,3,213
0,33,5,333
0,33,6,393
0,33,7,453
0,34,2,154
0,34,10,634
0,34,11,694
0,34,1,94
0,34,3,214
0,34,5,334
0,34,6,394
0,34,7,454
0,35,2,155
0,35,10,635
0,35,11,695
0,35,1,95
0,35,3,215
0,35,5,335
0,35,6,395
0,35,7,455
0,36,2,156
0,36,10,636
0,36,11,696
0,36,1,96
0,36,3,216
0,36,5,336
0,36,6,396
0,36,7,456
0,37,2,157
0,37,10,637
0,37,11,697
0,37,1,97
0,37,3,217
0,37,5,337
0,37,6,397
0,37,7,457
0,38,2,158
0,38,10,638
0,38,11,698
0,38,1,98
0,38,3,218
0,38,5,338
0,38,6,398
0,38,7,458
0,39,2,159
0,39,10,639
0,39,11,699
0,39,1,99
0,39,3,219
0,39,5,339
0,39,6,399
0,39,7,459
0,40,2,160
0,40,10,640
0,40,11,700
0,40,1,100
0,40,3,220
0,40,5,340
0,40,6,400
0,40,7,460
0,41,2,161
0,41,10,641
0,41,11,701
0,41,1,101
0,41,3,221
0,41,5,341
0,41,6,401
0,41,7,461
0,42,2,162
0,42,10,642
0,42,11,702
