From TID,From JID,To TID,To JID
0,0,2,44
0,0,6,132
0,0,1,22
0,0,8,176
0,0,9,198
0,0,10,220
0,1,2,45
0,1,6,133
0,1,1,23
0,1,8,177
0,1,9,199
0,1,10,221
0,2,2,46
0,2,6,134
0,2,1,24
0,2,8,178
0,2,9,200
0,2,10,222
0,3,2,47
0,3,6,135
0,3,1,25
0,3,8,179
0,3,9,201
0,3,10,223
0,4,2,48
0,4,6,136
0,4,1,26
0,4,8,180
0,4,9,202
0,4,10,224
0,5,2,49
0,5,6,137
0,5,1,27
0,5,8,181
0,5,9,203
0,5,10,225
0,6,2,50
0,6,6,138
0,6,1,28
0,6,8,182
0,6,9,204
0,6,10,226
0,7,2,51
0,7,6,139
0,7,1,29
0,7,8,183
0,7,9,205
0,7,10,227
0,8,2,52
0,8,6,140
0,8,1,30
0,8,8,184
0,8,9,206
0,8,10,228
0,9,2,53
0,9,6,141
0,9,1,31
0,9,8,185
0,9,9,207
0,9,10,229
0,10,2,54
0,10,6,142
0,10,1,32
0,10,8,186
0,10,9,208
0,10,10,230
0,11,2,55
0,11,6,143
0,11,1,33
0,11,8,187
0,11,9,209
0,11,10,231
0,12,2,56
0,12,6,144
0,12,1,34
0,12,8,188
0,12,9,210
0,12,10,232
0,13,2,57
0,13,6,145
0,13,1,35
0,13,8,189
0,13,9,211
0,13,10,233
0,14,2,58
0,14,6,146
0,14,1,36
0,14,8,190
0,14,9,212
0,14,10,234
0,15,2,59
0,15,6,147
0,15,1,37
0,15,8,191
0,15,9,213
0,15,10,235
0,16,2,60
0,16,6,148
0,16,1,38
0,16,8,192
0,16,9,214
0,16,10,236
0,17,2,61
0,17,6,149
0,17,1,39
0,17,8,193
0,17,9,215
0,17,10,237
0,18,2,62
0,18,6,150
0,18,1,40
0,18,8,194
0,18,9,216
0,18,10,238
0,19,2,63
0,19,6,151
0,19,1,41
0,19,8,195
0,19,9,217
0,19,10,239
0,20,2,64
0,20,6,152
0,20,1,42
0,20,8,196
0,20,9,218
0,20,10,240
0,21,2,65
0,21,6,153
0,21,1,43
0,21,8,197
0,21,9,219
0,21,10,241
2,44,4,88
2,44,5,110
2,44,1,22
2,44,3,66
2,44,9,198
2,44,10,220
2,44,11,242
2,44,12,264
2,45,4,89
2,45,5,111
2,45,1,23
2,45,3,67
2,45,9,199
2,45,10,221
2,45,11,243
2,45,12,265
2,46,4,90
2,46,5,112
2,46,1,24
2,46,3,68
2,46,9,200
2,46,10,222
2,46,11,244
2,46,12,266
2,47,4,91
2,47,5,113
2,47,1,25
2,47,3,69
2,47,9,201
2,47,10,223
2,47,11,245
2,47,12,267
2,48,4,92
2,48,5,114
2,48,1,26
2,48,3,70
2,48,9,202
2,48,10,224
2,48,11,246
2,48,12,268
2,49,4,93
2,49,5,115
2,49,1,27
2,49,3,71
2,49,9,203
2,49,10,225
2,49,11,247
2,49,12,269
2,50,4,94
2,50,5,116
2,50,1,28
2,50,3,72
2,50,9,204
2,50,10,226
2,50,11,248
2,50,12,270
2,51,4,95
2,51,5,117
2,51,1,29
2,51,3,73
2,51,9,205
2,51,10,227
2,51,11,249
2,51,12,271
2,52,4,96
2,52,5,118
2,52,1,30
2,52,3,74
2,52,9,206
2,52,10,228
2,52,11,250
2,52,12,272
2,53,4,97
2,53,5,119
2,53,1,31
2,53,3,75
2,53,9,207
2,53,10,229
2,53,11,251
2,53,12,273
2,54,4,98
2,54,5,120
2,54,1,32
2,54,3,76
2,54,9,208
2,54,10,230
2,54,11,252
2,54,12,274
2,55,4,99
2,55,5,121
2,55,1,33
2,55,3,77
2,55,9,209
2,55,10,231
2,55,11,253
2,55,12,275
2,56,4,100
