Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,2000,32,318,20000,20000
0,1,20000,22000,32,318,40000,20000
0,2,40000,42000,32,318,60000,20000
0,3,60000,62000,32,318,80000,20000
0,4,80000,82000,32,318,100000,20000
0,5,100000,102000,32,318,120000,20000
0,6,120000,122000,32,318,140000,20000
0,7,140000,142000,32,318,160000,20000
0,8,160000,162000,32,318,180000,20000
0,9,180000,182000,32,318,200000,20000
0,10,200000,202000,32,318,220000,20000
0,11,220000,222000,32,318,240000,20000
0,12,240000,242000,32,318,260000,20000
0,13,260000,262000,32,318,280000,20000
0,14,280000,282000,32,318,300000,20000
0,15,300000,302000,32,318,320000,20000
0,16,320000,322000,32,318,340000,20000
0,17,340000,342000,32,318,360000,20000
0,18,360000,362000,32,318,380000,20000
0,19,380000,382000,32,318,400000,20000
0,20,400000,402000,32,318,420000,20000
0,21,420000,422000,32,318,440000,20000
0,22,440000,442000,32,318,460000,20000
0,23,460000,462000,32,318,480000,20000
0,24,480000,482000,32,318,500000,20000
0,25,500000,502000,32,318,520000,20000
0,26,520000,522000,32,318,540000,20000
0,27,540000,542000,32,318,560000,20000
1,28,0,2000,61,607,20000,20000
1,29,20000,22000,61,607,40000,20000
1,30,40000,42000,61,607,60000,20000
1,31,60000,62000,61,607,80000,20000
1,32,80000,82000,61,607,100000,20000
1,33,100000,102000,61,607,120000,20000
1,34,120000,122000,61,607,140000,20000
1,35,140000,142000,61,607,160000,20000
1,36,160000,162000,61,607,180000,20000
1,37,180000,182000,61,607,200000,20000
1,38,200000,202000,61,607,220000,20000
1,39,220000,222000,61,607,240000,20000
1,40,240000,242000,61,607,260000,20000
1,41,260000,262000,61,607,280000,20000
1,42,280000,282000,61,607,300000,20000
1,43,300000,302000,61,607,320000,20000
1,44,320000,322000,61,607,340000,20000
1,45,340000,342000,61,607,360000,20000
1,46,360000,362000,61,607,380000,20000
1,47,380000,382000,61,607,400000,20000
1,48,400000,402000,61,607,420000,20000
1,49,420000,422000,61,607,440000,20000
1,50,440000,442000,61,607,460000,20000
1,51,460000,462000,61,607,480000,20000
1,52,480000,482000,61,607,500000,20000
1,53,500000,502000,61,607,520000,20000
1,54,520000,522000,61,607,540000,20000
1,55,540000,542000,61,607,560000,20000
2,56,0,2000,28,281,20000,20000
2,57,20000,22000,28,281,40000,20000
2,58,40000,42000,28,281,60000,20000
2,59,60000,62000,28,281,80000,20000
2,60,80000,82000,28,281,100000,20000
2,61,100000,102000,28,281,120000,20000
2,62,120000,122000,28,281,140000,20000
2,63,140000,142000,28,281,160000,20000
2,64,160000,162000,28,281,180000,20000
2,65,180000,182000,28,281,200000,20000
2,66,200000,202000,28,281,220000,20000
2,67,220000,222000,28,281,240000,20000
2,68,240000,242000,28,281,260000,20000
2,69,260000,262000,28,281,280000,20000
2,70,280000,282000,28,281,300000,20000
2,71,300000,302000,28,281,320000,20000
2,72,320000,322000,28,281,340000,20000
2,73,340000,342000,28,281,360000,20000
2,74,360000,362000,28,281,380000,20000
2,75,380000,382000,28,281,400000,20000
2,76,400000,402000,28,281,420000,20000
2,77,420000,422000,28,281,440000,20000
2,78,440000,442000,28,281,460000,20000
2,79,460000,462000,28,281,480000,20000
