From TID,From JID,To TID,To JID
0,0,2,56
0,0,3,84
0,0,4,112
0,0,6,168
0,0,7,196
0,1,2,57
0,1,3,85
0,1,4,113
0,1,6,169
0,1,7,197
0,2,2,58
0,2,3,86
0,2,4,114
0,2,6,170
0,2,7,198
0,3,2,59
0,3,3,87
0,3,4,115
0,3,6,171
0,3,7,199
0,4,2,60
0,4,3,88
0,4,4,116
0,4,6,172
0,4,7,200
0,5,2,61
0,5,3,89
0,5,4,117
0,5,6,173
0,5,7,201
0,6,2,62
0,6,3,90
0,6,4,118
0,6,6,174
0,6,7,202
0,7,2,63
0,7,3,91
0,7,4,119
0,7,6,175
0,7,7,203
0,8,2,64
0,8,3,92
0,8,4,120
0,8,6,176
0,8,7,204
0,9,2,65
0,9,3,93
0,9,4,121
0,9,6,177
0,9,7,205
0,10,2,66
0,10,3,94
0,10,4,122
0,10,6,178
0,10,7,206
0,11,2,67
0,11,3,95
0,11,4,123
0,11,6,179
0,11,7,207
0,12,2,68
0,12,3,96
0,12,4,124
0,12,6,180
0,12,7,208
0,13,2,69
0,13,3,97
0,13,4,125
0,13,6,181
0,13,7,209
0,14,2,70
0,14,3,98
0,14,4,126
0,14,6,182
0,14,7,210
0,15,2,71
0,15,3,99
0,15,4,127
0,15,6,183
0,15,7,211
0,16,2,72
0,16,3,100
0,16,4,128
0,16,6,184
0,16,7,212
0,17,2,73
0,17,3,101
0,17,4,129
0,17,6,185
0,17,7,213
0,18,2,74
0,18,3,102
0,18,4,130
0,18,6,186
0,18,7,214
0,19,2,75
0,19,3,103
0,19,4,131
0,19,6,187
0,19,7,215
0,20,2,76
0,20,3,104
0,20,4,132
0,20,6,188
0,20,7,216
0,21,2,77
0,21,3,105
0,21,4,133
0,21,6,189
0,21,7,217
0,22,2,78
0,22,3,106
0,22,4,134
0,22,6,190
0,22,7,218
0,23,2,79
0,23,3,107
0,23,4,135
0,23,6,191
0,23,7,219
0,24,2,80
0,24,3,108
0,24,4,136
0,24,6,192
0,24,7,220
0,25,2,81
0,25,3,109
0,25,4,137
0,25,6,193
0,25,7,221
0,26,2,82
0,26,3,110
0,26,4,138
0,26,6,194
0,26,7,222
0,27,2,83
0,27,3,111
0,27,4,139
0,27,6,195
0,27,7,223
2,56,1,28
2,56,9,252
2,57,1,29
2,57,9,253
2,58,1,30
2,58,9,254
2,59,1,31
2,59,9,255
2,60,1,32
2,60,9,256
2,61,1,33
2,61,9,257
2,62,1,34
2,62,9,258
2,63,1,35
2,63,9,259
2,64,1,36
2,64,9,260
2,65,1,37
2,65,9,261
2,66,1,38
2,66,9,262
2,67,1,39
2,67,9,263
2,68,1,40
2,68,9,264
2,69,1,41
2,69,9,265
2,70,1,42
2,70,9,266
2,71,1,43
2,71,9,267
2,72,1,44
2,72,9,268
2,73,1,45
2,73,9,269
2,74,1,46
2,74,9,270
2,75,1,47
2,75,9,271
2,76,1,48
2,76,9,272
2,77,1,49
2,77,9,273
2,78,1,50
2,78,9,274
2,79,1,51
2,79,9,275
2,80,1,52
2,80,9,276
2,81,1,53
2,81,9,277
2,82,1,54
2,82,9,278
2,83,1,55
2,83,9,279
3,84,1,28
3,84,7,196
3,84,8,224
3,84,9,252
3,85,1,29
3,85,7,197
3,85,8,225
3,85,9,253
3,86,1,30
3,86,7,198
3,86,8,226
3,86,9,254
3,87,1,31
3,87,7,199
3,87,8,227
3,87,9,255
3,88,1,32
3,88,7,200
3,88,8,228
3,88,9,256
3,89,1,33
3,89,7,201
3,89,8,229
3,89,9,257
3,90,1,34
3,90,7,202
3,90,8,230
3,90,9,258
3,91,1,35
3,91,7,203
3,91,8,231
3,91,9,259
3,92,1,36
3,92,7,204
3,92,8,232
3,92,9,260
3,93,1,37
3,93,7,205
3,93,8,233
3,93,9,261
3,94,1,38
3,94,7,206
3,94,8,234
3,94,9,262
3,95,1,39
3,95,7,207
3,95,8,235
3,95,9,263
3,96,1,40
3,96,7,208
3,96,8,236
3,96,9,264
3,97,1,41
3,97,7,209
3,97,8,237
3,97,9,265
3,98,1,42
3,98,7,210
3,98,8,238
3,98,9,266
3,99,1,43
3,99,7,211
3,99,8,239
3,99,9,267
3,100,1,44
3,100,7,212
3,100,8,240
3,100,9,268
3,101,1,45
3,101,7,213
3,101,8,241
3,101,9,269
3,102,1,46
3,102,7,214
3,102,8,242
3,102,9,270
3,103,1,47
3,103,7,215
3,103,8,243
3,103,9,271
3,104,1,48
3,104,7,216
3,104,8,244
3,104,9,272
3,105,1,49
3,105,7,217
3,105,8,245
3,105,9,273
3,106,1,50
3,106,7,218
3,106,8,246
3,106,9,274
3,107,1,51
3,107,7,219
3,107,8,247
3,107,9,275
3,108,1,52
3,108,7,220
3,108,8,248
3,108,9,276
3,109,1,53
3,109,7,221
3,109,8,249
3,109,9,277
3,110,1,54
3,110,7,222
3,110,8,250
3,110,9,278
3,111,1,55
3,111,7,223
3,111,8,251
3,111,9,279
4,112,6,168
4,112,7,196
4,112,1,28
4,112,5,140
4,112,9,252
4,113,6,169
4,113,7,197
4,113,1,29
4,113,5,141
4,113,9,253
4,114,6,170
4,114,7,198
4,114,1,30
4,114,5,142
4,114,9,254
4,115,6,171
4,115,7,199
4,115,1,31
4,115,5,143
4,115,9,255
4,116,6,172
4,116,7,200
4,116,1,32
4,116,5,144
4,116,9,256
4,117,6,173
4,117,7,201
4,117,1,33
4,117,5,145
4,117,9,257
4,118,6,174
4,118,7,202
4,118,1,34
4,118,5,146
4,118,9,258
4,119,6,175
4,119,7,203
4,119,1,35
4,119,5,147
4,119,9,259
4,120,6,176
4,120,7,204
4,120,1,36
4,120,5,148
4,120,9,260
4,121,6,177
4,121,7,205
4,121,1,37
4,121,5,149
4,121,9,261
4,122,6,178
4,122,7,206
4,122,1,38
4,122,5,150
4,122,9,262
4,123,6,179
4,123,7,207
4,123,1,39
4,123,5,151
4,123,9,263
4,124,6,180
4,124,7,208
4,124,1,40
4,124,5,152
4,124,9,264
4,125,6,181
4,125,7,209
4,125,1,41
4,125,5,153
4,125,9,265
4,126,6,182
4,126,7,210
4,126,1,42
4,126,5,154
4,126,9,266
4,127,6,183
4,127,7,211
4,127,1,43
4,127,5,155
4,127,9,267
4,128,6,184
4,128,7,212
4,128,1,44
4,128,5,156
4,128,9,268
4,129,6,185
4,129,7,213
4,129,1,45
4,129,5,157
4,129,9,269
4,130,6,186
4,130,7,214
4,130,1,46
4,130,5,158
4,130,9,270
4,131,6,187
4,131,7,215
4,131,1,47
4,131,5,159
4,131,9,271
4,132,6,188
4,132,7,216
4,132,1,48
4,132,5,160
4,132,9,272
4,133,6,189
4,133,7,217
4,133,1,49
4,133,5,161
4,133,9,273
4,134,6,190
4,134,7,218
4,134,1,50
4,134,5,162
4,134,9,274
4,135,6,191
4,135,7,219
4,135,1,51
4,135,5,163
4,135,9,275
4,136,6,192
4,136,7,220
4,136,1,52
4,136,5,164
4,136,9,276
4,137,6,193
4,137,7,221
4,137,1,53
4,137,5,165
4,137,9,277
4,138,6,194
4,138,7,222
4,138,1,54
4,138,5,166
4,138,9,278
4,139,6,195
4,139,7,223
4,139,1,55
4,139,5,167
4,139,9,279
5,140,1,28
5,141,1,29
5,142,1,30
5,143,1,31
5,144,1,32
5,145,1,33
5,146,1,34
5,147,1,35
5,148,1,36
5,149,1,37
5,150,1,38
5,151,1,39
5,152,1,40
5,153,1,41
5,154,1,42
5,155,1,43
5,156,1,44
5,157,1,45
5,158,1,46
5,159,1,47
5,160,1,48
5,161,1,49
5,162,1,50
5,163,1,51
5,164,1,52
5,165,1,53
5,166,1,54
5,167,1,55
6,168,5,140
6,168,1,28
6,169,5,141
6,169,1,29
6,170,5,142
6,170,1,30
6,171,5,143
6,171,1,31
6,172,5,144
6,172,1,32
6,173,5,145
6,173,1,33
6,174,5,146
6,174,1,34
6,175,5,147
6,175,1,35
6,176,5,148
6,176,1,36
6,177,5,149
6,177,1,37
6,178,5,150
6,178,1,38
6,179,5,151
6,179,1,39
6,180,5,152
6,180,1,40
6,181,5,153
6,181,1,41
6,182,5,154
6,182,1,42
6,183,5,155
6,183,1,43
6,184,5,156
6,184,1,44
6,185,5,157
6,185,1,45
6,186,5,158
6,186,1,46
6,187,5,159
6,187,1,47
6,188,5,160
6,188,1,48
6,189,5,161
6,189,1,49
6,190,5,162
6,190,1,50
6,191,5,163
6,191,1,51
6,192,5,164
6,192,1,52
6,193,5,165
6,193,1,53
6,194,5,166
6,194,1,54
6,195,5,167
6,195,1,55
7,196,9,252
7,196,10,280
7,196,1,28
7,196,5,140
7,197,9,253
7,197,10,281
7,197,1,29
7,197,5,141
7,198,9,254
7,198,10,282
7,198,1,30
7,198,5,142
7,199,9,255
7,199,10,283
7,199,1,31
7,199,5,143
7,200,9,256
7,200,10,284
7,200,1,32
7,200,5,144
7,201,9,257
7,201,10,285
7,201,1,33
7,201,5,145
7,202,9,258
7,202,10,286
7,202,1,34
7,202,5,146
7,203,9,259
7,203,10,287
7,203,1,35
7,203,5,147
7,204,9,260
7,204,10,288
7,204,1,36
7,204,5,148
7,205,9,261
7,205,10,289
7,205,1,37
7,205,5,149
7,206,9,262
7,206,10,290
7,206,1,38
7,206,5,150
7,207,9,263
7,207,10,291
7,207,1,39
7,207,5,151
7,208,9,264
7,208,10,292
7,208,1,40
7,208,5,152
7,209,9,265
7,209,10,293
7,209,1,41
7,209,5,153
7,210,9,266
7,210,10,294
7,210,1,42
7,210,5,154
7,211,9,267
7,211,10,295
7,211,1,43
7,211,5,155
7,212,9,268
7,212,10,296
7,212,1,44
7,212,5,156
7,213,9,269
7,213,10,297
7,213,1,45
7,213,5,157
7,214,9,270
7,214,10,298
7,214,1,46
7,214,5,158
7,215,9,271
7,215,10,299
7,215,1,47
7,215,5,159
7,216,9,272
7,216,10,300
7,216,1,48
7,216,5,160
7,217,9,273
7,217,10,301
7,217,1,49
