From TID,From JID,To TID,To JID
0,0,2,48
0,0,3,72
0,1,2,49
0,1,3,73
0,2,2,50
0,2,3,74
0,3,2,51
0,3,3,75
0,4,2,52
0,4,3,76
0,5,2,53
0,5,3,77
0,6,2,54
0,6,3,78
0,7,2,55
0,7,3,79
0,8,2,56
0,8,3,80
0,9,2,57
0,9,3,81
0,10,2,58
0,10,3,82
0,11,2,59
0,11,3,83
0,12,2,60
0,12,3,84
0,13,2,61
0,13,3,85
0,14,2,62
0,14,3,86
0,15,2,63
0,15,3,87
0,16,2,64
0,16,3,88
0,17,2,65
0,17,3,89
0,18,2,66
0,18,3,90
0,19,2,67
0,19,3,91
0,20,2,68
0,20,3,92
0,21,2,69
0,21,3,93
0,22,2,70
0,22,3,94
0,23,2,71
0,23,3,95
2,48,1,24
2,49,1,25
2,50,1,26
2,51,1,27
2,52,1,28
2,53,1,29
2,54,1,30
2,55,1,31
2,56,1,32
2,57,1,33
2,58,1,34
2,59,1,35
2,60,1,36
2,61,1,37
2,62,1,38
2,63,1,39
2,64,1,40
2,65,1,41
2,66,1,42
2,67,1,43
2,68,1,44
2,69,1,45
2,70,1,46
2,71,1,47
3,72,1,24
3,73,1,25
3,74,1,26
3,75,1,27
3,76,1,28
3,77,1,29
3,78,1,30
3,79,1,31
3,80,1,32
3,81,1,33
3,82,1,34
3,83,1,35
3,84,1,36
3,85,1,37
3,86,1,38
3,87,1,39
3,88,1,40
3,89,1,41
3,90,1,42
3,91,1,43
3,92,1,44
3,93,1,45
3,94,1,46
3,95,1,47
4,96,6,120
4,96,16,240
4,96,8,144
4,96,14,216
4,96,15,228
4,97,6,121
4,97,16,241
4,97,8,145
4,97,14,217
4,97,15,229
4,98,6,122
4,98,16,242
4,98,8,146
4,98,14,218
4,98,15,230
4,99,6,123
4,99,16,243
4,99,8,147
4,99,14,219
4,99,15,231
4,100,6,124
4,100,16,244
4,100,8,148
4,100,14,220
4,100,15,232
4,101,6,125
4,101,16,245
4,101,8,149
4,101,14,221
4,101,15,233
4,102,6,126
4,102,16,246
4,102,8,150
4,102,14,222
4,102,15,234
4,103,6,127
4,103,16,247
4,103,8,151
4,103,14,223
4,103,15,235
4,104,6,128
4,104,16,248
4,104,8,152
4,104,14,224
4,104,15,236
4,105,6,129
4,105,16,249
4,105,8,153
4,105,14,225
