Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,18,184,10000,10000
0,1,10000,11000,18,184,20000,10000
0,2,20000,21000,18,184,30000,10000
0,3,30000,31000,18,184,40000,10000
0,4,40000,41000,18,184,50000,10000
0,5,50000,51000,18,184,60000,10000
1,6,0,1000,81,813,10000,10000
1,7,10000,11000,81,813,20000,10000
1,8,20000,21000,81,813,30000,10000
1,9,30000,31000,81,813,40000,10000
1,10,40000,41000,81,813,50000,10000
1,11,50000,51000,81,813,60000,10000
2,12,0,1000,48,480,10000,10000
2,13,10000,11000,48,480,20000,10000
2,14,20000,21000,48,480,30000,10000
2,15,30000,31000,48,480,40000,10000
2,16,40000,41000,48,480,50000,10000
2,17,50000,51000,48,480,60000,10000
3,18,0,1000,64,636,10000,10000
3,19,10000,11000,64,636,20000,10000
3,20,20000,21000,64,636,30000,10000
3,21,30000,31000,64,636,40000,10000
3,22,40000,41000,64,636,50000,10000
3,23,50000,51000,64,636,60000,10000
4,24,0,1000,10,98,10000,10000
4,25,10000,11000,10,98,20000,10000
4,26,20000,21000,10,98,30000,10000
4,27,30000,31000,10,98,40000,10000
4,28,40000,41000,10,98,50000,10000
4,29,50000,51000,10,98,60000,10000
5,30,0,1000,31,306,10000,10000
5,31,10000,11000,31,306,20000,10000
5,32,20000,21000,31,306,30000,10000
5,33,30000,31000,31,306,40000,10000
5,34,40000,41000,31,306,50000,10000
5,35,50000,51000,31,306,60000,10000
6,36,0,1000,66,656,10000,10000
6,37,10000,11000,66,656,20000,10000
6,38,20000,21000,66,656,30000,10000
6,39,30000,31000,66,656,40000,10000
6,40,40000,41000,66,656,50000,10000
6,41,50000,51000,66,656,60000,10000
7,42,0,1000,61,610,10000,10000
7,43,10000,11000,61,610,20000,10000
7,44,20000,21000,61,610,30000,10000
7,45,30000,31000,61,610,40000,10000
7,46,40000,41000,61,610,50000,10000
7,47,50000,51000,61,610,60000,10000
8,48,0,1000,13,133,10000,10000
8,49,10000,11000,13,133,20000,10000
8,50,20000,21000,13,133,30000,10000
8,51,30000,31000,13,133,40000,10000
8,52,40000,41000,13,133,50000,10000
8,53,50000,51000,13,133,60000,10000
9,54,0,1000,87,865,10000,10000
9,55,10000,11000,87,865,20000,10000
9,56,20000,21000,87,865,30000,10000
9,57,30000,31000,87,865,40000,10000
9,58,40000,41000,87,865,50000,10000
9,59,50000,51000,87,865,60000,10000
10,60,0,1000,95,945,10000,10000
10,61,10000,11000,95,945,20000,10000
10,62,20000,21000,95,945,30000,10000
10,63,30000,31000,95,945,40000,10000
10,64,40000,41000,95,945,50000,10000
10,65,50000,51000,95,945,60000,10000
11,66,0,1000,42,422,10000,10000
11,67,10000,11000,42,422,20000,10000
11,68,20000,21000,42,422,30000,10000
11,69,30000,31000,42,422,40000,10000
11,70,40000,41000,42,422,50000,10000
11,71,50000,51000,42,422,60000,10000
12,72,0,1000,68,679,10000,10000
12,73,10000,11000,68,679,20000,10000
12,74,20000,21000,68,679,30000,10000
12,75,30000,31000,68,679,40000,10000
12,76,40000,41000,68,679,50000,10000
12,77,50000,51000,68,679,60000,10000
13,78,0,2000,18,185,20000,20000
13,79,20000,22000,18,185,40000,20000
13,80,40000,42000,18,185,60000,20000
14,81,0,2000,83,831,20000,20000
14,82,20000,22000,83,831,40000,20000
14,83,40000,42000,83,831,60000,20000
15,84,0,2000,114,1145,20000,20000
15,85,20000,22000,114,1145,40000,20000
15,86,40000,42000,114,1145,60000,20000
16,87,0,2000,42,424,20000,20000
16,88,20000,22000,42,424,40000,20000
16,89,40000,42000,42,424,60000,20000
17,90,0,2000,27,275,20000,20000
17,91,20000,22000,27,275,40000,20000
17,92,40000,42000,27,275,60000,20000
18,93,0,2000,133,1323,20000,20000
18,94,20000,22000,133,1323,40000,20000
18,95,40000,42000,133,1323,60000,20000
19,96,0,2000,95,952,20000,20000
19,97,20000,22000,95,952,40000,20000
19,98,40000,42000,95,952,60000,20000
