From TID,From JID,To TID,To JID
0,0,2,12
0,0,12,72
0,0,1,6
0,0,3,18
0,0,4,24
0,0,5,30
0,0,6,36
0,0,8,48
0,0,9,54
0,0,10,60
0,0,11,66
0,1,2,13
0,1,12,73
0,1,1,7
0,1,3,19
0,1,4,25
0,1,5,31
0,1,6,37
0,1,8,49
0,1,9,55
0,1,10,61
0,1,11,67
0,2,2,14
0,2,12,74
0,2,1,8
0,2,3,20
0,2,4,26
0,2,5,32
0,2,6,38
0,2,8,50
0,2,9,56
0,2,10,62
0,2,11,68
0,3,2,15
0,3,12,75
0,3,1,9
0,3,3,21
0,3,4,27
0,3,5,33
0,3,6,39
0,3,8,51
0,3,9,57
0,3,10,63
0,3,11,69
0,4,2,16
0,4,12,76
0,4,1,10
0,4,3,22
0,4,4,28
0,4,5,34
0,4,6,40
0,4,8,52
0,4,9,58
0,4,10,64
0,4,11,70
0,5,2,17
0,5,12,77
0,5,1,11
0,5,3,23
0,5,4,29
0,5,5,35
0,5,6,41
0,5,8,53
0,5,9,59
0,5,10,65
0,5,11,71
2,12,4,24
2,12,8,48
2,12,1,6
2,12,3,18
2,12,6,36
2,12,9,54
2,13,4,25
2,13,8,49
2,13,1,7
2,13,3,19
2,13,6,37
2,13,9,55
2,14,4,26
2,14,8,50
2,14,1,8
2,14,3,20
2,14,6,38
2,14,9,56
2,15,4,27
2,15,8,51
2,15,1,9
2,15,3,21
2,15,6,39
2,15,9,57
2,16,4,28
2,16,8,52
2,16,1,10
2,16,3,22
2,16,6,40
2,16,9,58
2,17,4,29
2,17,8,53
2,17,1,11
2,17,3,23
2,17,6,41
2,17,9,59
3,18,1,6
3,19,1,7
3,20,1,8
3,21,1,9
3,22,1,10
3,23,1,11
4,24,6,36
4,24,7,42
4,24,9,54
4,25,6,37
4,25,7,43
4,25,9,55
4,26,6,38
4,26,7,44
4,26,9,56
4,27,6,39
4,27,7,45
4,27,9,57
4,28,6,40
4,28,7,46
4,28,9,58
4,29,6,41
4,29,7,47
4,29,9,59
5,30,3,18
5,30,1,6
5,31,3,19
5,31,1,7
5,32,3,20
5,32,1,8
5,33,3,21
5,33,1,9
5,34,3,22
5,34,1,10
5,35,3,23
5,35,1,11
6,36,5,30
6,36,1,6
6,36,3,18
6,37,5,31
6,37,1,7
6,37,3,19
6,38,5,32
6,38,1,8
6,38,3,20
6,39,5,33
6,39,1,9
6,39,3,21
6,40,5,34
6,40,1,10
6,40,3,22
6,41,5,35
6,41,1,11
6,41,3,23
7,42,5,30
7,42,3,18
7,42,9,54
7,43,5,31
7,43,3,19
7,43,9,55
7,44,5,32
7,44,3,20
7,44,9,56
7,45,5,33
7,45,3,21
7,45,9,57
7,46,5,34
7,46,3,22
7,46,9,58
7,47,5,35
7,47,3,23
7,47,9,59
8,48,10,60
8,48,11,66
8,48,1,6
8,48,6,36
8,48,7,42
8,49,10,61
8,49,11,67
8,49,1,7
8,49,6,37
8,49,7,43
8,50,10,62
8,50,11,68
8,50,1,8
8,50,6,38
8,50,7,44
8,51,10,63
8,51,11,69
8,51,1,9
8,51,6,39
8,51,7,45
8,52,10,64
8,52,11,70
8,52,1,10
8,52,6,40
8,52,7,46
8,53,10,65
8,53,11,71
8,53,1,11
8,53,6,41
8,53,7,47
9,54,3,18
9,55,3,19
9,56,3,20
9,57,3,21
9,58,3,22
9,59,3,23
10,60,9,54
10,60,3,18
10,61,9,55
10,61,3,19
10,62,9,56
10,62,3,20
10,63,9,57
10,63,3,21
10,64,9,58
10,64,3,22
10,65,9,59
10,65,3,23
11,66,9,54
11,66,1,6
11,66,5,30
11,67,9,55
11,67,1,7
11,67,5,31
11,68,9,56
11,68,1,8
11,68,5,32
11,69,9,57
11,69,1,9
11,69,5,33
11,70,9,58
11,70,1,10
11,70,5,34
11,71,9,59
11,71,1,11
11,71,5,35
12,72,1,6
12,72,5,30
12,72,6,36
12,72,7,42
12,72,8,48
12,72,9,54
12,72,10,60
12,73,1,7
