From TID,From JID,To TID,To JID
0,0,2,56
0,0,11,308
0,0,12,336
0,0,4,112
0,0,5,140
0,1,2,57
0,1,11,309
0,1,12,337
0,1,4,113
0,1,5,141
0,2,2,58
0,2,11,310
0,2,12,338
0,2,4,114
0,2,5,142
0,3,2,59
0,3,11,311
0,3,12,339
0,3,4,115
0,3,5,143
0,4,2,60
0,4,11,312
0,4,12,340
0,4,4,116
0,4,5,144
0,5,2,61
0,5,11,313
0,5,12,341
0,5,4,117
0,5,5,145
0,6,2,62
0,6,11,314
0,6,12,342
0,6,4,118
0,6,5,146
0,7,2,63
0,7,11,315
0,7,12,343
0,7,4,119
0,7,5,147
0,8,2,64
0,8,11,316
0,8,12,344
0,8,4,120
0,8,5,148
0,9,2,65
0,9,11,317
0,9,12,345
0,9,4,121
0,9,5,149
0,10,2,66
0,10,11,318
0,10,12,346
0,10,4,122
0,10,5,150
0,11,2,67
0,11,11,319
0,11,12,347
0,11,4,123
0,11,5,151
0,12,2,68
0,12,11,320
0,12,12,348
0,12,4,124
0,12,5,152
0,13,2,69
0,13,11,321
0,13,12,349
0,13,4,125
0,13,5,153
0,14,2,70
0,14,11,322
0,14,12,350
0,14,4,126
0,14,5,154
0,15,2,71
0,15,11,323
0,15,12,351
0,15,4,127
0,15,5,155
0,16,2,72
0,16,11,324
0,16,12,352
0,16,4,128
0,16,5,156
0,17,2,73
0,17,11,325
0,17,12,353
0,17,4,129
0,17,5,157
0,18,2,74
0,18,11,326
0,18,12,354
0,18,4,130
0,18,5,158
0,19,2,75
0,19,11,327
0,19,12,355
0,19,4,131
0,19,5,159
0,20,2,76
0,20,11,328
0,20,12,356
0,20,4,132
0,20,5,160
0,21,2,77
0,21,11,329
0,21,12,357
0,21,4,133
0,21,5,161
0,22,2,78
0,22,11,330
0,22,12,358
0,22,4,134
0,22,5,162
0,23,2,79
0,23,11,331
0,23,12,359
0,23,4,135
0,23,5,163
0,24,2,80
0,24,11,332
0,24,12,360
0,24,4,136
0,24,5,164
0,25,2,81
0,25,11,333
0,25,12,361
0,25,4,137
0,25,5,165
0,26,2,82
0,26,11,334
0,26,12,362
0,26,4,138
