Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,88,882,10000,10000
0,1,10000,11000,88,882,20000,10000
0,2,20000,21000,88,882,30000,10000
0,3,30000,31000,88,882,40000,10000
0,4,40000,41000,88,882,50000,10000
0,5,50000,51000,88,882,60000,10000
0,6,60000,61000,88,882,70000,10000
0,7,70000,71000,88,882,80000,10000
0,8,80000,81000,88,882,90000,10000
0,9,90000,91000,88,882,100000,10000
0,10,100000,101000,88,882,110000,10000
0,11,110000,111000,88,882,120000,10000
0,12,120000,121000,88,882,130000,10000
0,13,130000,131000,88,882,140000,10000
0,14,140000,141000,88,882,150000,10000
0,15,150000,151000,88,882,160000,10000
0,16,160000,161000,88,882,170000,10000
0,17,170000,171000,88,882,180000,10000
0,18,180000,181000,88,882,190000,10000
0,19,190000,191000,88,882,200000,10000
0,20,200000,201000,88,882,210000,10000
0,21,210000,211000,88,882,220000,10000
0,22,220000,221000,88,882,230000,10000
0,23,230000,231000,88,882,240000,10000
0,24,240000,241000,88,882,250000,10000
0,25,250000,251000,88,882,260000,10000
0,26,260000,261000,88,882,270000,10000
0,27,270000,271000,88,882,280000,10000
0,28,280000,281000,88,882,290000,10000
0,29,290000,291000,88,882,300000,10000
0,30,300000,301000,88,882,310000,10000
0,31,310000,311000,88,882,320000,10000
0,32,320000,321000,88,882,330000,10000
0,33,330000,331000,88,882,340000,10000
0,34,340000,341000,88,882,350000,10000
0,35,350000,351000,88,882,360000,10000
1,36,0,1000,50,504,10000,10000
1,37,10000,11000,50,504,20000,10000
1,38,20000,21000,50,504,30000,10000
1,39,30000,31000,50,504,40000,10000
1,40,40000,41000,50,504,50000,10000
1,41,50000,51000,50,504,60000,10000
1,42,60000,61000,50,504,70000,10000
1,43,70000,71000,50,504,80000,10000
1,44,80000,81000,50,504,90000,10000
1,45,90000,91000,50,504,100000,10000
1,46,100000,101000,50,504,110000,10000
1,47,110000,111000,50,504,120000,10000
1,48,120000,121000,50,504,130000,10000
1,49,130000,131000,50,504,140000,10000
1,50,140000,141000,50,504,150000,10000
1,51,150000,151000,50,504,160000,10000
1,52,160000,161000,50,504,170000,10000
1,53,170000,171000,50,504,180000,10000
1,54,180000,181000,50,504,190000,10000
1,55,190000,191000,50,504,200000,10000
1,56,200000,201000,50,504,210000,10000
1,57,210000,211000,50,504,220000,10000
1,58,220000,221000,50,504,230000,10000
1,59,230000,231000,50,504,240000,10000
1,60,240000,241000,50,504,250000,10000
1,61,250000,251000,50,504,260000,10000
1,62,260000,261000,50,504,270000,10000
1,63,270000,271000,50,504,280000,10000
1,64,280000,281000,50,504,290000,10000
1,65,290000,291000,50,504,300000,10000
1,66,300000,301000,50,504,310000,10000
1,67,310000,311000,50,504,320000,10000
1,68,320000,321000,50,504,330000,10000
1,69,330000,331000,50,504,340000,10000
1,70,340000,341000,50,504,350000,10000
1,71,350000,351000,50,504,360000,10000
2,72,0,1000,110,1090,10000,10000
2,73,10000,11000,110,1090,20000,10000
2,74,20000,21000,110,1090,30000,10000
2,75,30000,31000,110,1090,40000,10000
2,76,40000,41000,110,1090,50000,10000
2,77,50000,51000,110,1090,60000,10000
2,78,60000,61000,110,1090,70000,10000
2,79,70000,71000,110,1090,80000,10000
2,80,80000,81000,110,1090,90000,10000
2,81,90000,91000,110,1090,100000,10000
2,82,100000,101000,110,1090,110000,10000
2,83,110000,111000,110,1090,120000,10000
2,84,120000,121000,110,1090,130000,10000
2,85,130000,131000,110,1090,140000,10000
2,86,140000,141000,110,1090,150000,10000
2,87,150000,151000,110,1090,160000,10000
2,88,160000,161000,110,1090,170000,10000
2,89,170000,171000,110,1090,180000,10000
2,90,180000,181000,110,1090,190000,10000
2,91,190000,191000,110,1090,200000,10000
2,92,200000,201000,110,1090,210000,10000
2,93,210000,211000,110,1090,220000,10000
2,94,220000,221000,110,1090,230000,10000
2,95,230000,231000,110,1090,240000,10000
2,96,240000,241000,110,1090,250000,10000
2,97,250000,251000,110,1090,260000,10000
2,98,260000,261000,110,1090,270000,10000
2,99,270000,271000,110,1090,280000,10000
2,100,280000,281000,110,1090,290000,10000
2,101,290000,291000,110,1090,300000,10000
2,102,300000,301000,110,1090,310000,10000
2,103,310000,311000,110,1090,320000,10000
2,104,320000,321000,110,1090,330000,10000
2,105,330000,331000,110,1090,340000,10000
2,106,340000,341000,110,1090,350000,10000
2,107,350000,351000,110,1090,360000,10000
3,108,0,1000,104,1041,10000,10000
3,109,10000,11000,104,1041,20000,10000
3,110,20000,21000,104,1041,30000,10000
3,111,30000,31000,104,1041,40000,10000
3,112,40000,41000,104,1041,50000,10000
3,113,50000,51000,104,1041,60000,10000
3,114,60000,61000,104,1041,70000,10000
3,115,70000,71000,104,1041,80000,10000
3,116,80000,81000,104,1041,90000,10000
3,117,90000,91000,104,1041,100000,10000
3,118,100000,101000,104,1041,110000,10000
3,119,110000,111000,104,1041,120000,10000
3,120,120000,121000,104,1041,130000,10000
3,121,130000,131000,104,1041,140000,10000
3,122,140000,141000,104,1041,150000,10000
3,123,150000,151000,104,1041,160000,10000
3,124,160000,161000,104,1041,170000,10000
3,125,170000,171000,104,1041,180000,10000
3,126,180000,181000,104,1041,190000,10000
3,127,190000,191000,104,1041,200000,10000
3,128,200000,201000,104,1041,210000,10000
3,129,210000,211000,104,1041,220000,10000
3,130,220000,221000,104,1041,230000,10000
3,131,230000,231000,104,1041,240000,10000
3,132,240000,241000,104,1041,250000,10000
3,133,250000,251000,104,1041,260000,10000
3,134,260000,261000,104,1041,270000,10000
3,135,270000,271000,104,1041,280000,10000
3,136,280000,281000,104,1041,290000,10000
3,137,290000,291000,104,1041,300000,10000
3,138,300000,301000,104,1041,310000,10000
3,139,310000,311000,104,1041,320000,10000
3,140,320000,321000,104,1041,330000,10000
3,141,330000,331000,104,1041,340000,10000
3,142,340000,341000,104,1041,350000,10000
3,143,350000,351000,104,1041,360000,10000
4,144,0,1000,3,33,10000,10000
4,145,10000,11000,3,33,20000,10000
4,146,20000,21000,3,33,30000,10000
4,147,30000,31000,3,33,40000,10000
4,148,40000,41000,3,33,50000,10000
4,149,50000,51000,3,33,60000,10000
4,150,60000,61000,3,33,70000,10000
4,151,70000,71000,3,33,80000,10000
4,152,80000,81000,3,33,90000,10000
4,153,90000,91000,3,33,100000,10000
4,154,100000,101000,3,33,110000,10000
4,155,110000,111000,3,33,120000,10000
4,156,120000,121000,3,33,130000,10000
4,157,130000,131000,3,33,140000,10000
4,158,140000,141000,3,33,150000,10000
4,159,150000,151000,3,33,160000,10000
4,160,160000,161000,3,33,170000,10000
4,161,170000,171000,3,33,180000,10000
4,162,180000,181000,3,33,190000,10000
4,163,190000,191000,3,33,200000,10000
4,164,200000,201000,3,33,210000,10000
4,165,210000,211000,3,33,220000,10000
4,166,220000,221000,3,33,230000,10000
4,167,230000,231000,3,33,240000,10000
4,168,240000,241000,3,33,250000,10000
4,169,250000,251000,3,33,260000,10000
4,170,260000,261000,3,33,270000,10000
4,171,270000,271000,3,33,280000,10000
4,172,280000,281000,3,33,290000,10000
4,173,290000,291000,3,33,300000,10000
4,174,300000,301000,3,33,310000,10000
4,175,310000,311000,3,33,320000,10000
4,176,320000,321000,3,33,330000,10000
4,177,330000,331000,3,33,340000,10000
4,178,340000,341000,3,33,350000,10000
4,179,350000,351000,3,33,360000,10000
5,180,0,1000,51,511,10000,10000
5,181,10000,11000,51,511,20000,10000
5,182,20000,21000,51,511,30000,10000
5,183,30000,31000,51,511,40000,10000
5,184,40000,41000,51,511,50000,10000
5,185,50000,51000,51,511,60000,10000
5,186,60000,61000,51,511,70000,10000
5,187,70000,71000,51,511,80000,10000
5,188,80000,81000,51,511,90000,10000
5,189,90000,91000,51,511,100000,10000
5,190,100000,101000,51,511,110000,10000
5,191,110000,111000,51,511,120000,10000
5,192,120000,121000,51,511,130000,10000
5,193,130000,131000,51,511,140000,10000
5,194,140000,141000,51,511,150000,10000
5,195,150000,151000,51,511,160000,10000
5,196,160000,161000,51,511,170000,10000
5,197,170000,171000,51,511,180000,10000
5,198,180000,181000,51,511,190000,10000
5,199,190000,191000,51,511,200000,10000
5,200,200000,201000,51,511,210000,10000
5,201,210000,211000,51,511,220000,10000
5,202,220000,221000,51,511,230000,10000
5,203,230000,231000,51,511,240000,10000
5,204,240000,241000,51,511,250000,10000
5,205,250000,251000,51,511,260000,10000
5,206,260000,261000,51,511,270000,10000
5,207,270000,271000,51,511,280000,10000
5,208,280000,281000,51,511,290000,10000
5,209,290000,291000,51,511,300000,10000
5,210,300000,301000,51,511,310000,10000
5,211,310000,311000,51,511,320000,10000
5,212,320000,321000,51,511,330000,10000
5,213,330000,331000,51,511,340000,10000
5,214,340000,341000,51,511,350000,10000
5,215,350000,351000,51,511,360000,10000
6,216,0,1000,78,776,10000,10000
6,217,10000,11000,78,776,20000,10000
6,218,20000,21000,78,776,30000,10000
6,219,30000,31000,78,776,40000,10000
6,220,40000,41000,78,776,50000,10000
6,221,50000,51000,78,776,60000,10000
6,222,60000,61000,78,776,70000,10000
6,223,70000,71000,78,776,80000,10000
6,224,80000,81000,78,776,90000,10000
6,225,90000,91000,78,776,100000,10000
6,226,100000,101000,78,776,110000,10000
6,227,110000,111000,78,776,120000,10000
6,228,120000,121000,78,776,130000,10000
6,229,130000,131000,78,776,140000,10000
