From TID,From JID,To TID,To JID
0,0,2,72
0,0,9,324
0,0,3,108
0,0,4,144
0,0,5,180
0,0,6,216
0,0,7,252
0,0,8,288
0,1,2,73
0,1,9,325
0,1,3,109
0,1,4,145
0,1,5,181
0,1,6,217
0,1,7,253
0,1,8,289
0,2,2,74
0,2,9,326
0,2,3,110
0,2,4,146
0,2,5,182
0,2,6,218
0,2,7,254
0,2,8,290
0,3,2,75
0,3,9,327
0,3,3,111
0,3,4,147
0,3,5,183
0,3,6,219
0,3,7,255
0,3,8,291
0,4,2,76
0,4,9,328
0,4,3,112
0,4,4,148
0,4,5,184
0,4,6,220
0,4,7,256
0,4,8,292
0,5,2,77
0,5,9,329
0,5,3,113
0,5,4,149
0,5,5,185
0,5,6,221
0,5,7,257
0,5,8,293
0,6,2,78
0,6,9,330
0,6,3,114
0,6,4,150
0,6,5,186
0,6,6,222
0,6,7,258
0,6,8,294
0,7,2,79
0,7,9,331
0,7,3,115
0,7,4,151
0,7,5,187
0,7,6,223
0,7,7,259
0,7,8,295
0,8,2,80
0,8,9,332
0,8,3,116
0,8,4,152
0,8,5,188
0,8,6,224
0,8,7,260
0,8,8,296
0,9,2,81
0,9,9,333
0,9,3,117
0,9,4,153
0,9,5,189
0,9,6,225
0,9,7,261
0,9,8,297
0,10,2,82
0,10,9,334
0,10,3,118
0,10,4,154
0,10,5,190
0,10,6,226
0,10,7,262
0,10,8,298
0,11,2,83
0,11,9,335
0,11,3,119
0,11,4,155
0,11,5,191
0,11,6,227
0,11,7,263
0,11,8,299
0,12,2,84
0,12,9,336
0,12,3,120
0,12,4,156
0,12,5,192
0,12,6,228
0,12,7,264
0,12,8,300
0,13,2,85
0,13,9,337
0,13,3,121
0,13,4,157
0,13,5,193
0,13,6,229
0,13,7,265
0,13,8,301
0,14,2,86
0,14,9,338
0,14,3,122
0,14,4,158
0,14,5,194
0,14,6,230
0,14,7,266
0,14,8,302
0,15,2,87
0,15,9,339
0,15,3,123
0,15,4,159
0,15,5,195
0,15,6,231
0,15,7,267
0,15,8,303
0,16,2,88
0,16,9,340
0,16,3,124
0,16,4,160
0,16,5,196
0,16,6,232
0,16,7,268
0,16,8,304
0,17,2,89
0,17,9,341
0,17,3,125
0,17,4,161
0,17,5,197
0,17,6,233
0,17,7,269
0,17,8,305
0,18,2,90
0,18,9,342
0,18,3,126
0,18,4,162
0,18,5,198
0,18,6,234
0,18,7,270
0,18,8,306
0,19,2,91
0,19,9,343
0,19,3,127
0,19,4,163
0,19,5,199
0,19,6,235
0,19,7,271
0,19,8,307
0,20,2,92
0,20,9,344
0,20,3,128
0,20,4,164
0,20,5,200
0,20,6,236
0,20,7,272
0,20,8,308
0,21,2,93
0,21,9,345
0,21,3,129
0,21,4,165
0,21,5,201
0,21,6,237
0,21,7,273
0,21,8,309
0,22,2,94
0,22,9,346
0,22,3,130
0,22,4,166
0,22,5,202
0,22,6,238
0,22,7,274
0,22,8,310
0,23,2,95
0,23,9,347
0,23,3,131
0,23,4,167
0,23,5,203
0,23,6,239
0,23,7,275
0,23,8,311
0,24,2,96
0,24,9,348
0,24,3,132
0,24,4,168
0,24,5,204
0,24,6,240
0,24,7,276
0,24,8,312
0,25,2,97
0,25,9,349
0,25,3,133
0,25,4,169
0,25,5,205
0,25,6,241
0,25,7,277
0,25,8,313
0,26,2,98
0,26,9,350
0,26,3,134
0,26,4,170
0,26,5,206
0,26,6,242
0,26,7,278
0,26,8,314
0,27,2,99
0,27,9,351
0,27,3,135
0,27,4,171
0,27,5,207
0,27,6,243
0,27,7,279
0,27,8,315
0,28,2,100
0,28,9,352
0,28,3,136
0,28,4,172
0,28,5,208
0,28,6,244
0,28,7,280
0,28,8,316
0,29,2,101
0,29,9,353
0,29,3,137
0,29,4,173
0,29,5,209
0,29,6,245
0,29,7,281
0,29,8,317
0,30,2,102
0,30,9,354
0,30,3,138
0,30,4,174
0,30,5,210
0,30,6,246
0,30,7,282
0,30,8,318
0,31,2,103
0,31,9,355
0,31,3,139
0,31,4,175
0,31,5,211
0,31,6,247
0,31,7,283
0,31,8,319
0,32,2,104
0,32,9,356
0,32,3,140
0,32,4,176
0,32,5,212
0,32,6,248
0,32,7,284
0,32,8,320
0,33,2,105
0,33,9,357
0,33,3,141
0,33,4,177
0,33,5,213
0,33,6,249
0,33,7,285
0,33,8,321
0,34,2,106
0,34,9,358
0,34,3,142
0,34,4,178
0,34,5,214
0,34,6,250
0,34,7,286
0,34,8,322
0,35,2,107
0,35,9,359
0,35,3,143
0,35,4,179
0,35,5,215
0,35,6,251
0,35,7,287
0,35,8,323
2,72,4,144
2,72,5,180
2,72,3,108
2,72,6,216
2,72,7,252
2,72,8,288
2,73,4,145
2,73,5,181
2,73,3,109
2,73,6,217
2,73,7,253
2,73,8,289
2,74,4,146
2,74,5,182
2,74,3,110
2,74,6,218
2,74,7,254
2,74,8,290
2,75,4,147
2,75,5,183
2,75,3,111
2,75,6,219
2,75,7,255
2,75,8,291
2,76,4,148
2,76,5,184
2,76,3,112
2,76,6,220
2,76,7,256
2,76,8,292
2,77,4,149
2,77,5,185
2,77,3,113
2,77,6,221
2,77,7,257
2,77,8,293
2,78,4,150
2,78,5,186
2,78,3,114
2,78,6,222
2,78,7,258
2,78,8,294
2,79,4,151
2,79,5,187
2,79,3,115
2,79,6,223
2,79,7,259
2,79,8,295
2,80,4,152
2,80,5,188
2,80,3,116
2,80,6,224
2,80,7,260
2,80,8,296
2,81,4,153
2,81,5,189
2,81,3,117
2,81,6,225
2,81,7,261
2,81,8,297
2,82,4,154
2,82,5,190
2,82,3,118
2,82,6,226
2,82,7,262
2,82,8,298
2,83,4,155
2,83,5,191
2,83,3,119
2,83,6,227
2,83,7,263
2,83,8,299
2,84,4,156
2,84,5,192
2,84,3,120
2,84,6,228
2,84,7,264
2,84,8,300
2,85,4,157
2,85,5,193
2,85,3,121
2,85,6,229
2,85,7,265
2,85,8,301
2,86,4,158
2,86,5,194
2,86,3,122
2,86,6,230
2,86,7,266
2,86,8,302
2,87,4,159
2,87,5,195
2,87,3,123
2,87,6,231
2,87,7,267
2,87,8,303
2,88,4,160
2,88,5,196
2,88,3,124
2,88,6,232
2,88,7,268
2,88,8,304
2,89,4,161
2,89,5,197
2,89,3,125
2,89,6,233
2,89,7,269
2,89,8,305
2,90,4,162
2,90,5,198
2,90,3,126
2,90,6,234
2,90,7,270
2,90,8,306
2,91,4,163
2,91,5,199
2,91,3,127
2,91,6,235
2,91,7,271
2,91,8,307
2,92,4,164
2,92,5,200
2,92,3,128
2,92,6,236
2,92,7,272
2,92,8,308
2,93,4,165
2,93,5,201
2,93,3,129
2,93,6,237
2,93,7,273
2,93,8,309
2,94,4,166
2,94,5,202
2,94,3,130
2,94,6,238
2,94,7,274
2,94,8,310
2,95,4,167
2,95,5,203
2,95,3,131
2,95,6,239
2,95,7,275
2,95,8,311
2,96,4,168
2,96,5,204
2,96,3,132
2,96,6,240
2,96,7,276
2,96,8,312
2,97,4,169
2,97,5,205
2,97,3,133
2,97,6,241
2,97,7,277
2,97,8,313
2,98,4,170
2,98,5,206
2,98,3,134
2,98,6,242
2,98,7,278
2,98,8,314
2,99,4,171
2,99,5,207
2,99,3,135
2,99,6,243
2,99,7,279
2,99,8,315
2,100,4,172
2,100,5,208
2,100,3,136
2,100,6,244
2,100,7,280
2,100,8,316
2,101,4,173
2,101,5,209
2,101,3,137
2,101,6,245
2,101,7,281
2,101,8,317
2,102,4,174
2,102,5,210
2,102,3,138
2,102,6,246
2,102,7,282
2,102,8,318
2,103,4,175
2,103,5,211
2,103,3,139
2,103,6,247
2,103,7,283
2,103,8,319
2,104,4,176
2,104,5,212
2,104,3,140
2,104,6,248
2,104,7,284
2,104,8,320
2,105,4,177
2,105,5,213
2,105,3,141
2,105,6,249
2,105,7,285
2,105,8,321
2,106,4,178
2,106,5,214
2,106,3,142
2,106,6,250
2,106,7,286
2,106,8,322
2,107,4,179
2,107,5,215
2,107,3,143
2,107,6,251
2,107,7,287
2,107,8,323
3,108,1,36
3,109,1,37
3,110,1,38
3,111,1,39
3,112,1,40
3,113,1,41
3,114,1,42
3,115,1,43
3,116,1,44
3,117,1,45
3,118,1,46
3,119,1,47
3,120,1,48
3,121,1,49
3,122,1,50
3,123,1,51
3,124,1,52
3,125,1,53
3,126,1,54
3,127,1,55
3,128,1,56
3,129,1,57
3,130,1,58
3,131,1,59
3,132,1,60
3,133,1,61
3,134,1,62
3,135,1,63
3,136,1,64
3,137,1,65
3,138,1,66
3,139,1,67
3,140,1,68
3,141,1,69
3,142,1,70
3,143,1,71
4,144,3,108
4,144,1,36
4,144,6,216
4,144,7,252
4,145,3,109
4,145,1,37
4,145,6,217
4,145,7,253
4,146,3,110
4,146,1,38
4,146,6,218
4,146,7,254
4,147,3,111
4,147,1,39
4,147,6,219
4,147,7,255
4,148,3,112
4,148,1,40
4,148,6,220
4,148,7,256
4,149,3,113
4,149,1,41
4,149,6,221
4,149,7,257
4,150,3,114
4,150,1,42
4,150,6,222
4,150,7,258
4,151,3,115
4,151,1,43
4,151,6,223
4,151,7,259
4,152,3,116
4,152,1,44
4,152,6,224
4,152,7,260
4,153,3,117
4,153,1,45
4,153,6,225
4,153,7,261
4,154,3,118
4,154,1,46
4,154,6,226
4,154,7,262
4,155,3,119
4,155,1,47
4,155,6,227
4,155,7,263
4,156,3,120
4,156,1,48
4,156,6,228
4,156,7,264
4,157,3,121
4,157,1,49
4,157,6,229
4,157,7,265
4,158,3,122
4,158,1,50
4,158,6,230
4,158,7,266
4,159,3,123
4,159,1,51
4,159,6,231
4,159,7,267
4,160,3,124
4,160,1,52
4,160,6,232
4,160,7,268
4,161,3,125
4,161,1,53
4,161,6,233
4,161,7,269
4,162,3,126
4,162,1,54
4,162,6,234
4,162,7,270
4,163,3,127
4,163,1,55
4,163,6,235
4,163,7,271
4,164,3,128
4,164,1,56
4,164,6,236
4,164,7,272
4,165,3,129
4,165,1,57
4,165,6,237
4,165,7,273
4,166,3,130
4,166,1,58
4,166,6,238
4,166,7,274
4,167,3,131
4,167,1,59
4,167,6,239
4,167,7,275
4,168,3,132
4,168,1,60
4,168,6,240
4,168,7,276
4,169,3,133
4,169,1,61
4,169,6,241
4,169,7,277
4,170,3,134
4,170,1,62
4,170,6,242
4,170,7,278
4,171,3,135
4,171,1,63
4,171,6,243
4,171,7,279
4,172,3,136
4,172,1,64
4,172,6,244
4,172,7,280
4,173,3,137
4,173,1,65
4,173,6,245
4,173,7,281
4,174,3,138
4,174,1,66
4,174,6,246
4,174,7,282
4,175,3,139
4,175,1,67
4,175,6,247
4,175,7,283
4,176,3,140
4,176,1,68
4,176,6,248
4,176,7,284
4,177,3,141
4,177,1,69
4,177,6,249
4,177,7,285
4,178,3,142
4,178,1,70
4,178,6,250
4,178,7,286
4,179,3,143
4,179,1,71
4,179,6,251
4,179,7,287
5,180,7,252
5,180,8,288
5,180,3,108
5,180,6,216
5,181,7,253
5,181,8,289
5,181,3,109
5,181,6,217
5,182,7,254
5,182,8,290
5,182,3,110
5,182,6,218
5,183,7,255
5,183,8,291
5,183,3,111
5,183,6,219
5,184,7,256
5,184,8,292
5,184,3,112
5,184,6,220
5,185,7,257
5,185,8,293
5,185,3,113
5,185,6,221
5,186,7,258
5,186,8,294
5,186,3,114
5,186,6,222
5,187,7,259
5,187,8,295
5,187,3,115
5,187,6,223
5,188,7,260
5,188,8,296
5,188,3,116
5,188,6,224
5,189,7,261
5,189,8,297
5,189,3,117
5,189,6,225
