Task ID,Job ID,Arrival min,Arrival max,Cost min,Cost max,Deadline,Priority
0,0,0,1000,37,367,10000,10000
0,1,10000,11000,37,367,20000,10000
0,2,20000,21000,37,367,30000,10000
0,3,30000,31000,37,367,40000,10000
0,4,40000,41000,37,367,50000,10000
0,5,50000,51000,37,367,60000,10000
0,6,60000,61000,37,367,70000,10000
0,7,70000,71000,37,367,80000,10000
0,8,80000,81000,37,367,90000,10000
0,9,90000,91000,37,367,100000,10000
0,10,100000,101000,37,367,110000,10000
0,11,110000,111000,37,367,120000,10000
1,12,0,1000,47,469,10000,10000
1,13,10000,11000,47,469,20000,10000
1,14,20000,21000,47,469,30000,10000
1,15,30000,31000,47,469,40000,10000
1,16,40000,41000,47,469,50000,10000
1,17,50000,51000,47,469,60000,10000
1,18,60000,61000,47,469,70000,10000
1,19,70000,71000,47,469,80000,10000
1,20,80000,81000,47,469,90000,10000
1,21,90000,91000,47,469,100000,10000
1,22,100000,101000,47,469,110000,10000
1,23,110000,111000,47,469,120000,10000
2,24,0,1000,32,322,10000,10000
2,25,10000,11000,32,322,20000,10000
2,26,20000,21000,32,322,30000,10000
2,27,30000,31000,32,322,40000,10000
2,28,40000,41000,32,322,50000,10000
2,29,50000,51000,32,322,60000,10000
2,30,60000,61000,32,322,70000,10000
2,31,70000,71000,32,322,80000,10000
2,32,80000,81000,32,322,90000,10000
2,33,90000,91000,32,322,100000,10000
2,34,100000,101000,32,322,110000,10000
2,35,110000,111000,32,322,120000,10000
3,36,0,1000,41,407,10000,10000
3,37,10000,11000,41,407,20000,10000
3,38,20000,21000,41,407,30000,10000
3,39,30000,31000,41,407,40000,10000
3,40,40000,41000,41,407,50000,10000
3,41,50000,51000,41,407,60000,10000
3,42,60000,61000,41,407,70000,10000
3,43,70000,71000,41,407,80000,10000
3,44,80000,81000,41,407,90000,10000
3,45,90000,91000,41,407,100000,10000
3,46,100000,101000,41,407,110000,10000
3,47,110000,111000,41,407,120000,10000
4,48,0,1000,2,15,10000,10000
4,49,10000,11000,2,15,20000,10000
4,50,20000,21000,2,15,30000,10000
4,51,30000,31000,2,15,40000,10000
4,52,40000,41000,2,15,50000,10000
4,53,50000,51000,2,15,60000,10000
4,54,60000,61000,2,15,70000,10000
4,55,70000,71000,2,15,80000,10000
4,56,80000,81000,2,15,90000,10000
4,57,90000,91000,2,15,100000,10000
4,58,100000,101000,2,15,110000,10000
4,59,110000,111000,2,15,120000,10000
5,60,0,1000,15,147,10000,10000
5,61,10000,11000,15,147,20000,10000
5,62,20000,21000,15,147,30000,10000
5,63,30000,31000,15,147,40000,10000
5,64,40000,41000,15,147,50000,10000
5,65,50000,51000,15,147,60000,10000
5,66,60000,61000,15,147,70000,10000
5,67,70000,71000,15,147,80000,10000
5,68,80000,81000,15,147,90000,10000
5,69,90000,91000,15,147,100000,10000
5,70,100000,101000,15,147,110000,10000
5,71,110000,111000,15,147,120000,10000
6,72,0,1000,33,332,10000,10000
6,73,10000,11000,33,332,20000,10000
6,74,20000,21000,33,332,30000,10000
6,75,30000,31000,33,332,40000,10000
6,76,40000,41000,33,332,50000,10000
6,77,50000,51000,33,332,60000,10000
6,78,60000,61000,33,332,70000,10000
6,79,70000,71000,33,332,80000,10000
6,80,80000,81000,33,332,90000,10000
6,81,90000,91000,33,332,100000,10000
6,82,100000,101000,33,332,110000,10000
6,83,110000,111000,33,332,120000,10000
7,84,0,1000,41,406,10000,10000
7,85,10000,11000,41,406,20000,10000
7,86,20000,21000,41,406,30000,10000
7,87,30000,31000,41,406,40000,10000
7,88,40000,41000,41,406,50000,10000
7,89,50000,51000,41,406,60000,10000
7,90,60000,61000,41,406,70000,10000
7,91,70000,71000,41,406,80000,10000
7,92,80000,81000,41,406,90000,10000
7,93,90000,91000,41,406,100000,10000
7,94,100000,101000,41,406,110000,10000
7,95,110000,111000,41,406,120000,10000
8,96,0,1000,21,205,10000,10000
8,97,10000,11000,21,205,20000,10000
8,98,20000,21000,21,205,30000,10000
8,99,30000,31000,21,205,40000,10000
8,100,40000,41000,21,205,50000,10000
8,101,50000,51000,21,205,60000,10000
8,102,60000,61000,21,205,70000,10000
8,103,70000,71000,21,205,80000,10000
8,104,80000,81000,21,205,90000,10000
8,105,90000,91000,21,205,100000,10000
8,106,100000,101000,21,205,110000,10000
8,107,110000,111000,21,205,120000,10000
9,108,0,1000,5,46,10000,10000
9,109,10000,11000,5,46,20000,10000
9,110,20000,21000,5,46,30000,10000
9,111,30000,31000,5,46,40000,10000
9,112,40000,41000,5,46,50000,10000
9,113,50000,51000,5,46,60000,10000
9,114,60000,61000,5,46,70000,10000
9,115,70000,71000,5,46,80000,10000
9,116,80000,81000,5,46,90000,10000
9,117,90000,91000,5,46,100000,10000
9,118,100000,101000,5,46,110000,10000
9,119,110000,111000,5,46,120000,10000
10,120,0,1000,35,351,10000,10000
10,121,10000,11000,35,351,20000,10000
10,122,20000,21000,35,351,30000,10000
10,123,30000,31000,35,351,40000,10000
10,124,40000,41000,35,351,50000,10000
10,125,50000,51000,35,351,60000,10000
10,126,60000,61000,35,351,70000,10000
10,127,70000,71000,35,351,80000,10000
10,128,80000,81000,35,351,90000,10000
10,129,90000,91000,35,351,100000,10000
10,130,100000,101000,35,351,110000,10000
10,131,110000,111000,35,351,120000,10000
11,132,0,1000,50,502,10000,10000
11,133,10000,11000,50,502,20000,10000
11,134,20000,21000,50,502,30000,10000
11,135,30000,31000,50,502,40000,10000
11,136,40000,41000,50,502,50000,10000
11,137,50000,51000,50,502,60000,10000
11,138,60000,61000,50,502,70000,10000
11,139,70000,71000,50,502,80000,10000
11,140,80000,81000,50,502,90000,10000
11,141,90000,91000,50,502,100000,10000
11,142,100000,101000,50,502,110000,10000
11,143,110000,111000,50,502,120000,10000
12,144,0,1000,170,1699,10000,10000
12,145,10000,11000,170,1699,20000,10000
12,146,20000,21000,170,1699,30000,10000
12,147,30000,31000,170,1699,40000,10000
12,148,40000,41000,170,1699,50000,10000
12,149,50000,51000,170,1699,60000,10000
12,150,60000,61000,170,1699,70000,10000
12,151,70000,71000,170,1699,80000,10000
