From TID,From JID,To TID,To JID
0,0,2,24
0,0,9,108
0,0,10,120
0,0,1,12
0,0,4,48
0,1,2,25
0,1,9,109
0,1,10,121
0,1,1,13
0,1,4,49
0,2,2,26
0,2,9,110
0,2,10,122
0,2,1,14
0,2,4,50
0,3,2,27
0,3,9,111
0,3,10,123
0,3,1,15
0,3,4,51
0,4,2,28
0,4,9,112
0,4,10,124
0,4,1,16
0,4,4,52
0,5,2,29
0,5,9,113
0,5,10,125
0,5,1,17
0,5,4,53
0,6,2,30
0,6,9,114
0,6,10,126
0,6,1,18
0,6,4,54
0,7,2,31
0,7,9,115
0,7,10,127
0,7,1,19
0,7,4,55
0,8,2,32
0,8,9,116
0,8,10,128
0,8,1,20
0,8,4,56
0,9,2,33
0,9,9,117
0,9,10,129
0,9,1,21
0,9,4,57
0,10,2,34
0,10,9,118
0,10,10,130
0,10,1,22
0,10,4,58
0,11,2,35
0,11,9,119
0,11,10,131
0,11,1,23
0,11,4,59
2,24,4,48
2,24,8,96
2,24,1,12
2,24,3,36
2,24,5,60
2,24,6,72
2,24,7,84
2,25,4,49
2,25,8,97
2,25,1,13
2,25,3,37
2,25,5,61
2,25,6,73
2,25,7,85
2,26,4,50
2,26,8,98
2,26,1,14
2,26,3,38
2,26,5,62
2,26,6,74
2,26,7,86
2,27,4,51
2,27,8,99
2,27,1,15
2,27,3,39
2,27,5,63
2,27,6,75
2,27,7,87
2,28,4,52
2,28,8,100
2,28,1,16
2,28,3,40
2,28,5,64
2,28,6,76
2,28,7,88
2,29,4,53
2,29,8,101
2,29,1,17
2,29,3,41
2,29,5,65
2,29,6,77
2,29,7,89
2,30,4,54
2,30,8,102
2,30,1,18
2,30,3,42
2,30,5,66
2,30,6,78
2,30,7,90
2,31,4,55
2,31,8,103
2,31,1,19
2,31,3,43
2,31,5,67
2,31,6,79
2,31,7,91
2,32,4,56
2,32,8,104
2,32,1,20
2,32,3,44
2,32,5,68
2,32,6,80
2,32,7,92
2,33,4,57
2,33,8,105
2,33,1,21
2,33,3,45
2,33,5,69
2,33,6,81
2,33,7,93
2,34,4,58
2,34,8,106
2,34,1,22
2,34,3,46
2,34,5,70
2,34,6,82
2,34,7,94
2,35,4,59
2,35,8,107
2,35,1,23
2,35,3,47
2,35,5,71
2,35,6,83
2,35,7,95
3,36,1,12
3,37,1,13
3,38,1,14
3,39,1,15
3,40,1,16
3,41,1,17
3,42,1,18
3,43,1,19
3,44,1,20
3,45,1,21
3,46,1,22
3,47,1,23
4,48,6,72
4,48,7,84
4,48,5,60
4,49,6,73
4,49,7,85
4,49,5,61
4,50,6,74
4,50,7,86
4,50,5,62
4,51,6,75
4,51,7,87
4,51,5,63
4,52,6,76
4,52,7,88
4,52,5,64
4,53,6,77
4,53,7,89
4,53,5,65
4,54,6,78
4,54,7,90
4,54,5,66
4,55,6,79
4,55,7,91
4,55,5,67
4,56,6,80
4,56,7,92
4,56,5,68
4,57,6,81
4,57,7,93
4,57,5,69
4,58,6,82
4,58,7,94
4,58,5,70
4,59,6,83
4,59,7,95
4,59,5,71
5,60,3,36
5,60,1,12
5,61,3,37
5,61,1,13
5,62,3,38
5,62,1,14
5,63,3,39
5,63,1,15
5,64,3,40
5,64,1,16
5,65,3,41
5,65,1,17
5,66,3,42
5,66,1,18
5,67,3,43
5,67,1,19
5,68,3,44
5,68,1,20
5,69,3,45
5,69,1,21
5,70,3,46
5,70,1,22
5,71,3,47
5,71,1,23
6,72,5,60
6,72,1,12
6,72,3,36
6,73,5,61
6,73,1,13
6,73,3,37
6,74,5,62
6,74,1,14
6,74,3,38
6,75,5,63
6,75,1,15
6,75,3,39
6,76,5,64
6,76,1,16
6,76,3,40
6,77,5,65
6,77,1,17
6,77,3,41
6,78,5,66
6,78,1,18
6,78,3,42
6,79,5,67
6,79,1,19
6,79,3,43
6,80,5,68
6,80,1,20
6,80,3,44
6,81,5,69
6,81,1,21
6,81,3,45
6,82,5,70
6,82,1,22
6,82,3,46
6,83,5,71
6,83,1,23
6,83,3,47
7,84,5,60
7,84,1,12
7,85,5,61
7,85,1,13
7,86,5,62
7,86,1,14
7,87,5,63
7,87,1,15
7,88,5,64
7,88,1,16
7,89,5,65
7,89,1,17
7,90,5,66
7,90,1,18
7,91,5,67
7,91,1,19
7,92,5,68
7,92,1,20
7,93,5,69
7,93,1,21
7,94,5,70
7,94,1,22
7,95,5,71
7,95,1,23
8,96,3,36
8,96,1,12
8,96,5,60
8,96,6,72
8,96,7,84
8,97,3,37
8,97,1,13
8,97,5,61
8,97,6,73
8,97,7,85
8,98,3,38
8,98,1,14
8,98,5,62
8,98,6,74
8,98,7,86
8,99,3,39
8,99,1,15
8,99,5,63
8,99,6,75
8,99,7,87
8,100,3,40
8,100,1,16
8,100,5,64
8,100,6,76
8,100,7,88
8,101,3,41
8,101,1,17
8,101,5,65
8,101,6,77
8,101,7,89
8,102,3,42
8,102,1,18
8,102,5,66
8,102,6,78
8,102,7,90
8,103,3,43
8,103,1,19
8,103,5,67
8,103,6,79
8,103,7,91
8,104,3,44
8,104,1,20
8,104,5,68
8,104,6,80
8,104,7,92
8,105,3,45
8,105,1,21
8,105,5,69
8,105,6,81
8,105,7,93
8,106,3,46
8,106,1,22
8,106,5,70
8,106,6,82
8,106,7,94
8,107,3,47
8,107,1,23
8,107,5,71
8,107,6,83
8,107,7,95
9,108,1,12
9,108,7,84
9,109,1,13
9,109,7,85
9,110,1,14
9,110,7,86
9,111,1,15
9,111,7,87
9,112,1,16
9,112,7,88
9,113,1,17
9,113,7,89
9,114,1,18
9,114,7,90
9,115,1,19
9,115,7,91
9,116,1,20
9,116,7,92
9,117,1,21
9,117,7,93
9,118,1,22
9,118,7,94
9,119,1,23
9,119,7,95
10,120,1,12
10,120,5,60
10,120,7,84
10,121,1,13
10,121,5,61
10,121,7,85
10,122,1,14
10,122,5,62
10,122,7,86
10,123,1,15
10,123,5,63
10,123,7,87
